DEPTH,Ga,Si,O,C
0.00E+00,0.00E+00,3.17E+07,3.89E+07,9.26E+07
2.00E-01,0.00E+00,1.32E+07,2.09E+07,1.20E+08
4.00E-01,0.00E+00,5.06E+06,9.50E+06,1.36E+08
6.00E-01,0.00E+00,2.29E+06,4.57E+06,1.42E+08
8.00E-01,0.00E+00,1.36E+06,2.73E+06,1.44E+08
1.00E+00,0.00E+00,9.19E+05,1.87E+06,1.44E+08
1.20E+00,0.00E+00,6.91E+05,1.37E+06,1.46E+08
1.40E+00,5.00E+02,4.95E+05,1.06E+06,1.46E+08
1.60E+00,5.00E+02,3.81E+05,8.94E+05,1.47E+08
1.80E+00,0.00E+00,3.40E+05,7.19E+05,1.48E+08
2.00E+00,5.00E+02,2.91E+05,5.99E+05,1.50E+08
2.20E+00,5.00E+02,2.50E+05,5.33E+05,1.50E+08
2.40E+00,5.00E+02,2.09E+05,4.85E+05,1.52E+08
2.60E+00,0.00E+00,1.95E+05,4.15E+05,1.53E+08
2.80E+00,0.00E+00,1.89E+05,3.76E+05,1.53E+08
3.00E+00,5.00E+02,1.76E+05,3.37E+05,1.55E+08
3.20E+00,0.00E+00,1.57E+05,2.99E+05,1.56E+08
3.40E+00,0.00E+00,1.42E+05,2.67E+05,1.58E+08
3.60E+00,5.00E+02,1.21E+05,2.52E+05,1.59E+08
3.80E+00,2.00E+03,1.13E+05,2.54E+05,1.60E+08
4.00E+00,1.00E+03,1.05E+05,2.20E+05,1.61E+08
4.20E+00,3.00E+03,9.90E+04,2.11E+05,1.62E+08
4.40E+00,2.00E+03,8.95E+04,1.90E+05,1.64E+08
4.60E+00,2.00E+03,7.75E+04,1.73E+05,1.65E+08
4.80E+00,3.00E+03,8.70E+04,1.73E+05,1.66E+08
5.00E+00,3.50E+03,8.60E+04,1.56E+05,1.67E+08
5.20E+00,4.00E+03,7.20E+04,1.42E+05,1.68E+08
5.40E+00,2.50E+03,7.55E+04,1.26E+05,1.70E+08
5.60E+00,2.00E+03,6.70E+04,1.46E+05,1.70E+08
5.80E+00,4.00E+03,6.55E+04,1.26E+05,1.72E+08
6.00E+00,6.00E+03,5.25E+04,1.27E+05,1.73E+08
6.20E+00,8.00E+03,3.90E+04,1.19E+05,1.74E+08
6.40E+00,5.00E+03,4.65E+04,1.06E+05,1.75E+08
6.60E+00,4.00E+03,4.05E+04,1.18E+05,1.77E+08
6.80E+00,9.00E+03,4.55E+04,9.30E+04,1.78E+08
7.00E+00,4.00E+03,4.60E+04,9.35E+04,1.79E+08
7.20E+00,5.00E+03,5.15E+04,1.03E+05,1.80E+08
7.40E+00,9.50E+03,3.55E+04,9.15E+04,1.80E+08
7.60E+00,7.50E+03,4.15E+04,8.05E+04,1.82E+08
7.80E+00,9.50E+03,3.75E+04,7.25E+04,1.83E+08
8.00E+00,1.30E+04,4.15E+04,7.25E+04,1.85E+08
8.20E+00,8.50E+03,3.80E+04,6.95E+04,1.85E+08
8.40E+00,1.30E+04,3.20E+04,7.00E+04,1.86E+08
8.60E+00,1.15E+04,4.00E+04,7.30E+04,1.88E+08
8.80E+00,1.55E+04,2.80E+04,6.70E+04,1.89E+08
9.00E+00,1.40E+04,2.65E+04,7.40E+04,1.90E+08
9.20E+00,1.70E+04,3.40E+04,6.10E+04,1.91E+08
9.40E+00,8.50E+03,2.40E+04,6.60E+04,1.92E+08
9.60E+00,1.40E+04,2.80E+04,5.05E+04,1.93E+08
9.80E+00,1.75E+04,2.95E+04,5.95E+04,1.94E+08
1.00E+01,2.20E+04,2.60E+04,5.25E+04,1.95E+08
1.02E+01,2.40E+04,2.25E+04,4.90E+04,1.96E+08
1.04E+01,1.35E+04,2.55E+04,4.65E+04,1.97E+08
1.06E+01,2.40E+04,2.45E+04,5.25E+04,1.98E+08
1.08E+01,1.85E+04,2.50E+04,5.35E+04,1.99E+08
1.10E+01,2.25E+04,2.40E+04,4.90E+04,2.00E+08
1.12E+01,2.85E+04,2.70E+04,4.10E+04,2.01E+08
1.14E+01,3.05E+04,2.50E+04,4.60E+04,2.01E+08
1.16E+01,2.60E+04,2.20E+04,4.45E+04,2.02E+08
1.18E+01,2.85E+04,2.50E+04,5.05E+04,2.03E+08
1.20E+01,3.05E+04,1.75E+04,3.90E+04,2.03E+08
1.22E+01,3.15E+04,2.85E+04,3.60E+04,2.04E+08
1.24E+01,3.90E+04,1.90E+04,4.55E+04,2.05E+08
1.26E+01,3.50E+04,1.70E+04,5.00E+04,2.05E+08
1.28E+01,3.25E+04,1.70E+04,4.55E+04,2.06E+08
1.30E+01,2.95E+04,1.75E+04,3.80E+04,2.06E+08
1.32E+01,3.50E+04,1.85E+04,3.35E+04,2.06E+08
1.34E+01,3.70E+04,2.15E+04,3.20E+04,2.05E+08
1.36E+01,4.50E+04,1.85E+04,2.85E+04,2.04E+08
1.38E+01,4.40E+04,2.00E+04,3.55E+04,2.02E+08
1.40E+01,4.65E+04,2.20E+04,2.45E+04,1.99E+08
1.42E+01,5.05E+04,1.85E+04,3.50E+04,1.93E+08
1.44E+01,4.30E+04,1.40E+04,2.50E+04,1.84E+08
1.46E+01,5.30E+04,8.00E+03,2.15E+04,1.66E+08
1.48E+01,5.80E+04,1.10E+04,2.10E+04,1.24E+08
