DEPTH         Ga         Si          O          C    
201000.E-05  0.0000E+00  3.6071E+07  3.2465E+07  7.8001E+04
401000.E-05  0.0000E+00  3.1206E+07  4.5587E+07  1.2900E+05
601000.E-05  0.0000E+00  3.0621E+07  3.6148E+07  1.0400E+05
801000.E-05  0.0000E+00  3.2189E+07  2.9912E+07  7.6501E+04
100100.E-04  0.0000E+00  3.5706E+07  3.3029E+07  8.3501E+04
120100.E-04  0.0000E+00  3.8541E+07  3.5919E+07  8.2001E+04
140100.E-04  0.0000E+00  3.9771E+07  3.8271E+07  1.0450E+05
160100.E-04  5.0001E+02  4.1780E+07  4.0415E+07  1.2850E+05
180100.E-04  0.0000E+00  4.3414E+07  4.1847E+07  1.3800E+05
200100.E-04  0.0000E+00  4.5070E+07  4.3753E+07  1.6250E+05
220100.E-04  5.0001E+02  4.6420E+07  4.5539E+07  1.8300E+05
240100.E-04  0.0000E+00  4.8341E+07  4.7407E+07  2.2450E+05
260100.E-04  0.0000E+00  5.0245E+07  4.8710E+07  2.9000E+05
280100.E-04  0.0000E+00  5.1416E+07  5.0007E+07  3.7000E+05
300100.E-04  0.0000E+00  5.2365E+07  5.1648E+07  4.6351E+05
320100.E-04  0.0000E+00  5.4045E+07  5.2727E+07  5.9701E+05
340100.E-04  0.0000E+00  5.5130E+07  5.3841E+07  7.9801E+05
360100.E-04  0.0000E+00  5.6113E+07  5.4652E+07  1.1025E+06
380100.E-04  5.0001E+02  5.6695E+07  5.5194E+07  1.5380E+06
400100.E-04  0.0000E+00  5.7689E+07  5.5563E+07  2.3010E+06
420100.E-04  5.0001E+02  5.7765E+07  5.5233E+07  3.6700E+06
440100.E-04  0.0000E+00  5.6800E+07  5.4108E+07  6.1741E+06
460100.E-04  0.0000E+00  5.4957E+07  5.0551E+07  1.0627E+07
480100.E-04  1.0000E+03  4.9860E+07  4.4422E+07  1.8127E+07
500100.E-04  0.0000E+00  3.9188E+07  3.4297E+07  3.0630E+07
520100.E-04  1.5000E+03  3.7834E+07  4.6387E+07  1.0590E+08
540100.E-04  2.0000E+03  1.6290E+07  2.5434E+07  1.3937E+08
560100.E-04  2.5000E+03  6.4436E+06  1.1697E+07  1.5968E+08
580100.E-04  1.0000E+03  3.0865E+06  5.7611E+06  1.6797E+08
600100.E-04  2.0000E+03  1.8010E+06  3.5155E+06  1.7194E+08
620100.E-04  1.5000E+03  1.1905E+06  2.5235E+06  1.7351E+08
640100.E-04  5.5001E+03  8.9101E+05  1.8305E+06  1.7478E+08
660100.E-04  3.0000E+03  7.0901E+05  1.4240E+06  1.7645E+08
680100.E-04  4.5000E+03  5.6901E+05  1.1810E+06  1.7876E+08
700100.E-04  4.5000E+03  4.9201E+05  1.0010E+06  1.8030E+08
720100.E-04  4.0000E+03  4.3400E+05  8.5751E+05  1.8252E+08
740100.E-04  8.0001E+03  3.6650E+05  7.4351E+05  1.8378E+08
760100.E-04  1.1500E+04  3.2650E+05  6.5251E+05  1.8511E+08
780100.E-04  1.0000E+04  2.8800E+05  5.8501E+05  1.8743E+08
800100.E-04  1.0000E+04  2.6250E+05  5.4851E+05  1.8916E+08
820100.E-04  1.0000E+04  2.3600E+05  5.0401E+05  1.9142E+08
840100.E-04  9.0001E+03  2.3100E+05  4.4600E+05  1.9308E+08
860100.E-04  1.5500E+04  1.9650E+05  4.0250E+05  1.9534E+08
880100.E-04  2.0500E+04  1.8550E+05  3.6350E+05  1.9736E+08
900100.E-04  2.1500E+04  1.6650E+05  3.3850E+05  1.9818E+08
920100.E-04  1.8500E+04  1.6000E+05  3.1350E+05  2.0072E+08
940100.E-04  2.4000E+04  1.4500E+05  2.9200E+05  2.0219E+08
960100.E-04  2.5500E+04  1.3600E+05  2.5300E+05  2.0407E+08
980100.E-04  3.5000E+04  1.2100E+05  2.3850E+05  2.0568E+08
100010.E-03  3.7000E+04  1.2450E+05  2.2200E+05  2.0759E+08
102010.E-03  3.4500E+04  1.0400E+05  2.0450E+05  2.0968E+08
104010.E-03  3.3000E+04  1.0550E+05  2.2450E+05  2.1038E+08
106010.E-03  4.2000E+04  9.4501E+04  2.0150E+05  2.1274E+08
108010.E-03  4.8501E+04  9.2001E+04  1.9650E+05  2.1441E+08
110010.E-03  5.7501E+04  8.7501E+04  1.8100E+05  2.1602E+08
112010.E-03  5.7001E+04  9.0001E+04  1.8600E+05  2.1782E+08
114010.E-03  5.4501E+04  9.2001E+04  1.6650E+05  2.1963E+08
116010.E-03  5.8501E+04  7.6501E+04  1.5700E+05  2.2167E+08
118010.E-03  6.8001E+04  7.5501E+04  1.7300E+05  2.2242E+08
120010.E-03  6.4501E+04  8.3501E+04  1.3800E+05  2.2434E+08
122010.E-03  8.7501E+04  6.4001E+04  1.3700E+05  2.2563E+08
124010.E-03  8.4501E+04  7.8001E+04  1.5000E+05  2.2743E+08
126010.E-03  8.8501E+04  7.1501E+04  1.2200E+05  2.2868E+08
128010.E-03  9.4001E+04  6.4501E+04  1.3150E+05  2.3011E+08
130010.E-03  9.9501E+04  5.1501E+04  1.2100E+05  2.3112E+08
132010.E-03  1.1400E+05  4.7001E+04  1.0400E+05  2.3268E+08
134010.E-03  1.3150E+05  5.6001E+04  1.1500E+05  2.3383E+08
136010.E-03  1.2600E+05  5.3501E+04  9.7501E+04  2.3550E+08
138010.E-03  1.3100E+05  5.9501E+04  1.1250E+05  2.3642E+08
140010.E-03  1.3950E+05  4.1500E+04  1.0150E+05  2.3793E+08
142010.E-03  1.4750E+05  4.7501E+04  1.0350E+05  2.3898E+08
144010.E-03  1.6050E+05  5.2501E+04  1.0450E+05  2.4007E+08
146010.E-03  1.7350E+05  3.8500E+04  9.6501E+04  2.4090E+08
148010.E-03  1.9000E+05  4.0000E+04  8.5501E+04  2.4204E+08
150010.E-03  1.9250E+05  4.3500E+04  8.3501E+04  2.4117E+08
152010.E-03  1.9900E+05  4.2000E+04  9.0501E+04  2.4179E+08
154010.E-03  2.1050E+05  4.3000E+04  7.8001E+04  2.4171E+08
156010.E-03  2.1900E+05  3.7500E+04  6.4001E+04  2.4237E+08
158010.E-03  2.3600E+05  3.5500E+04  8.0001E+04  2.4379E+08
160010.E-03  2.5750E+05  2.9000E+04  6.7501E+04  2.4327E+08
162010.E-03  2.4850E+05  3.5500E+04  7.1001E+04  2.4382E+08
164010.E-03  2.7350E+05  3.4500E+04  6.8501E+04  2.4344E+08
166010.E-03  3.0200E+05  3.2500E+04  7.5501E+04  2.4338E+08
168010.E-03  3.0900E+05  4.5000E+04  6.6501E+04  2.4323E+08
170010.E-03  3.1950E+05  3.3000E+04  6.2501E+04  2.4278E+08
