DEPTH,Ga,Si,O,C
5.51E+00,5.45E+01,2.90E+07,3.46E+07,6.06E+04
1.10E+01,0.00E+00,3.38E+07,3.17E+07,4.98E+04
1.65E+01,1.27E+02,4.26E+07,4.10E+07,7.19E+04
2.20E+01,2.91E+02,4.94E+07,4.80E+07,1.22E+05
2.75E+01,4.36E+02,5.53E+07,5.40E+07,2.24E+05
3.30E+01,6.36E+02,6.05E+07,5.90E+07,4.55E+05
3.85E+01,1.45E+03,6.44E+07,6.26E+07,1.16E+06
4.40E+01,2.49E+03,6.62E+07,6.34E+07,4.21E+06
4.95E+01,4.09E+03,5.76E+07,5.18E+07,1.89E+07
5.50E+01,8.22E+03,2.93E+07,3.81E+07,1.27E+08
6.05E+01,1.52E+04,3.58E+06,6.81E+06,1.68E+08
6.60E+01,2.45E+04,1.22E+06,2.42E+06,1.74E+08
7.15E+01,3.78E+04,6.87E+05,1.38E+06,1.79E+08
7.70E+01,5.52E+04,4.70E+05,9.31E+05,1.83E+08
8.25E+01,8.34E+04,3.44E+05,6.86E+05,1.87E+08
8.80E+01,1.12E+05,2.72E+05,5.37E+05,1.91E+08
9.35E+01,1.47E+05,2.21E+05,4.42E+05,1.94E+08
9.90E+01,1.89E+05,1.81E+05,3.67E+05,1.97E+08
1.05E+02,2.34E+05,1.52E+05,3.09E+05,1.99E+08
1.10E+02,2.90E+05,1.30E+05,2.68E+05,2.00E+08
1.16E+02,3.53E+05,1.14E+05,2.31E+05,2.01E+08
1.21E+02,4.21E+05,1.00E+05,2.02E+05,2.00E+08
1.27E+02,4.96E+05,8.91E+04,1.85E+05,1.98E+08
1.32E+02,5.74E+05,7.67E+04,1.64E+05,1.95E+08
1.38E+02,6.58E+05,7.02E+04,1.48E+05,1.91E+08
1.43E+02,7.30E+05,6.11E+04,1.33E+05,1.86E+08
1.49E+02,8.04E+05,5.48E+04,1.20E+05,1.80E+08
1.54E+02,8.68E+05,4.89E+04,1.07E+05,1.72E+08
1.60E+02,9.28E+05,4.38E+04,1.00E+05,1.64E+08
1.65E+02,9.52E+05,4.09E+04,9.30E+04,1.55E+08
1.71E+02,9.76E+05,3.71E+04,8.45E+04,1.46E+08
1.76E+02,9.64E+05,3.28E+04,7.62E+04,1.36E+08
1.82E+02,9.45E+05,2.86E+04,7.21E+04,1.27E+08
1.87E+02,9.14E+05,2.60E+04,6.45E+04,1.17E+08
1.93E+02,8.63E+05,2.27E+04,6.01E+04,1.08E+08
1.98E+02,8.05E+05,2.20E+04,5.48E+04,9.63E+07
2.04E+02,7.37E+05,1.82E+04,5.12E+04,8.39E+07
2.09E+02,6.60E+05,1.64E+04,4.80E+04,7.25E+07
2.15E+02,5.84E+05,1.44E+04,4.42E+04,6.24E+07
2.20E+02,5.11E+05,1.29E+04,4.13E+04,5.31E+07
2.26E+02,4.38E+05,1.15E+04,3.69E+04,4.49E+07
2.31E+02,3.67E+05,1.01E+04,3.47E+04,3.78E+07
2.37E+02,3.04E+05,9.64E+03,3.07E+04,3.16E+07
2.42E+02,2.55E+05,7.76E+03,3.03E+04,2.63E+07
2.48E+02,2.02E+05,7.22E+03,2.76E+04,2.18E+07
2.53E+02,1.61E+05,5.84E+03,2.34E+04,1.81E+07
2.59E+02,1.29E+05,4.95E+03,2.22E+04,1.50E+07
2.64E+02,9.94E+04,4.47E+03,2.11E+04,1.23E+07
2.70E+02,7.53E+04,3.65E+03,1.82E+04,1.02E+07
2.75E+02,5.70E+04,3.07E+03,1.70E+04,8.49E+06
2.81E+02,4.20E+04,2.53E+03,1.67E+04,7.03E+06
2.86E+02,2.98E+04,2.11E+03,1.35E+04,5.85E+06
2.92E+02,2.13E+04,1.67E+03,1.29E+04,4.87E+06
2.97E+02,1.55E+04,1.76E+03,1.13E+04,4.08E+06
