DEPTH,Ga,Si,O,C,,,,,,,,,,
5.51E+00,9.70E-02,3.41E-01,3.44E-01,0.00E+00,,,,,,,,,,
1.10E+01,1.29E-01,3.54E-01,3.54E-01,0.00E+00,,,,,,,,,,
1.65E+01,1.34E-01,4.39E-01,4.42E-01,0.00E+00,,,,,,,,,,
2.20E+01,1.35E-01,5.04E-01,5.09E-01,0.00E+00,,,,,,,,,,
2.75E+01,1.38E-01,5.62E-01,5.67E-01,0.00E+00,,,,,,,,,,
3.30E+01,1.41E-01,6.12E-01,6.17E-01,0.00E+00,,,,,,,,,,
3.85E+01,1.43E-01,6.54E-01,6.60E-01,0.00E+00,,,,,,,,,,
4.40E+01,1.46E-01,6.88E-01,6.94E-01,1.82E-07,,,,,,,,,,
4.95E+01,1.56E-01,7.02E-01,7.14E-01,1.82E-07,,,,,,,,,,
5.50E+01,2.85E-01,6.30E-02,6.49E-02,1.58E+00,,,,,,,,,,
6.05E+01,2.96E-01,0.00E+00,0.00E+00,1.69E+00,,,,,,,,,,
6.60E+01,3.06E-01,0.00E+00,0.00E+00,1.71E+00,,,,,,,,,,
7.15E+01,3.14E-01,0.00E+00,0.00E+00,1.75E+00,,,,,,,,,,
7.70E+01,3.23E-01,0.00E+00,0.00E+00,1.78E+00,,,,,,,,,,
8.25E+01,3.32E-01,0.00E+00,0.00E+00,1.82E+00,,,,,,,,,,
8.80E+01,3.40E-01,0.00E+00,0.00E+00,1.85E+00,,,,,,,,,,
9.35E+01,3.48E-01,0.00E+00,0.00E+00,1.88E+00,,,,,,,,,,
9.90E+01,3.55E-01,0.00E+00,0.00E+00,1.90E+00,,,,,,,,,,
1.05E+02,3.62E-01,0.00E+00,0.00E+00,1.92E+00,,,,,,,,,,
1.10E+02,3.66E-01,0.00E+00,0.00E+00,1.92E+00,,,,,,,,,,
1.16E+02,3.69E-01,0.00E+00,0.00E+00,1.92E+00,,,,,,,,,,
1.21E+02,3.69E-01,0.00E+00,0.00E+00,1.92E+00,,,,,,,,,,
1.27E+02,3.66E-01,0.00E+00,0.00E+00,1.89E+00,,,,,,,,,,
1.32E+02,3.60E-01,0.00E+00,0.00E+00,1.86E+00,,,,,,,,,,
1.38E+02,3.51E-01,0.00E+00,0.00E+00,1.81E+00,,,,,,,,,,
1.43E+02,3.39E-01,0.00E+00,0.00E+00,1.76E+00,,,,,,,,,,
1.49E+02,3.23E-01,0.00E+00,0.00E+00,1.69E+00,,,,,,,,,,
1.54E+02,3.04E-01,0.00E+00,0.00E+00,1.62E+00,,,,,,,,,,
1.60E+02,2.83E-01,0.00E+00,0.00E+00,1.53E+00,,,,,,,,,,
1.65E+02,2.60E-01,0.00E+00,0.00E+00,1.45E+00,,,,,,,,,,
1.71E+02,2.36E-01,0.00E+00,0.00E+00,1.35E+00,,,,,,,,,,
1.76E+02,2.11E-01,0.00E+00,0.00E+00,1.26E+00,,,,,,,,,,
1.82E+02,1.87E-01,0.00E+00,0.00E+00,1.17E+00,,,,,,,,,,
1.87E+02,1.63E-01,0.00E+00,0.00E+00,1.08E+00,,,,,,,,,,
1.93E+02,1.40E-01,0.00E+00,0.00E+00,9.66E-01,,,,,,,,,,
1.98E+02,1.19E-01,0.00E+00,0.00E+00,8.42E-01,,,,,,,,,,
2.04E+02,1.00E-01,0.00E+00,0.00E+00,7.30E-01,,,,,,,,,,
2.09E+02,8.31E-02,0.00E+00,0.00E+00,6.27E-01,,,,,,,,,,
2.15E+02,6.83E-02,0.00E+00,0.00E+00,5.37E-01,,,,,,,,,,
2.20E+02,5.52E-02,0.00E+00,0.00E+00,4.54E-01,,,,,,,,,,
2.26E+02,4.39E-02,0.00E+00,0.00E+00,3.83E-01,,,,,,,,,,
2.31E+02,3.46E-02,0.00E+00,0.00E+00,3.20E-01,,,,,,,,,,
2.37E+02,2.68E-02,0.00E+00,0.00E+00,2.67E-01,,,,,,,,,,
2.42E+02,2.05E-02,0.00E+00,0.00E+00,2.21E-01,,,,,,,,,,
2.48E+02,1.56E-02,0.00E+00,0.00E+00,1.83E-01,,,,,,,,,,
2.53E+02,1.17E-02,0.00E+00,0.00E+00,1.51E-01,,,,,,,,,,
2.59E+02,8.60E-03,0.00E+00,0.00E+00,1.25E-01,,,,,,,,,,
2.64E+02,6.20E-03,0.00E+00,0.00E+00,1.04E-01,,,,,,,,,,
2.70E+02,4.39E-03,0.00E+00,0.00E+00,8.57E-02,,,,,,,,,,
2.75E+02,3.11E-03,0.00E+00,0.00E+00,7.10E-02,,,,,,,,,,
2.81E+02,2.12E-03,0.00E+00,0.00E+00,5.87E-02,,,,,,,,,,
2.86E+02,1.45E-03,0.00E+00,0.00E+00,4.90E-02,,,,,,,,,,
2.92E+02,9.77E-04,0.00E+00,0.00E+00,4.07E-02,,,,,,,,,,
2.97E+02,6.50E-04,0.00E+00,0.00E+00,3.40E-02,,,,,,,,,,
3.03E+02,4.28E-04,0.00E+00,0.00E+00,2.85E-02,,,,,,,,,,
3.08E+02,2.81E-04,0.00E+00,0.00E+00,2.38E-02,,,,,,,,,,
3.14E+02,1.83E-04,0.00E+00,0.00E+00,2.00E-02,,,,,,,,,,
3.19E+02,1.12E-04,0.00E+00,0.00E+00,1.67E-02,,,,,,,,,,
3.25E+02,7.38E-05,0.00E+00,0.00E+00,1.37E-02,,,,,,,,,,
3.30E+02,4.35E-05,0.00E+00,0.00E+00,1.14E-02,,,,,,,,,,
3.36E+02,2.84E-05,0.00E+00,0.00E+00,9.56E-03,,,,,,,,,,
3.41E+02,1.82E-05,0.00E+00,0.00E+00,7.99E-03,,,,,,,,,,
3.47E+02,1.02E-05,0.00E+00,0.00E+00,6.53E-03,,,,,,,,,,
3.52E+02,7.09E-06,0.00E+00,0.00E+00,5.43E-03,,,,,,,,,,
3.58E+02,2.18E-06,0.00E+00,0.00E+00,4.46E-03,,,,,,,,,,
3.63E+02,1.45E-06,0.00E+00,0.00E+00,3.74E-03,,,,,,,,,,
3.69E+02,1.82E-07,0.00E+00,0.00E+00,3.02E-03,,,,,,,,,,
3.74E+02,0.00E+00,0.00E+00,0.00E+00,2.50E-03,,,,,,,,,,
3.80E+02,0.00E+00,0.00E+00,0.00E+00,1.99E-03,,,,,,,,,,
3.85E+02,0.00E+00,0.00E+00,0.00E+00,1.57E-03,,,,,,,,,,
3.91E+02,0.00E+00,0.00E+00,0.00E+00,1.26E-03,,,,,,,,,,
3.96E+02,0.00E+00,0.00E+00,0.00E+00,9.41E-04,,,,,,,,,,
4.02E+02,0.00E+00,0.00E+00,0.00E+00,7.55E-04,,,,,,,,,,
4.07E+02,0.00E+00,0.00E+00,0.00E+00,6.06E-04,,,,,,,,,,
4.13E+02,0.00E+00,0.00E+00,0.00E+00,5.04E-04,,,,,,,,,,
4.18E+02,0.00E+00,0.00E+00,0.00E+00,3.80E-04,,,,,,,,,,
4.24E+02,0.00E+00,0.00E+00,0.00E+00,2.94E-04,,,,,,,,,,
4.29E+02,0.00E+00,0.00E+00,0.00E+00,2.26E-04,,,,,,,,,,
4.35E+02,0.00E+00,0.00E+00,0.00E+00,1.67E-04,,,,,,,,,,
4.40E+02,0.00E+00,0.00E+00,0.00E+00,1.17E-04,,,,,,,,,,
4.46E+02,0.00E+00,0.00E+00,0.00E+00,9.42E-05,,,,,,,,,,
4.51E+02,0.00E+00,0.00E+00,0.00E+00,7.04E-05,,,,,,,,,,
4.57E+02,0.00E+00,0.00E+00,0.00E+00,5.25E-05,,,,,,,,,,
4.62E+02,0.00E+00,0.00E+00,0.00E+00,3.25E-05,,,,,,,,,,
4.68E+02,0.00E+00,0.00E+00,0.00E+00,2.80E-05,,,,,,,,,,
4.73E+02,0.00E+00,0.00E+00,0.00E+00,2.24E-05,,,,,,,,,,
4.79E+02,0.00E+00,0.00E+00,0.00E+00,1.49E-05,,,,,,,,,,
4.84E+02,0.00E+00,0.00E+00,0.00E+00,9.09E-06,,,,,,,,,,
4.90E+02,0.00E+00,0.00E+00,0.00E+00,7.64E-06,,,,,,,,,,
4.95E+02,0.00E+00,0.00E+00,0.00E+00,4.00E-06,,,,,,,,,,
5.01E+02,0.00E+00,0.00E+00,0.00E+00,4.73E-06,,,,,,,,,,
5.06E+02,0.00E+00,0.00E+00,0.00E+00,2.18E-06,,,,,,,,,,
