DEPTH         Ga           Si            O            C       
551000.E-05  9704.40E-05  3410.37E-04  3444.58E-04  0000.00E+00  
110100.E-04  1292.16E-04  3539.30E-04  3535.63E-04  0000.00E+00  
165100.E-04  1343.16E-04  4387.30E-04  4418.08E-04  0000.00E+00  
220100.E-04  1354.90E-04  5040.78E-04  5090.21E-04  0000.00E+00  
275100.E-04  1382.68E-04  5616.13E-04  5672.18E-04  0000.00E+00  
330100.E-04  1405.01E-04  6118.40E-04  6166.71E-04  0000.00E+00  
385100.E-04  1434.92E-04  6542.53E-04  6597.38E-04  0000.00E+00  
440100.E-04  1460.87E-04  6882.21E-04  6944.26E-04  1818.18E-10  
495100.E-04  1559.14E-04  7016.98E-04  7144.99E-04  1818.18E-10  
550100.E-04  2850.19E-04  6297.83E-05  6492.73E-05  1581.90E-03  
605100.E-04  2963.93E-04  0000.00E+00  0000.00E+00  1690.54E-03  
660100.E-04  3055.17E-04  0000.00E+00  0000.00E+00  1713.15E-03  
715100.E-04  3144.52E-04  0000.00E+00  0000.00E+00  1747.18E-03  
770100.E-04  3234.07E-04  0000.00E+00  0000.00E+00  1783.62E-03  
825100.E-04  3317.91E-04  0000.00E+00  0000.00E+00  1819.60E-03  
880100.E-04  3402.06E-04  0000.00E+00  0000.00E+00  1851.24E-03  
935100.E-04  3479.56E-04  0000.00E+00  0000.00E+00  1879.95E-03  
990100.E-04  3552.81E-04  0000.00E+00  0000.00E+00  1901.88E-03  
104510.E-03  3615.75E-04  0000.00E+00  0000.00E+00  1916.39E-03  
110010.E-03  3662.06E-04  0000.00E+00  0000.00E+00  1924.76E-03  
115510.E-03  3688.23E-04  0000.00E+00  0000.00E+00  1924.64E-03  
121010.E-03  3692.73E-04  0000.00E+00  0000.00E+00  1915.47E-03  
126510.E-03  3663.71E-04  0000.00E+00  0000.00E+00  1892.18E-03  
132010.E-03  3602.60E-04  0000.00E+00  0000.00E+00  1857.85E-03  
137510.E-03  3508.18E-04  0000.00E+00  0000.00E+00  1812.49E-03  
143010.E-03  3385.95E-04  0000.00E+00  0000.00E+00  1757.79E-03  
148510.E-03  3229.71E-04  0000.00E+00  0000.00E+00  1691.45E-03  
154010.E-03  3041.55E-04  0000.00E+00  0000.00E+00  1616.29E-03  
159510.E-03  2830.53E-04  0000.00E+00  0000.00E+00  1532.88E-03  
165010.E-03  2600.99E-04  0000.00E+00  0000.00E+00  1445.16E-03  
170510.E-03  2360.42E-04  0000.00E+00  0000.00E+00  1354.44E-03  
176010.E-03  2113.34E-04  0000.00E+00  0000.00E+00  1261.45E-03  
181510.E-03  1865.63E-04  0000.00E+00  0000.00E+00  1169.31E-03  
187010.E-03  1626.44E-04  0000.00E+00  0000.00E+00  1079.48E-03  
192510.E-03  1398.20E-04  0000.00E+00  0000.00E+00  9663.13E-04  
198010.E-03  1186.60E-04  0000.00E+00  0000.00E+00  8422.08E-04  
203510.E-03  1000.30E-04  0000.00E+00  0000.00E+00  7297.49E-04  
209010.E-03  8311.55E-05  0000.00E+00  0000.00E+00  6269.49E-04  
214510.E-03  6827.71E-05  0000.00E+00  0000.00E+00  5365.14E-04  
220010.E-03  5515.90E-05  0000.00E+00  0000.00E+00  4538.93E-04  
225510.E-03  4390.12E-05  0000.00E+00  0000.00E+00  3827.09E-04  
231010.E-03  3455.03E-05  0000.00E+00  0000.00E+00  3201.75E-04  
236510.E-03  2679.67E-05  0000.00E+00  0000.00E+00  2666.65E-04  
242010.E-03  2046.87E-05  0000.00E+00  0000.00E+00  2207.15E-04  
247510.E-03  1557.47E-05  0000.00E+00  0000.00E+00  1826.06E-04  
253010.E-03  1166.40E-05  0000.00E+00  0000.00E+00  1507.36E-04  
258510.E-03  8597.89E-06  0000.00E+00  0000.00E+00  1246.95E-04  
264010.E-03  6201.87E-06  0000.00E+00  0000.00E+00  1035.33E-04  
269510.E-03  4392.36E-06  0000.00E+00  0000.00E+00  8570.95E-05  
275010.E-03  3105.38E-06  0000.00E+00  0000.00E+00  7099.06E-05  
280510.E-03  2115.56E-06  0000.00E+00  0000.00E+00  5872.46E-05  
286010.E-03  1453.17E-06  0000.00E+00  0000.00E+00  4901.16E-05  
