DEPTH,Ga,Si,O,C
5.00E-01,8.22E+03,2.93E+07,3.81E+07,1.58E+00
1.05E+00,1.52E+04,3.58E+06,6.81E+06,1.69E+00
1.60E+00,2.45E+04,1.22E+06,2.42E+06,1.71E+00
2.15E+00,3.78E+04,6.87E+05,1.38E+06,1.75E+00
2.70E+00,5.52E+04,4.70E+05,9.31E+05,1.78E+00
3.25E+00,8.34E+04,3.44E+05,6.86E+05,1.82E+00
3.80E+00,1.12E+05,2.72E+05,5.37E+05,1.85E+00
4.35E+00,1.47E+05,2.21E+05,4.42E+05,1.88E+00
4.90E+00,1.89E+05,1.81E+05,3.67E+05,1.90E+00
5.50E+00,2.34E+05,1.52E+05,3.09E+05,1.92E+00
6.00E+00,2.90E+05,1.30E+05,2.68E+05,1.92E+00
6.60E+00,3.53E+05,1.14E+05,2.31E+05,1.92E+00
7.10E+00,4.21E+05,1.00E+05,2.02E+05,1.92E+00
7.70E+00,4.96E+05,8.91E+04,1.85E+05,1.89E+00
8.20E+00,5.74E+05,7.67E+04,1.64E+05,1.86E+00
8.80E+00,6.58E+05,7.02E+04,1.48E+05,1.81E+00
9.30E+00,7.30E+05,6.11E+04,1.33E+05,1.76E+00
9.90E+00,8.04E+05,5.48E+04,1.20E+05,1.69E+00
1.04E+01,8.68E+05,4.89E+04,1.07E+05,1.62E+00
1.10E+01,9.28E+05,4.38E+04,1.00E+05,1.53E+00
1.15E+01,9.52E+05,4.09E+04,9.30E+04,1.45E+00
1.21E+01,9.76E+05,3.71E+04,8.45E+04,1.35E+00
1.26E+01,9.64E+05,3.28E+04,7.62E+04,1.26E+00
1.32E+01,9.45E+05,2.86E+04,7.21E+04,1.17E+00
1.37E+01,9.14E+05,2.60E+04,6.45E+04,1.08E+00
1.43E+01,8.63E+05,2.27E+04,6.01E+04,9.66E-01
1.48E+01,8.05E+05,2.20E+04,5.48E+04,8.42E-01
1.54E+01,7.37E+05,1.82E+04,5.12E+04,7.30E-01
1.59E+01,6.60E+05,1.64E+04,4.80E+04,6.27E-01
1.65E+01,5.84E+05,1.44E+04,4.42E+04,5.37E-01
1.70E+01,5.11E+05,1.29E+04,4.13E+04,4.54E-01
1.76E+01,4.38E+05,1.15E+04,3.69E+04,3.83E-01
1.81E+01,3.67E+05,1.01E+04,3.47E+04,3.20E-01
1.87E+01,3.04E+05,9.64E+03,3.07E+04,2.67E-01
1.92E+01,2.55E+05,7.76E+03,3.03E+04,2.21E-01
1.98E+01,2.02E+05,7.22E+03,2.76E+04,1.83E-01
2.03E+01,1.61E+05,5.84E+03,2.34E+04,1.51E-01
2.09E+01,1.29E+05,4.95E+03,2.22E+04,1.25E-01
2.14E+01,9.94E+04,4.47E+03,2.11E+04,1.04E-01
2.20E+01,7.53E+04,3.65E+03,1.82E+04,8.57E-02
2.25E+01,5.70E+04,3.07E+03,1.70E+04,7.10E-02
2.31E+01,4.20E+04,2.53E+03,1.67E+04,5.87E-02
2.36E+01,2.98E+04,2.11E+03,1.35E+04,4.90E-02
2.42E+01,2.13E+04,1.67E+03,1.29E+04,4.07E-02
2.47E+01,1.55E+04,1.76E+03,1.13E+04,3.40E-02
2.53E+01,1.06E+04,1.53E+03,1.03E+04,2.85E-02
2.58E+01,7.18E+03,1.04E+03,8.65E+03,2.38E-02
2.64E+01,4.73E+03,9.09E+02,7.69E+03,2.00E-02
2.69E+01,3.25E+03,6.55E+02,6.95E+03,1.67E-02
2.75E+01,2.22E+03,5.45E+02,5.82E+03,1.37E-02
2.80E+01,1.31E+03,4.55E+02,5.07E+03,1.14E-02
2.86E+01,8.91E+02,3.27E+02,4.80E+03,9.56E-03
2.91E+01,6.73E+02,1.82E+02,4.31E+03,7.99E-03
2.97E+01,2.91E+02,3.09E+02,3.62E+03,6.53E-03
3.02E+01,2.73E+02,1.09E+02,3.09E+03,5.43E-03
3.08E+01,7.27E+01,1.64E+02,2.51E+03,4.46E-03
3.13E+01,9.09E+01,1.45E+02,2.38E+03,3.74E-03
3.19E+01,7.27E+01,3.64E+01,1.75E+03,3.02E-03
3.24E+01,1.82E+01,1.82E+01,1.73E+03,2.50E-03
3.30E+01,3.64E+01,3.64E+01,1.31E+03,1.99E-03
3.35E+01,0.00E+00,3.64E+01,1.20E+03,1.57E-03
3.41E+01,0.00E+00,1.82E+01,1.16E+03,1.26E-03
3.46E+01,0.00E+00,0.00E+00,5.82E+02,9.41E-04
3.52E+01,0.00E+00,0.00E+00,3.45E+02,7.55E-04
3.57E+01,0.00E+00,0.00E+00,5.27E+02,6.06E-04
3.63E+01,0.00E+00,0.00E+00,4.73E+02,5.04E-04
3.68E+01,0.00E+00,0.00E+00,4.18E+02,3.80E-04
3.74E+01,0.00E+00,0.00E+00,2.18E+02,2.94E-04
3.79E+01,0.00E+00,0.00E+00,7.27E+01,2.26E-04
3.85E+01,0.00E+00,1.82E+01,1.45E+02,1.67E-04
3.90E+01,0.00E+00,0.00E+00,3.64E+01,1.17E-04
