DEPTH         Ga         Si          O          C    
851000.E-05  0.0000E+00  2.7546E+07  3.0201E+07  1.4635E+05
170100.E-04  0.0000E+00  3.4019E+07  3.2332E+07  1.2894E+05
255100.E-04  0.0000E+00  4.0783E+07  3.9702E+07  2.3729E+05
340100.E-04  0.0000E+00  4.5898E+07  4.4694E+07  5.5448E+05
425100.E-04  0.0000E+00  4.8583E+07  4.6657E+07  2.2167E+06
510100.E-04  0.0000E+00  4.1040E+07  3.8125E+07  2.3137E+07
595100.E-04  0.0000E+00  8.3503E+06  1.2840E+07  1.2949E+08
680100.E-04  5.8824E+02  6.4132E+05  1.3457E+06  1.4513E+08
765100.E-04  2.3530E+02  2.6647E+05  5.8307E+05  1.4962E+08
850100.E-04  1.2941E+03  1.5894E+05  3.2941E+05  1.5542E+08
935100.E-04  1.2941E+03  1.1624E+05  2.2941E+05  1.6091E+08
102010.E-03  2.7059E+03  8.3177E+04  1.7035E+05  1.6629E+08
110510.E-03  3.7647E+03  6.4118E+04  1.3000E+05  1.7162E+08
119010.E-03  5.6471E+03  5.2000E+04  1.0847E+05  1.7705E+08
127510.E-03  8.8236E+03  4.0589E+04  8.9412E+04  1.8190E+08
136010.E-03  9.2942E+03  3.4706E+04  7.5412E+04  1.8714E+08
144510.E-03  1.3294E+04  3.3530E+04  5.8000E+04  1.9152E+08
153010.E-03  1.2706E+04  2.8000E+04  5.3294E+04  1.9706E+08
161510.E-03  1.8588E+04  2.5177E+04  5.0706E+04  2.0213E+08
170010.E-03  2.5177E+04  2.2941E+04  4.6941E+04  2.0705E+08
178510.E-03  3.0589E+04  2.1647E+04  3.8824E+04  2.1191E+08
187010.E-03  3.9177E+04  1.5647E+04  3.6706E+04  2.1626E+08
195510.E-03  4.7883E+04  1.5412E+04  3.2118E+04  2.2143E+08
204010.E-03  5.7177E+04  1.4353E+04  3.3294E+04  2.2569E+08
212510.E-03  7.2824E+04  1.2353E+04  2.8824E+04  2.2921E+08
221010.E-03  8.6824E+04  1.2588E+04  2.5883E+04  2.3393E+08
229510.E-03  1.0247E+05  1.1530E+04  2.4824E+04  2.3725E+08
238010.E-03  1.2518E+05  1.2353E+04  2.4353E+04  2.3927E+08
246510.E-03  1.3012E+05  1.1765E+04  2.0824E+04  2.4127E+08
255010.E-03  1.6165E+05  1.0235E+04  2.1647E+04  2.4209E+08
263510.E-03  1.8929E+05  6.5883E+03  1.8235E+04  2.4384E+08
272010.E-03  2.0906E+05  8.9413E+03  1.6706E+04  2.4408E+08
280510.E-03  2.3706E+05  7.1765E+03  1.6235E+04  2.4397E+08
289010.E-03  2.6035E+05  6.9413E+03  1.4353E+04  2.4236E+08
297510.E-03  2.8282E+05  6.8236E+03  1.6000E+04  2.4003E+08
306010.E-03  3.1459E+05  6.8236E+03  1.2941E+04  2.3629E+08
314510.E-03  3.3400E+05  7.2942E+03  1.4118E+04  2.3232E+08
323010.E-03  3.5753E+05  5.8824E+03  1.3294E+04  2.2723E+08
331510.E-03  3.7341E+05  5.6471E+03  1.1177E+04  2.2194E+08
340010.E-03  3.8670E+05  5.2942E+03  9.7648E+03  2.1455E+08
348510.E-03  3.9541E+05  5.4118E+03  1.0000E+04  2.0761E+08
357010.E-03  4.0129E+05  5.0589E+03  1.0588E+04  1.9992E+08
365510.E-03  4.1800E+05  5.1765E+03  1.0118E+04  1.9143E+08
374010.E-03  4.3012E+05  3.5294E+03  1.0353E+04  1.8205E+08
382510.E-03  4.3141E+05  3.5294E+03  8.1177E+03  1.7268E+08
391010.E-03  4.1588E+05  4.1177E+03  1.0706E+04  1.6283E+08
399510.E-03  4.0388E+05  3.4118E+03  7.6471E+03  1.5268E+08
408010.E-03  4.0906E+05  3.4118E+03  9.1766E+03  1.4248E+08
416510.E-03  3.9988E+05  3.2942E+03  7.6471E+03  1.3254E+08
425010.E-03  3.8941E+05  2.4706E+03  6.9413E+03  1.2292E+08
