DEPTH,Ga,Si,O,C
8.51E+00,0.00E+00,2.75E+07,3.02E+07,1.46E+05
1.70E+01,0.00E+00,3.40E+07,3.23E+07,1.29E+05
2.55E+01,0.00E+00,4.08E+07,3.97E+07,2.37E+05
3.40E+01,0.00E+00,4.59E+07,4.47E+07,5.54E+05
4.25E+01,0.00E+00,4.86E+07,4.67E+07,2.22E+06
5.10E+01,0.00E+00,4.10E+07,3.81E+07,2.31E+07
5.95E+01,0.00E+00,8.35E+06,1.28E+07,1.29E+08
6.80E+01,5.88E+02,6.41E+05,1.35E+06,1.45E+08
7.65E+01,2.35E+02,2.66E+05,5.83E+05,1.50E+08
8.50E+01,1.29E+03,1.59E+05,3.29E+05,1.55E+08
9.35E+01,1.29E+03,1.16E+05,2.29E+05,1.61E+08
1.02E+02,2.71E+03,8.32E+04,1.70E+05,1.66E+08
1.11E+02,3.76E+03,6.41E+04,1.30E+05,1.72E+08
1.19E+02,5.65E+03,5.20E+04,1.08E+05,1.77E+08
1.28E+02,8.82E+03,4.06E+04,8.94E+04,1.82E+08
1.36E+02,9.29E+03,3.47E+04,7.54E+04,1.87E+08
1.45E+02,1.33E+04,3.35E+04,5.80E+04,1.92E+08
1.53E+02,1.27E+04,2.80E+04,5.33E+04,1.97E+08
1.62E+02,1.86E+04,2.52E+04,5.07E+04,2.02E+08
1.70E+02,2.52E+04,2.29E+04,4.69E+04,2.07E+08
1.79E+02,3.06E+04,2.16E+04,3.88E+04,2.12E+08
1.87E+02,3.92E+04,1.56E+04,3.67E+04,2.16E+08
1.96E+02,4.79E+04,1.54E+04,3.21E+04,2.21E+08
2.04E+02,5.72E+04,1.44E+04,3.33E+04,2.26E+08
2.13E+02,7.28E+04,1.24E+04,2.88E+04,2.29E+08
2.21E+02,8.68E+04,1.26E+04,2.59E+04,2.34E+08
2.30E+02,1.02E+05,1.15E+04,2.48E+04,2.37E+08
2.38E+02,1.25E+05,1.24E+04,2.44E+04,2.39E+08
2.47E+02,1.30E+05,1.18E+04,2.08E+04,2.41E+08
2.55E+02,1.62E+05,1.02E+04,2.16E+04,2.42E+08
2.64E+02,1.89E+05,6.59E+03,1.82E+04,2.44E+08
2.72E+02,2.09E+05,8.94E+03,1.67E+04,2.44E+08
2.81E+02,2.37E+05,7.18E+03,1.62E+04,2.44E+08
2.89E+02,2.60E+05,6.94E+03,1.44E+04,2.42E+08
2.98E+02,2.83E+05,6.82E+03,1.60E+04,2.40E+08
3.06E+02,3.15E+05,6.82E+03,1.29E+04,2.36E+08
3.15E+02,3.34E+05,7.29E+03,1.41E+04,2.32E+08
3.23E+02,3.58E+05,5.88E+03,1.33E+04,2.27E+08
3.32E+02,3.73E+05,5.65E+03,1.12E+04,2.22E+08
3.40E+02,3.87E+05,5.29E+03,9.76E+03,2.15E+08
3.49E+02,3.95E+05,5.41E+03,1.00E+04,2.08E+08
3.57E+02,4.01E+05,5.06E+03,1.06E+04,2.00E+08
3.66E+02,4.18E+05,5.18E+03,1.01E+04,1.91E+08
3.74E+02,4.30E+05,3.53E+03,1.04E+04,1.82E+08
3.83E+02,4.31E+05,3.53E+03,8.12E+03,1.73E+08
3.91E+02,4.16E+05,4.12E+03,1.07E+04,1.63E+08
4.00E+02,4.04E+05,3.41E+03,7.65E+03,1.53E+08
4.08E+02,4.09E+05,3.41E+03,9.18E+03,1.42E+08
4.17E+02,4.00E+05,3.29E+03,7.65E+03,1.33E+08
4.25E+02,3.89E+05,2.47E+03,6.94E+03,1.23E+08
4.34E+02,3.72E+05,2.71E+03,7.65E+03,1.14E+08
4.42E+02,3.59E+05,3.41E+03,7.65E+03,1.04E+08
4.51E+02,3.26E+05,2.94E+03,8.00E+03,9.60E+07
4.59E+02,3.11E+05,2.35E+03,6.82E+03,8.75E+07
4.68E+02,2.90E+05,1.88E+03,5.18E+03,7.92E+07
4.76E+02,2.55E+05,9.41E+02,7.06E+03,7.13E+07
