DEPTH,Ga,Si,O,C
2.51E-01,2.53E+05,5.75E+07,6.54E+07,1.69E+00
6.01E-01,3.39E+05,1.92E+07,3.14E+07,2.31E+00
9.51E-01,4.69E+05,5.76E+06,1.05E+07,2.22E+00
1.30E+00,6.09E+05,2.81E+06,5.45E+06,2.15E+00
1.65E+00,7.75E+05,1.75E+06,3.43E+06,2.06E+00
2.00E+00,9.79E+05,1.21E+06,2.45E+06,1.97E+00
2.35E+00,1.17E+06,9.13E+05,1.82E+06,1.86E+00
2.70E+00,1.32E+06,6.87E+05,1.42E+06,1.73E+00
3.05E+00,1.42E+06,5.30E+05,1.14E+06,1.59E+00
3.40E+00,1.65E+06,4.48E+05,9.07E+05,1.44E+00
3.75E+00,1.72E+06,3.45E+05,7.89E+05,1.28E+00
4.10E+00,1.80E+06,2.84E+05,6.53E+05,1.12E+00
4.45E+00,1.87E+06,2.21E+05,5.45E+05,9.68E-01
4.80E+00,1.84E+06,1.81E+05,4.39E+05,8.20E-01
5.15E+00,1.82E+06,1.50E+05,3.74E+05,6.80E-01
5.50E+00,1.71E+06,1.22E+05,3.14E+05,5.56E-01
5.85E+00,1.55E+06,8.63E+04,2.61E+05,4.49E-01
6.20E+00,1.41E+06,7.26E+04,2.20E+05,3.54E-01
6.55E+00,1.16E+06,6.11E+04,1.82E+05,2.78E-01
6.90E+00,9.99E+05,4.83E+04,1.65E+05,2.15E-01
7.25E+00,8.13E+05,3.91E+04,1.22E+05,1.66E-01
7.60E+00,6.34E+05,3.46E+04,1.07E+05,1.26E-01
7.95E+00,4.73E+05,1.97E+04,9.66E+04,9.35E-02
8.30E+00,3.57E+05,2.03E+04,7.94E+04,7.25E-02
8.65E+00,2.61E+05,1.46E+04,6.11E+04,5.47E-02
9.00E+00,1.73E+05,1.09E+04,5.97E+04,4.11E-02
9.35E+00,1.21E+05,9.14E+03,4.63E+04,3.08E-02
9.70E+00,9.26E+04,8.00E+03,4.74E+04,2.40E-02
1.01E+01,5.46E+04,5.14E+03,3.43E+04,1.81E-02
1.04E+01,3.37E+04,4.00E+03,2.63E+04,1.37E-02
1.08E+01,1.91E+04,2.00E+03,1.91E+04,1.03E-02
1.11E+01,1.00E+04,1.71E+03,1.94E+04,7.86E-03
1.15E+01,6.57E+03,1.14E+03,1.60E+04,5.89E-03
1.18E+01,4.29E+03,1.71E+03,1.29E+04,4.49E-03
1.22E+01,2.00E+03,5.71E+02,1.00E+04,3.34E-03
1.25E+01,8.57E+02,8.57E+02,6.29E+03,2.45E-03
1.29E+01,8.57E+02,2.86E+02,7.14E+03,1.89E-03
1.32E+01,2.86E+02,5.71E+02,4.86E+03,1.44E-03
1.36E+01,2.86E+02,5.71E+02,4.29E+03,1.14E-03
1.39E+01,0.00E+00,2.86E+02,2.00E+03,7.54E-04
1.43E+01,0.00E+00,0.00E+00,8.57E+02,6.69E-04
1.46E+01,0.00E+00,0.00E+00,2.29E+03,5.09E-04
1.50E+01,0.00E+00,0.00E+00,1.14E+03,3.14E-04
1.53E+01,0.00E+00,0.00E+00,2.86E+02,2.37E-04
1.57E+01,0.00E+00,0.00E+00,1.43E+03,1.31E-04
1.60E+01,0.00E+00,0.00E+00,1.14E+03,9.71E-05
1.64E+01,0.00E+00,0.00E+00,0.00E+00,6.57E-05
1.67E+01,0.00E+00,0.00E+00,0.00E+00,3.71E-05
1.71E+01,0.00E+00,0.00E+00,0.00E+00,3.43E-05
1.74E+01,0.00E+00,0.00E+00,0.00E+00,1.14E-05
1.78E+01,0.00E+00,0.00E+00,0.00E+00,1.14E-05
1.81E+01,0.00E+00,0.00E+00,0.00E+00,1.43E-05
1.85E+01,0.00E+00,0.00E+00,0.00E+00,2.86E-06
1.88E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.92E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
