DEPTH,Si,C,Ga
1.01E-01,4.10E+07,1.62E-01,0.00E+00
9.51E-01,8.35E+06,1.42E+00,0.00E+00
1.80E+00,6.41E+05,1.39E+00,5.88E+02
2.65E+00,2.66E+05,1.42E+00,2.35E+02
3.50E+00,1.59E+05,1.48E+00,1.29E+03
4.35E+00,1.16E+05,1.53E+00,1.29E+03
5.20E+00,8.32E+04,1.58E+00,2.71E+03
6.05E+00,6.41E+04,1.63E+00,3.76E+03
6.90E+00,5.20E+04,1.68E+00,5.65E+03
7.75E+00,4.06E+04,1.72E+00,8.82E+03
8.60E+00,3.47E+04,1.77E+00,9.29E+03
9.45E+00,3.35E+04,1.81E+00,1.33E+04
1.03E+01,2.80E+04,1.86E+00,1.27E+04
1.12E+01,2.52E+04,1.91E+00,1.86E+04
1.20E+01,2.29E+04,1.96E+00,2.52E+04
1.29E+01,2.16E+04,2.00E+00,3.06E+04
1.37E+01,1.56E+04,2.05E+00,3.92E+04
1.46E+01,1.54E+04,2.09E+00,4.79E+04
1.54E+01,1.44E+04,2.13E+00,5.72E+04
1.63E+01,1.24E+04,2.17E+00,7.28E+04
1.71E+01,1.26E+04,2.21E+00,8.68E+04
1.80E+01,1.15E+04,2.24E+00,1.02E+05
1.88E+01,1.24E+04,2.26E+00,1.25E+05
1.97E+01,1.18E+04,2.27E+00,1.30E+05
2.05E+01,1.02E+04,2.28E+00,1.62E+05
2.14E+01,6.59E+03,2.30E+00,1.89E+05
2.22E+01,8.94E+03,2.30E+00,2.09E+05
2.31E+01,7.18E+03,2.29E+00,2.37E+05
2.39E+01,6.94E+03,2.28E+00,2.60E+05
2.48E+01,6.82E+03,2.25E+00,2.83E+05
2.56E+01,6.82E+03,2.22E+00,3.15E+05
2.65E+01,7.29E+03,2.17E+00,3.34E+05
2.73E+01,5.88E+03,2.13E+00,3.58E+05
2.82E+01,5.65E+03,2.07E+00,3.73E+05
2.90E+01,5.29E+03,2.00E+00,3.87E+05
2.99E+01,5.41E+03,1.93E+00,3.95E+05
3.07E+01,5.06E+03,1.86E+00,4.01E+05
3.16E+01,5.18E+03,1.77E+00,4.18E+05
3.24E+01,3.53E+03,1.69E+00,4.30E+05
3.33E+01,3.53E+03,1.59E+00,4.31E+05
3.41E+01,4.12E+03,1.50E+00,4.16E+05
3.50E+01,3.41E+03,1.40E+00,4.04E+05
3.58E+01,3.41E+03,1.31E+00,4.09E+05
3.67E+01,3.29E+03,1.22E+00,4.00E+05
3.75E+01,2.47E+03,1.13E+00,3.89E+05
3.84E+01,2.71E+03,1.04E+00,3.72E+05
3.92E+01,3.41E+03,9.57E-01,3.59E+05
4.01E+01,2.94E+03,8.80E-01,3.26E+05
4.09E+01,2.35E+03,7.98E-01,3.11E+05
4.18E+01,1.88E+03,7.21E-01,2.90E+05
4.26E+01,9.41E+02,6.48E-01,2.55E+05
4.35E+01,3.06E+03,5.82E-01,2.43E+05
4.43E+01,1.18E+03,5.22E-01,2.18E+05
4.52E+01,1.88E+03,4.66E-01,1.94E+05
4.60E+01,2.12E+03,4.13E-01,1.78E+05
4.69E+01,9.41E+02,3.68E-01,1.53E+05
4.77E+01,1.53E+03,3.27E-01,1.33E+05
4.86E+01,1.53E+03,2.88E-01,1.24E+05
4.94E+01,1.18E+03,2.51E-01,1.07E+05
5.03E+01,1.06E+03,2.22E-01,8.82E+04
5.11E+01,9.41E+02,1.94E-01,7.65E+04
5.20E+01,5.88E+02,1.68E-01,6.47E+04
5.28E+01,1.29E+03,1.47E-01,5.29E+04
5.37E+01,3.53E+02,1.31E-01,4.46E+04
5.45E+01,1.18E+03,1.15E-01,3.20E+04
5.54E+01,9.41E+02,9.98E-02,3.07E+04
5.62E+01,3.53E+02,8.73E-02,2.46E+04
5.71E+01,4.71E+02,7.66E-02,2.04E+04
5.79E+01,4.71E+02,6.70E-02,1.64E+04
5.88E+01,8.24E+02,5.80E-02,1.25E+04
5.96E+01,4.71E+02,5.21E-02,1.04E+04
6.05E+01,2.35E+02,4.42E-02,7.18E+03
6.13E+01,4.71E+02,3.95E-02,7.18E+03
6.22E+01,1.18E+02,3.45E-02,5.88E+03
6.30E+01,5.88E+02,3.08E-02,2.94E+03
6.39E+01,2.35E+02,2.70E-02,1.88E+03
6.47E+01,0.00E+00,2.38E-02,2.47E+03
6.56E+01,3.53E+02,2.07E-02,9.41E+02
6.64E+01,0.00E+00,1.84E-02,1.06E+03
6.73E+01,1.18E+02,1.63E-02,3.53E+02
6.81E+01,1.18E+02,1.48E-02,5.88E+02
6.90E+01,1.18E+02,1.29E-02,2.35E+02
6.98E+01,1.18E+02,1.13E-02,2.35E+02
7.07E+01,1.18E+02,1.00E-02,0.00E+00
7.15E+01,0.00E+00,8.77E-03,2.35E+02
7.24E+01,0.00E+00,7.54E-03,3.53E+02
7.32E+01,1.18E+02,6.51E-03,0.00E+00
7.41E+01,0.00E+00,5.41E-03,0.00E+00
7.49E+01,0.00E+00,4.71E-03,0.00E+00
7.58E+01,0.00E+00,3.93E-03,0.00E+00
7.66E+01,1.18E+02,3.66E-03,0.00E+00
7.75E+01,1.18E+02,3.19E-03,0.00E+00
7.83E+01,0.00E+00,2.63E-03,0.00E+00
7.92E+01,0.00E+00,2.11E-03,0.00E+00
8.00E+01,1.18E+02,1.91E-03,0.00E+00
