====== Ga (30) into Diamond                     =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Si   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer  1 : Diamond
Layer Width = 40000.E-02 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       
   DEPTH        from       Absorbed     
   (Ang.)       IONS       by   C       
----------   ------------  -----------  
401000.E-05  8892.11E-02  8930.96E-02  
801000.E-05  9004.61E-02  9053.39E-02  
120100.E-04  8990.50E-02  9042.14E-02  
160100.E-04  9115.75E-02  9170.31E-02  
200100.E-04  9018.63E-02  9075.70E-02  
240100.E-04  9090.72E-02  9150.20E-02  
280100.E-04  9021.91E-02  9083.81E-02  
320100.E-04  8961.51E-02  9025.85E-02  
360100.E-04  8845.32E-02  8911.68E-02  
400100.E-04  8711.82E-02  8780.57E-02  
440100.E-04  8503.90E-02  8574.18E-02  
480100.E-04  8265.52E-02  8337.25E-02  
520100.E-04  7974.13E-02  8046.79E-02  
560100.E-04  7678.55E-02  7751.46E-02  
600100.E-04  7265.57E-02  7338.09E-02  
640100.E-04  6913.56E-02  6985.24E-02  
680100.E-04  6512.50E-02  6582.74E-02  
720100.E-04  6035.21E-02  6103.21E-02  
760100.E-04  5538.63E-02  5603.97E-02  
800100.E-04  5108.44E-02  5170.54E-02  
840100.E-04  4549.34E-02  4607.37E-02  
880100.E-04  4107.10E-02  4160.86E-02  
920100.E-04  3652.43E-02  3702.01E-02  
960100.E-04  3144.56E-02  3189.89E-02  
100010.E-03  2736.53E-02  2777.42E-02  
104010.E-03  2312.92E-02  2348.99E-02  
108010.E-03  1954.54E-02  1985.92E-02  
112010.E-03  1662.52E-02  1689.85E-02  
116010.E-03  1366.84E-02  1390.12E-02  
120010.E-03  1087.35E-02  1106.85E-02  
124010.E-03  8841.82E-03  9004.59E-03  
128010.E-03  6981.73E-03  7115.57E-03  
132010.E-03  5576.45E-03  5682.04E-03  
136010.E-03  4327.91E-03  4414.37E-03  
140010.E-03  3225.21E-03  3292.80E-03  
144010.E-03  2453.09E-03  2506.79E-03  
148010.E-03  1792.80E-03  1832.56E-03  
152010.E-03  1364.14E-03  1394.87E-03  
156010.E-03  9574.30E-04  9795.56E-04  
160010.E-03  6988.38E-04  7155.11E-04  
164010.E-03  5116.20E-04  5240.56E-04  
168010.E-03  3705.82E-04  3795.75E-04  
172010.E-03  2233.63E-04  2292.88E-04  
176010.E-03  1420.56E-04  1458.96E-04  
180010.E-03  9211.36E-05  9473.11E-05  
184010.E-03  5871.10E-05  6040.60E-05  
188010.E-03  4177.23E-05  4301.73E-05  
192010.E-03  2420.49E-05  2498.49E-05  
196010.E-03  1713.67E-05  1766.17E-05  
200010.E-03  9196.82E-06  9556.82E-06  
204010.E-03  5802.01E-06  6027.02E-06  
208010.E-03  2524.18E-06  2644.18E-06  
212010.E-03  6090.66E-07  6540.66E-07  
216010.E-03  6082.50E-07  6307.50E-07  
220010.E-03  2370.70E-07  2445.70E-07  
224010.E-03  0000.00E+00  0000.00E+00  
228010.E-03  0000.00E+00  0000.00E+00  
232010.E-03  0000.00E+00  0000.00E+00  
236010.E-03  0000.00E+00  0000.00E+00  
240010.E-03  0000.00E+00  0000.00E+00  
244010.E-03  0000.00E+00  0000.00E+00  
248010.E-03  0000.00E+00  0000.00E+00  
252010.E-03  0000.00E+00  0000.00E+00  
256010.E-03  0000.00E+00  0000.00E+00  
260010.E-03  0000.00E+00  0000.00E+00  
264010.E-03  0000.00E+00  0000.00E+00  
268010.E-03  0000.00E+00  0000.00E+00  
272010.E-03  0000.00E+00  0000.00E+00  
276010.E-03  0000.00E+00  0000.00E+00  
280010.E-03  0000.00E+00  0000.00E+00  
284010.E-03  0000.00E+00  0000.00E+00  
288010.E-03  0000.00E+00  0000.00E+00  
292010.E-03  0000.00E+00  0000.00E+00  
296010.E-03  0000.00E+00  0000.00E+00  
300010.E-03  0000.00E+00  0000.00E+00  
304010.E-03  0000.00E+00  0000.00E+00  
308010.E-03  0000.00E+00  0000.00E+00  
312010.E-03  0000.00E+00  0000.00E+00  
316010.E-03  0000.00E+00  0000.00E+00  
320010.E-03  0000.00E+00  0000.00E+00  
324010.E-03  0000.00E+00  0000.00E+00  
328010.E-03  0000.00E+00  0000.00E+00  
332010.E-03  0000.00E+00  0000.00E+00  
336010.E-03  0000.00E+00  0000.00E+00  
340010.E-03  0000.00E+00  0000.00E+00  
344010.E-03  0000.00E+00  0000.00E+00  
348010.E-03  0000.00E+00  0000.00E+00  
352010.E-03  0000.00E+00  0000.00E+00  
356010.E-03  0000.00E+00  0000.00E+00  
360010.E-03  0000.00E+00  0000.00E+00  
364010.E-03  0000.00E+00  0000.00E+00  
368010.E-03  0000.00E+00  0000.00E+00  
372010.E-03  0000.00E+00  0000.00E+00  
376010.E-03  0000.00E+00  0000.00E+00  
380010.E-03  0000.00E+00  0000.00E+00  
384010.E-03  0000.00E+00  0000.00E+00  
388010.E-03  0000.00E+00  0000.00E+00  
392010.E-03  0000.00E+00  0000.00E+00  
396010.E-03  0000.00E+00  0000.00E+00  
400010.E-03  0000.00E+00  0000.00E+00  
