====== Ga (30) into Diamond                     =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Si   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer 1 : Diamond
Layer Width = 40000.E-02 A ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =099999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
401000.E-05  3076.23E-02  8539.02E-03
801000.E-05  3021.83E-02  1641.33E-02
120100.E-04  2937.08E-02  1860.41E-02
160100.E-04  2873.85E-02  1954.18E-02
200100.E-04  2805.20E-02  2134.00E-02
240100.E-04  2732.11E-02  2360.42E-02
280100.E-04  2643.99E-02  2570.73E-02
320100.E-04  2564.63E-02  2736.39E-02
360100.E-04  2464.91E-02  2881.01E-02
400100.E-04  2369.35E-02  3011.70E-02
440100.E-04  2249.03E-02  3107.94E-02
480100.E-04  2136.32E-02  3184.62E-02
520100.E-04  2020.24E-02  3218.56E-02
560100.E-04  1892.16E-02  3236.55E-02
600100.E-04  1765.89E-02  3206.40E-02
640100.E-04  1636.56E-02  3165.58E-02
680100.E-04  1493.77E-02  3102.34E-02
720100.E-04  1368.32E-02  2998.48E-02
760100.E-04  1232.97E-02  2882.53E-02
800100.E-04  1105.16E-02  2748.75E-02
840100.E-04  9828.42E-03  2589.39E-02
880100.E-04  8632.09E-03  2421.43E-02
920100.E-04  7550.60E-03  2241.66E-02
960100.E-04  6504.76E-03  2066.39E-02
100010.E-03  5526.43E-03  1882.18E-02
104010.E-03  4677.30E-03  1688.43E-02
108010.E-03  3874.42E-03  1504.51E-02
112010.E-03  3218.61E-03  1326.67E-02
116010.E-03  2623.52E-03  1163.30E-02
120010.E-03  2129.54E-03  1014.03E-02
124010.E-03  1710.51E-03  8710.05E-03
128010.E-03  1333.45E-03  7359.36E-03
132010.E-03  1053.37E-03  6230.73E-03
136010.E-03  8071.14E-04  5220.11E-03
140010.E-03  6202.34E-04  4341.55E-03
144010.E-03  4711.41E-04  3598.02E-03
148010.E-03  3429.97E-04  2949.22E-03
152010.E-03  2518.53E-04  2393.09E-03
156010.E-03  1810.44E-04  1948.13E-03
160010.E-03  1315.91E-04  1579.85E-03
164010.E-03  9284.44E-05  1265.46E-03
168010.E-03  6435.59E-05  1026.47E-03
172010.E-03  4270.59E-05  8151.90E-04
176010.E-03  2749.27E-05  6403.14E-04
180010.E-03  1806.47E-05  5173.43E-04
184010.E-03  1213.53E-05  4238.77E-04
188010.E-03  7036.54E-06  3456.69E-04
192010.E-03  4238.49E-06  2748.31E-04
196010.E-03  2618.49E-06  2136.61E-04
200010.E-03  1796.78E-06  1689.61E-04
204010.E-03  7797.56E-07  1386.08E-04
208010.E-03  4346.08E-07  1154.25E-04
212010.E-03  3361.91E-07  8140.54E-05
216010.E-03  1643.53E-07  6523.02E-05
220010.E-03  8405.45E-08  5057.48E-05
224010.E-03  2902.54E-09  3772.32E-05
228010.E-03  0000.00E+00  3098.06E-05
232010.E-03  0000.00E+00  2288.43E-05
236010.E-03  0000.00E+00  1890.50E-05
240010.E-03  0000.00E+00  1301.91E-05
244010.E-03  0000.00E+00  9288.04E-06
248010.E-03  0000.00E+00  9361.40E-06
252010.E-03  0000.00E+00  6726.70E-06
256010.E-03  0000.00E+00  3722.73E-06
260010.E-03  0000.00E+00  2174.98E-06
264010.E-03  0000.00E+00  1637.97E-06
268010.E-03  0000.00E+00  1620.87E-06
272010.E-03  0000.00E+00  1182.00E-06
276010.E-03  0000.00E+00  3815.26E-07
280010.E-03  0000.00E+00  1249.38E-07
284010.E-03  0000.00E+00  3345.04E-08
288010.E-03  0000.00E+00  4451.45E-09
292010.E-03  0000.00E+00  0000.00E+00
296010.E-03  0000.00E+00  0000.00E+00
300010.E-03  0000.00E+00  0000.00E+00
304010.E-03  0000.00E+00  0000.00E+00
308010.E-03  0000.00E+00  0000.00E+00
312010.E-03  0000.00E+00  0000.00E+00
316010.E-03  0000.00E+00  0000.00E+00
320010.E-03  0000.00E+00  0000.00E+00
324010.E-03  0000.00E+00  0000.00E+00
328010.E-03  0000.00E+00  0000.00E+00
332010.E-03  0000.00E+00  0000.00E+00
336010.E-03  0000.00E+00  0000.00E+00
340010.E-03  0000.00E+00  0000.00E+00
344010.E-03  0000.00E+00  0000.00E+00
348010.E-03  0000.00E+00  0000.00E+00
352010.E-03  0000.00E+00  0000.00E+00
356010.E-03  0000.00E+00  0000.00E+00
360010.E-03  0000.00E+00  0000.00E+00
364010.E-03  0000.00E+00  0000.00E+00
368010.E-03  0000.00E+00  0000.00E+00
372010.E-03  0000.00E+00  0000.00E+00
376010.E-03  0000.00E+00  0000.00E+00
380010.E-03  0000.00E+00  0000.00E+00
384010.E-03  0000.00E+00  0000.00E+00
388010.E-03  0000.00E+00  0000.00E+00
392010.E-03  0000.00E+00  0000.00E+00
396010.E-03  0000.00E+00  0000.00E+00
400010.E-03  0000.00E+00  0000.00E+00
