====== Si (30) into diamond                     =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Si   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer  1 : diamond
Layer Width = 10000.E-01 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
100100.E-04  7429.93E-01  7460.56E-01
200100.E-04  2746.33E-01  2760.18E-01
300100.E-04  1624.94E-01  1634.36E-01
400100.E-04  1059.62E-01  1066.41E-01
500100.E-04  7106.50E-02  7156.82E-02
600100.E-04  4882.82E-02  4920.19E-02
700100.E-04  3369.28E-02  3396.68E-02
800100.E-04  2290.72E-02  2311.16E-02
900100.E-04  1577.88E-02  1592.78E-02
100010.E-03  1096.05E-02  1106.95E-02
110010.E-03  7245.83E-03  7321.44E-03
120010.E-03  4782.45E-03  4835.99E-03
130010.E-03  3116.71E-03  3153.33E-03
140010.E-03  1983.72E-03  2008.42E-03
150010.E-03  1162.05E-03  1177.23E-03
160010.E-03  7336.80E-04  7433.28E-04
170010.E-03  3964.92E-04  4022.58E-04
180010.E-03  2319.95E-04  2354.30E-04
190010.E-03  1597.17E-04  1619.19E-04
200010.E-03  8297.32E-05  8424.82E-05
210010.E-03  4007.33E-05  4070.33E-05
220010.E-03  1656.55E-05  1692.55E-05
230010.E-03  1145.12E-05  1160.12E-05
240010.E-03  8915.17E-06  9011.17E-06
250010.E-03  1177.28E-06  1207.28E-06
260010.E-03  1395.66E-06  1413.66E-06
270010.E-03  4633.18E-07  4723.18E-07
280010.E-03  8490.99E-08  8790.99E-08
290010.E-03  0000.00E+00  0000.00E+00
300010.E-03  0000.00E+00  0000.00E+00
310010.E-03  0000.00E+00  0000.00E+00
320010.E-03  0000.00E+00  0000.00E+00
330010.E-03  0000.00E+00  0000.00E+00
340010.E-03  0000.00E+00  0000.00E+00
350010.E-03  0000.00E+00  0000.00E+00
360010.E-03  0000.00E+00  0000.00E+00
370010.E-03  0000.00E+00  0000.00E+00
380010.E-03  0000.00E+00  0000.00E+00
390010.E-03  0000.00E+00  0000.00E+00
400010.E-03  0000.00E+00  0000.00E+00
410010.E-03  0000.00E+00  0000.00E+00
420010.E-03  0000.00E+00  0000.00E+00
430010.E-03  0000.00E+00  0000.00E+00
440010.E-03  0000.00E+00  0000.00E+00
450010.E-03  0000.00E+00  0000.00E+00
460010.E-03  0000.00E+00  0000.00E+00
470010.E-03  0000.00E+00  0000.00E+00
480010.E-03  0000.00E+00  0000.00E+00
490010.E-03  0000.00E+00  0000.00E+00
500010.E-03  0000.00E+00  0000.00E+00
510010.E-03  0000.00E+00  0000.00E+00
520010.E-03  0000.00E+00  0000.00E+00
530010.E-03  0000.00E+00  0000.00E+00
540010.E-03  0000.00E+00  0000.00E+00
550010.E-03  0000.00E+00  0000.00E+00
560010.E-03  0000.00E+00  0000.00E+00
570010.E-03  0000.00E+00  0000.00E+00
580010.E-03  0000.00E+00  0000.00E+00
590010.E-03  0000.00E+00  0000.00E+00
600010.E-03  0000.00E+00  0000.00E+00
610010.E-03  0000.00E+00  0000.00E+00
620010.E-03  0000.00E+00  0000.00E+00
630010.E-03  0000.00E+00  0000.00E+00
640010.E-03  0000.00E+00  0000.00E+00
650010.E-03  0000.00E+00  0000.00E+00
660010.E-03  0000.00E+00  0000.00E+00
670010.E-03  0000.00E+00  0000.00E+00
680010.E-03  0000.00E+00  0000.00E+00
690010.E-03  0000.00E+00  0000.00E+00
700010.E-03  0000.00E+00  0000.00E+00
710010.E-03  0000.00E+00  0000.00E+00
720010.E-03  0000.00E+00  0000.00E+00
730010.E-03  0000.00E+00  0000.00E+00
740010.E-03  0000.00E+00  0000.00E+00
750010.E-03  0000.00E+00  0000.00E+00
760010.E-03  0000.00E+00  0000.00E+00
770010.E-03  0000.00E+00  0000.00E+00
780010.E-03  0000.00E+00  0000.00E+00
790010.E-03  0000.00E+00  0000.00E+00
800010.E-03  0000.00E+00  0000.00E+00
810010.E-03  0000.00E+00  0000.00E+00
820010.E-03  0000.00E+00  0000.00E+00
830010.E-03  0000.00E+00  0000.00E+00
840010.E-03  0000.00E+00  0000.00E+00
850010.E-03  0000.00E+00  0000.00E+00
860010.E-03  0000.00E+00  0000.00E+00
870010.E-03  0000.00E+00  0000.00E+00
880010.E-03  0000.00E+00  0000.00E+00
890010.E-03  0000.00E+00  0000.00E+00
900010.E-03  0000.00E+00  0000.00E+00
910010.E-03  0000.00E+00  0000.00E+00
920010.E-03  0000.00E+00  0000.00E+00
930010.E-03  0000.00E+00  0000.00E+00
940010.E-03  0000.00E+00  0000.00E+00
950010.E-03  0000.00E+00  0000.00E+00
960010.E-03  0000.00E+00  0000.00E+00
970010.E-03  0000.00E+00  0000.00E+00
980010.E-03  0000.00E+00  0000.00E+00
990010.E-03  0000.00E+00  0000.00E+00
100001.E-02  0000.00E+00  0000.00E+00
