====== Si (30) into diamond                     =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Si   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer 1 : diamond
Layer Width = 10000.E-01 A ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =099999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
100100.E-04  4147.35E-01  2507.38E-01
200100.E-04  1208.32E-01  8805.31E-02
300100.E-04  6239.36E-02  4983.63E-02
400100.E-04  3672.10E-02  3169.21E-02
500100.E-04  2275.31E-02  2078.21E-02
600100.E-04  1460.60E-02  1393.84E-02
700100.E-04  9462.78E-03  9466.36E-03
800100.E-04  6264.37E-03  6321.19E-03
900100.E-04  4100.59E-03  4313.22E-03
100010.E-03  2692.51E-03  2977.74E-03
110010.E-03  1717.18E-03  1923.68E-03
120010.E-03  1105.80E-03  1264.24E-03
130010.E-03  6881.59E-04  8211.23E-04
140010.E-03  4300.99E-04  5192.04E-04
150010.E-03  2533.83E-04  2957.24E-04
160010.E-03  1508.08E-04  1846.68E-04
170010.E-03  8647.48E-05  1042.56E-04
180010.E-03  5196.35E-05  5648.82E-05
190010.E-03  2919.13E-05  4105.47E-05
200010.E-03  1559.52E-05  2152.21E-05
210010.E-03  7173.77E-06  1015.20E-05
220010.E-03  4478.88E-06  3966.41E-06
230010.E-03  2021.66E-06  2390.02E-06
240010.E-03  1081.03E-06  2908.61E-06
250010.E-03  5172.47E-07  2669.44E-07
260010.E-03  2557.79E-07  3572.34E-07
270010.E-03  1067.72E-07  1090.61E-07
280010.E-03  2144.06E-08  3935.83E-08
290010.E-03  0000.00E+00  0000.00E+00
300010.E-03  0000.00E+00  0000.00E+00
310010.E-03  0000.00E+00  0000.00E+00
320010.E-03  0000.00E+00  0000.00E+00
330010.E-03  0000.00E+00  0000.00E+00
340010.E-03  0000.00E+00  0000.00E+00
350010.E-03  0000.00E+00  0000.00E+00
360010.E-03  0000.00E+00  0000.00E+00
370010.E-03  0000.00E+00  0000.00E+00
380010.E-03  0000.00E+00  0000.00E+00
390010.E-03  0000.00E+00  0000.00E+00
400010.E-03  0000.00E+00  0000.00E+00
410010.E-03  0000.00E+00  0000.00E+00
420010.E-03  0000.00E+00  0000.00E+00
430010.E-03  0000.00E+00  0000.00E+00
440010.E-03  0000.00E+00  0000.00E+00
450010.E-03  0000.00E+00  0000.00E+00
460010.E-03  0000.00E+00  0000.00E+00
470010.E-03  0000.00E+00  0000.00E+00
480010.E-03  0000.00E+00  0000.00E+00
490010.E-03  0000.00E+00  0000.00E+00
500010.E-03  0000.00E+00  0000.00E+00
510010.E-03  0000.00E+00  0000.00E+00
520010.E-03  0000.00E+00  0000.00E+00
530010.E-03  0000.00E+00  0000.00E+00
540010.E-03  0000.00E+00  0000.00E+00
550010.E-03  0000.00E+00  0000.00E+00
560010.E-03  0000.00E+00  0000.00E+00
570010.E-03  0000.00E+00  0000.00E+00
580010.E-03  0000.00E+00  0000.00E+00
590010.E-03  0000.00E+00  0000.00E+00
600010.E-03  0000.00E+00  0000.00E+00
610010.E-03  0000.00E+00  0000.00E+00
620010.E-03  0000.00E+00  0000.00E+00
630010.E-03  0000.00E+00  0000.00E+00
640010.E-03  0000.00E+00  0000.00E+00
650010.E-03  0000.00E+00  0000.00E+00
660010.E-03  0000.00E+00  0000.00E+00
670010.E-03  0000.00E+00  0000.00E+00
680010.E-03  0000.00E+00  0000.00E+00
690010.E-03  0000.00E+00  0000.00E+00
700010.E-03  0000.00E+00  0000.00E+00
710010.E-03  0000.00E+00  0000.00E+00
720010.E-03  0000.00E+00  0000.00E+00
730010.E-03  0000.00E+00  0000.00E+00
740010.E-03  0000.00E+00  0000.00E+00
750010.E-03  0000.00E+00  0000.00E+00
760010.E-03  0000.00E+00  0000.00E+00
770010.E-03  0000.00E+00  0000.00E+00
780010.E-03  0000.00E+00  0000.00E+00
790010.E-03  0000.00E+00  0000.00E+00
800010.E-03  0000.00E+00  0000.00E+00
810010.E-03  0000.00E+00  0000.00E+00
820010.E-03  0000.00E+00  0000.00E+00
830010.E-03  0000.00E+00  0000.00E+00
840010.E-03  0000.00E+00  0000.00E+00
850010.E-03  0000.00E+00  0000.00E+00
860010.E-03  0000.00E+00  0000.00E+00
870010.E-03  0000.00E+00  0000.00E+00
880010.E-03  0000.00E+00  0000.00E+00
890010.E-03  0000.00E+00  0000.00E+00
900010.E-03  0000.00E+00  0000.00E+00
910010.E-03  0000.00E+00  0000.00E+00
920010.E-03  0000.00E+00  0000.00E+00
930010.E-03  0000.00E+00  0000.00E+00
940010.E-03  0000.00E+00  0000.00E+00
950010.E-03  0000.00E+00  0000.00E+00
960010.E-03  0000.00E+00  0000.00E+00
970010.E-03  0000.00E+00  0000.00E+00
980010.E-03  0000.00E+00  0000.00E+00
990010.E-03  0000.00E+00  0000.00E+00
100001.E-02  0000.00E+00  0000.00E+00
