====== Si (30) into diamond                     =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Si   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer  1 : diamond
Layer Width =     1.E+03 A ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
 Total Target Vacancies     = 151 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
100100.E-04  1030.86E-03  6070.11E-03  
200100.E-04  4628.66E-04  2310.25E-03  
300100.E-04  3132.54E-04  1367.08E-03  
400100.E-04  2256.73E-04  8913.31E-04  
500100.E-04  1674.49E-04  5961.96E-04  
600100.E-04  1244.67E-04  4073.61E-04  
700100.E-04  9135.73E-05  2787.28E-04  
800100.E-04  6815.97E-05  1881.43E-04  
900100.E-04  4968.75E-05  1277.50E-04  
100010.E-03  3632.03E-05  8913.27E-05  
110010.E-03  2520.43E-05  5734.48E-05  
120010.E-03  1784.33E-05  3775.78E-05  
130010.E-03  1220.46E-05  2433.14E-05  
140010.E-03  8230.54E-06  1547.06E-05  
150010.E-03  5061.27E-06  8736.65E-06  
160010.E-03  3216.14E-06  5432.58E-06  
170010.E-03  1922.04E-06  3020.96E-06  
180010.E-03  1145.00E-06  1623.68E-06  
190010.E-03  7340.02E-07  1204.51E-06  
200010.E-03  4250.03E-07  6251.44E-07  
210010.E-03  2100.03E-07  2953.51E-07  
220010.E-03  1200.01E-07  9827.80E-08  
230010.E-03  5000.05E-08  6696.05E-08  
240010.E-03  3200.03E-08  8763.27E-08  
250010.E-03  1000.01E-08  5421.36E-09  
260010.E-03  6000.06E-09  1053.46E-08  
270010.E-03  3000.03E-09  2481.11E-09  
280010.E-03  1000.01E-09  3411.18E-11  
290010.E-03  0000.00E+00  0000.00E+00  
300010.E-03  0000.00E+00  0000.00E+00  
310010.E-03  0000.00E+00  0000.00E+00  
320010.E-03  0000.00E+00  0000.00E+00  
330010.E-03  0000.00E+00  0000.00E+00  
340010.E-03  0000.00E+00  0000.00E+00  
350010.E-03  0000.00E+00  0000.00E+00  
360010.E-03  0000.00E+00  0000.00E+00  
370010.E-03  0000.00E+00  0000.00E+00  
380010.E-03  0000.00E+00  0000.00E+00  
390010.E-03  0000.00E+00  0000.00E+00  
400010.E-03  0000.00E+00  0000.00E+00  
410010.E-03  0000.00E+00  0000.00E+00  
420010.E-03  0000.00E+00  0000.00E+00  
430010.E-03  0000.00E+00  0000.00E+00  
440010.E-03  0000.00E+00  0000.00E+00  
450010.E-03  0000.00E+00  0000.00E+00  
460010.E-03  0000.00E+00  0000.00E+00  
470010.E-03  0000.00E+00  0000.00E+00  
480010.E-03  0000.00E+00  0000.00E+00  
490010.E-03  0000.00E+00  0000.00E+00  
500010.E-03  0000.00E+00  0000.00E+00  
510010.E-03  0000.00E+00  0000.00E+00  
520010.E-03  0000.00E+00  0000.00E+00  
530010.E-03  0000.00E+00  0000.00E+00  
540010.E-03  0000.00E+00  0000.00E+00  
550010.E-03  0000.00E+00  0000.00E+00  
560010.E-03  0000.00E+00  0000.00E+00  
570010.E-03  0000.00E+00  0000.00E+00  
580010.E-03  0000.00E+00  0000.00E+00  
590010.E-03  0000.00E+00  0000.00E+00  
600010.E-03  0000.00E+00  0000.00E+00  
610010.E-03  0000.00E+00  0000.00E+00  
620010.E-03  0000.00E+00  0000.00E+00  
630010.E-03  0000.00E+00  0000.00E+00  
640010.E-03  0000.00E+00  0000.00E+00  
650010.E-03  0000.00E+00  0000.00E+00  
660010.E-03  0000.00E+00  0000.00E+00  
670010.E-03  0000.00E+00  0000.00E+00  
680010.E-03  0000.00E+00  0000.00E+00  
690010.E-03  0000.00E+00  0000.00E+00  
700010.E-03  0000.00E+00  0000.00E+00  
710010.E-03  0000.00E+00  0000.00E+00  
720010.E-03  0000.00E+00  0000.00E+00  
730010.E-03  0000.00E+00  0000.00E+00  
740010.E-03  0000.00E+00  0000.00E+00  
750010.E-03  0000.00E+00  0000.00E+00  
760010.E-03  0000.00E+00  0000.00E+00  
770010.E-03  0000.00E+00  0000.00E+00  
780010.E-03  0000.00E+00  0000.00E+00  
790010.E-03  0000.00E+00  0000.00E+00  
800010.E-03  0000.00E+00  0000.00E+00  
810010.E-03  0000.00E+00  0000.00E+00  
820010.E-03  0000.00E+00  0000.00E+00  
830010.E-03  0000.00E+00  0000.00E+00  
840010.E-03  0000.00E+00  0000.00E+00  
850010.E-03  0000.00E+00  0000.00E+00  
860010.E-03  0000.00E+00  0000.00E+00  
870010.E-03  0000.00E+00  0000.00E+00  
880010.E-03  0000.00E+00  0000.00E+00  
890010.E-03  0000.00E+00  0000.00E+00  
900010.E-03  0000.00E+00  0000.00E+00  
910010.E-03  0000.00E+00  0000.00E+00  
920010.E-03  0000.00E+00  0000.00E+00  
930010.E-03  0000.00E+00  0000.00E+00  
940010.E-03  0000.00E+00  0000.00E+00  
950010.E-03  0000.00E+00  0000.00E+00  
960010.E-03  0000.00E+00  0000.00E+00  
970010.E-03  0000.00E+00  0000.00E+00  
980010.E-03  0000.00E+00  0000.00E+00  
990010.E-03  0000.00E+00  0000.00E+00  
100001.E-02  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
