====== Si (10) into Layer 1                     =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Si   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 80000.E-02 AAA ;
  Layer # 1- Density = 17.54E22 atoms/cm3 = 3.5 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
801000.E-05  7933.21E-02  7956.50E-02
160100.E-04  8158.23E-02  8187.46E-02
240100.E-04  8112.44E-02  8143.33E-02
320100.E-04  8402.32E-02  8434.20E-02
400100.E-04  8447.01E-02  8479.97E-02
480100.E-04  8546.32E-02  8579.81E-02
560100.E-04  8598.67E-02  8634.06E-02
640100.E-04  8618.76E-02  8655.50E-02
720100.E-04  8772.35E-02  8810.16E-02
800100.E-04  9033.11E-02  9072.31E-02
880100.E-04  8833.26E-02  8873.59E-02
960100.E-04  8874.30E-02  8915.88E-02
104010.E-03  8871.39E-02  8914.06E-02
112010.E-03  8894.60E-02  8938.67E-02
120010.E-03  8840.48E-02  8885.68E-02
128010.E-03  8715.12E-02  8761.17E-02
136010.E-03  8604.96E-02  8651.74E-02
144010.E-03  8601.30E-02  8649.13E-02
152010.E-03  8221.58E-02  8269.52E-02
160010.E-03  8102.50E-02  8150.56E-02
168010.E-03  7739.48E-02  7787.71E-02
176010.E-03  7492.62E-02  7540.60E-02
184010.E-03  7117.11E-02  7164.01E-02
192010.E-03  6789.25E-02  6835.33E-02
200010.E-03  6383.29E-02  6428.13E-02
208010.E-03  5987.86E-02  6031.29E-02
216010.E-03  5512.96E-02  5554.09E-02
224010.E-03  5038.21E-02  5077.27E-02
232010.E-03  4543.38E-02  4580.08E-02
240010.E-03  4122.52E-02  4156.51E-02
248010.E-03  3694.59E-02  3726.09E-02
256010.E-03  3261.36E-02  3290.06E-02
264010.E-03  2881.54E-02  2907.43E-02
272010.E-03  2488.74E-02  2511.82E-02
280010.E-03  2134.59E-02  2154.97E-02
288010.E-03  1798.42E-02  1816.26E-02
296010.E-03  1488.40E-02  1503.66E-02
304010.E-03  1230.68E-02  1243.64E-02
312010.E-03  9814.06E-03  9921.87E-03
320010.E-03  7823.52E-03  7911.87E-03
328010.E-03  6319.14E-03  6391.05E-03
336010.E-03  5004.45E-03  5062.53E-03
344010.E-03  3849.07E-03  3896.14E-03
352010.E-03  2788.02E-03  2823.50E-03
360010.E-03  2131.56E-03  2158.82E-03
368010.E-03  1523.54E-03  1543.07E-03
376010.E-03  1056.67E-03  1071.13E-03
384010.E-03  7528.87E-04  7633.53E-04
392010.E-03  5341.35E-04  5417.70E-04
400010.E-03  3643.79E-04  3696.63E-04
408010.E-03  2453.14E-04  2490.79E-04
416010.E-03  1573.60E-04  1598.24E-04
424010.E-03  9999.97E-05  1015.18E-04
432010.E-03  6353.23E-05  6467.61E-05
440010.E-03  4198.00E-05  4264.38E-05
448010.E-03  3069.38E-05  3114.00E-05
456010.E-03  1692.98E-05  1720.73E-05
464010.E-03  9974.46E-06  1017.32E-05
472010.E-03  5107.73E-06  5205.23E-06
480010.E-03  7446.98E-06  7544.48E-06
488010.E-03  3354.22E-06  3417.97E-06
496010.E-03  1878.40E-06  1919.65E-06
504010.E-03  3670.22E-07  3707.72E-07
512010.E-03  0000.00E+00  0000.00E+00
520010.E-03  0000.00E+00  0000.00E+00
528010.E-03  0000.00E+00  0000.00E+00
536010.E-03  0000.00E+00  0000.00E+00
544010.E-03  0000.00E+00  0000.00E+00
552010.E-03  0000.00E+00  0000.00E+00
560010.E-03  0000.00E+00  0000.00E+00
568010.E-03  0000.00E+00  0000.00E+00
576010.E-03  0000.00E+00  0000.00E+00
584010.E-03  0000.00E+00  0000.00E+00
592010.E-03  0000.00E+00  0000.00E+00
600010.E-03  0000.00E+00  0000.00E+00
608010.E-03  0000.00E+00  0000.00E+00
616010.E-03  0000.00E+00  0000.00E+00
624010.E-03  0000.00E+00  0000.00E+00
632010.E-03  0000.00E+00  0000.00E+00
640010.E-03  0000.00E+00  0000.00E+00
648010.E-03  0000.00E+00  0000.00E+00
656010.E-03  0000.00E+00  0000.00E+00
664010.E-03  0000.00E+00  0000.00E+00
672010.E-03  0000.00E+00  0000.00E+00
680010.E-03  0000.00E+00  0000.00E+00
688010.E-03  0000.00E+00  0000.00E+00
696010.E-03  0000.00E+00  0000.00E+00
704010.E-03  0000.00E+00  0000.00E+00
712010.E-03  0000.00E+00  0000.00E+00
720010.E-03  0000.00E+00  0000.00E+00
728010.E-03  0000.00E+00  0000.00E+00
736010.E-03  0000.00E+00  0000.00E+00
744010.E-03  0000.00E+00  0000.00E+00
752010.E-03  0000.00E+00  0000.00E+00
760010.E-03  0000.00E+00  0000.00E+00
768010.E-03  0000.00E+00  0000.00E+00
776010.E-03  0000.00E+00  0000.00E+00
784010.E-03  0000.00E+00  0000.00E+00
792010.E-03  0000.00E+00  0000.00E+00
800010.E-03  0000.00E+00  0000.00E+00
