====== Si (10) into Layer 1                     =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Si   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer 1 : Layer 1
Layer Width = 80000.E-02 A ;
  Layer # 1- Density = 17.54E22 atoms/cm3 = 3.5 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =099999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
801000.E-05  5274.29E-02  2209.80E-02
160100.E-04  5220.47E-02  2815.12E-02
240100.E-04  5146.05E-02  2847.73E-02
320100.E-04  5056.24E-02  2905.08E-02
400100.E-04  4961.52E-02  2940.73E-02
480100.E-04  4869.64E-02  2912.86E-02
560100.E-04  4768.61E-02  2938.07E-02
640100.E-04  4665.82E-02  2971.69E-02
720100.E-04  4565.14E-02  2945.22E-02
800100.E-04  4442.59E-02  2997.72E-02
880100.E-04  4352.00E-02  2976.79E-02
960100.E-04  4212.70E-02  2895.59E-02
104010.E-03  4092.67E-02  2868.28E-02
112010.E-03  3954.60E-02  2859.69E-02
120010.E-03  3778.84E-02  2812.32E-02
128010.E-03  3634.09E-02  2744.38E-02
136010.E-03  3491.32E-02  2681.17E-02
144010.E-03  3316.38E-02  2674.38E-02
152010.E-03  3132.26E-02  2521.51E-02
160010.E-03  2957.81E-02  2471.08E-02
168010.E-03  2783.42E-02  2325.17E-02
176010.E-03  2592.63E-02  2248.14E-02
184010.E-03  2412.31E-02  2102.98E-02
192010.E-03  2214.60E-02  2001.65E-02
200010.E-03  2023.96E-02  1861.28E-02
208010.E-03  1834.11E-02  1730.62E-02
216010.E-03  1661.59E-02  1585.49E-02
224010.E-03  1487.54E-02  1436.51E-02
232010.E-03  1317.52E-02  1274.75E-02
240010.E-03  1159.57E-02  1152.91E-02
248010.E-03  1013.80E-02  1031.46E-02
256010.E-03  8781.95E-03  8980.73E-03
264010.E-03  7495.07E-03  7898.18E-03
272010.E-03  6324.96E-03  6816.57E-03
280010.E-03  5321.20E-03  5818.34E-03
288010.E-03  4381.14E-03  4858.64E-03
296010.E-03  3587.27E-03  3942.17E-03
304010.E-03  2914.55E-03  3312.03E-03
312010.E-03  2288.05E-03  2602.92E-03
320010.E-03  1812.09E-03  2045.23E-03
328010.E-03  1416.16E-03  1635.20E-03
336010.E-03  1091.73E-03  1303.98E-03
344010.E-03  8301.58E-04  1004.15E-03
352010.E-03  6088.27E-04  7248.78E-04
360010.E-03  4391.40E-04  5493.80E-04
368010.E-03  3148.56E-04  3897.47E-04
376010.E-03  2187.98E-04  2767.03E-04
384010.E-03  1581.82E-04  1898.25E-04
392010.E-03  1051.44E-04  1339.33E-04
400010.E-03  7467.98E-05  9400.67E-05
408010.E-03  4875.10E-05  6349.71E-05
416010.E-03  3235.84E-05  3860.98E-05
424010.E-03  2018.24E-05  2532.93E-05
432010.E-03  1377.92E-05  1614.58E-05
440010.E-03  8602.88E-06  1001.63E-05
448010.E-03  4860.14E-06  7872.32E-06
456010.E-03  2791.16E-06  4353.78E-06
464010.E-03  2151.91E-06  2265.16E-06
472010.E-03  1229.16E-06  1221.80E-06
480010.E-03  9593.93E-07  1811.36E-06
488010.E-03  6504.95E-07  7848.30E-07
496010.E-03  2982.25E-07  4471.71E-07
504010.E-03  6633.60E-08  8437.28E-08
512010.E-03  2488.66E-08  1588.65E-08
520010.E-03  0000.00E+00  0000.00E+00
528010.E-03  0000.00E+00  0000.00E+00
536010.E-03  0000.00E+00  0000.00E+00
544010.E-03  0000.00E+00  0000.00E+00
552010.E-03  0000.00E+00  0000.00E+00
560010.E-03  0000.00E+00  0000.00E+00
568010.E-03  0000.00E+00  0000.00E+00
576010.E-03  0000.00E+00  0000.00E+00
584010.E-03  0000.00E+00  0000.00E+00
592010.E-03  0000.00E+00  0000.00E+00
600010.E-03  0000.00E+00  0000.00E+00
608010.E-03  0000.00E+00  0000.00E+00
616010.E-03  0000.00E+00  0000.00E+00
624010.E-03  0000.00E+00  0000.00E+00
632010.E-03  0000.00E+00  0000.00E+00
640010.E-03  0000.00E+00  0000.00E+00
648010.E-03  0000.00E+00  0000.00E+00
656010.E-03  0000.00E+00  0000.00E+00
664010.E-03  0000.00E+00  0000.00E+00
672010.E-03  0000.00E+00  0000.00E+00
680010.E-03  0000.00E+00  0000.00E+00
688010.E-03  0000.00E+00  0000.00E+00
696010.E-03  0000.00E+00  0000.00E+00
704010.E-03  0000.00E+00  0000.00E+00
712010.E-03  0000.00E+00  0000.00E+00
720010.E-03  0000.00E+00  0000.00E+00
728010.E-03  0000.00E+00  0000.00E+00
736010.E-03  0000.00E+00  0000.00E+00
744010.E-03  0000.00E+00  0000.00E+00
752010.E-03  0000.00E+00  0000.00E+00
760010.E-03  0000.00E+00  0000.00E+00
768010.E-03  0000.00E+00  0000.00E+00
776010.E-03  0000.00E+00  0000.00E+00
784010.E-03  0000.00E+00  0000.00E+00
792010.E-03  0000.00E+00  0000.00E+00
800010.E-03  0000.00E+00  0000.00E+00
