====== Si (10) into Layer 1                     =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Si   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     8.E+02 AAA ;
  Layer # 1- Density = 17.54E22 atoms/cm3 = 3.5 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
801000.E-05  165051.E-05  395740.E-04
160100.E-04  142086.E-05  503095.E-04
240100.E-04  145079.E-05  520255.E-04
320100.E-04  148900.E-05  532750.E-04
400100.E-04  152834.E-05  545149.E-04
480100.E-04  158019.E-05  548609.E-04
560100.E-04  162498.E-05  562178.E-04
640100.E-04  168893.E-05  577290.E-04
720100.E-04  174512.E-05  580709.E-04
800100.E-04  179764.E-05  596164.E-04
880100.E-04  187412.E-05  601296.E-04
960100.E-04  193484.E-05  598014.E-04
104010.E-03  200427.E-05  601590.E-04
112010.E-03  206920.E-05  607863.E-04
120010.E-03  213605.E-05  607857.E-04
128010.E-03  219268.E-05  602079.E-04
136010.E-03  223306.E-05  597531.E-04
144010.E-03  227857.E-05  602247.E-04
152010.E-03  232609.E-05  582109.E-04
160010.E-03  234355.E-05  573532.E-04
168010.E-03  235201.E-05  553249.E-04
176010.E-03  236993.E-05  539831.E-04
184010.E-03  234524.E-05  513724.E-04
192010.E-03  231321.E-05  494362.E-04
200010.E-03  228552.E-05  466415.E-04
208010.E-03  219216.E-05  440377.E-04
216010.E-03  213123.E-05  409513.E-04
224010.E-03  202879.E-05  376413.E-04
232010.E-03  193430.E-05  341809.E-04
240010.E-03  180809.E-05  311614.E-04
248010.E-03  167948.E-05  281858.E-04
256010.E-03  154741.E-05  249434.E-04
264010.E-03  140458.E-05  220690.E-04
272010.E-03  127955.E-05  192867.E-04
280010.E-03  113247.E-05  166503.E-04
288010.E-03  100662.E-05  141214.E-04
296010.E-03  872453.E-06  116938.E-04
304010.E-03  751472.E-06  983253.E-05
312010.E-03  634861.E-06  789880.E-05
320010.E-03  521155.E-06  630155.E-05
328010.E-03  432625.E-06  508099.E-05
336010.E-03  356243.E-06  405646.E-05
344010.E-03  286047.E-06  318611.E-05
352010.E-03  222098.E-06  232795.E-05
360010.E-03  171947.E-06  176516.E-05
368010.E-03  131843.E-06  126946.E-05
376010.E-03  950577.E-07  909102.E-06
384010.E-03  694700.E-07  635187.E-06
392010.E-03  495150.E-07  451849.E-06
400010.E-03  364722.E-07  317272.E-06
408010.E-03  264997.E-07  220869.E-06
416010.E-03  167066.E-07  135699.E-06
424010.E-03  117235.E-07  893002.E-07
432010.E-03  864144.E-08  589616.E-07
440010.E-03  513871.E-08  358508.E-07
448010.E-03  320463.E-08  266709.E-07
456010.E-03  199200.E-08  153586.E-07
464010.E-03  129014.E-08  892896.E-08
472010.E-03  979999.E-09  475729.E-08
480010.E-03  466380.E-09  617917.E-08
488010.E-03  388881.E-09  304625.E-08
496010.E-03  291368.E-09  183385.E-08
504010.E-03  496213.E-10  326415.E-09
512010.E-03  122765.E-09  106433.E-09
520010.E-03  000000.E+00  000000.E+00
528010.E-03  000000.E+00  000000.E+00
536010.E-03  000000.E+00  000000.E+00
544010.E-03  000000.E+00  000000.E+00
552010.E-03  000000.E+00  000000.E+00
560010.E-03  000000.E+00  000000.E+00
568010.E-03  000000.E+00  000000.E+00
576010.E-03  000000.E+00  000000.E+00
584010.E-03  000000.E+00  000000.E+00
592010.E-03  000000.E+00  000000.E+00
600010.E-03  000000.E+00  000000.E+00
608010.E-03  000000.E+00  000000.E+00
616010.E-03  000000.E+00  000000.E+00
624010.E-03  000000.E+00  000000.E+00
632010.E-03  000000.E+00  000000.E+00
640010.E-03  000000.E+00  000000.E+00
648010.E-03  000000.E+00  000000.E+00
656010.E-03  000000.E+00  000000.E+00
664010.E-03  000000.E+00  000000.E+00
672010.E-03  000000.E+00  000000.E+00
680010.E-03  000000.E+00  000000.E+00
688010.E-03  000000.E+00  000000.E+00
696010.E-03  000000.E+00  000000.E+00
704010.E-03  000000.E+00  000000.E+00
712010.E-03  000000.E+00  000000.E+00
720010.E-03  000000.E+00  000000.E+00
728010.E-03  000000.E+00  000000.E+00
736010.E-03  000000.E+00  000000.E+00
744010.E-03  000000.E+00  000000.E+00
752010.E-03  000000.E+00  000000.E+00
760010.E-03  000000.E+00  000000.E+00
768010.E-03  000000.E+00  000000.E+00
776010.E-03  000000.E+00  000000.E+00
784010.E-03  000000.E+00  000000.E+00
792010.E-03  000000.E+00  000000.E+00
800010.E-03  000000.E+00  000000.E+00
