====== Ga (30) into Diamond                     =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Si   Energy = 50 keV
============= TARGET MATERIAL ======================================
Layer  1 : Diamond
Layer Width =     1.E+03 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
100100.E-04  143722.E-05  773220.E-05
200100.E-04  142331.E-05  169533.E-04
300100.E-04  144102.E-05  203618.E-04
400100.E-04  146785.E-05  224614.E-04
500100.E-04  149574.E-05  241138.E-04
600100.E-04  151747.E-05  256607.E-04
700100.E-04  155657.E-05  270789.E-04
800100.E-04  158762.E-05  284674.E-04
900100.E-04  161966.E-05  296647.E-04
100010.E-03  165560.E-05  307044.E-04
110010.E-03  169806.E-05  318661.E-04
120010.E-03  173453.E-05  332300.E-04
130010.E-03  176981.E-05  341584.E-04
140010.E-03  180643.E-05  354530.E-04
150010.E-03  184781.E-05  366716.E-04
160010.E-03  189603.E-05  377112.E-04
170010.E-03  192863.E-05  389254.E-04
180010.E-03  195916.E-05  395944.E-04
190010.E-03  199402.E-05  403589.E-04
200010.E-03  203587.E-05  412394.E-04
210010.E-03  206778.E-05  420245.E-04
220010.E-03  209229.E-05  427988.E-04
230010.E-03  210783.E-05  432826.E-04
240010.E-03  214029.E-05  437816.E-04
250010.E-03  214587.E-05  442085.E-04
260010.E-03  215082.E-05  443280.E-04
270010.E-03  214988.E-05  442523.E-04
280010.E-03  213292.E-05  442688.E-04
290010.E-03  212701.E-05  440929.E-04
300010.E-03  208207.E-05  434401.E-04
310010.E-03  204062.E-05  425384.E-04
320010.E-03  200610.E-05  417940.E-04
330010.E-03  194994.E-05  407601.E-04
340010.E-03  188340.E-05  394851.E-04
350010.E-03  178796.E-05  379609.E-04
360010.E-03  170025.E-05  361216.E-04
370010.E-03  161861.E-05  346395.E-04
380010.E-03  152939.E-05  327415.E-04
390010.E-03  141362.E-05  306172.E-04
400010.E-03  130725.E-05  283652.E-04
410010.E-03  120881.E-05  262157.E-04
420010.E-03  108485.E-05  241071.E-04
430010.E-03  983859.E-06  218894.E-04
440010.E-03  872909.E-06  197056.E-04
450010.E-03  764994.E-06  175573.E-04
460010.E-03  666664.E-06  155512.E-04
470010.E-03  573571.E-06  137067.E-04
480010.E-03  491555.E-06  118261.E-04
490010.E-03  413651.E-06  102012.E-04
500010.E-03  335964.E-06  863891.E-05
510010.E-03  280916.E-06  729514.E-05
520010.E-03  225051.E-06  615726.E-05
530010.E-03  180811.E-06  507336.E-05
540010.E-03  140605.E-06  424403.E-05
550010.E-03  109267.E-06  346308.E-05
560010.E-03  819962.E-07  277381.E-05
570010.E-03  596309.E-07  223246.E-05
580010.E-03  451608.E-07  175746.E-05
590010.E-03  304302.E-07  142018.E-05
600010.E-03  200543.E-07  112386.E-05
610010.E-03  135322.E-07  892356.E-06
620010.E-03  904513.E-08  675793.E-06
630010.E-03  614403.E-08  554972.E-06
640010.E-03  400443.E-08  442694.E-06
650010.E-03  249928.E-08  346500.E-06
660010.E-03  145942.E-08  289466.E-06
670010.E-03  117513.E-08  242308.E-06
680010.E-03  781383.E-09  201537.E-06
690010.E-03  353396.E-09  156213.E-06
700010.E-03  215964.E-09  120430.E-06
710010.E-03  110496.E-09  101343.E-06
720010.E-03  711213.E-10  838737.E-07
730010.E-03  461257.E-10  685479.E-07
740010.E-03  111182.E-11  486770.E-07
750010.E-03  000000.E+00  451441.E-07
760010.E-03  000000.E+00  271168.E-07
770010.E-03  000000.E+00  231722.E-07
780010.E-03  000000.E+00  182012.E-07
790010.E-03  000000.E+00  167189.E-07
800010.E-03  000000.E+00  140738.E-07
810010.E-03  000000.E+00  102072.E-07
820010.E-03  000000.E+00  881372.E-08
830010.E-03  000000.E+00  486712.E-08
840010.E-03  000000.E+00  297437.E-08
850010.E-03  000000.E+00  378835.E-08
860010.E-03  000000.E+00  315545.E-08
870010.E-03  000000.E+00  254024.E-08
880010.E-03  000000.E+00  126189.E-08
890010.E-03  000000.E+00  156935.E-08
900010.E-03  000000.E+00  717638.E-09
910010.E-03  000000.E+00  232715.E-09
920010.E-03  000000.E+00  143766.E-09
930010.E-03  000000.E+00  293584.E-09
940010.E-03  000000.E+00  227608.E-09
950010.E-03  000000.E+00  137576.E-09
960010.E-03  000000.E+00  373809.E-10
970010.E-03  000000.E+00  000000.E+00
980010.E-03  000000.E+00  000000.E+00
990010.E-03  000000.E+00  000000.E+00
100001.E-02  000000.E+00  000000.E+00
