====== Ga (30) into Diamond                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Si   Energy = 70 keV
 Total Ions calculated =99999.00
============= TARGET MATERIAL ======================================
Layer  1 : Diamond
Layer Width = 13000.E-01 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 484520.E-03 A   Straggling = 127606.E-03 A
 Ion Lateral Range = 896000.E-04 A   Straggling = 112812.E-03 A
 Ion Radial  Range = 135151.E-03 A   Straggling = 724987.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1301000.E-05 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2601000.E-05 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3901000.E-05 29865446.E-06 29865446.E-06 31235170.E-06 00000000.E+00 
5201000.E-05 41127647.E-06 47547660.E-06 56130276.E-06 19908020.E-06 
6501000.E-05 63754808.E-06 87053389.E-06 83056004.E-06 62727344.E-06 
7801000.E-05 44697232.E-06 53801696.E-06 61832884.E-06 33268756.E-06 
9101000.E-05 30709752.E-06 42156229.E-06 50588365.E-06 32834473.E-06 
1040100.E-04 41448633.E-06 55651003.E-06 65400527.E-06 51447660.E-06 
1170100.E-04 40551492.E-06 56380697.E-06 64544735.E-06 43507590.E-06 
1300100.E-04 53718142.E-06 71668148.E-06 78411214.E-06 51956829.E-06 
1430100.E-04 53841150.E-06 69797154.E-06 79352408.E-06 47266891.E-06 
1560100.E-04 54204105.E-06 75923524.E-06 83355851.E-06 60872652.E-06 
1690100.E-04 60897958.E-06 77906310.E-06 88875686.E-06 53509291.E-06 
1820100.E-04 58631157.E-06 76796087.E-06 91773160.E-06 57758746.E-06 
1950100.E-04 60376877.E-06 77111671.E-06 94358993.E-06 54583430.E-06 
2080100.E-04 69655146.E-06 90816893.E-06 10157101.E-05 61831829.E-06 
2210100.E-04 68193453.E-06 90463000.E-06 10773118.E-05 67313844.E-06 
2340100.E-04 68174260.E-06 88889891.E-06 10483250.E-05 62313988.E-06 
2470100.E-04 73463407.E-06 94514813.E-06 10997224.E-05 63560106.E-06 
2600100.E-04 77158614.E-06 98779707.E-06 11509451.E-05 66809559.E-06 
2730100.E-04 75547198.E-06 96955679.E-06 11366321.E-05 64460699.E-06 
2860100.E-04 79765361.E-06 10157859.E-05 12159379.E-05 69073467.E-06 
2990100.E-04 77549467.E-06 99281009.E-06 11836223.E-05 66519039.E-06 
3120100.E-04 81090919.E-06 10347186.E-05 12307663.E-05 69732547.E-06 
