====== Si (70) into Diamond                     =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Si   Energy = 90 keV
============= TARGET MATERIAL ======================================
Layer  1 : Diamond
Layer Width = 16000.E-01 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       
   DEPTH        from       Absorbed     
   (Ang.)       IONS       by   C       
----------   ------------  -----------  
160100.E-04  5971.84E-02  5988.89E-02  
320100.E-04  5996.81E-02  6016.84E-02  
480100.E-04  6099.01E-02  6119.50E-02  
640100.E-04  6086.49E-02  6107.44E-02  
800100.E-04  6222.15E-02  6243.42E-02  
960100.E-04  6294.56E-02  6316.21E-02  
112010.E-03  6242.37E-02  6264.54E-02  
128010.E-03  6437.92E-02  6460.44E-02  
144010.E-03  6493.36E-02  6516.43E-02  
160010.E-03  6703.50E-02  6727.11E-02  
176010.E-03  6713.55E-02  6737.87E-02  
192010.E-03  6802.26E-02  6827.10E-02  
208010.E-03  6869.97E-02  6895.46E-02  
224010.E-03  7145.98E-02  7172.15E-02  
240010.E-03  7197.40E-02  7224.12E-02  
256010.E-03  7274.52E-02  7301.98E-02  
272010.E-03  7370.73E-02  7399.03E-02  
288010.E-03  7505.59E-02  7534.57E-02  
304010.E-03  7512.70E-02  7542.35E-02  
320010.E-03  7565.27E-02  7595.66E-02  
336010.E-03  7720.58E-02  7751.89E-02  
352010.E-03  7713.57E-02  7745.61E-02  
368010.E-03  7663.01E-02  7695.63E-02  
384010.E-03  7808.25E-02  7841.58E-02  
400010.E-03  7708.59E-02  7742.71E-02  
416010.E-03  7740.66E-02  7775.24E-02  
432010.E-03  7722.59E-02  7757.87E-02  
448010.E-03  7666.86E-02  7702.74E-02  
464010.E-03  7595.82E-02  7632.02E-02  
480010.E-03  7481.56E-02  7518.41E-02  
496010.E-03  7330.06E-02  7366.96E-02  
512010.E-03  7339.47E-02  7376.68E-02  
528010.E-03  6942.23E-02  6979.36E-02  
544010.E-03  6801.03E-02  6837.67E-02  
560010.E-03  6634.29E-02  6670.79E-02  
576010.E-03  6264.49E-02  6300.13E-02  
592010.E-03  5878.72E-02  5913.45E-02  
608010.E-03  5557.12E-02  5590.53E-02  
624010.E-03  5179.17E-02  5211.13E-02  
640010.E-03  4789.81E-02  4820.18E-02  
656010.E-03  4387.58E-02  4416.41E-02  
672010.E-03  3988.69E-02  4015.68E-02  
688010.E-03  3570.80E-02  3595.82E-02  
704010.E-03  3112.80E-02  3135.52E-02  
720010.E-03  2749.02E-02  2769.56E-02  
736010.E-03  2370.82E-02  2389.26E-02  
752010.E-03  2030.07E-02  2046.27E-02  
768010.E-03  1685.41E-02  1699.25E-02  
784010.E-03  1379.23E-02  1390.99E-02  
800010.E-03  1128.54E-02  1138.36E-02  
816010.E-03  9043.26E-03  9124.17E-03  
832010.E-03  6896.39E-03  6961.80E-03  
848010.E-03  5333.97E-03  5386.09E-03  
864010.E-03  3859.58E-03  3899.45E-03  
880010.E-03  2900.01E-03  2929.82E-03  
896010.E-03  2016.82E-03  2037.94E-03  
912010.E-03  1403.41E-03  1419.10E-03  
928010.E-03  9818.17E-04  9928.63E-04  
944010.E-03  6450.28E-04  6527.12E-04  
960010.E-03  4350.29E-04  4401.14E-04  
976010.E-03  2618.99E-04  2651.13E-04  
992010.E-03  1552.71E-04  1573.15E-04  
100801.E-02  1007.21E-04  1020.26E-04  
102401.E-02  5341.67E-05  5421.36E-05  
104001.E-02  3124.01E-05  3170.70E-05  
105601.E-02  1556.24E-05  1580.80E-05  
107201.E-02  9480.99E-06  9617.87E-06  
108801.E-02  8464.51E-06  8565.76E-06  
110401.E-02  2960.01E-06  3018.13E-06  
112001.E-02  2703.90E-06  2748.90E-06  
113601.E-02  2494.63E-06  2520.88E-06  
115201.E-02  2562.77E-06  2589.02E-06  
116801.E-02  1615.14E-06  1658.26E-06  
118401.E-02  7430.54E-07  7561.79E-07  
120001.E-02  0000.00E+00  0000.00E+00  
121601.E-02  0000.00E+00  0000.00E+00  
123201.E-02  0000.00E+00  0000.00E+00  
124801.E-02  0000.00E+00  0000.00E+00  
126401.E-02  0000.00E+00  0000.00E+00  
128001.E-02  0000.00E+00  0000.00E+00  
129601.E-02  0000.00E+00  0000.00E+00  
131201.E-02  0000.00E+00  0000.00E+00  
132801.E-02  0000.00E+00  0000.00E+00  
134401.E-02  0000.00E+00  0000.00E+00  
136001.E-02  0000.00E+00  0000.00E+00  
137601.E-02  0000.00E+00  0000.00E+00  
139201.E-02  0000.00E+00  0000.00E+00  
140801.E-02  0000.00E+00  0000.00E+00  
142401.E-02  0000.00E+00  0000.00E+00  
144001.E-02  0000.00E+00  0000.00E+00  
145601.E-02  0000.00E+00  0000.00E+00  
147201.E-02  0000.00E+00  0000.00E+00  
148801.E-02  0000.00E+00  0000.00E+00  
150401.E-02  0000.00E+00  0000.00E+00  
152001.E-02  0000.00E+00  0000.00E+00  
153601.E-02  0000.00E+00  0000.00E+00  
155201.E-02  0000.00E+00  0000.00E+00  
156801.E-02  0000.00E+00  0000.00E+00  
158401.E-02  0000.00E+00  0000.00E+00  
160001.E-02  0000.00E+00  0000.00E+00  
