====== Si (70) into Diamond                     =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Si   Energy = 90 keV
============= TARGET MATERIAL ======================================
Layer 1 : Diamond
Layer Width = 16000.E-01 A ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =099999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
160100.E-04  8431.38E-02  8949.91E-03
320100.E-04  8338.16E-02  1342.50E-02
480100.E-04  8259.32E-02  1654.01E-02
640100.E-04  8188.16E-02  1900.44E-02
800100.E-04  8099.32E-02  2098.23E-02
960100.E-04  8006.29E-02  2279.41E-02
112010.E-03  7915.45E-02  2409.27E-02
128010.E-03  7842.43E-02  2547.89E-02
144010.E-03  7765.57E-02  2665.96E-02
160010.E-03  7698.76E-02  2812.61E-02
176010.E-03  7610.30E-02  2922.26E-02
192010.E-03  7530.38E-02  3027.66E-02
208010.E-03  7443.48E-02  3123.07E-02
224010.E-03  7353.95E-02  3225.90E-02
240010.E-03  7250.28E-02  3330.78E-02
256010.E-03  7152.65E-02  3430.92E-02
272010.E-03  7030.50E-02  3532.22E-02
288010.E-03  6928.76E-02  3623.05E-02
304010.E-03  6785.55E-02  3715.58E-02
320010.E-03  6640.84E-02  3795.86E-02
336010.E-03  6483.27E-02  3864.49E-02
352010.E-03  6324.58E-02  3945.71E-02
368010.E-03  6125.21E-02  3993.32E-02
384010.E-03  5928.66E-02  4028.04E-02
400010.E-03  5727.85E-02  4092.01E-02
416010.E-03  5509.60E-02  4130.33E-02
432010.E-03  5284.35E-02  4152.46E-02
448010.E-03  5043.21E-02  4173.56E-02
464010.E-03  4800.79E-02  4178.19E-02
480010.E-03  4578.80E-02  4177.61E-02
496010.E-03  4332.51E-02  4145.01E-02
512010.E-03  4065.31E-02  4091.80E-02
528010.E-03  3807.31E-02  4029.59E-02
544010.E-03  3545.93E-02  3955.02E-02
560010.E-03  3280.10E-02  3860.67E-02
576010.E-03  3007.52E-02  3743.67E-02
592010.E-03  2752.96E-02  3617.06E-02
608010.E-03  2491.92E-02  3455.21E-02
624010.E-03  2236.28E-02  3294.84E-02
640010.E-03  1992.19E-02  3102.09E-02
656010.E-03  1759.64E-02  2899.06E-02
672010.E-03  1542.85E-02  2703.03E-02
688010.E-03  1341.52E-02  2480.65E-02
704010.E-03  1143.15E-02  2256.24E-02
720010.E-03  9641.06E-03  2018.24E-02
736010.E-03  8065.59E-03  1801.73E-02
752010.E-03  6656.44E-03  1586.68E-02
768010.E-03  5360.83E-03  1385.92E-02
784010.E-03  4289.32E-03  1192.18E-02
800010.E-03  3351.59E-03  1014.57E-02
816010.E-03  2605.49E-03  8563.15E-03
832010.E-03  1979.17E-03  7123.86E-03
848010.E-03  1470.05E-03  5828.81E-03
864010.E-03  1068.07E-03  4737.98E-03
880010.E-03  7489.65E-04  3769.43E-03
896010.E-03  5237.27E-04  2972.63E-03
912010.E-03  3690.56E-04  2370.68E-03
928010.E-03  2371.03E-04  1860.39E-03
944010.E-03  1588.14E-04  1477.91E-03
960010.E-03  1015.04E-04  1135.80E-03
976010.E-03  6179.39E-05  8807.23E-04
992010.E-03  3787.43E-05  6871.37E-04
100801.E-02  2333.00E-05  5361.16E-04
102401.E-02  1379.80E-05  4150.53E-04
104001.E-02  7777.17E-06  3237.51E-04
105601.E-02  4766.12E-06  2520.82E-04
107201.E-02  2810.51E-06  2051.57E-04
108801.E-02  1435.51E-06  1627.52E-04
110401.E-02  7600.64E-07  1271.24E-04
112001.E-02  9532.81E-07  9269.41E-05
113601.E-02  5967.85E-07  7124.11E-05
115201.E-02  5050.89E-07  5130.77E-05
116801.E-02  2792.31E-07  4109.62E-05
118401.E-02  6257.02E-08  2909.11E-05
120001.E-02  1057.05E-09  2041.69E-05
121601.E-02  0000.00E+00  1708.25E-05
123201.E-02  0000.00E+00  1210.78E-05
124801.E-02  0000.00E+00  8666.10E-06
126401.E-02  0000.00E+00  7175.11E-06
128001.E-02  0000.00E+00  4442.99E-06
129601.E-02  0000.00E+00  3814.88E-06
131201.E-02  0000.00E+00  2913.21E-06
132801.E-02  0000.00E+00  1190.84E-06
134401.E-02  0000.00E+00  4362.42E-07
136001.E-02  0000.00E+00  2400.38E-07
137601.E-02  0000.00E+00  1293.73E-07
139201.E-02  0000.00E+00  3018.08E-07
140801.E-02  0000.00E+00  3218.35E-08
142401.E-02  0000.00E+00  0000.00E+00
144001.E-02  0000.00E+00  0000.00E+00
145601.E-02  0000.00E+00  0000.00E+00
147201.E-02  0000.00E+00  0000.00E+00
148801.E-02  0000.00E+00  0000.00E+00
150401.E-02  0000.00E+00  0000.00E+00
152001.E-02  0000.00E+00  0000.00E+00
153601.E-02  0000.00E+00  0000.00E+00
155201.E-02  0000.00E+00  0000.00E+00
156801.E-02  0000.00E+00  0000.00E+00
158401.E-02  0000.00E+00  0000.00E+00
160001.E-02  0000.00E+00  0000.00E+00
