====== Si (70) into Diamond                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Si   Energy = 90 keV
 Total Ions calculated =99999.00
============= TARGET MATERIAL ======================================
Layer  1 : Diamond
Layer Width = 16000.E-01 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 614440.E-03 A   Straggling = 153836.E-03 A
 Ion Lateral Range = 109536.E-03 A   Straggling = 137657.E-03 A
 Ion Radial  Range = 164793.E-03 A   Straggling = 878984.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1601000.E-05 23644131.E-05 23644131.E-05 30707427.E-05 00000000.E+00 
3201000.E-05 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4801000.E-05 25628364.E-06 25628364.E-06 32087403.E-06 00000000.E+00 
6401000.E-05 45562078.E-06 45562078.E-06 56512475.E-06 00000000.E+00 
8001000.E-05 69924139.E-06 96498096.E-06 87969208.E-06 65229461.E-06 
9601000.E-05 51044769.E-06 66325106.E-06 82308273.E-06 48717061.E-06 
1120100.E-04 55175332.E-06 71721846.E-06 77394533.E-06 53039109.E-06 
1280100.E-04 43233605.E-06 58536042.E-06 79557294.E-06 48275854.E-06 
1440100.E-04 63953209.E-06 86679154.E-06 84169352.E-06 58823402.E-06 
1600100.E-04 59941068.E-06 78058595.E-06 87021496.E-06 59554323.E-06 
1760100.E-04 66172174.E-06 83385343.E-06 93026055.E-06 55978863.E-06 
1920100.E-04 68325183.E-06 87575435.E-06 10347784.E-05 65464122.E-06 
2080100.E-04 68171665.E-06 86845045.E-06 10055359.E-05 60094213.E-06 
2240100.E-04 75593690.E-06 99244809.E-06 11131373.E-05 69013457.E-06 
2400100.E-04 78345310.E-06 10290849.E-05 11605201.E-05 72718069.E-06 
2560100.E-04 82589535.E-06 10766732.E-05 12207977.E-05 69408618.E-06 
2720100.E-04 80640781.E-06 10739673.E-05 12054556.E-05 75072846.E-06 
2880100.E-04 84958602.E-06 11089146.E-05 12914065.E-05 74626966.E-06 
3040100.E-04 87422130.E-06 11042407.E-05 12949144.E-05 75138362.E-06 
3200100.E-04 86690692.E-06 11283251.E-05 13506239.E-05 81334571.E-06 
3360100.E-04 91620018.E-06 11590857.E-05 13633234.E-05 80023590.E-06 
3520100.E-04 99873626.E-06 12428849.E-05 14535889.E-05 79203181.E-06 
3680100.E-04 96453523.E-06 12187816.E-05 14428690.E-05 80674198.E-06 
3840100.E-04 10082825.E-05 12749004.E-05 15182803.E-05 87328598.E-06 
