====== Si (70) into Diamond                     =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Si   Energy = 90 keV
============= TARGET MATERIAL ======================================
Layer  1 : Diamond
Layer Width =     2.E+03 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
160100.E-04  115924.E-05  837924.E-05
320100.E-04  115277.E-05  152865.E-04
480100.E-04  116684.E-05  173863.E-04
640100.E-04  117822.E-05  188933.E-04
800100.E-04  119873.E-05  200886.E-04
960100.E-04  121654.E-05  212245.E-04
112010.E-03  123876.E-05  220654.E-04
128010.E-03  126145.E-05  229580.E-04
144010.E-03  128676.E-05  237038.E-04
160010.E-03  131106.E-05  247517.E-04
176010.E-03  133482.E-05  255972.E-04
192010.E-03  136215.E-05  264802.E-04
208010.E-03  138596.E-05  272900.E-04
224010.E-03  140749.E-05  280317.E-04
240010.E-03  144053.E-05  288672.E-04
256010.E-03  147377.E-05  296955.E-04
272010.E-03  150209.E-05  306298.E-04
288010.E-03  153150.E-05  315293.E-04
304010.E-03  156834.E-05  324004.E-04
320010.E-03  159794.E-05  333373.E-04
336010.E-03  162779.E-05  341186.E-04
352010.E-03  166071.E-05  348874.E-04
368010.E-03  168932.E-05  356217.E-04
384010.E-03  172097.E-05  361855.E-04
400010.E-03  173560.E-05  369234.E-04
416010.E-03  176613.E-05  376149.E-04
432010.E-03  178553.E-05  381994.E-04
448010.E-03  180591.E-05  386569.E-04
464010.E-03  180736.E-05  391437.E-04
480010.E-03  182484.E-05  394527.E-04
496010.E-03  182939.E-05  396218.E-04
512010.E-03  182371.E-05  394975.E-04
528010.E-03  181671.E-05  392387.E-04
544010.E-03  179162.E-05  388495.E-04
560010.E-03  176608.E-05  383074.E-04
576010.E-03  172352.E-05  375026.E-04
592010.E-03  168114.E-05  364799.E-04
608010.E-03  160063.E-05  351977.E-04
624010.E-03  152616.E-05  338373.E-04
640010.E-03  144295.E-05  321495.E-04
656010.E-03  135536.E-05  304055.E-04
672010.E-03  126684.E-05  285180.E-04
688010.E-03  117337.E-05  264524.E-04
704010.E-03  105879.E-05  242434.E-04
720010.E-03  957509.E-06  218677.E-04
736010.E-03  850321.E-06  196707.E-04
752010.E-03  745389.E-06  173820.E-04
768010.E-03  637982.E-06  152220.E-04
784010.E-03  538196.E-06  131232.E-04
800010.E-03  447842.E-06  111931.E-04
816010.E-03  368870.E-06  943503.E-05
832010.E-03  296790.E-06  781402.E-05
848010.E-03  232541.E-06  637979.E-05
864010.E-03  182657.E-06  510697.E-05
880010.E-03  133532.E-06  404726.E-05
896010.E-03  976246.E-07  313093.E-05
912010.E-03  721092.E-07  244069.E-05
928010.E-03  509657.E-07  189285.E-05
944010.E-03  349278.E-07  146979.E-05
960010.E-03  226349.E-07  111926.E-05
976010.E-03  151772.E-07  832781.E-06
992010.E-03  937106.E-08  632748.E-06
100801.E-02  628971.E-08  490414.E-06
102401.E-02  391936.E-08  371773.E-06
104001.E-02  228292.E-08  277808.E-06
105601.E-02  123818.E-08  220409.E-06
107201.E-02  766180.E-09  178891.E-06
108801.E-02  408324.E-09  144514.E-06
110401.E-02  235945.E-09  113215.E-06
112001.E-02  194337.E-09  867679.E-07
113601.E-02  137359.E-09  637777.E-07
115201.E-02  213072.E-09  472455.E-07
116801.E-02  175403.E-09  399075.E-07
118401.E-02  121699.E-09  265723.E-07
120001.E-02  608493.E-11  211336.E-07
121601.E-02  000000.E+00  147327.E-07
123201.E-02  000000.E+00  101211.E-07
124801.E-02  000000.E+00  809887.E-08
126401.E-02  000000.E+00  713496.E-08
128001.E-02  000000.E+00  422997.E-08
129601.E-02  000000.E+00  441963.E-08
131201.E-02  000000.E+00  387164.E-08
132801.E-02  000000.E+00  186691.E-08
134401.E-02  000000.E+00  575562.E-09
136001.E-02  000000.E+00  282174.E-09
137601.E-02  000000.E+00  105508.E-09
139201.E-02  000000.E+00  528108.E-09
140801.E-02  000000.E+00  960271.E-10
142401.E-02  000000.E+00  000000.E+00
144001.E-02  000000.E+00  000000.E+00
145601.E-02  000000.E+00  000000.E+00
147201.E-02  000000.E+00  000000.E+00
148801.E-02  000000.E+00  000000.E+00
150401.E-02  000000.E+00  000000.E+00
152001.E-02  000000.E+00  000000.E+00
153601.E-02  000000.E+00  000000.E+00
155201.E-02  000000.E+00  000000.E+00
156801.E-02  000000.E+00  000000.E+00
158401.E-02  000000.E+00  000000.E+00
160001.E-02  000000.E+00  000000.E+00
