DEPTH         Si          C    
160100.E-04  6.2501E+01  2.6180E+07
320100.E-04  0.0000E+00  3.5553E+07
480100.E-04  6.2501E+01  4.0525E+07
640100.E-04  6.2501E+01  4.3979E+07
800100.E-04  4.3750E+02  4.6820E+07
960100.E-04  6.8751E+02  4.9313E+07
112010.E-03  2.0000E+03  5.1408E+07
128010.E-03  2.1875E+03  5.3405E+07
144010.E-03  4.4375E+03  5.5224E+07
160010.E-03  5.6876E+03  5.7557E+07
176010.E-03  8.0001E+03  5.9592E+07
192010.E-03  9.8751E+03  6.1633E+07
208010.E-03  1.4563E+04  6.3490E+07
224010.E-03  1.5438E+04  6.5145E+07
240010.E-03  1.9625E+04  6.7126E+07
256010.E-03  2.2250E+04  6.9165E+07
272010.E-03  2.7438E+04  7.1219E+07
288010.E-03  3.3000E+04  7.3404E+07
304010.E-03  3.9063E+04  7.5377E+07
320010.E-03  4.4375E+04  7.7605E+07
336010.E-03  5.1188E+04  7.9581E+07
352010.E-03  5.9626E+04  8.1349E+07
368010.E-03  6.9626E+04  8.2989E+07
384010.E-03  7.6938E+04  8.4320E+07
400010.E-03  8.0751E+04  8.6108E+07
416010.E-03  9.6501E+04  8.7790E+07
432010.E-03  1.0869E+05  8.9033E+07
448010.E-03  1.1538E+05  9.0297E+07
464010.E-03  1.3244E+05  9.1436E+07
480010.E-03  1.4775E+05  9.2302E+07
496010.E-03  1.5656E+05  9.2682E+07
512010.E-03  1.7081E+05  9.2368E+07
528010.E-03  1.9406E+05  9.1903E+07
544010.E-03  1.9719E+05  9.1055E+07
560010.E-03  2.1531E+05  8.9690E+07
576010.E-03  2.3100E+05  8.7986E+07
592010.E-03  2.4363E+05  8.5523E+07
608010.E-03  2.5457E+05  8.2651E+07
624010.E-03  2.5332E+05  7.9478E+07
640010.E-03  2.6013E+05  7.5565E+07
656010.E-03  2.5444E+05  7.1509E+07
672010.E-03  2.6019E+05  6.7293E+07
688010.E-03  2.5638E+05  6.2389E+07
704010.E-03  2.4775E+05  5.7237E+07
720010.E-03  2.3500E+05  5.1724E+07
736010.E-03  2.2725E+05  4.6541E+07
752010.E-03  2.1313E+05  4.1191E+07
768010.E-03  2.0069E+05  3.6063E+07
784010.E-03  1.7725E+05  3.1225E+07
800010.E-03  1.5269E+05  2.6562E+07
816010.E-03  1.3525E+05  2.2462E+07
832010.E-03  1.1281E+05  1.8587E+07
848010.E-03  9.8813E+04  1.5185E+07
864010.E-03  7.9751E+04  1.2146E+07
880010.E-03  6.3313E+04  9.6597E+06
896010.E-03  4.9500E+04  7.4337E+06
912010.E-03  3.4250E+04  5.8079E+06
928010.E-03  2.7813E+04  4.5075E+06
944010.E-03  1.9063E+04  3.4847E+06
960010.E-03  1.4625E+04  2.6627E+06
976010.E-03  9.3751E+03  1.9618E+06
992010.E-03  6.2501E+03  1.4968E+06
100801.E-02  3.5625E+03  1.1587E+06
102401.E-02  2.6250E+03  8.7588E+05
104001.E-02  1.3750E+03  6.6832E+05
105601.E-02  8.1251E+02  5.1513E+05
107201.E-02  4.3750E+02  4.1813E+05
108801.E-02  3.7500E+02  3.3507E+05
110401.E-02  1.2500E+02  2.6507E+05
112001.E-02  1.2500E+02  2.0381E+05
113601.E-02  0.0000E+00  1.5031E+05
115201.E-02  0.0000E+00  1.1313E+05
116801.E-02  1.2500E+02  9.4876E+04
118401.E-02  6.2501E+01  6.1438E+04
120001.E-02  6.2501E+01  5.1063E+04
121601.E-02  0.0000E+00  3.3563E+04
123201.E-02  0.0000E+00  2.3313E+04
124801.E-02  0.0000E+00  1.7938E+04
126401.E-02  0.0000E+00  1.5813E+04
128001.E-02  0.0000E+00  1.0875E+04
129601.E-02  0.0000E+00  9.6251E+03
131201.E-02  0.0000E+00  8.5626E+03
132801.E-02  0.0000E+00  5.3126E+03
134401.E-02  0.0000E+00  1.3125E+03
136001.E-02  0.0000E+00  6.2501E+02
137601.E-02  0.0000E+00  1.2500E+02
139201.E-02  0.0000E+00  1.0625E+03
140801.E-02  0.0000E+00  3.7500E+02
142401.E-02  0.0000E+00  0.0000E+00
144001.E-02  0.0000E+00  0.0000E+00
145601.E-02  0.0000E+00  0.0000E+00
147201.E-02  0.0000E+00  0.0000E+00
148801.E-02  0.0000E+00  0.0000E+00
150401.E-02  0.0000E+00  0.0000E+00
152001.E-02  0.0000E+00  0.0000E+00
153601.E-02  0.0000E+00  0.0000E+00
155201.E-02  0.0000E+00  0.0000E+00
156801.E-02  0.0000E+00  0.0000E+00
158401.E-02  0.0000E+00  0.0000E+00
160001.E-02  0.0000E+00  0.0000E+00
