DEPTH,Si,C
1.60E+01,6.25E+01,2.62E+07
3.20E+01,0.00E+00,3.56E+07
4.80E+01,6.25E+01,4.05E+07
6.40E+01,6.25E+01,4.40E+07
8.00E+01,4.38E+02,4.68E+07
9.60E+01,6.88E+02,4.93E+07
1.12E+02,2.00E+03,5.14E+07
1.28E+02,2.19E+03,5.34E+07
1.44E+02,4.44E+03,5.52E+07
1.60E+02,5.69E+03,5.76E+07
1.76E+02,8.00E+03,5.96E+07
1.92E+02,9.88E+03,6.16E+07
2.08E+02,1.46E+04,6.35E+07
2.24E+02,1.54E+04,6.51E+07
2.40E+02,1.96E+04,6.71E+07
2.56E+02,2.23E+04,6.92E+07
2.72E+02,2.74E+04,7.12E+07
2.88E+02,3.30E+04,7.34E+07
3.04E+02,3.91E+04,7.54E+07
3.20E+02,4.44E+04,7.76E+07
3.36E+02,5.12E+04,7.96E+07
3.52E+02,5.96E+04,8.13E+07
3.68E+02,6.96E+04,8.30E+07
3.84E+02,7.69E+04,8.43E+07
4.00E+02,8.08E+04,8.61E+07
4.16E+02,9.65E+04,8.78E+07
4.32E+02,1.09E+05,8.90E+07
4.48E+02,1.15E+05,9.03E+07
4.64E+02,1.32E+05,9.14E+07
4.80E+02,1.48E+05,9.23E+07
4.96E+02,1.57E+05,9.27E+07
5.12E+02,1.71E+05,9.24E+07
5.28E+02,1.94E+05,9.19E+07
5.44E+02,1.97E+05,9.11E+07
5.60E+02,2.15E+05,8.97E+07
5.76E+02,2.31E+05,8.80E+07
5.92E+02,2.44E+05,8.55E+07
6.08E+02,2.55E+05,8.27E+07
6.24E+02,2.53E+05,7.95E+07
6.40E+02,2.60E+05,7.56E+07
6.56E+02,2.54E+05,7.15E+07
6.72E+02,2.60E+05,6.73E+07
6.88E+02,2.56E+05,6.24E+07
7.04E+02,2.48E+05,5.72E+07
7.20E+02,2.35E+05,5.17E+07
7.36E+02,2.27E+05,4.65E+07
7.52E+02,2.13E+05,4.12E+07
7.68E+02,2.01E+05,3.61E+07
7.84E+02,1.77E+05,3.12E+07
8.00E+02,1.53E+05,2.66E+07
8.16E+02,1.35E+05,2.25E+07
8.32E+02,1.13E+05,1.86E+07
8.48E+02,9.88E+04,1.52E+07
8.64E+02,7.98E+04,1.21E+07
8.80E+02,6.33E+04,9.66E+06
8.96E+02,4.95E+04,7.43E+06
9.12E+02,3.43E+04,5.81E+06
9.28E+02,2.78E+04,4.51E+06
9.44E+02,1.91E+04,3.48E+06
9.60E+02,1.46E+04,2.66E+06
9.76E+02,9.38E+03,1.96E+06
9.92E+02,6.25E+03,1.50E+06
1.01E+03,3.56E+03,1.16E+06
1.02E+03,2.63E+03,8.76E+05
1.04E+03,1.38E+03,6.68E+05
1.06E+03,8.13E+02,5.15E+05
1.07E+03,4.38E+02,4.18E+05
1.09E+03,3.75E+02,3.35E+05
1.10E+03,1.25E+02,2.65E+05
1.12E+03,1.25E+02,2.04E+05
1.14E+03,0.00E+00,1.50E+05
1.15E+03,0.00E+00,1.13E+05
1.17E+03,1.25E+02,9.49E+04
1.18E+03,6.25E+01,6.14E+04
1.20E+03,6.25E+01,5.11E+04
1.22E+03,0.00E+00,3.36E+04
1.23E+03,0.00E+00,2.33E+04
1.25E+03,0.00E+00,1.79E+04
1.26E+03,0.00E+00,1.58E+04
1.28E+03,0.00E+00,1.09E+04
1.30E+03,0.00E+00,9.63E+03
1.31E+03,0.00E+00,8.56E+03
1.33E+03,0.00E+00,5.31E+03
1.34E+03,0.00E+00,1.31E+03
1.36E+03,0.00E+00,6.25E+02
1.38E+03,0.00E+00,1.25E+02
1.39E+03,0.00E+00,1.06E+03
1.41E+03,0.00E+00,3.75E+02
1.42E+03,0.00E+00,0.00E+00
1.44E+03,0.00E+00,0.00E+00
1.46E+03,0.00E+00,0.00E+00
1.47E+03,0.00E+00,0.00E+00
1.49E+03,0.00E+00,0.00E+00
1.50E+03,0.00E+00,0.00E+00
1.52E+03,0.00E+00,0.00E+00
1.54E+03,0.00E+00,0.00E+00
1.55E+03,0.00E+00,0.00E+00
1.57E+03,0.00E+00,0.00E+00
1.58E+03,0.00E+00,0.00E+00
1.60E+03,0.00E+00,0.00E+00
