DEPTH         Si            C       
160100.E-04  5683.81E-05  2528.80E-04  
320100.E-04  6679.63E-05  3424.13E-04  
480100.E-04  6829.82E-05  3856.41E-04  
640100.E-04  6985.13E-05  4173.72E-04  
800100.E-04  7087.82E-05  4424.34E-04  
960100.E-04  7214.07E-05  4665.34E-04  
112010.E-03  7391.89E-05  4858.55E-04  
128010.E-03  7507.01E-05  5040.39E-04  
144010.E-03  7692.01E-05  5203.69E-04  
160010.E-03  7869.64E-05  5434.98E-04  
176010.E-03  8105.02E-05  5618.56E-04  
192010.E-03  8279.27E-05  5820.45E-04  
208010.E-03  8495.90E-05  5984.11E-04  
224010.E-03  8722.71E-05  6144.32E-04  
240010.E-03  8906.40E-05  6327.47E-04  
256010.E-03  9152.28E-05  6518.39E-04  
272010.E-03  9432.34E-05  6720.18E-04  
288010.E-03  9659.28E-05  6916.40E-04  
304010.E-03  9884.72E-05  7107.95E-04  
320010.E-03  1012.94E-04  7324.60E-04  
336010.E-03  1043.36E-04  7488.69E-04  
352010.E-03  1068.12E-04  7665.25E-04  
368010.E-03  1087.55E-04  7823.23E-04  
384010.E-03  1111.02E-04  7939.65E-04  
400010.E-03  1137.23E-04  8121.63E-04  
416010.E-03  1152.73E-04  8265.90E-04  
432010.E-03  1176.16E-04  8402.57E-04  
448010.E-03  1195.94E-04  8496.28E-04  
464010.E-03  1206.61E-04  8613.52E-04  
480010.E-03  1228.45E-04  8684.80E-04  
496010.E-03  1230.28E-04  8719.26E-04  
512010.E-03  1240.36E-04  8686.61E-04  
528010.E-03  1237.68E-04  8640.52E-04  
544010.E-03  1221.19E-04  8548.48E-04  
560010.E-03  1216.89E-04  8433.77E-04  
576010.E-03  1187.83E-04  8245.79E-04  
592010.E-03  1157.71E-04  8035.83E-04  
608010.E-03  1113.58E-04  7744.33E-04  
624010.E-03  1065.24E-04  7438.83E-04  
640010.E-03  1012.24E-04  7066.61E-04  
656010.E-03  9609.66E-05  6690.19E-04  
672010.E-03  8996.59E-05  6274.41E-04  
688010.E-03  8341.08E-05  5810.11E-04  
704010.E-03  7573.58E-05  5320.86E-04  
720010.E-03  6848.82E-05  4797.18E-04  
736010.E-03  6146.00E-05  4316.80E-04  
752010.E-03  5399.43E-05  3813.05E-04  
768010.E-03  4611.48E-05  3326.23E-04  
784010.E-03  3920.16E-05  2869.37E-04  
800010.E-03  3273.91E-05  2444.96E-04  
816010.E-03  2697.09E-05  2052.80E-04  
832010.E-03  2180.15E-05  1695.52E-04  
848010.E-03  1737.27E-05  1379.32E-04  
864010.E-03  1329.26E-05  1103.63E-04  
880010.E-03  9938.22E-06  8704.65E-05  
896010.E-03  7038.82E-06  6713.69E-05  
912010.E-03  5229.43E-06  5234.55E-05  
928010.E-03  3681.91E-06  4023.54E-05  
944010.E-03  2561.28E-06  3142.91E-05  
960010.E-03  1695.02E-06  2351.15E-05  
976010.E-03  1071.26E-06  1763.83E-05  
992010.E-03  6812.57E-07  1338.83E-05  
100801.E-02  4350.04E-07  1030.64E-05  
102401.E-02  2656.28E-07  7788.20E-06  
104001.E-02  1556.27E-07  5911.31E-06  
105601.E-02  8187.58E-08  4606.92E-06  
107201.E-02  4562.55E-08  3786.91E-06  
108801.E-02  3375.03E-08  3013.16E-06  
110401.E-02  1937.52E-08  2358.77E-06  
112001.E-02  1500.02E-08  1786.27E-06  
113601.E-02  8750.09E-09  1346.26E-06  
115201.E-02  8750.09E-09  9850.10E-07  
116801.E-02  1437.51E-08  8518.84E-07  
118401.E-02  4375.04E-09  5387.55E-07  
120001.E-02  0000.00E+00  4362.54E-07  
121601.E-02  0000.00E+00  3012.53E-07  
123201.E-02  0000.00E+00  1956.27E-07  
124801.E-02  0000.00E+00  1687.52E-07  
126401.E-02  0000.00E+00  1350.01E-07  
128001.E-02  0000.00E+00  9625.10E-08  
129601.E-02  0000.00E+00  9625.10E-08  
131201.E-02  0000.00E+00  7187.57E-08  
132801.E-02  0000.00E+00  4187.54E-08  
134401.E-02  0000.00E+00  1125.01E-08  
136001.E-02  0000.00E+00  4375.04E-09  
137601.E-02  0000.00E+00  1875.02E-09  
139201.E-02  0000.00E+00  1062.51E-08  
140801.E-02  0000.00E+00  1875.02E-09  
142401.E-02  0000.00E+00  0000.00E+00  
144001.E-02  0000.00E+00  0000.00E+00  
145601.E-02  0000.00E+00  0000.00E+00  
147201.E-02  0000.00E+00  0000.00E+00  
148801.E-02  0000.00E+00  0000.00E+00  
150401.E-02  0000.00E+00  0000.00E+00  
152001.E-02  0000.00E+00  0000.00E+00  
153601.E-02  0000.00E+00  0000.00E+00  
155201.E-02  0000.00E+00  0000.00E+00  
156801.E-02  0000.00E+00  0000.00E+00  
158401.E-02  0000.00E+00  0000.00E+00  
160001.E-02  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
