DEPTH,Si,C
4.01E+00,2.50E+02,3.83E+07
8.01E+00,1.75E+03,4.39E+07
1.20E+01,5.00E+03,5.72E+07
1.60E+01,1.28E+04,6.68E+07
2.00E+01,3.28E+04,7.51E+07
2.40E+01,7.10E+04,8.25E+07
2.80E+01,1.24E+05,8.91E+07
3.20E+01,1.88E+05,9.48E+07
3.60E+01,2.64E+05,1.00E+08
4.00E+01,3.46E+05,1.05E+08
4.40E+01,4.45E+05,1.09E+08
4.80E+01,5.43E+05,1.13E+08
5.20E+01,6.51E+05,1.16E+08
5.60E+01,7.59E+05,1.17E+08
6.00E+01,8.61E+05,1.17E+08
6.40E+01,9.50E+05,1.17E+08
6.80E+01,1.05E+06,1.16E+08
7.20E+01,1.15E+06,1.13E+08
7.60E+01,1.17E+06,1.10E+08
8.00E+01,1.22E+06,1.06E+08
8.40E+01,1.23E+06,1.02E+08
8.80E+01,1.28E+06,9.54E+07
9.20E+01,1.23E+06,8.94E+07
9.60E+01,1.23E+06,8.32E+07
1.00E+02,1.21E+06,7.64E+07
1.04E+02,1.14E+06,6.97E+07
1.08E+02,1.06E+06,6.28E+07
1.12E+02,1.01E+06,5.58E+07
1.16E+02,9.14E+05,4.91E+07
1.20E+02,7.92E+05,4.31E+07
1.24E+02,7.11E+05,3.73E+07
1.28E+02,6.26E+05,3.18E+07
1.32E+02,5.45E+05,2.70E+07
1.36E+02,4.43E+05,2.26E+07
1.40E+02,3.77E+05,1.89E+07
1.44E+02,3.20E+05,1.55E+07
1.48E+02,2.49E+05,1.28E+07
1.52E+02,1.93E+05,1.04E+07
1.56E+02,1.56E+05,8.45E+06
1.60E+02,1.25E+05,6.78E+06
1.64E+02,8.88E+04,5.45E+06
1.68E+02,6.58E+04,4.40E+06
1.72E+02,5.40E+04,3.46E+06
1.76E+02,3.95E+04,2.72E+06
1.80E+02,2.75E+04,2.13E+06
1.84E+02,1.60E+04,1.74E+06
1.88E+02,1.08E+04,1.40E+06
1.92E+02,9.75E+03,1.13E+06
1.96E+02,6.00E+03,8.69E+05
2.00E+02,2.25E+03,6.75E+05
2.04E+02,3.00E+03,5.87E+05
2.08E+02,2.50E+03,4.91E+05
2.12E+02,1.00E+03,3.68E+05
2.16E+02,0.00E+00,2.96E+05
2.20E+02,5.00E+02,2.13E+05
2.24E+02,2.50E+02,1.55E+05
2.28E+02,0.00E+00,1.35E+05
2.32E+02,0.00E+00,1.08E+05
2.36E+02,0.00E+00,8.43E+04
2.40E+02,0.00E+00,5.98E+04
2.44E+02,0.00E+00,4.25E+04
2.48E+02,0.00E+00,4.10E+04
2.52E+02,0.00E+00,2.98E+04
2.56E+02,0.00E+00,2.30E+04
2.60E+02,0.00E+00,1.20E+04
2.64E+02,0.00E+00,1.38E+04
2.68E+02,0.00E+00,6.50E+03
2.72E+02,0.00E+00,8.25E+03
2.76E+02,0.00E+00,4.00E+03
2.80E+02,0.00E+00,1.50E+03
2.84E+02,0.00E+00,2.50E+02
2.88E+02,0.00E+00,2.50E+02
2.92E+02,0.00E+00,0.00E+00
2.96E+02,0.00E+00,0.00E+00
3.00E+02,0.00E+00,0.00E+00
3.04E+02,0.00E+00,0.00E+00
3.08E+02,0.00E+00,0.00E+00
3.12E+02,0.00E+00,0.00E+00
3.16E+02,0.00E+00,0.00E+00
3.20E+02,0.00E+00,0.00E+00
3.24E+02,0.00E+00,0.00E+00
3.28E+02,0.00E+00,0.00E+00
3.32E+02,0.00E+00,0.00E+00
3.36E+02,0.00E+00,0.00E+00
3.40E+02,0.00E+00,0.00E+00
3.44E+02,0.00E+00,0.00E+00
3.48E+02,0.00E+00,0.00E+00
3.52E+02,0.00E+00,0.00E+00
3.56E+02,0.00E+00,0.00E+00
3.60E+02,0.00E+00,0.00E+00
3.64E+02,0.00E+00,0.00E+00
3.68E+02,0.00E+00,0.00E+00
3.72E+02,0.00E+00,0.00E+00
3.76E+02,0.00E+00,0.00E+00
3.80E+02,0.00E+00,0.00E+00
3.84E+02,0.00E+00,0.00E+00
3.88E+02,0.00E+00,0.00E+00
3.92E+02,0.00E+00,0.00E+00
3.96E+02,0.00E+00,0.00E+00
4.00E+02,0.00E+00,0.00E+00
