DEPTH,Si,C
1.00E+01,1.00E+02,3.02E+07
2.00E+01,0.00E+00,4.02E+07
3.00E+01,0.00E+00,4.75E+07
4.00E+01,5.00E+02,5.25E+07
5.00E+01,1.30E+03,5.65E+07
6.00E+01,2.80E+03,6.02E+07
7.00E+01,5.90E+03,6.35E+07
8.00E+01,7.00E+03,6.67E+07
9.00E+01,1.16E+04,6.96E+07
1.00E+02,1.70E+04,7.22E+07
1.10E+02,2.19E+04,7.48E+07
1.20E+02,2.88E+04,7.80E+07
1.30E+02,3.68E+04,8.03E+07
1.40E+02,4.53E+04,8.33E+07
1.50E+02,5.32E+04,8.62E+07
1.60E+02,6.44E+04,8.88E+07
1.70E+02,7.68E+04,9.16E+07
1.80E+02,8.95E+04,9.32E+07
1.90E+02,1.09E+05,9.52E+07
2.00E+02,1.20E+05,9.73E+07
2.10E+02,1.31E+05,9.92E+07
2.20E+02,1.53E+05,1.01E+08
2.30E+02,1.71E+05,1.02E+08
2.40E+02,1.93E+05,1.03E+08
2.50E+02,2.09E+05,1.05E+08
2.60E+02,2.29E+05,1.05E+08
2.70E+02,2.52E+05,1.05E+08
2.80E+02,2.64E+05,1.05E+08
2.90E+02,2.99E+05,1.05E+08
3.00E+02,3.10E+05,1.03E+08
3.10E+02,3.22E+05,1.01E+08
3.20E+02,3.42E+05,9.93E+07
3.30E+02,3.67E+05,9.69E+07
3.40E+02,3.80E+05,9.40E+07
3.50E+02,3.71E+05,9.03E+07
3.60E+02,3.79E+05,8.62E+07
3.70E+02,3.83E+05,8.25E+07
3.80E+02,3.89E+05,7.81E+07
3.90E+02,3.84E+05,7.31E+07
4.00E+02,3.56E+05,6.77E+07
4.10E+02,3.67E+05,6.26E+07
4.20E+02,3.45E+05,5.76E+07
4.30E+02,3.37E+05,5.23E+07
4.40E+02,3.02E+05,4.71E+07
4.50E+02,2.91E+05,4.19E+07
4.60E+02,2.66E+05,3.70E+07
4.70E+02,2.41E+05,3.27E+07
4.80E+02,2.09E+05,2.83E+07
4.90E+02,1.97E+05,2.43E+07
5.00E+02,1.60E+05,2.07E+07
5.10E+02,1.43E+05,1.75E+07
5.20E+02,1.19E+05,1.47E+07
5.30E+02,9.98E+04,1.22E+07
5.40E+02,8.46E+04,1.01E+07
5.50E+02,6.66E+04,8.36E+06
5.60E+02,5.09E+04,6.67E+06
5.70E+02,4.13E+04,5.37E+06
5.80E+02,3.11E+04,4.20E+06
5.90E+02,2.44E+04,3.39E+06
6.00E+02,1.73E+04,2.69E+06
6.10E+02,1.04E+04,2.13E+06
6.20E+02,8.40E+03,1.62E+06
6.30E+02,4.20E+03,1.33E+06
6.40E+02,3.00E+03,1.06E+06
6.50E+02,2.50E+03,8.27E+05
6.60E+02,1.30E+03,6.89E+05
6.70E+02,7.00E+02,5.82E+05
6.80E+02,1.10E+03,4.78E+05
6.90E+02,5.00E+02,3.72E+05
7.00E+02,1.00E+02,2.85E+05
7.10E+02,1.00E+02,2.42E+05
7.20E+02,1.00E+02,1.97E+05
7.30E+02,0.00E+00,1.63E+05
7.40E+02,1.00E+02,1.19E+05
7.50E+02,0.00E+00,1.08E+05
7.60E+02,0.00E+00,6.88E+04
7.70E+02,0.00E+00,5.51E+04
7.80E+02,0.00E+00,4.43E+04
7.90E+02,0.00E+00,3.72E+04
8.00E+02,0.00E+00,3.04E+04
8.10E+02,0.00E+00,2.47E+04
8.20E+02,0.00E+00,1.87E+04
8.30E+02,0.00E+00,1.19E+04
8.40E+02,0.00E+00,7.00E+03
8.50E+02,0.00E+00,8.40E+03
8.60E+02,0.00E+00,6.80E+03
8.70E+02,0.00E+00,6.30E+03
8.80E+02,0.00E+00,2.80E+03
8.90E+02,0.00E+00,3.50E+03
9.00E+02,0.00E+00,1.70E+03
9.10E+02,0.00E+00,3.00E+02
9.20E+02,0.00E+00,4.00E+02
9.30E+02,0.00E+00,7.00E+02
9.40E+02,0.00E+00,6.00E+02
9.50E+02,0.00E+00,4.00E+02
9.60E+02,0.00E+00,2.00E+02
9.70E+02,0.00E+00,0.00E+00
9.80E+02,0.00E+00,0.00E+00
9.90E+02,0.00E+00,0.00E+00
1.00E+03,0.00E+00,0.00E+00
