DEPTH,Si,C
4.01E+00,1.30E-01,3.83E-01
8.01E+00,1.63E-01,4.85E-01
1.20E+01,1.72E-01,5.95E-01
1.60E+01,1.82E-01,6.81E-01
2.00E+01,1.90E-01,7.60E-01
2.40E+01,1.98E-01,8.22E-01
2.80E+01,2.06E-01,8.84E-01
3.20E+01,2.14E-01,9.36E-01
3.60E+01,2.21E-01,9.81E-01
4.00E+01,2.29E-01,1.03E+00
4.40E+01,2.34E-01,1.06E+00
4.80E+01,2.39E-01,1.09E+00
5.20E+01,2.42E-01,1.11E+00
5.60E+01,2.43E-01,1.12E+00
6.00E+01,2.42E-01,1.12E+00
6.40E+01,2.39E-01,1.11E+00
6.80E+01,2.34E-01,1.09E+00
7.20E+01,2.27E-01,1.06E+00
7.60E+01,2.18E-01,1.03E+00
8.00E+01,2.07E-01,9.85E-01
8.40E+01,1.93E-01,9.28E-01
8.80E+01,1.79E-01,8.72E-01
9.20E+01,1.65E-01,8.10E-01
9.60E+01,1.51E-01,7.47E-01
1.00E+02,1.36E-01,6.85E-01
1.04E+02,1.20E-01,6.15E-01
1.08E+02,1.05E-01,5.46E-01
1.12E+02,9.11E-02,4.83E-01
1.16E+02,7.76E-02,4.23E-01
1.20E+02,6.50E-02,3.67E-01
1.24E+02,5.43E-02,3.14E-01
1.28E+02,4.46E-02,2.64E-01
1.32E+02,3.52E-02,2.23E-01
1.36E+02,2.88E-02,1.85E-01
1.40E+02,2.25E-02,1.52E-01
1.44E+02,1.79E-02,1.25E-01
1.48E+02,1.33E-02,1.02E-01
1.52E+02,1.02E-02,8.20E-02
1.56E+02,7.38E-03,6.56E-02
1.60E+02,5.56E-03,5.30E-02
1.64E+02,4.15E-03,4.23E-02
1.68E+02,3.00E-03,3.37E-02
1.72E+02,1.98E-03,2.64E-02
1.76E+02,1.28E-03,2.07E-02
1.80E+02,8.73E-04,1.64E-02
1.84E+02,5.65E-04,1.30E-02
1.88E+02,4.15E-04,1.08E-02
1.92E+02,2.60E-04,8.31E-03
1.96E+02,1.75E-04,6.50E-03
2.00E+02,1.20E-04,5.30E-03
2.04E+02,7.50E-05,4.61E-03
2.08E+02,4.00E-05,3.59E-03
2.12E+02,1.50E-05,2.77E-03
2.16E+02,7.50E-06,2.02E-03
2.20E+02,2.50E-06,1.51E-03
2.24E+02,0.00E+00,1.11E-03
2.28E+02,0.00E+00,9.95E-04
2.32E+02,0.00E+00,8.10E-04
2.36E+02,0.00E+00,5.85E-04
2.40E+02,0.00E+00,3.95E-04
2.44E+02,0.00E+00,3.40E-04
2.48E+02,0.00E+00,3.23E-04
2.52E+02,0.00E+00,2.05E-04
2.56E+02,0.00E+00,1.43E-04
2.60E+02,0.00E+00,9.00E-05
2.64E+02,0.00E+00,6.25E-05
2.68E+02,0.00E+00,7.25E-05
2.72E+02,0.00E+00,7.00E-05
2.76E+02,0.00E+00,1.25E-05
2.80E+02,0.00E+00,2.50E-06
2.84E+02,0.00E+00,0.00E+00
2.88E+02,0.00E+00,0.00E+00
2.92E+02,0.00E+00,0.00E+00
2.96E+02,0.00E+00,0.00E+00
3.00E+02,0.00E+00,0.00E+00
3.04E+02,0.00E+00,0.00E+00
3.08E+02,0.00E+00,0.00E+00
3.12E+02,0.00E+00,0.00E+00
3.16E+02,0.00E+00,0.00E+00
3.20E+02,0.00E+00,0.00E+00
3.24E+02,0.00E+00,0.00E+00
3.28E+02,0.00E+00,0.00E+00
3.32E+02,0.00E+00,0.00E+00
3.36E+02,0.00E+00,0.00E+00
3.40E+02,0.00E+00,0.00E+00
3.44E+02,0.00E+00,0.00E+00
3.48E+02,0.00E+00,0.00E+00
3.52E+02,0.00E+00,0.00E+00
3.56E+02,0.00E+00,0.00E+00
3.60E+02,0.00E+00,0.00E+00
3.64E+02,0.00E+00,0.00E+00
3.68E+02,0.00E+00,0.00E+00
3.72E+02,0.00E+00,0.00E+00
3.76E+02,0.00E+00,0.00E+00
3.80E+02,0.00E+00,0.00E+00
3.84E+02,0.00E+00,0.00E+00
3.88E+02,0.00E+00,0.00E+00
3.92E+02,0.00E+00,0.00E+00
3.96E+02,0.00E+00,0.00E+00
4.00E+02,0.00E+00,0.00E+00
