W,I
550.006881566683,665
550.09430692421665,664
550.181731983101,664
550.26915674314751,644
550.356581204167,644
550.44400536597141,654
550.53142922837162,654
550.61885279117894,654
550.70627605420464,656
550.79369901726034,660
550.88112168015687,660
550.968544042706,673
551.05596610471844,689
551.14338786600592,689
551.23080932637959,689
551.31823048565082,685
551.40565134363089,689
551.493071900131,679
551.58049215496249,679
551.66791210793667,679
551.75533175886494,679
551.84275110755834,679
551.93017015382861,678
552.01758889748658,669
552.10500733834385,678
552.1924254762115,669
552.279843310901,672
552.36726084222369,672
552.45467806999079,672
552.54209499401372,664
552.62951161410354,660
552.716927930072,655
552.80434394172983,649
552.89175964888875,648
552.97917505136013,648
553.0665901489549,648
553.1540049414848,656
553.24141942876088,661
553.32883361059453,661
553.41624748679715,659
553.5036610571799,659
553.59107432155429,659
553.67848727973148,659
553.76589993152277,656
553.85331227673964,657
553.94072431519339,656
554.02813604669529,657
554.11554747105674,658
554.2029585880889,658
554.29036939760329,658
554.37777989941117,658
554.46519009332383,661
554.55259997915255,658
554.64000955670883,663
554.727418825804,658
554.81482778624934,657
554.90223643785612,657
554.9896447804357,660
555.07705281379958,665
555.16446053775894,661
555.25186795212517,661
555.33927505670954,661
555.42668185132345,664
555.5140883357783,664
555.60149450988547,661
555.68890037345614,661
555.7763059263018,663
555.86371116823364,663
555.95111609906326,666
556.03852071860183,658
556.12592502666075,666
556.21332902305141,665
556.300732707585,667
556.3881360800732,670
556.4755391403271,671
556.562941888158,671
556.65034432337768,672
556.737746445797,676
556.82514825522765,676
556.9125497514807,668
556.99995093436792,668
557.08735180370036,672
557.17475235928953,673
557.26215260094671,674
557.34955252848329,679
557.43695214171066,679
557.52435144044023,692
557.61175042448338,668
557.69914909365139,682
557.78654744775565,678
557.87394548660757,682
557.96134321001864,691
558.0487406178,698
558.13613770976326,698
558.2235344857196,673
558.31093094548055,673
558.39832708885751,683
558.48572291566177,686
558.57311842570482,697
558.66051361879784,697
558.74790849475244,680
558.83530305337979,680
558.92269729449151,713
559.010091217899,804
559.09748482341342,1023
559.18487811084628,1023
559.272271080009,870
559.35966373071312,724
559.44705606276966,695
559.53444807599033,694
559.62183977018651,694
559.7092311451695,701
559.79662220075079,701
559.88401293674156,693
559.97140335295353,681
560.05879344919788,693
560.14618322528611,690
560.23357268102961,690
560.32096181623979,683
560.40835063072825,683
560.495739124306,693
560.58312729678471,694
560.67051514797583,693
560.75790267769071,683
560.84528988574073,683
560.93267677193728,690
561.020063336092,701
561.107449578016,696
561.194835497521,702
561.28222109441811,696
561.36960636851893,702
561.456991319635,685
561.54437594757758,703
561.63176025215819,694
561.71914423318822,702
561.806527890479,702
561.893911223842,722
561.98129423308887,738
562.06867691803086,738
562.15605927847935,718
562.24344131424584,708
562.330823025142,708
562.41820441097866,708
562.505585471568,702
562.592966206721,702
562.68034661624927,687
562.76772669996421,698
562.85510645767727,698
562.94248588919993,706
563.02986499434348,706
563.11724377291944,706
563.20462222473941,708
563.29200034961491,708
563.379378147357,685
563.46675561777738,685
563.55413276068759,690
563.64150957589891,700
563.728886063223,700
563.816262222471,700
563.90363805345464,711
563.99101355598543,711
564.07838872987463,713
564.16576357493386,718
564.2531380909744,726
564.34051227780787,734
564.42788613524579,734
564.51525966309941,738
564.6026328611805,738
564.6900057293002,733
564.77737826727025,733
564.86475047490194,760
564.95212235200711,808
565.0394938983967,808
565.12686511388256,760
565.21423599827608,745
565.30160655138866,744
565.38897677303191,742
565.47634666301735,744
565.56371622115626,745
565.65108544726024,745
565.73845434114094,737
565.8258229026095,731
565.91319113147767,728
566.000559027557,731
566.08792659065864,733
566.17529382059456,733
566.26266071717589,733
566.35002728021425,740
566.43739350952114,740
566.52475940490808,731
566.61212496618657,731
566.69949019316812,738
566.78685508566423,751
566.8742196434863,753
566.96158386644606,774
567.04894775435469,778
567.13631130702413,781
567.22367452426545,781
567.31103740589049,781
567.39839995171076,781
567.48576216153754,819
567.57312403518245,819
567.66048557245711,802
567.747846773173,762
567.83520763714159,761
567.92256816417444,759
568.009928354083,759
568.09728820667885,759
568.18464772177356,781
568.27200689917856,810
568.35936573870549,810
568.446724240166,799
568.53408240337114,791
568.621440228133,790
568.70879771426291,789
568.79615486157229,789
568.88351166987275,810
568.9708681389759,813
569.05822426869315,817
