W,I
580.00432045436457,1524
580.09166969922057,1524
580.17901863471025,1524
580.26636726064476,1512
580.35371557683561,1496
580.44106358309421,1444
580.52841127923216,1431
580.61575866506064,1431
580.70310574039092,1431
580.79045250503464,1431
580.87779895880328,1422
580.96514510150791,1422
581.05249093296015,1420
581.13983645297139,1404
581.22718166135314,1397
581.31452655791645,1369
581.401871142473,1361
581.48921541483423,1361
581.5765593748115,1358
581.66390302221612,1358
581.75124635685961,1345
581.83858937855337,1292
581.92593208710878,1285
582.01327448233724,1282
582.10061656405026,1282
582.187958332059,1282
582.27529978617531,1252
582.36264092621013,1240
582.44998175197532,1235
582.53732226328214,1224
582.62466245994176,1212
582.71200234176592,1168
582.79934190856591,1168
582.88668116015322,1168
582.97402009633925,1150
583.06135871693539,1121
583.14869702175315,1098
583.23603501060381,1098
583.323372683299,1096
583.41071003965,1096
583.49804707946828,1096
583.58538380256539,1050
583.67272020875259,1050
583.76005629784129,1026
583.84739206964332,1017
583.93472752396963,1013
584.022062660632,1010
584.10939747944155,1001
584.19673198021007,999
584.28406616274879,999
584.37140002686931,966
584.4587335723827,966
584.54606679910091,950
584.633399706835,948
584.72073229539672,946
584.80806456459743,946
584.89539651424843,934
584.98272814416134,934
585.07005945414755,929
585.15739044401835,899
585.24472111358557,898
585.33205146266039,898
585.41938149105442,883
585.506711198579,883
585.5940405850456,881
585.68136965026576,877
585.76869839405083,873
585.85602681621231,857
585.94335491656182,856
586.03068269491075,856
586.11801015107039,840
586.20533728485236,840
586.29266409606817,840
586.37999058452931,840
586.46731675004708,808
586.55464259243308,808
586.64196811149873,808
586.72929330705574,824
586.81661817891518,824
586.90394272688877,824
586.991266950788,818
587.07859085042435,818
587.16591442560923,798
587.25323767615407,798
587.34056060187061,798
587.42788320257011,798
587.5152054780641,797
587.60252742816408,787
587.68984905268155,786
587.77717035142791,785
587.8644913242149,778
587.9518119708539,778
588.03913229115619,778
588.12645228493352,779
588.21377195199727,779
588.301091292159,779
588.3884103052302,790
588.47572899102249,790
588.56304734934713,790
588.65036538001573,781
588.73768308283979,775
588.82500045763072,775
588.91231750420036,774
588.99963422235987,774
589.08695061192088,774
589.1742666726949,771
589.26158240449342,771
589.34889780712808,771
589.43621288041027,771
589.5235276241516,771
589.61084203816347,771
589.69815612225739,770
589.78546987624509,770
589.87278329993785,770
589.96009639314707,771
590.0474091556847,771
590.13472158736215,773
590.2220336879908,773
590.30934545738216,779
590.396656895348,779
590.48396800169951,779
590.57127877624839,778
590.65858921880624,773
590.74589932918445,773
590.83320910719476,773
590.92051855264845,778
591.00782766535747,779
591.09513644513277,779
591.18244489178642,779
591.2697530051297,769
591.357060784974,769
591.44436823113131,769
591.53167534341287,769
591.61898212163032,773
591.70628856559517,773
591.79359467511892,773
