W,I
550.006881566683,34
550.09430692421665,43
550.181731983101,37
550.26915674314751,44
550.356581204167,35
550.44400536597141,28
550.53142922837162,23
550.61885279117894,40
550.70627605420464,41
550.79369901726034,41
550.88112168015687,49
550.968544042706,40
551.05596610471844,43
551.14338786600592,45
551.23080932637959,47
551.31823048565082,43
551.40565134363089,38
551.493071900131,44
551.58049215496249,44
551.66791210793667,39
551.75533175886494,41
551.84275110755834,45
551.93017015382861,45
552.01758889748658,45
552.10500733834385,42
552.1924254762115,49
552.279843310901,41
552.36726084222369,48
552.45467806999079,41
552.54209499401372,37
552.62951161410354,35
552.716927930072,31
552.80434394172983,41
552.89175964888875,45
552.97917505136013,41
553.0665901489549,48
553.1540049414848,47
553.24141942876088,41
553.32883361059453,41
553.41624748679715,42
553.5036610571799,39
553.59107432155429,35
553.67848727973148,46
553.76589993152277,44
553.85331227673964,39
553.94072431519339,40
554.02813604669529,40
554.11554747105674,49
554.2029585880889,53
554.29036939760329,51
554.37777989941117,35
554.46519009332383,38
554.55259997915255,37
554.64000955670883,44
554.727418825804,44
554.81482778624934,45
554.90223643785612,48
554.9896447804357,48
555.07705281379958,51
555.16446053775894,45
555.25186795212517,43
555.33927505670954,37
555.42668185132345,41
555.5140883357783,44
555.60149450988547,42
555.68890037345614,41
555.7763059263018,37
555.86371116823364,43
555.95111609906326,41
556.03852071860183,42
556.12592502666075,39
556.21332902305141,48
556.300732707585,47
556.3881360800732,51
556.4755391403271,47
556.562941888158,50
556.65034432337768,42
556.737746445797,45
556.82514825522765,39
556.9125497514807,53
556.99995093436792,40
557.08735180370036,42
557.17475235928953,43
557.26215260094671,41
557.34955252848329,36
557.43695214171066,44
557.52435144044023,38
557.61175042448338,40
557.69914909365139,39
557.78654744775565,41
557.87394548660757,47
557.96134321001864,41
558.0487406178,42
558.13613770976326,52
558.2235344857196,46
558.31093094548055,52
558.39832708885751,40
558.48572291566177,45
558.57311842570482,41
558.66051361879784,42
558.74790849475244,40
558.83530305337979,33
558.92269729449151,36
559.010091217899,41
559.09748482341342,38
559.18487811084628,45
559.272271080009,43
559.35966373071312,46
559.44705606276966,42
559.53444807599033,38
559.62183977018651,34
559.7092311451695,32
559.79662220075079,43
559.88401293674156,49
559.97140335295353,47
560.05879344919788,48
560.14618322528611,42
560.23357268102961,49
560.32096181623979,41
560.40835063072825,43
560.495739124306,47
560.58312729678471,40
560.67051514797583,44
560.75790267769071,40
560.84528988574073,41
560.93267677193728,32
561.020063336092,28
561.107449578016,49
561.194835497521,48
561.28222109441811,49
561.36960636851893,50
561.456991319635,37
561.54437594757758,39
561.63176025215819,36
561.71914423318822,53
561.806527890479,48
561.893911223842,41
561.98129423308887,35
562.06867691803086,38
562.15605927847935,51
562.24344131424584,50
562.330823025142,50
562.41820441097866,48
562.505585471568,46
562.592966206721,49
562.68034661624927,53
562.76772669996421,43
562.85510645767727,42
562.94248588919993,43
563.02986499434348,49
563.11724377291944,47
563.20462222473941,40
563.29200034961491,37
563.379378147357,48
563.46675561777738,51
563.55413276068759,49
563.64150957589891,45
563.728886063223,47
563.816262222471,52
563.90363805345464,49
563.99101355598543,48
564.07838872987463,41
564.16576357493386,41
564.2531380909744,39
564.34051227780787,38
564.42788613524579,38
564.51525966309941,39
564.6026328611805,35
564.6900057293002,36
564.77737826727025,41
564.86475047490194,46
564.95212235200711,49
565.0394938983967,48
565.12686511388256,43
565.21423599827608,47
565.30160655138866,43
565.38897677303191,47
565.47634666301735,48
565.56371622115626,49
565.65108544726024,46
565.73845434114094,39
565.8258229026095,44
565.91319113147767,45
566.000559027557,45
566.08792659065864,46
566.17529382059456,50
566.26266071717589,43
566.35002728021425,45
566.43739350952114,46
566.52475940490808,50
566.61212496618657,57
566.69949019316812,52
566.78685508566423,45
566.8742196434863,47
566.96158386644606,55
567.04894775435469,53
567.13631130702413,45
