w,i
560.0457526,662
560.1337344,661
560.2217157,636
560.3096965,657
560.3976769,637
560.4856568,663
560.5736362,657
560.6616152,643
560.7495936,649
560.8375716,667
560.9255491,652
561.0135261,641
561.1015027,652
561.1894788,658
561.2774544,667
561.3654295,653
561.4534041,658
561.5413783,667
561.629352,638
561.7173252,659
561.8052979,649
561.8932701,667
561.9812419,648
562.0692132,657
562.157184,679
562.2451543,658
562.3331242,670
562.4210935,660
562.5090624,674
562.5970308,656
562.6849987,648
562.7729662,663
562.8609331,666
562.9488996,658
563.0368656,666
563.1248311,666
563.2127962,670
563.3007607,663
563.3887248,671
563.4766884,664
563.5646515,657
563.6526141,663
563.7405762,675
563.8285379,668
563.916499,662
564.0044597,652
564.0924199,665
564.1803796,652
564.2683389,646
564.3562976,669
564.4442559,668
564.5322137,669
564.620171,667
564.7081278,660
564.7960841,660
564.8840399,669
564.9719953,665
565.0599502,660
565.1479045,674
565.2358584,665
565.3238118,656
565.4117648,661
565.4997172,657
565.5876691,678
565.6756206,675
565.7635716,663
565.8515221,665
565.9394721,669
566.0274216,680
566.1153706,660
566.2033191,680
566.2912672,650
566.3792147,664
566.4671618,668
566.5551084,685
566.6430545,689
566.7310001,679
566.8189452,661
566.9068898,696
566.9948339,687
567.0827776,682
567.1707207,696
567.2586634,690
567.3466056,699
567.4345472,676
567.5224884,682
567.6104291,696
567.6983693,676
567.786309,686
567.8742483,682
567.962187,670
568.0501252,690
568.138063,696
568.2260002,687
568.313937,696
568.4018733,695
568.489809,706
568.5777443,694
568.6656791,698
568.7536134,704
568.8415472,685
568.9294805,697
569.0174133,696
569.1053457,708
569.1932775,713
569.2812088,680
569.3691397,700
569.45707,702
569.5449998,705
569.6329292,707
569.7208581,713
569.8087864,727
569.8967143,715
569.9846416,722
570.0725685,714
570.1604949,723
570.2484208,717
570.3363462,728
570.424271,749
570.5121954,718
570.6001193,729
570.6880427,728
570.7759656,751
570.863888,736
570.9518099,742
571.0397313,726
571.1276522,728
571.2155726,755
571.3034925,756
571.3914119,738
571.4793308,755
571.5672492,757
571.6551671,763
571.7430846,788
571.8310015,777
571.9189179,793
572.0068338,816
572.0947492,792
572.1826641,824
572.2705785,824
572.3584924,858
572.4464058,892
572.5343187,879
572.6222311,940
572.710143,952
572.7980544,1035
572.8859653,1077
572.9738757,1123
573.0617856,1238
573.149695,1393
573.2376039,1602
573.3255123,1874
573.4134202,2542
573.5013275,3764
573.5892344,7451
573.6771408,25799
573.7650467,65535
573.852952,65535
573.9408569,57903
574.0287612,15603
574.1166651,5281
574.2045684,2814
574.2924713,1975
574.3803736,1557
574.4682754,1344
574.5561768,1183
574.6440776,1042
574.7319779,1034
574.8198777,947
574.907777,921
574.9956758,846
575.0835741,785
575.1714719,786
575.2593691,798
575.3472659,755
575.4351622,761
575.5230579,749
575.6109532,761
575.6988479,714
575.7867421,696
575.8746359,719
575.9625291,699
576.0504218,727
576.138314,702
576.2262057,699
576.3140968,699
576.4019875,691
576.4898777,702
576.5777673,697
576.6656565,707
576.7535451,690
576.8414332,683
576.9293208,698
577.0172079,674
577.1050945,707
577.1929806,689
577.2808661,707
577.3687512,667
577.4566357,694
577.5445198,678
577.6324033,686
577.7202863,711
577.8081688,674
577.8960508,682
577.9839323,677
578.0718132,695
578.1596937,684
578.2475736,680
578.335453,688
578.4233319,672
578.5112103,691
578.5990882,686
578.6869656,683
578.7748424,674
578.8627187,672
578.9505946,685
579.0384699,703
579.1263447,690
579.214219,691
579.3020927,682
579.389966,690
579.4778387,700
579.5657109,694
579.6535826,703
579.7414538,689
579.8293245,678
579.9171946,667
580.0050642,692
580.0929334,683
580.180802,674
580.26867,677
580.3565376,679
580.4444047,681
580.5322712,708
580.6201372,673
580.7080027,685
580.7958677,701
580.8837321,684
580.9715961,677
581.0594595,684
581.1473224,673
581.2351848,676
581.3230466,686
581.410908,690
581.4987688,689
581.5866291,683
581.6744889,690
581.7623482,686
581.8502069,697
581.9380651,694
582.0259228,698
582.11378,686
582.2016367,671
582.2894928,681
582.3773484,687
582.4652035,698
582.5530581,681
582.6409122,677
582.7287657,712
582.8166187,696
582.9044712,699
582.9923231,698
583.0801746,694
583.1680255,693
583.2558759,677
583.3437258,715
583.4315751,706
583.5194239,714
583.6072722,717
583.69512,711
583.7829672,726
583.870814,734
583.9586602,718
584.0465058,719
584.134351,728
584.2221956,733
584.3100397,723
584.3978833,707
584.4857263,704
584.5735689,697
584.6614108,719
584.7492523,706
