w,i
550.046521,23
550.1345127,20
550.2225039,22
550.3104946,22
550.3984849,27
550.4864747,28
550.574464,25
550.6624529,25
550.7504412,26
550.8384291,22
550.9264166,26
551.0144035,22
551.10239,26
551.190376,31
551.2783615,29
551.3663466,27
551.4543312,23
551.5423153,30
551.6302989,23
551.7182821,30
551.8062647,29
551.8942469,28
551.9822287,28
552.0702099,30
552.1581907,30
552.246171,28
552.3341508,34
552.4221302,29
552.510109,33
552.5980874,31
552.6860653,27
552.7740428,35
552.8620197,36
552.9499962,34
553.0379722,35
553.1259477,37
553.2139228,34
553.3018973,35
553.3898714,31
553.477845,31
553.5658181,37
553.6537908,35
553.7417629,36
553.8297346,34
553.9177058,35
554.0056766,37
554.0936468,32
554.1816166,36
554.2695859,35
554.3575547,31
554.445523,37
554.5334908,38
554.6214582,40
554.7094251,36
554.7973915,38
554.8853574,37
554.9733228,43
555.0612878,36
555.1492522,41
555.2372162,39
555.3251797,41
555.4131427,39
555.5011053,36
555.5890673,40
555.6770289,38
555.76499,38
555.8529506,39
555.9409107,38
556.0288703,41
556.1168295,37
556.2047881,39
556.2927463,42
556.380704,38
556.4686612,36
556.5566179,45
556.6445741,38
556.7325299,48
556.8204852,44
556.9084399,41
556.9963942,47
557.084348,46
557.1723014,48
557.2602542,46
557.3482065,48
557.4361584,45
557.5241097,47
557.6120606,51
557.700011,48
557.7879609,44
557.8759103,51
557.9638593,47
558.0518077,51
558.1397557,48
558.2277031,50
558.3156501,50
558.4035966,51
558.4915426,56
558.5794881,53
558.6674331,48
558.7553776,49
558.8433216,57
558.9312652,51
559.0192082,50
559.1071508,54
559.1950929,54
559.2830345,56
559.3709755,56
559.4589161,57
559.5468563,59
559.6347959,58
559.722735,60
559.8106736,58
559.8986118,59
559.9865494,61
560.0744866,56
560.1624232,58
560.2503594,61
560.338295,61
560.4262302,57
560.5141649,69
560.6020991,62
560.6900328,61
560.777966,64
560.8658987,62
560.9538309,61
561.0417626,65
561.1296939,65
561.2176246,66
561.3055548,69
561.3934846,66
561.4814138,68
561.5693426,67
561.6572708,72
561.7451986,69
561.8331258,68
561.9210526,69
562.0089789,72
562.0969046,70
562.1848299,73
562.2727547,73
562.360679,73
562.4486027,71
562.536526,74
562.6244488,79
562.7123711,77
562.8002929,75
562.8882142,80
562.976135,80
563.0640552,77
563.151975,83
563.2398943,78
563.3278131,84
563.4157314,81
563.5036492,82
563.5915665,83
563.6794833,88
563.7673996,82
563.8553154,82
563.9432307,81
564.0311455,80
564.1190598,89
564.2069735,90
564.2948868,92
564.3827996,89
564.4707119,95
564.5586237,96
564.646535,87
564.7344457,92
564.822356,86
564.9102658,91
564.9981751,94
565.0860838,93
565.1739921,94
565.2618998,96
565.3498071,102
565.4377138,98
565.5256201,94
565.6135258,100
565.7014311,99
565.7893358,95
565.87724,103
565.9651438,106
566.053047,108
566.1409497,109
566.2288519,108
566.3167536,109
566.4046548,107
566.4925555,112
566.5804557,110
566.6683554,106
566.7562546,109
566.8441532,108
566.9320514,111
567.019949,112
567.1078462,113
567.1957428,113
567.2836389,116
567.3715346,118
567.4594297,113
567.5473243,125
567.6352184,122
567.723112,116
567.8110051,118
567.8988976,122
567.9867897,121
568.0746813,128
568.1625723,124
568.2504628,128
568.3383529,127
568.4262424,132
568.5141314,132
568.6020199,137
568.6899079,133
568.7777953,134
568.8656823,132
568.9535687,141
569.0414547,139
569.1293401,142
569.217225,141
569.3051094,143
569.3929933,140
569.4808767,148
569.5687596,151
569.656642,150
569.7445238,149
569.8324051,154
569.9202859,165
570.0081663,152
570.096046,162
570.1839253,166
570.2718041,169
570.3596823,171
570.4475601,179
570.5354373,179
570.623314,180
570.7111902,185
570.7990659,197
570.8869411,194
570.9748157,192
571.0626898,206
571.1505635,215
571.2384366,215
571.3263091,230
571.4141812,230
571.5020528,239
571.5899238,237
571.6777943,252
571.7656643,260
571.8535338,255
571.9414028,267
572.0292712,277
572.1171392,282
572.2050066,292
572.2928735,307
572.3807399,325
572.4686057,353
572.5564711,368
572.6443359,420
572.7322002,451
572.820064,502
572.9079273,582
572.99579,698
573.0836523,879
573.171514,1135
573.2593752,1747
573.3472358,3283
573.435096,9905
573.5229556,48789
573.6108147,64928
573.6986733,58546
573.7865314,21792
573.8743889,5729
573.962246,2264
574.0501025,1281
574.1379585,923
574.2258139,720
574.3136689,613
574.4015233,533
574.4893772,481
574.5772305,441
574.6650834,403
574.7529357,400
574.8407875,369
574.9286388,361
575.0164896,352
575.1043398,350
575.1921895,331
575.2800387,343
575.3678873,337
575.4557355,341
575.5435831,341
575.6314302,339
575.7192767,327
575.8071228,341
575.8949683,348
575.9828133,331
576.0706577,344
576.1585017,344
576.2463451,339
576.334188,340
576.4220303,351
576.5098722,348
576.5977135,347
576.6855542,350
576.7733945,337
576.8612342,348
576.9490734,337
577.0369121,340
577.1247502,342
577.2125878,345
577.3004249,342
577.3882615,330
577.4760975,335
577.563933,340
577.6517679,323
577.7396024,337
577.8274363,317
577.9152697,324
578.0031025,313
578.0909349,322
578.1787666,315
578.2665979,313
578.3544286,314
578.4422588,314
578.5300885,308
578.6179177,306
578.7057463,309
578.7935743,291
578.8814019,308
578.9692289,298
579.0570554,298
579.1448813,297
579.2327068,308
579.3205316,301
579.408356,298
579.4961798,303
579.5840031,296
579.6718259,298
579.7596481,296
579.8474698,289
579.9352909,296
580.0231115,296
580.1109316,298
580.1987512,301
580.2865702,293
580.3743887,288
580.4622066,295
580.5500241,296
580.6378409,294
580.7256573,300
580.8134731,297
580.9012884,297
580.9891031,300
581.0769173,300
581.164731,301
581.2525441,304
581.3403567,301
581.4281688,312
581.5159803,307
581.6037913,309
581.6916017,309
581.7794116,307
581.867221,315
581.9550298,319
582.0428381,307
582.1306459,316
582.2184531,310
582.3062598,303
582.3940659,319
582.4818715,309
582.5696766,318
582.6574811,323
582.7452851,322
582.8330886,315
582.9208915,310
583.0086938,314
583.0964957,315
583.1842969,325
583.2720977,321
583.3598979,331
583.4476976,322
583.5354967,327
583.6232953,318
583.7110933,330
583.7988908,332
583.8866878,325
583.9744842,331
584.0622801,334
584.1500754,326
584.2378702,324
584.3256644,337
584.4134582,332
584.5012513,333
584.5890439,339
584.676836,334
584.7646275,337
584.8524185,347
584.940209,340
585.0279989,341
585.1157882,339
585.2035771,345
585.2913653,351
585.3791531,339
585.4669402,350
585.5547269,342
585.642513,343
585.7302985,348
585.8180835,359
585.905868,345
585.9936519,364
586.0814352,349
586.169218,360
586.2570003,355
586.344782,346
586.4325632,355
586.5203438,360
586.6081239,358
586.6959034,358
586.7836824,365
586.8714609,364
586.9592387,367
587.0470161,364
587.1347929,366
587.2225691,368
587.3103448,374
587.39812,384
587.4858946,375
587.5736686,374
587.6614421,379
587.7492151,372
587.8369875,374
587.9247593,380
588.0125306,378
588.1003014,388
588.1880716,381
588.2758412,389
588.3636103,392
588.4513789,389
588.5391469,401
588.6269143,379
588.7146812,390
588.8024475,384
588.8902133,389
588.9779786,399
589.0657432,392
589.1535074,406
589.241271,399
589.329034,401
589.4167965,398
589.5045584,390
589.5923198,400
589.6800806,400
589.7678408,406
589.8556005,397
589.9433597,404
590.0311183,400
590.1188763,411
590.2066338,408
590.2943908,403
590.3821471,410
590.469903,398
590.5576582,397
590.645413,414
590.7331671,409
590.8209207,420
590.9086738,400
590.9964263,411
591.0841782,409
591.1719296,415
591.2596804,413
591.3474307,414
591.4351804,411
591.5229295,410
591.6106781,412
591.6984261,410
591.7861736,409
591.8739205,417
591.9616669,412
592.0494127,405
592.1371579,425
592.2249026,410
592.3126468,417
592.4003903,418
592.4881333,416
592.5758758,414
592.6636177,423
592.751359,403
592.8390998,412
592.92684,412
593.0145796,419
593.1023187,418
593.1900573,430
593.2777952,430
593.3655326,412
593.4532695,424
593.5410058,415
593.6287415,419
593.7164766,410
593.8042112,423
593.8919453,421
593.9796788,427
594.0674117,419
594.155144,429
594.2428758,424
594.330607,423
594.4183377,420
594.5060678,420
594.5937973,434
594.6815263,419
594.7692547,423
594.8569825,429
594.9447098,428
595.0324365,434
595.1201627,423
595.2078883,428
595.2956133,428
595.3833377,433
595.4710616,448
595.558785,435
595.6465077,426
595.7342299,426
595.8219515,434
595.9096726,449
595.9973931,437
596.085113,438
596.1728324,430
596.2605512,440
596.3482694,440
596.435987,442
596.5237041,439
596.6114207,438
596.6991366,450
596.786852,452
596.8745668,458
596.9622811,437
597.0499948,456
597.1377079,446
597.2254204,453
597.3131324,454
597.4008438,457
597.4885546,454
597.5762649,459
597.6639746,451
597.7516837,448
597.8393923,456
597.9271003,448
598.0148077,453
598.1025146,469
598.1902208,448
598.2779265,465
598.3656317,462
598.4533362,460
598.5410402,467
598.6287436,472
598.7164465,462
598.8041488,459
598.8918505,465
598.9795516,453
599.0672522,468
599.1549521,462
599.2426515,476
599.3303504,471
599.4180487,468
599.5057463,468
599.5934435,473
599.68114,478
599.768836,473
599.8565314,483
599.9442262,479
600.0319204,477
600.1196141,480
600.2073072,483
600.2949997,486
600.3826917,490
600.4703831,484
600.5580738,496
600.6457641,499
600.7334537,486
600.8211428,485
600.9088313,496
600.9965192,501
601.0842065,490
601.1718933,502
601.2595795,493
601.3472651,496
601.4349501,509
601.5226346,511
601.6103184,518
