w,i
550.046521,44
550.1345127,39
550.2225039,43
550.3104946,42
550.3984849,43
550.4864747,44
550.574464,43
550.6624529,45
550.7504412,44
550.8384291,39
550.9264166,43
551.0144035,41
551.10239,48
551.190376,49
551.2783615,44
551.3663466,45
551.4543312,50
551.5423153,45
551.6302989,42
551.7182821,50
551.8062647,47
551.8942469,50
551.9822287,48
552.0702099,47
552.1581907,49
552.246171,45
552.3341508,50
552.4221302,45
552.510109,49
552.5980874,48
552.6860653,50
552.7740428,48
552.8620197,48
552.9499962,49
553.0379722,50
553.1259477,48
553.2139228,52
553.3018973,55
553.3898714,50
553.477845,50
553.5658181,52
553.6537908,47
553.7417629,51
553.8297346,57
553.9177058,54
554.0056766,52
554.0936468,54
554.1816166,56
554.2695859,56
554.3575547,57
554.445523,53
554.5334908,56
554.6214582,52
554.7094251,52
554.7973915,60
554.8853574,57
554.9733228,53
555.0612878,55
555.1492522,48
555.2372162,55
555.3251797,57
555.4131427,55
555.5011053,55
555.5890673,58
555.6770289,64
555.76499,52
555.8529506,61
555.9409107,55
556.0288703,57
556.1168295,61
556.2047881,60
556.2927463,56
556.380704,58
556.4686612,55
556.5566179,62
556.6445741,61
556.7325299,55
556.8204852,56
556.9084399,56
556.9963942,58
557.084348,57
557.1723014,55
557.2602542,62
557.3482065,62
557.4361584,59
557.5241097,66
557.6120606,57
557.700011,60
557.7879609,64
557.8759103,63
557.9638593,67
558.0518077,65
558.1397557,60
558.2277031,62
558.3156501,62
558.4035966,63
558.4915426,66
558.5794881,64
558.6674331,69
558.7553776,64
558.8433216,75
558.9312652,70
559.0192082,70
559.1071508,69
559.1950929,70
559.2830345,65
559.3709755,74
559.4589161,72
559.5468563,70
559.6347959,68
559.722735,73
559.8106736,76
559.8986118,73
559.9865494,70
560.0744866,74
560.1624232,72
560.2503594,74
560.338295,69
560.4262302,69
560.5141649,76
560.6020991,74
560.6900328,73
560.777966,73
560.8658987,72
560.9538309,74
561.0417626,81
561.1296939,77
561.2176246,79
561.3055548,83
561.3934846,71
561.4814138,85
561.5693426,75
561.6572708,83
561.7451986,79
561.8331258,77
561.9210526,80
562.0089789,84
562.0969046,84
562.1848299,79
562.2727547,84
562.360679,84
562.4486027,82
562.536526,81
562.6244488,88
562.7123711,83
562.8002929,89
562.8882142,88
562.976135,83
563.0640552,80
563.151975,81
563.2398943,82
563.3278131,89
563.4157314,84
563.5036492,85
563.5915665,86
563.6794833,91
563.7673996,89
563.8553154,90
563.9432307,89
564.0311455,84
564.1190598,92
564.2069735,87
564.2948868,87
564.3827996,96
564.4707119,96
564.5586237,95
564.646535,89
564.7344457,94
564.822356,89
564.9102658,90
564.9981751,90
565.0860838,92
565.1739921,92
565.2618998,95
565.3498071,94
565.4377138,93
565.5256201,99
565.6135258,97
565.7014311,100
565.7893358,101
565.87724,104
565.9651438,105
566.053047,101
566.1409497,100
566.2288519,98
566.3167536,98
566.4046548,102
566.4925555,102
566.5804557,105
566.6683554,98
566.7562546,103
566.8441532,101
566.9320514,105
567.019949,104
567.1078462,101
567.1957428,108
567.2836389,103
567.3715346,106
567.4594297,111
567.5473243,116
567.6352184,104
567.723112,111
567.8110051,105
567.8988976,112
567.9867897,114
568.0746813,110
568.1625723,112
568.2504628,119
568.3383529,106
568.4262424,112
568.5141314,108
568.6020199,122
568.6899079,114
568.7777953,118
568.8656823,110
568.9535687,118
569.0414547,122
569.1293401,122
569.217225,123
569.3051094,125
569.3929933,121
569.4808767,123
569.5687596,122
569.656642,125
569.7445238,127
569.8324051,128
569.9202859,139
570.0081663,131
570.096046,135
570.1839253,137
570.2718041,146
570.3596823,147
570.4475601,148
570.5354373,143
570.623314,153
570.7111902,153
570.7990659,148
570.8869411,153
570.9748157,155
571.0626898,167
571.1505635,162
571.2384366,167
571.3263091,165
571.4141812,170
571.5020528,173
571.5899238,181
571.6777943,195
571.7656643,197
571.8535338,197
571.9414028,203
572.0292712,221
