W,I
541.57376681633491,807
541.661213241581,829
541.74865937119125,826
541.83610520497655,826
541.92355074274838,826
542.01099598431813,830
542.09844092949675,830
542.185885578096,830
542.27332992992638,836
542.36077398479972,836
542.44821774252716,831
542.53566120292,831
542.62310436578923,826
542.71054723094642,843
542.79798979820293,829
542.88543206736949,829
542.97287403825794,823
543.06031571067911,823
543.14775708444449,823
543.2351981593655,821
543.32263893525317,821
543.41007941191867,821
543.49751958917352,814
543.5849594668291,814
543.67239904469625,816
543.75983832258646,816
543.84727730031113,816
543.93471597768144,825
544.02215435450876,825
544.10959243060427,815
544.197030205779,815
544.28446767984462,815
544.37190485261226,811
544.4593417238932,799
544.54677829349873,795
544.63421456124024,799
544.7216505269289,795
544.809086190376,793
544.89652155139277,793
544.98395660979065,793
545.0713913653808,800
545.15882581797462,789
545.24625996738337,808
545.33369381341834,814
545.42112735589069,814
545.50856059461182,794
545.595993529393,790
545.68342616004577,787
545.77085848638114,787
545.85829050821042,793
545.945722225345,816
546.03315363759623,801
546.12058474477533,816
546.20801554669345,801
546.2954460431622,787
546.38287623399287,787
546.47030611899652,792
546.55773569798453,792
546.64516497076841,785
546.73259393715909,775
546.82002259696833,775
546.90745095000716,793
546.994878996087,795
547.08230673501907,793
547.16973416661472,780
547.2571612906853,776
547.34458810704211,780
547.43201461549654,772
547.51944081585975,780
547.60686670794337,785
547.69429229155821,785
547.781717566516,787
547.86914253262808,781
547.95656718970565,769
548.0439915375598,769
548.13141557600215,769
548.2188393048441,770
548.306262723897,770
548.39368583297176,768
548.48110863188015,765
548.56853112043325,768
548.65595329844234,771
548.74337516571916,771
548.83079672207464,771
548.91821796732029,775
549.0056389012675,775
549.09305952372745,775
549.1804798345114,775
549.2678998334311,767
549.35531952029771,757
549.44273889492229,757
549.53015795711656,761
549.61757670669169,763
549.70499514345886,763
549.79241326722979,768
549.87983107781565,768
549.967248575028,761
550.05466575867763,761
550.1420826285763,779
550.2294991845356,779
550.31691542636634,779
550.40433135388014,773
550.49174696688851,777
550.57916226520274,771
550.66657724863376,768
550.75399191699353,762
550.841406270093,762
550.928820307744,764
551.01623402975736,764
551.10364743594471,753
551.19106052611744,753
551.27847330008683,756
551.36588575766427,764
551.45329789866116,770
551.54070972288878,764
551.62812123015885,758
551.71553242028222,758
551.80294329307071,758
551.89035384833539,756
551.97776408588766,752
552.06517400553923,752
552.15258360710118,756
552.23999289038488,759
552.327401855202,756
552.41481050136338,754
552.50221882868107,754
552.58962683696609,754
552.67703452602973,763
552.7644418956836,747
552.851848945739,747
552.93925567600729,747
553.0266620863,749
553.11406817642853,749
553.20147394620415,751
553.28887939543813,740
553.3762845239421,751
553.46368933152735,752
553.55109381800537,752
553.63849798318745,751
553.72590182688509,749
553.81330534890969,751
553.90070854907253,749
553.98811142718512,754
554.075513983059,749
554.16291621650532,745
554.25031812733562,744
554.33771971536135,744
554.42512098039379,736
554.51252192224445,753
554.59992254072461,753
554.687322835646,753
554.77472280681991,748
554.8621224540575,745
554.94952177717039,748
555.0369207759702,752
555.12431945026788,753
555.21171779987526,753
555.29911582460352,753
555.38651352426439,755
555.47391089866892,738
555.56130794762885,753
555.64870467095534,738
555.73610106846013,741
555.8234971399545,741
555.91089288524984,741
555.99828830415754,743
556.08568339648912,737
556.17307816205607,739
556.2604726006698,739
556.34786671214169,739
556.43526049628326,737
556.522653952906,737
556.610047081821,736
556.69743988284029,738
556.78483235577482,736
556.87222450043612,731
556.9596163166359,730
557.04700780418557,730
557.13439896289628,735
557.2217897925799,741
557.30918029304746,739
557.3965704641106,739
557.48396030558069,731
557.57134981726961,731
557.65873899898827,744
557.74612785054842,746
557.83351637176145,746
557.920904562439,746
558.00829242239229,730
558.09567995143288,753
558.183067149372,737
558.27045401602186,753
558.357840551193,737
558.4452267546975,745
558.53261262634658,745
558.619998165952,747
558.70738337332489,747
558.79476824827668,740
558.88215279061922,739
558.96953700016388,730
559.05692087672207,739
559.14430442010519,735
559.231687630125,742
559.31907050659265,735
559.40645304931968,742
559.49383525811788,735
559.58121713279832,735
559.66859867317294,733
559.7559798790528,733
559.84336075024976,741
559.93074128657486,741
560.01812148784029,735
560.105501353857,720
560.19288088443648,731
560.2802600793907,730
560.36763893853072,730
560.45501746166815,727
560.54239564861439,727
560.62977349918128,732
560.71715101318011,734
560.8045281904225,732
560.89190503071973,744
560.97928153388364,744
561.06665769972528,750
561.15403352805663,750
561.24140901868907,750
561.32878417143388,750
561.41615898610291,750
561.50353346250779,745
561.59090760045945,736
561.67828139976984,727
561.76565486025049,727
561.85302798171278,729
561.94040076396834,729
562.02777320682867,730
562.11514531010539,722
562.2025170736099,727
562.2898884971537,727
562.37725958054853,729
562.46463032360566,732
562.552000726137,735
562.63937078795368,732
562.72674050886746,736
562.81410988868981,723
562.90147892723246,740
562.98884762430657,713
563.07621597972411,732
563.16358399329636,732
563.250951664835,732
563.33831899415134,733
563.42568598105754,728
563.51305262536437,733
563.600418926884,733
563.6877848854275,741
563.775150500807,746
563.86251577283349,746
563.949880701319,730
564.03724528607461,730
564.12460952691242,727
564.2119734236436,727
564.29933697607976,725
564.38670018403263,725
564.47406304731373,722
564.56142556573457,728
564.648787739107,731
564.736149567242,735
564.82351104995166,735
564.9108721870474,742
564.99823297834075,733
565.08559342364356,733
565.172953522767,727
565.260313275523,727
565.34767268172288,733
565.43503174117825,733
565.52239045370106,733
565.60974881910261,738
565.69710683719427,738
565.78446450778813,729
565.87182183069558,727
565.959178805728,729
566.04653543269717,730
566.13389171141466,731
566.22124764169223,731
566.30860322334127,729
566.39595845617362,729
566.48331334000068,727
566.570667874634,729
566.6580220598853,729
566.74537589556621,729
566.83272938148832,741
566.92008251746324,733
567.0074353033026,733
567.09478773881813,726
567.18213982382122,726
