W,I
541.57376681633491,584
541.661213241581,583
541.74865937119125,583
541.83610520497655,579
541.92355074274838,578
542.01099598431813,578
542.09844092949675,578
542.185885578096,585
542.27332992992638,585
542.36077398479972,585
542.44821774252716,585
542.53566120292,583
542.62310436578923,589
542.71054723094642,583
542.79798979820293,577
542.88543206736949,576
542.97287403825794,576
543.06031571067911,580
543.14775708444449,581
543.2351981593655,580
543.32263893525317,583
543.41007941191867,583
543.49751958917352,589
543.5849594668291,593
543.67239904469625,593
543.75983832258646,583
543.84727730031113,582
543.93471597768144,583
544.02215435450876,583
544.10959243060427,583
544.197030205779,583
544.28446767984462,580
544.37190485261226,583
544.4593417238932,587
544.54677829349873,587
544.63421456124024,581
544.7216505269289,581
544.809086190376,580
544.89652155139277,580
544.98395660979065,580
545.0713913653808,583
545.15882581797462,583
545.24625996738337,582
545.33369381341834,582
545.42112735589069,582
545.50856059461182,581
545.595993529393,581
545.68342616004577,583
545.77085848638114,583
545.85829050821042,578
545.945722225345,578
546.03315363759623,587
546.12058474477533,587
546.20801554669345,587
546.2954460431622,583
546.38287623399287,578
546.47030611899652,578
546.55773569798453,585
546.64516497076841,585
546.73259393715909,577
546.82002259696833,577
546.90745095000716,580
546.994878996087,580
547.08230673501907,577
547.16973416661472,577
547.2571612906853,577
547.34458810704211,580
547.43201461549654,571
547.51944081585975,577
547.60686670794337,577
547.69429229155821,577
547.781717566516,575
547.86914253262808,575
547.95656718970565,575
548.0439915375598,579
548.13141557600215,573
548.2188393048441,574
548.306262723897,574
548.39368583297176,574
548.48110863188015,570
548.56853112043325,570
548.65595329844234,575
548.74337516571916,575
548.83079672207464,574
548.91821796732029,571
549.0056389012675,574
549.09305952372745,577
549.1804798345114,577
549.2678998334311,571
549.35531952029771,571
549.44273889492229,576
549.53015795711656,576
549.61757670669169,576
549.70499514345886,577
549.79241326722979,577
549.87983107781565,564
549.967248575028,564
550.05466575867763,581
550.1420826285763,581
550.2294991845356,581
550.31691542636634,581
550.40433135388014,582
550.49174696688851,577
550.57916226520274,572
550.66657724863376,572
550.75399191699353,573
550.841406270093,579
550.928820307744,579
551.01623402975736,579
551.10364743594471,573
551.19106052611744,573
551.27847330008683,573
551.36588575766427,567
551.45329789866116,577
551.54070972288878,571
551.62812123015885,573
551.71553242028222,573
551.80294329307071,582
551.89035384833539,582
551.97776408588766,573
552.06517400553923,568
552.15258360710118,571
