W,I
541.57376681633491,1037
541.661213241581,1037
541.74865937119125,1037
541.83610520497655,1041
541.92355074274838,1045
542.01099598431813,1057
542.09844092949675,1045
542.185885578096,1047
542.27332992992638,1046
542.36077398479972,1047
542.44821774252716,1048
542.53566120292,1048
542.62310436578923,1032
542.71054723094642,1032
542.79798979820293,1046
542.88543206736949,1046
542.97287403825794,1034
543.06031571067911,1034
543.14775708444449,1034
543.2351981593655,1033
543.32263893525317,1033
543.41007941191867,1040
543.49751958917352,1044
543.5849594668291,1058
543.67239904469625,1044
543.75983832258646,1020
543.84727730031113,1020
543.93471597768144,1020
544.02215435450876,1031
544.10959243060427,1014
544.197030205779,1033
544.28446767984462,1010
544.37190485261226,1023
544.4593417238932,1023
544.54677829349873,1023
544.63421456124024,1043
544.7216505269289,1027
544.809086190376,1033
544.89652155139277,1027
544.98395660979065,1031
545.0713913653808,1016
545.15882581797462,1015
545.24625996738337,1015
545.33369381341834,1013
545.42112735589069,1013
545.50856059461182,1013
545.595993529393,993
545.68342616004577,993
545.77085848638114,1034
545.85829050821042,1061
545.945722225345,1061
546.03315363759623,1069
546.12058474477533,1066
546.20801554669345,1066
546.2954460431622,1030
546.38287623399287,1014
546.47030611899652,1005
546.55773569798453,1003
546.64516497076841,1005
546.73259393715909,1003
546.82002259696833,987
546.90745095000716,987
546.994878996087,994
547.08230673501907,994
547.16973416661472,1001
547.2571612906853,988
547.34458810704211,976
547.43201461549654,976
547.51944081585975,989
547.60686670794337,997
547.69429229155821,989
547.781717566516,974
547.86914253262808,974
547.95656718970565,988
548.0439915375598,988
548.13141557600215,970
548.2188393048441,970
548.306262723897,970
548.39368583297176,985
548.48110863188015,980
548.56853112043325,980
548.65595329844234,975
548.74337516571916,975
548.83079672207464,984
548.91821796732029,992
549.0056389012675,984
549.09305952372745,961
549.1804798345114,961
549.2678998334311,982
549.35531952029771,982
549.44273889492229,972
549.53015795711656,969
549.61757670669169,972
549.70499514345886,975
549.79241326722979,975
549.87983107781565,975
549.967248575028,989
550.05466575867763,989
550.1420826285763,982
550.2294991845356,961
550.31691542636634,964
550.40433135388014,961
550.49174696688851,964
550.57916226520274,966
550.66657724863376,986
550.75399191699353,986
550.841406270093,968
550.928820307744,968
551.01623402975736,968
551.10364743594471,951
551.19106052611744,951
551.27847330008683,953
551.36588575766427,970
551.45329789866116,973
551.54070972288878,970
551.62812123015885,965
551.71553242028222,965
551.80294329307071,954
551.89035384833539,961
551.97776408588766,949
552.06517400553923,961
552.15258360710118,968
552.23999289038488,968
552.327401855202,952
552.41481050136338,952
552.50221882868107,946
552.58962683696609,946
552.67703452602973,946
552.7644418956836,946
552.851848945739,949
552.93925567600729,949
553.0266620863,959
553.11406817642853,966
553.20147394620415,966
553.28887939543813,963
553.3762845239421,962
553.46368933152735,956
553.55109381800537,954
553.63849798318745,954
553.72590182688509,954
553.81330534890969,947
553.90070854907253,937
553.98811142718512,937
554.075513983059,965
554.16291621650532,965
554.25031812733562,957
554.33771971536135,946
554.42512098039379,946
554.51252192224445,944
554.59992254072461,946
554.687322835646,942
554.77472280681991,942
554.8621224540575,934
554.94952177717039,942
555.0369207759702,934
555.12431945026788,941
555.21171779987526,941
555.29911582460352,947
555.38651352426439,947
555.47391089866892,931
555.56130794762885,931
555.64870467095534,932
555.73610106846013,936
555.8234971399545,945
555.91089288524984,945
555.99828830415754,938
556.08568339648912,938
556.17307816205607,931
556.2604726006698,940
556.34786671214169,941
556.43526049628326,941
556.522653952906,936
556.610047081821,934
556.69743988284029,934
556.78483235577482,934
556.87222450043612,935
556.9596163166359,932
557.04700780418557,935
557.13439896289628,964
557.2217897925799,964
557.30918029304746,949
557.3965704641106,945
557.48396030558069,941
557.57134981726961,941
557.65873899898827,941
557.74612785054842,947
557.83351637176145,947
557.920904562439,947
558.00829242239229,950
558.09567995143288,953
558.183067149372,954
558.27045401602186,961
558.357840551193,961
558.4452267546975,951
558.53261262634658,951
558.619998165952,964
558.70738337332489,975
558.79476824827668,977
558.88215279061922,983
558.96953700016388,1002
559.05692087672207,1011
559.14430442010519,1026
559.231687630125,1026
559.31907050659265,1016
559.40645304931968,1013
559.49383525811788,982
559.58121713279832,982
559.66859867317294,983
559.7559798790528,983
559.84336075024976,976
559.93074128657486,976
560.01812148784029,976
560.105501353857,965
560.19288088443648,943
560.2802600793907,943
560.36763893853072,944
560.45501746166815,966
560.54239564861439,966
560.62977349918128,960
560.71715101318011,935
560.8045281904225,944
560.89190503071973,935
560.97928153388364,942
561.06665769972528,942
561.15403352805663,942
561.24140901868907,940
561.32878417143388,940
561.41615898610291,922
561.50353346250779,915
561.59090760045945,915
561.67828139976984,945
561.76565486025049,949
561.85302798171278,949
561.94040076396834,942
