W,I
541.57376681633491,573
541.661213241581,579
541.74865937119125,577
541.83610520497655,577
541.92355074274838,577
542.01099598431813,578
542.09844092949675,578
542.185885578096,578
542.27332992992638,580
542.36077398479972,585
542.44821774252716,586
542.53566120292,586
542.62310436578923,586
542.71054723094642,593
542.79798979820293,593
542.88543206736949,593
542.97287403825794,592
543.06031571067911,603
543.14775708444449,606
543.2351981593655,618
543.32263893525317,610
543.41007941191867,619
543.49751958917352,619
543.5849594668291,631
543.67239904469625,632
543.75983832258646,632
543.84727730031113,633
543.93471597768144,639
544.02215435450876,648
544.10959243060427,648
544.197030205779,638
544.28446767984462,638
544.37190485261226,653
544.4593417238932,653
544.54677829349873,660
544.63421456124024,668
544.7216505269289,668
544.809086190376,650
544.89652155139277,650
544.98395660979065,660
545.0713913653808,660
545.15882581797462,670
545.24625996738337,661
545.33369381341834,662
545.42112735589069,661
545.50856059461182,645
545.595993529393,645
545.68342616004577,655
545.77085848638114,662
545.85829050821042,674
545.945722225345,674
546.03315363759623,674
546.12058474477533,677
546.20801554669345,679
546.2954460431622,689
546.38287623399287,689
546.47030611899652,678
546.55773569798453,678
546.64516497076841,679
546.73259393715909,683
546.82002259696833,683
546.90745095000716,687
546.994878996087,694
547.08230673501907,694
547.16973416661472,694
547.2571612906853,693
547.34458810704211,693
547.43201461549654,693
547.51944081585975,691
547.60686670794337,693
547.69429229155821,692
547.781717566516,693
547.86914253262808,692
547.95656718970565,701
548.0439915375598,689
548.13141557600215,684
548.2188393048441,684
548.306262723897,685
548.39368583297176,701
548.48110863188015,705
548.56853112043325,705
548.65595329844234,705
548.74337516571916,705
548.83079672207464,705
548.91821796732029,692
549.0056389012675,692
549.09305952372745,693
549.1804798345114,698
549.2678998334311,700
549.35531952029771,705
549.44273889492229,705
549.53015795711656,721
549.61757670669169,705
549.70499514345886,705
549.79241326722979,694
549.87983107781565,693
549.967248575028,693
550.05466575867763,712
550.1420826285763,715
550.2294991845356,715
550.31691542636634,715
550.40433135388014,719
550.49174696688851,717
550.57916226520274,734
550.66657724863376,718
550.75399191699353,718
550.841406270093,713
550.928820307744,707
551.01623402975736,691
551.10364743594471,691
551.19106052611744,711
551.27847330008683,711
551.36588575766427,711
551.45329789866116,710
551.54070972288878,710
551.62812123015885,704
551.71553242028222,704
551.80294329307071,704
551.89035384833539,714
551.97776408588766,698
552.06517400553923,706
552.15258360710118,701
552.23999289038488,706
552.327401855202,711
552.41481050136338,717
552.50221882868107,724
552.58962683696609,717
552.67703452602973,709
552.7644418956836,695
552.851848945739,695
552.93925567600729,715
553.0266620863,715
553.11406817642853,712
553.20147394620415,712
553.28887939543813,720
553.3762845239421,720
553.46368933152735,729
553.55109381800537,716
553.63849798318745,730
553.72590182688509,729
553.81330534890969,729
553.90070854907253,729
553.98811142718512,723
554.075513983059,713
554.16291621650532,706
554.25031812733562,713
554.33771971536135,713
554.42512098039379,733
554.51252192224445,739
554.59992254072461,739
554.687322835646,727
554.77472280681991,724
554.8621224540575,722
554.94952177717039,722
555.0369207759702,723
555.12431945026788,732
555.21171779987526,723
555.29911582460352,723
555.38651352426439,720
555.47391089866892,723
555.56130794762885,727
555.64870467095534,727
555.73610106846013,727
555.8234971399545,733
555.91089288524984,735
555.99828830415754,735
556.08568339648912,742
556.17307816205607,742
556.2604726006698,744
556.34786671214169,744
556.43526049628326,744
556.522653952906,751
556.610047081821,731
556.69743988284029,739
556.78483235577482,739
556.87222450043612,742
556.9596163166359,742
557.04700780418557,742
557.13439896289628,743
557.2217897925799,765
557.30918029304746,765
557.3965704641106,744
557.48396030558069,744
557.57134981726961,749
557.65873899898827,750
557.74612785054842,750
557.83351637176145,753
557.920904562439,764
558.00829242239229,764
558.09567995143288,759
558.183067149372,758
558.27045401602186,742
558.357840551193,742
558.4452267546975,756
558.53261262634658,756
558.619998165952,741
558.70738337332489,738
558.79476824827668,741
558.88215279061922,760
558.96953700016388,760
559.05692087672207,767
559.14430442010519,773
559.231687630125,773
559.31907050659265,773
559.40645304931968,785
559.49383525811788,785
559.58121713279832,789
559.66859867317294,781
559.7559798790528,784
559.84336075024976,781
559.93074128657486,776
560.01812148784029,774
560.105501353857,774
560.19288088443648,770
560.2802600793907,768
560.36763893853072,759
560.45501746166815,768
560.54239564861439,767
560.62977349918128,767
560.71715101318011,767
560.8045281904225,757
560.89190503071973,752
560.97928153388364,752
561.06665769972528,752
561.15403352805663,771
561.24140901868907,766
561.32878417143388,771
561.41615898610291,766
561.50353346250779,760
561.59090760045945,760
561.67828139976984,760
561.76565486025049,767
561.85302798171278,759
561.94040076396834,770
562.02777320682867,759
562.11514531010539,764
562.2025170736099,764
562.2898884971537,765
562.37725958054853,776
562.46463032360566,786
562.552000726137,792
562.63937078795368,792
562.72674050886746,780
562.81410988868981,765
562.90147892723246,763
562.98884762430657,763
563.07621597972411,768
563.16358399329636,777
563.250951664835,780
563.33831899415134,780
563.42568598105754,771
563.51305262536437,771
563.600418926884,780
563.6877848854275,792
563.775150500807,792
563.86251577283349,783
563.949880701319,781
564.03724528607461,781
564.12460952691242,781
564.2119734236436,785
564.29933697607976,777
564.38670018403263,788
564.47406304731373,787
564.56142556573457,795
564.648787739107,803
564.736149567242,804
564.82351104995166,803
564.9108721870474,819
564.99823297834075,799
565.08559342364356,799
565.172953522767,799
565.260313275523,799
565.34767268172288,809
565.43503174117825,816
565.52239045370106,813
565.60974881910261,813
565.69710683719427,803
565.78446450778813,790
565.87182183069558,787
565.959178805728,787
566.04653543269717,793
566.13389171141466,814
566.22124764169223,814
566.30860322334127,796
566.39595845617362,796
566.48331334000068,796
566.570667874634,785
566.6580220598853,780
566.74537589556621,784
566.83272938148832,784
566.92008251746324,786
567.0074353033026,809
567.09478773881813,811
567.18213982382122,815
567.2694915581236,815
567.35684294153691,810
567.44419397387287,800
567.53154465494265,800
567.61889498455844,800
567.70624496253163,801
567.79359458867384,812
567.8809438627967,812
567.96829278471182,812
568.05564135423094,812
568.1429895711658,813
568.23033743532756,813
568.3176849465284,815
568.40503210457973,815
568.49237890929317,820
568.57972536048021,820
568.66707145795283,807
568.75441720152241,806
568.84176259100082,806
568.92910762619954,808
569.0164523069302,818
