W,I
541.57376681633491,1055
541.661213241581,1068
541.74865937119125,1068
541.83610520497655,1068
541.92355074274838,1082
542.01099598431813,1067
542.09844092949675,1048
542.185885578096,1048
542.27332992992638,1054
542.36077398479972,1054
542.44821774252716,1042
542.53566120292,1042
542.62310436578923,1054
542.71054723094642,1054
542.79798979820293,1052
542.88543206736949,1047
542.97287403825794,1047
543.06031571067911,1047
543.14775708444449,1023
543.2351981593655,1017
543.32263893525317,1017
543.41007941191867,1042
543.49751958917352,1137
543.5849594668291,1892
543.67239904469625,1892
543.75983832258646,1485
543.84727730031113,1114
543.93471597768144,1114
544.02215435450876,1181
544.10959243060427,1255
544.197030205779,1271
544.28446767984462,1271
544.37190485261226,1202
544.4593417238932,1161
544.54677829349873,1031
544.63421456124024,1019
544.7216505269289,1005
544.809086190376,988
544.89652155139277,992
544.98395660979065,992
545.0713913653808,992
545.15882581797462,1006
545.24625996738337,998
545.33369381341834,1005
545.42112735589069,1000
545.50856059461182,1000
545.595993529393,1000
545.68342616004577,1003
545.77085848638114,1010
545.85829050821042,1015
545.945722225345,1015
546.03315363759623,1026
546.12058474477533,994
546.20801554669345,1028
546.2954460431622,1006
546.38287623399287,1008
546.47030611899652,1006
546.55773569798453,1008
546.64516497076841,998
546.73259393715909,998
546.82002259696833,996
546.90745095000716,990
546.994878996087,986
547.08230673501907,978
547.16973416661472,986
547.2571612906853,978
547.34458810704211,989
547.43201461549654,997
547.51944081585975,998
547.60686670794337,998
547.69429229155821,989
547.781717566516,966
547.86914253262808,966
547.95656718970565,977
548.0439915375598,981
548.13141557600215,981
548.2188393048441,981
548.306262723897,962
548.39368583297176,973
548.48110863188015,973
548.56853112043325,973
548.65595329844234,964
548.74337516571916,964
548.83079672207464,984
548.91821796732029,984
549.0056389012675,982
549.09305952372745,968
549.1804798345114,956
549.2678998334311,956
549.35531952029771,975
549.44273889492229,975
549.53015795711656,962
549.61757670669169,962
549.70499514345886,979
549.79241326722979,979
549.87983107781565,955
549.967248575028,948
550.05466575867763,948
550.1420826285763,951
550.2294991845356,951
550.31691542636634,958
550.40433135388014,950
550.49174696688851,986
550.57916226520274,946
550.66657724863376,964
550.75399191699353,952
550.841406270093,954
550.928820307744,954
551.01623402975736,954
551.10364743594471,967
551.19106052611744,970
551.27847330008683,974
551.36588575766427,974
551.45329789866116,974
551.54070972288878,964
551.62812123015885,964
551.71553242028222,957
551.80294329307071,957
551.89035384833539,953
551.97776408588766,953
552.06517400553923,953
552.15258360710118,950
552.23999289038488,946
552.327401855202,946
552.41481050136338,954
552.50221882868107,954
552.58962683696609,943
552.67703452602973,941
552.7644418956836,941
552.851848945739,941
552.93925567600729,956
553.0266620863,956
553.11406817642853,956
553.20147394620415,955
553.28887939543813,955
553.3762845239421,955
553.46368933152735,952
553.55109381800537,948
553.63849798318745,948
553.72590182688509,948
553.81330534890969,954
553.90070854907253,954
553.98811142718512,954
554.075513983059,948
554.16291621650532,958
554.25031812733562,957
554.33771971536135,963
554.42512098039379,957
554.51252192224445,943
554.59992254072461,943
554.687322835646,969
554.77472280681991,969
554.8621224540575,969
554.94952177717039,970
555.0369207759702,970
555.12431945026788,967
555.21171779987526,945
555.29911582460352,966
555.38651352426439,964
555.47391089866892,966
555.56130794762885,964
555.64870467095534,958
555.73610106846013,945
555.8234971399545,948
555.91089288524984,948
555.99828830415754,976
556.08568339648912,976
556.17307816205607,931
556.2604726006698,927
556.34786671214169,931
556.43526049628326,924
556.522653952906,932
556.610047081821,947
556.69743988284029,955
556.78483235577482,976
556.87222450043612,976
556.9596163166359,959
557.04700780418557,952
557.13439896289628,959
557.2217897925799,952
557.30918029304746,941
557.3965704641106,941
557.48396030558069,941
557.57134981726961,940
557.65873899898827,940
557.74612785054842,939
557.83351637176145,939
557.920904562439,953
558.00829242239229,953
558.09567995143288,953
558.183067149372,953
558.27045401602186,956
558.357840551193,956
558.4452267546975,966
558.53261262634658,966
558.619998165952,961
558.70738337332489,953
558.79476824827668,961
558.88215279061922,948
558.96953700016388,982
559.05692087672207,975
559.14430442010519,975
559.231687630125,955
559.31907050659265,955
559.40645304931968,961
559.49383525811788,961
559.58121713279832,938
559.66859867317294,938
559.7559798790528,946
559.84336075024976,962
559.93074128657486,970
560.01812148784029,970
560.105501353857,971
560.19288088443648,971
560.2802600793907,1336
560.36763893853072,1336
560.45501746166815,949
560.54239564861439,949
560.62977349918128,957
560.71715101318011,958
