W,I
541.57376681633491,639
541.661213241581,639
541.74865937119125,639
541.83610520497655,638
541.92355074274838,638
542.01099598431813,638
542.09844092949675,638
542.185885578096,638
542.27332992992638,638
542.36077398479972,640
542.44821774252716,644
542.53566120292,645
542.62310436578923,679
542.71054723094642,679
542.79798979820293,681
542.88543206736949,706
542.97287403825794,711
543.06031571067911,712
543.14775708444449,717
543.2351981593655,717
543.32263893525317,726
543.41007941191867,739
543.49751958917352,740
543.5849594668291,753
543.67239904469625,753
543.75983832258646,767
543.84727730031113,770
543.93471597768144,797
544.02215435450876,829
544.10959243060427,885
544.197030205779,914
544.28446767984462,944
544.37190485261226,944
544.4593417238932,912
544.54677829349873,861
544.63421456124024,818
544.7216505269289,802
544.809086190376,785
544.89652155139277,785
544.98395660979065,794
545.0713913653808,804
545.15882581797462,804
545.24625996738337,804
545.33369381341834,806
545.42112735589069,815
545.50856059461182,825
545.595993529393,828
545.68342616004577,825
545.77085848638114,830
545.85829050821042,830
545.945722225345,849
546.03315363759623,849
546.12058474477533,849
546.20801554669345,868
546.2954460431622,868
546.38287623399287,868
546.47030611899652,866
546.55773569798453,866
546.64516497076841,866
546.73259393715909,886
546.82002259696833,888
546.90745095000716,888
546.994878996087,884
547.08230673501907,884
547.16973416661472,891
547.2571612906853,891
547.34458810704211,890
547.43201461549654,890
547.51944081585975,896
547.60686670794337,896
547.69429229155821,886
547.781717566516,886
547.86914253262808,891
547.95656718970565,905
548.0439915375598,909
548.13141557600215,910
548.2188393048441,917
548.306262723897,922
548.39368583297176,917
548.48110863188015,921
548.56853112043325,921
548.65595329844234,935
548.74337516571916,935
548.83079672207464,933
548.91821796732029,905
549.0056389012675,905
549.09305952372745,926
549.1804798345114,926
549.2678998334311,920
549.35531952029771,920
549.44273889492229,932
549.53015795711656,935
549.61757670669169,932
549.70499514345886,929
549.79241326722979,915
549.87983107781565,915
549.967248575028,922
550.05466575867763,930
550.1420826285763,924
550.2294991845356,945
550.31691542636634,929
550.40433135388014,929
550.49174696688851,929
550.57916226520274,946
550.66657724863376,946
550.75399191699353,942
550.841406270093,941
550.928820307744,925
551.01623402975736,925
551.10364743594471,932
551.19106052611744,940
551.27847330008683,945
551.36588575766427,945
551.45329789866116,943
551.54070972288878,943
551.62812123015885,956
551.71553242028222,959
551.80294329307071,959
551.89035384833539,964
551.97776408588766,964
552.06517400553923,961
552.15258360710118,961
552.23999289038488,958
552.327401855202,964
552.41481050136338,976
552.50221882868107,1002
552.58962683696609,1002
552.67703452602973,994
552.7644418956836,969
552.851848945739,969
552.93925567600729,963
553.0266620863,963
553.11406817642853,963
553.20147394620415,983
553.28887939543813,983
553.3762845239421,983
553.46368933152735,983
553.55109381800537,983
553.63849798318745,970
553.72590182688509,970
553.81330534890969,991
553.90070854907253,1007
553.98811142718512,1007
554.075513983059,988
554.16291621650532,988
554.25031812733562,988
554.33771971536135,991
554.42512098039379,1000
554.51252192224445,1005
554.59992254072461,1005
554.687322835646,1003
554.77472280681991,999
554.8621224540575,999
554.94952177717039,998
555.0369207759702,1004
555.12431945026788,1014
555.21171779987526,1017
