W,I
541.57376681633491,643
541.661213241581,642
541.74865937119125,624
541.83610520497655,624
541.92355074274838,624
542.01099598431813,624
542.09844092949675,620
542.185885578096,620
542.27332992992638,625
542.36077398479972,626
542.44821774252716,626
542.53566120292,626
542.62310436578923,616
542.71054723094642,616
542.79798979820293,620
542.88543206736949,620
542.97287403825794,619
543.06031571067911,615
543.14775708444449,615
543.2351981593655,615
543.32263893525317,619
543.41007941191867,623
543.49751958917352,623
543.5849594668291,622
543.67239904469625,621
543.75983832258646,621
543.84727730031113,621
543.93471597768144,621
544.02215435450876,620
544.10959243060427,609
544.197030205779,619
544.28446767984462,619
544.37190485261226,619
544.4593417238932,607
544.54677829349873,607
544.63421456124024,615
544.7216505269289,621
544.809086190376,626
544.89652155139277,626
544.98395660979065,609
545.0713913653808,609
545.15882581797462,609
545.24625996738337,610
545.33369381341834,609
545.42112735589069,608
545.50856059461182,608
545.595993529393,608
545.68342616004577,594
545.77085848638114,594
545.85829050821042,607
545.945722225345,632
546.03315363759623,632
546.12058474477533,633
546.20801554669345,634
546.2954460431622,634
546.38287623399287,605
546.47030611899652,605
546.55773569798453,605
546.64516497076841,606
546.73259393715909,604
546.82002259696833,606
546.90745095000716,613
546.994878996087,613
547.08230673501907,597
547.16973416661472,597
547.2571612906853,604
547.34458810704211,604
547.43201461549654,604
547.51944081585975,596
547.60686670794337,594
547.69429229155821,594
547.781717566516,596
547.86914253262808,596
547.95656718970565,593
548.0439915375598,589
548.13141557600215,593
548.2188393048441,593
548.306262723897,597
548.39368583297176,597
548.48110863188015,597
548.56853112043325,599
548.65595329844234,599
548.74337516571916,597
548.83079672207464,592
548.91821796732029,585
549.0056389012675,585
549.09305952372745,596
549.1804798345114,599
549.2678998334311,596
549.35531952029771,599
549.44273889492229,599
549.53015795711656,604
549.61757670669169,604
549.70499514345886,601
549.79241326722979,597
549.87983107781565,584
549.967248575028,584
550.05466575867763,593
550.1420826285763,593
550.2294991845356,601
550.31691542636634,601
550.40433135388014,601
550.49174696688851,599
550.57916226520274,599
550.66657724863376,600
550.75399191699353,600
550.841406270093,594
550.928820307744,593
551.01623402975736,592
551.10364743594471,592
551.19106052611744,592
551.27847330008683,598
551.36588575766427,598
551.45329789866116,594
551.54070972288878,594
551.62812123015885,603
551.71553242028222,603
551.80294329307071,592
551.89035384833539,592
551.97776408588766,597
552.06517400553923,597
552.15258360710118,593
552.23999289038488,591
552.327401855202,591
552.41481050136338,589
552.50221882868107,589
552.58962683696609,586
552.67703452602973,584
552.7644418956836,584
552.851848945739,595
552.93925567600729,604
553.0266620863,595
553.11406817642853,608
553.20147394620415,587
553.28887939543813,591
553.3762845239421,591
553.46368933152735,591
553.55109381800537,597
553.63849798318745,591
553.72590182688509,588
553.81330534890969,588
553.90070854907253,604
553.98811142718512,604
554.075513983059,599
554.16291621650532,598
554.25031812733562,592
554.33771971536135,592
