W,I
541.57376681633491,595
541.661213241581,592
541.74865937119125,592
541.83610520497655,590
541.92355074274838,578
542.01099598431813,578
542.09844092949675,586
542.185885578096,600
542.27332992992638,600
542.36077398479972,601
542.44821774252716,600
542.53566120292,599
542.62310436578923,594
542.71054723094642,594
542.79798979820293,599
542.88543206736949,599
542.97287403825794,595
543.06031571067911,595
543.14775708444449,601
543.2351981593655,607
543.32263893525317,617
543.41007941191867,621
543.49751958917352,621
543.5849594668291,624
543.67239904469625,628
543.75983832258646,631
543.84727730031113,631
543.93471597768144,640
544.02215435450876,640
544.10959243060427,640
544.197030205779,646
544.28446767984462,647
544.37190485261226,647
544.4593417238932,647
544.54677829349873,637
544.63421456124024,647
544.7216505269289,655
544.809086190376,655
544.89652155139277,655
544.98395660979065,660
545.0713913653808,677
545.15882581797462,694
545.24625996738337,695
545.33369381341834,695
545.42112735589069,695
545.50856059461182,700
545.595993529393,693
545.68342616004577,700
545.77085848638114,693
545.85829050821042,686
545.945722225345,675
546.03315363759623,675
546.12058474477533,675
546.20801554669345,674
546.2954460431622,671
546.38287623399287,671
546.47030611899652,679
546.55773569798453,679
546.64516497076841,679
546.73259393715909,684
546.82002259696833,673
546.90745095000716,684
546.994878996087,672
547.08230673501907,671
547.16973416661472,670
547.2571612906853,671
547.34458810704211,676
547.43201461549654,680
547.51944081585975,710
547.60686670794337,710
547.69429229155821,712
547.781717566516,712
547.86914253262808,699
547.95656718970565,699
548.0439915375598,689
548.13141557600215,684
548.2188393048441,684
548.306262723897,693
548.39368583297176,693
548.48110863188015,683
548.56853112043325,670
548.65595329844234,683
548.74337516571916,672
548.83079672207464,673
548.91821796732029,673
549.0056389012675,684
549.09305952372745,687
549.1804798345114,688
549.2678998334311,688
549.35531952029771,683
549.44273889492229,682
549.53015795711656,677
549.61757670669169,677
549.70499514345886,679
549.79241326722979,679
549.87983107781565,687
549.967248575028,682
550.05466575867763,687
550.1420826285763,682
550.2294991845356,692
550.31691542636634,689
550.40433135388014,689
550.49174696688851,689
550.57916226520274,691
550.66657724863376,693
550.75399191699353,695
550.841406270093,693
550.928820307744,693
551.01623402975736,683
551.10364743594471,683
551.19106052611744,685
551.27847330008683,685
551.36588575766427,685
551.45329789866116,701
551.54070972288878,701
551.62812123015885,700
551.71553242028222,700
551.80294329307071,700
551.89035384833539,705
551.97776408588766,705
552.06517400553923,705
552.15258360710118,698
552.23999289038488,698
552.327401855202,701
552.41481050136338,712
552.50221882868107,706
552.58962683696609,707
552.67703452602973,706
552.7644418956836,705
552.851848945739,705
552.93925567600729,706
553.0266620863,706
553.11406817642853,709
553.20147394620415,710
553.28887939543813,710
553.3762845239421,726
553.46368933152735,709
553.55109381800537,720
553.63849798318745,720
553.72590182688509,726
553.81330534890969,726
553.90070854907253,720
553.98811142718512,720
554.075513983059,724
554.16291621650532,724
554.25031812733562,724
554.33771971536135,716
554.42512098039379,725
554.51252192224445,728
554.59992254072461,728
554.687322835646,744
554.77472280681991,728
554.8621224540575,728
554.94952177717039,728
555.0369207759702,727
555.12431945026788,727
555.21171779987526,727
555.29911582460352,723
555.38651352426439,740
555.47391089866892,743
555.56130794762885,743
555.64870467095534,743
555.73610106846013,739
555.8234971399545,739
555.91089288524984,739
555.99828830415754,737
556.08568339648912,748
556.17307816205607,743
556.2604726006698,745
556.34786671214169,745
556.43526049628326,747
556.522653952906,747
556.610047081821,738
556.69743988284029,738
556.78483235577482,738
556.87222450043612,745
556.9596163166359,724
557.04700780418557,748
557.13439896289628,754
557.2217897925799,754
557.30918029304746,753
557.3965704641106,750
557.48396030558069,739
557.57134981726961,739
557.65873899898827,753
557.74612785054842,753
557.83351637176145,748
557.920904562439,748
558.00829242239229,767
558.09567995143288,768
558.183067149372,768
558.27045401602186,743
558.357840551193,743
558.4452267546975,751
558.53261262634658,755
558.619998165952,755
558.70738337332489,755
558.79476824827668,755
558.88215279061922,760
558.96953700016388,769
559.05692087672207,769
559.14430442010519,758
559.231687630125,758
559.31907050659265,757
559.40645304931968,759
559.49383525811788,759
559.58121713279832,765
559.66859867317294,774
559.7559798790528,803
559.84336075024976,812
559.93074128657486,840
560.01812148784029,840
560.105501353857,838
560.19288088443648,825
560.2802600793907,808
560.36763893853072,806
560.45501746166815,787
560.54239564861439,787
560.62977349918128,795
560.71715101318011,795
560.8045281904225,796
560.89190503071973,790
560.97928153388364,790
561.06665769972528,790
561.15403352805663,798
561.24140901868907,798
561.32878417143388,799
561.41615898610291,781
561.50353346250779,793
561.59090760045945,793
