W,I
541.57376681633491,608
541.661213241581,608
541.74865937119125,603
541.83610520497655,603
541.92355074274838,603
542.01099598431813,614
542.09844092949675,614
542.185885578096,614
542.27332992992638,618
542.36077398479972,615
542.44821774252716,619
542.53566120292,619
542.62310436578923,630
542.71054723094642,630
542.79798979820293,630
542.88543206736949,630
542.97287403825794,630
543.06031571067911,635
543.14775708444449,647
543.2351981593655,647
543.32263893525317,657
543.41007941191867,664
543.49751958917352,664
543.5849594668291,648
543.67239904469625,648
543.75983832258646,648
543.84727730031113,660
543.93471597768144,647
544.02215435450876,647
544.10959243060427,647
544.197030205779,647
544.28446767984462,652
544.37190485261226,655
544.4593417238932,655
544.54677829349873,659
544.63421456124024,659
544.7216505269289,660
544.809086190376,661
544.89652155139277,662
544.98395660979065,662
545.0713913653808,666
545.15882581797462,661
545.24625996738337,672
545.33369381341834,672
545.42112735589069,672
545.50856059461182,662
545.595993529393,662
545.68342616004577,670
545.77085848638114,679
545.85829050821042,687
545.945722225345,692
546.03315363759623,690
546.12058474477533,690
546.20801554669345,689
546.2954460431622,689
546.38287623399287,668
546.47030611899652,668
546.55773569798453,686
546.64516497076841,686
546.73259393715909,689
546.82002259696833,690
546.90745095000716,694
546.994878996087,694
547.08230673501907,695
547.16973416661472,695
547.2571612906853,682
547.34458810704211,682
547.43201461549654,702
547.51944081585975,708
547.60686670794337,708
547.69429229155821,683
547.781717566516,683
547.86914253262808,686
547.95656718970565,686
548.0439915375598,682
548.13141557600215,682
548.2188393048441,704
548.306262723897,704
548.39368583297176,701
548.48110863188015,693
548.56853112043325,683
548.65595329844234,683
548.74337516571916,699
548.83079672207464,699
548.91821796732029,692
549.0056389012675,692
549.09305952372745,692
549.1804798345114,689
549.2678998334311,689
549.35531952029771,689
549.44273889492229,684
549.53015795711656,684
549.61757670669169,686
549.70499514345886,694
549.79241326722979,694
549.87983107781565,698
549.967248575028,698
550.05466575867763,710
550.1420826285763,719
550.2294991845356,710
550.31691542636634,705
550.40433135388014,696
550.49174696688851,696
550.57916226520274,702
550.66657724863376,702
550.75399191699353,687
550.841406270093,685
550.928820307744,687
551.01623402975736,692
551.10364743594471,694
551.19106052611744,694
551.27847330008683,709
551.36588575766427,696
551.45329789866116,696
551.54070972288878,693
551.62812123015885,693
551.71553242028222,697
551.80294329307071,699
551.89035384833539,699
551.97776408588766,699
552.06517400553923,694
552.15258360710118,694
552.23999289038488,696
552.327401855202,710
552.41481050136338,710
552.50221882868107,712
552.58962683696609,712
552.67703452602973,706
552.7644418956836,706
552.851848945739,719
552.93925567600729,719
553.0266620863,718
553.11406817642853,703
553.20147394620415,718
553.28887939543813,712
553.3762845239421,714
553.46368933152735,712
553.55109381800537,714
553.63849798318745,722
553.72590182688509,722
553.81330534890969,717
553.90070854907253,717
553.98811142718512,726
554.075513983059,726
554.16291621650532,720
554.25031812733562,720
554.33771971536135,717
554.42512098039379,717
554.51252192224445,709
554.59992254072461,709
554.687322835646,704
554.77472280681991,718
554.8621224540575,718
554.94952177717039,725
555.0369207759702,729
555.12431945026788,743
555.21171779987526,743
555.29911582460352,742
555.38651352426439,729
555.47391089866892,728
555.56130794762885,719
555.64870467095534,719
555.73610106846013,718
555.8234971399545,728
555.91089288524984,719
555.99828830415754,728
556.08568339648912,719
556.17307816205607,725
556.2604726006698,725
556.34786671214169,732
556.43526049628326,735
556.522653952906,732
556.610047081821,727
556.69743988284029,718
556.78483235577482,722
556.87222450043612,722
556.9596163166359,722
557.04700780418557,732
557.13439896289628,727
557.2217897925799,730
557.30918029304746,727
557.3965704641106,725
557.48396030558069,722
557.57134981726961,719
557.65873899898827,719
557.74612785054842,725
557.83351637176145,725
557.920904562439,725
558.00829242239229,725
558.09567995143288,726
558.183067149372,726
558.27045401602186,726
558.357840551193,717
558.4452267546975,717
558.53261262634658,717
558.619998165952,717
558.70738337332489,740
558.79476824827668,740
558.88215279061922,744
558.96953700016388,742
559.05692087672207,742
559.14430442010519,740
559.231687630125,726
559.31907050659265,740
559.40645304931968,741
559.49383525811788,751
559.58121713279832,751
559.66859867317294,751
559.7559798790528,747
559.84336075024976,748
559.93074128657486,748
560.01812148784029,751
560.105501353857,754
560.19288088443648,754
560.2802600793907,750
560.36763893853072,745
560.45501746166815,745
560.54239564861439,753
560.62977349918128,753
560.71715101318011,752
560.8045281904225,752
560.89190503071973,761
560.97928153388364,779
561.06665769972528,780
561.15403352805663,788
561.24140901868907,790
561.32878417143388,810
561.41615898610291,817
561.50353346250779,817
561.59090760045945,792
561.67828139976984,787
561.76565486025049,787
561.85302798171278,791
561.94040076396834,791
562.02777320682867,790
562.11514531010539,779
562.2025170736099,776
562.2898884971537,776
562.37725958054853,777
562.46463032360566,777
562.552000726137,777
562.63937078795368,776
562.72674050886746,784
562.81410988868981,784
562.90147892723246,787
562.98884762430657,811
563.07621597972411,835
563.16358399329636,860
563.250951664835,887
563.33831899415134,887
563.42568598105754,867
563.51305262536437,825
563.600418926884,805
563.6877848854275,802
563.775150500807,792
563.86251577283349,798
563.949880701319,798
564.03724528607461,798
