W,I
541.57376681633491,1231
541.661213241581,1230
541.74865937119125,1231
541.83610520497655,1233
541.92355074274838,1259
542.01099598431813,1261
542.09844092949675,1266
542.185885578096,1266
542.27332992992638,1266
542.36077398479972,1292
542.44821774252716,1271
542.53566120292,1271
542.62310436578923,1244
542.71054723094642,1244
542.79798979820293,1240
542.88543206736949,1224
542.97287403825794,1224
543.06031571067911,1259
543.14775708444449,1259
543.2351981593655,1258
543.32263893525317,1258
543.41007941191867,2242
543.49751958917352,2242
543.5849594668291,1279
543.67239904469625,1224
543.75983832258646,1218
543.84727730031113,1224
543.93471597768144,1200
544.02215435450876,1191
544.10959243060427,1191
544.197030205779,1232
544.28446767984462,1232
544.37190485261226,1196
544.4593417238932,1180
544.54677829349873,1180
544.63421456124024,1177
544.7216505269289,1180
544.809086190376,1180
544.89652155139277,1180
544.98395660979065,1182
545.0713913653808,1175
545.15882581797462,1175
545.24625996738337,1158
545.33369381341834,1158
545.42112735589069,1158
545.50856059461182,1170
545.595993529393,1144
545.68342616004577,1164
545.77085848638114,1164
545.85829050821042,1278
545.945722225345,1291
546.03315363759623,1291
546.12058474477533,1282
546.20801554669345,1249
546.2954460431622,1176
546.38287623399287,1157
546.47030611899652,1149
546.55773569798453,1119
546.64516497076841,1115
546.73259393715909,1115
546.82002259696833,1116
546.90745095000716,1116
546.994878996087,1104
547.08230673501907,1104
547.16973416661472,1125
547.2571612906853,1125
547.34458810704211,1129
547.43201461549654,1120
547.51944081585975,1120
547.60686670794337,1091
547.69429229155821,1091
547.781717566516,1091
547.86914253262808,1075
547.95656718970565,1073
548.0439915375598,1073
548.13141557600215,1079
548.2188393048441,1079
548.306262723897,1072
548.39368583297176,1072
548.48110863188015,1083
548.56853112043325,1100
548.65595329844234,1104
548.74337516571916,1100
548.83079672207464,1104
548.91821796732029,1089
549.0056389012675,1089
549.09305952372745,1082
549.1804798345114,1078
549.2678998334311,1078
549.35531952029771,1062
549.44273889492229,1062
549.53015795711656,1061
549.61757670669169,1061
549.70499514345886,1068
549.79241326722979,1068
549.87983107781565,1063
549.967248575028,1061
550.05466575867763,1063
550.1420826285763,1061
550.2294991845356,1070
550.31691542636634,1049
550.40433135388014,1047
550.49174696688851,1045
550.57916226520274,1047
550.66657724863376,1051
550.75399191699353,1051
550.841406270093,1039
550.928820307744,1029
551.01623402975736,1039
551.10364743594471,1029
551.19106052611744,1042
551.27847330008683,1043
551.36588575766427,1043
551.45329789866116,1034
551.54070972288878,1026
551.62812123015885,1026
551.71553242028222,1026
551.80294329307071,1047
551.89035384833539,1047
551.97776408588766,1047
552.06517400553923,1028
552.15258360710118,1041
552.23999289038488,1035
552.327401855202,1041
552.41481050136338,1035
552.50221882868107,1035
552.58962683696609,1035
552.67703452602973,1024
552.7644418956836,1017
552.851848945739,1017
552.93925567600729,1031
553.0266620863,1031
553.11406817642853,1025
553.20147394620415,1025
553.28887939543813,1031
553.3762845239421,1031
553.46368933152735,1023
553.55109381800537,1023
553.63849798318745,1024
553.72590182688509,1028
553.81330534890969,1024
553.90070854907253,1006
553.98811142718512,999
554.075513983059,1006
554.16291621650532,1004
554.25031812733562,1007
554.33771971536135,1004
554.42512098039379,1007
554.51252192224445,1008
554.59992254072461,1008
554.687322835646,1010
554.77472280681991,999
554.8621224540575,996
554.94952177717039,975
555.0369207759702,976
555.12431945026788,976
555.21171779987526,976
555.29911582460352,981
555.38651352426439,1001
555.47391089866892,1001
555.56130794762885,1010
555.64870467095534,1010
555.73610106846013,980
555.8234971399545,962
555.91089288524984,980
555.99828830415754,980
556.08568339648912,981
556.17307816205607,983
556.2604726006698,983
556.34786671214169,983
556.43526049628326,980
556.522653952906,992
556.610047081821,980
556.69743988284029,979
556.78483235577482,963
556.87222450043612,944
556.9596163166359,944
557.04700780418557,962
557.13439896289628,965
557.2217897925799,970
557.30918029304746,992
557.3965704641106,992
557.48396030558069,964
557.57134981726961,964
557.65873899898827,964
557.74612785054842,956
557.83351637176145,952
557.920904562439,952
558.00829242239229,953
558.09567995143288,956
558.183067149372,956
558.27045401602186,971
558.357840551193,970
558.4452267546975,970
558.53261262634658,965
558.619998165952,965
558.70738337332489,973
558.79476824827668,973
558.88215279061922,955
558.96953700016388,941
559.05692087672207,941
559.14430442010519,950
559.231687630125,950
559.31907050659265,944
559.40645304931968,944
559.49383525811788,957
559.58121713279832,961
559.66859867317294,965
559.7559798790528,965
559.84336075024976,932
559.93074128657486,932
560.01812148784029,938
560.105501353857,942
560.19288088443648,942
560.2802600793907,950
560.36763893853072,952
560.45501746166815,954
560.54239564861439,952
560.62977349918128,954
560.71715101318011,950
560.8045281904225,950
560.89190503071973,943
560.97928153388364,943
561.06665769972528,941
561.15403352805663,941
561.24140901868907,913
561.32878417143388,913
561.41615898610291,921
561.50353346250779,950
561.59090760045945,955
561.67828139976984,950
561.76565486025049,937
561.85302798171278,937
561.94040076396834,929
562.02777320682867,935
562.11514531010539,929
562.2025170736099,930
562.2898884971537,929
562.37725958054853,930
562.46463032360566,928
562.552000726137,942
562.63937078795368,934
562.72674050886746,942
562.81410988868981,934
562.90147892723246,942
562.98884762430657,933
563.07621597972411,918
563.16358399329636,918
563.250951664835,916
563.33831899415134,916
563.42568598105754,916
563.51305262536437,931
563.600418926884,931
563.6877848854275,902
563.775150500807,902
563.86251577283349,904
563.949880701319,917
564.03724528607461,915
564.12460952691242,919
564.2119734236436,921
564.29933697607976,923
564.38670018403263,923
564.47406304731373,927
564.56142556573457,927
564.648787739107,927
564.736149567242,924
564.82351104995166,924
564.9108721870474,918
564.99823297834075,926
565.08559342364356,912
565.172953522767,932
565.260313275523,936
565.34767268172288,936
565.43503174117825,923
565.52239045370106,923
565.60974881910261,924
565.69710683719427,924
565.78446450778813,913
565.87182183069558,907
565.959178805728,907
566.04653543269717,907
566.13389171141466,932
566.22124764169223,932
566.30860322334127,909
566.39595845617362,906
566.48331334000068,909
566.570667874634,913
566.6580220598853,913
566.74537589556621,911
566.83272938148832,902
566.92008251746324,902
567.0074353033026,894
567.09478773881813,909
567.18213982382122,894
567.2694915581236,915
567.35684294153691,894
567.44419397387287,916
567.53154465494265,916
567.61889498455844,916
567.70624496253163,916
567.79359458867384,916
567.8809438627967,923
567.96829278471182,923
568.05564135423094,923
568.1429895711658,903
568.23033743532756,901
568.3176849465284,899
568.40503210457973,895
568.49237890929317,894
568.57972536048021,894
568.66707145795283,894
568.75441720152241,889
568.84176259100082,889
568.92910762619954,894
569.0164523069302,904
569.10379663300466,903
569.19114060423442,903
569.2784842204311,903
569.36582748140643,903
569.45317038697215,903
569.54051293693965,893
569.62785513112112,893
569.71519696932739,910
569.80253845137111,910
569.8898795770632,903
569.97722034621563,892
570.06456075863991,898
570.15190081414778,898
570.239240512551,898
570.32657985366143,891
570.41391883729034,891
570.50125746324954,891
570.58859573135078,901
570.67593364140578,901
570.76327119322627,904
570.85060838662366,905
570.9379452214099,905
571.02528169739651,900
571.11261781439555,894
571.19995357221808,900
571.28728897067629,921
571.37462400958145,921
571.46195868874577,906
571.54929300798074,904
571.6366269670981,904
571.72396056590935,917
571.81129380422624,938
571.89862668186061,955
571.98595919862407,958
572.07329135432849,959
572.16062314878548,990
572.24795458180654,1005
572.33528565320387,1095
572.42261636278863,1349
572.50994671037279,2533
572.59727669576841,6765
572.68460631878668,10708
572.77193557923931,10708
572.85926447693851,6658
572.94659301169577,2235
573.0339211833226,1295
573.121248991631,1116
573.20857643643251,1021
573.29590351753916,984
573.38323023476232,983
573.470556587914,939
573.55788257680581,939
573.64520820124949,941
573.73253346105662,947
573.81985835603928,947
573.90718288600908,947
573.99450705077777,950
574.08183085015685,949
574.16915428395851,950
574.25647735199425,966
574.3438000540757,979
574.431122390015,995
574.51844435962357,981
574.60576596271312,995
574.69308719909577,1011
574.78040806858291,1022
574.86772857098651,1062
574.95504870611842,1113
575.04236847379025,1113
575.12968787381362,1112
575.21700690600073,1041
575.30432557016286,1020
575.39164386611219,1005
575.47896179366012,961
575.56627935261884,941
575.65359654279985,938
575.740913364015,938
575.82822981607615,938
575.9155458987949,923
576.002861611983,923
576.09017695545253,916
576.17749192901522,925
576.26480653248268,916
576.35212076566688,885
576.43943462837944,885
576.52674812043233,891
576.614061241637,898
576.70137399180589,903
576.78868637075016,924
576.87599837828191,903
576.963310014213,907
577.05062127835515,895
577.13793217052023,902
577.22524269051985,902
577.312552838166,902
577.39986261327056,893
577.48717201564511,893
577.57448104510172,886
577.66178970145211,873
577.7490979845079,873
577.83640589408128,881
577.92371342998388,890
578.01102059202731,887
578.09832738002387,887
578.185633793785,880
578.27293983312268,880
578.360245497849,880
578.44755078777507,887
578.53485570271368,887
578.62216024247607,887
578.709464406874,887
578.79676819571955,887
578.88407160882468,899
578.9713746460011,912
579.05867730706052,912
579.14597959181492,907
579.23328150007615,897
579.32058303165593,894
579.40788418636646,885
579.49518496401936,893
579.58248536442647,884
579.66978538739966,893
579.75708503275087,887
579.844384300292,894
579.93168318983476,918
580.018981701191,918
580.10627983417271,915
580.19357758859178,901
580.28087496426019,913
580.36817196098957,895
580.45546857859176,900
580.542764816879,887
580.63006067566278,900
580.71735615475541,898
580.80465125396836,898
580.89194597311359,897
580.97924031200307,887
581.06653427044887,887
581.15382784826261,890
581.24112104525636,900
581.32841386124187,900
581.41570629603109,900
581.502998349436,897
581.59029002126852,909
581.67758131134042,881
581.76487221946365,909
581.85216274545007,893
581.93945288911186,915
582.02674265026053,915
582.11403202870827,915
582.201321024267,879
582.28860963674845,879
582.3758978659647,900
582.46318571172765,900
582.550473173849,880
582.637760252141,880
582.72504694641555,882
582.81233325648441,882
582.89961918215954,903
582.98690472325279,903
583.07418987957624,907
583.161474650942,907
583.24875903716179,914
583.33604303804748,909
583.423326653411,914
583.51060988306449,909
583.59789272681985,914
583.68517518448891,916
583.77245725588375,919
583.85973894081621,925
583.94702023909838,919
584.03430115054209,925
584.12158167495943,923
584.20886181216213,923
584.29614156196226,918
584.38342092417179,902
584.470699898603,918
584.55797848506745,914
584.645256683377,914
584.73253449334425,904
584.81981191478053,904
584.90708894749821,908
584.99436559130891,908
585.08164184602492,911
585.16891771145833,911
585.25619318742065,920
585.34346827372428,925
585.43074297018109,925
585.51801727660279,925
585.60529119280193,916
585.69256471858989,916
585.77983785377933,916
585.86711059818163,917
585.9543829516092,934
586.0416549138738,934
586.12892648478748,930
586.21619766416245,930
586.30346845181043,936
586.3907388475435,936
586.478008851174,952
586.56527846251345,928
586.65254768137413,945
586.73981650756809,916
586.82708494090707,925
586.91435298120359,922
587.00162062826917,925
587.088887881916,953
587.17615474195634,957
587.263421208202,957
587.350687280465,957
587.43795295855739,958
587.52521824229132,953
587.61248313147871,955
587.69974762593165,953
587.78701172546209,945
587.87427542988212,939
587.9615387390038,945
588.04880165263944,952
588.13606417060055,952
588.22332629269965,938
588.3105880187486,938
588.39784934855948,938
588.48511028194423,938
588.57237081871517,936
588.65963095868415,934
588.74689070166335,936
588.83415004746462,934
588.92140899590038,934
589.00866754678225,928
589.09592569992287,922
589.18318345513387,918
589.27044081222755,912
589.35769777101575,918
589.4449543313109,937
589.53221049292483,950
589.61946625566964,950
589.7067216193575,946
589.79397658380049,933
589.88123114881057,933
589.96848531420017,929
590.055739079781,928
590.14299244536517,928
590.230245410765,928
590.31749797579255,927
590.40475014025992,909
590.49200190397914,917
590.57925326676241,917
590.66650422842167,930
590.75375478876924,930
590.84100494761708,915
590.92825470477749,909
591.01550406006231,909
591.102753013284,921
591.19000156425432,922
591.27724971278576,921
591.36449745869015,909
591.4517448017798,909
591.53899174186677,921
591.62623827876291,928
591.7134844122811,922
591.80073014223274,922
591.88797546843034,918
591.97522039068588,918
592.06246490881176,912
592.14970902261973,928
592.23695273192209,914
592.32419603653125,918
592.41143893625917,918
592.498681430918,918
592.58592352031974,909
592.67316520427676,909
592.7604064826013,913
592.84764735510521,915
592.93488782160091,913
593.02212788190036,915
593.10936753581609,912
593.19660678315972,914
593.283845623744,914
593.37108405738081,926
593.45832208388242,926
593.54555970306092,930
593.63279691472849,924
593.72003371869732,930
593.80727011477973,930
593.89450610278766,930
593.98174168253365,920
594.06897685382967,907
594.15621161648778,920
594.24344597032052,908
594.33067991513974,921
594.41791345075785,921
594.50514657698727,921
594.59237929363974,923
594.67961160052766,915
594.76684349746324,919
594.85407498425866,911
594.94130606072633,919
595.02853672667834,924
595.11576698192687,930
595.20299682628422,924
595.29022625956236,910
595.377455281574,895
595.46468389213089,910
595.55191209104555,890
595.63913987813009,913
595.72636725319671,913
595.81359421605794,920
595.90082076652561,920
595.98804690441216,921
596.07527262952988,921
596.162497941691,921
596.2497228407077,915
596.33694732639208,915
596.42417139855672,937
596.51139505701371,937
596.59861830157536,932
596.68584113205384,921
596.77306354826135,932
596.86028555001053,938
596.94750713711312,940
597.03472830938188,940
597.12194906662876,941
597.20916940866607,955
597.29638933530623,956
597.38360884636131,956
597.47082794164373,951
597.55804662096591,950
597.64526488413981,950
597.73248273097806,950
597.81970016129264,939
597.906917174896,928
597.99413377160056,928
598.08134995121816,959
598.16856571356163,966
598.255781058443,966
598.34299598567452,947
598.43021049506865,947
598.51742458643764,957
598.60463825959368,957
598.69185151434931,957
598.77906435051682,946
598.86627676790818,946
598.95348876633614,952
599.040700345613,964
599.12791150555074,964
599.21512224596188,962
599.30233256665872,959
599.38954246745379,947
599.47675194815906,947
599.56396100858717,953
599.65116964855019,953
599.73837786786055,956
599.825585666331,943
599.91279304377326,924
600,924
600.08720653482339,936
600.17441264805609,950
600.26161833951028,945
600.34882360899826,945
600.43602845633245,943
600.523232881325,928
600.61043688378879,928
600.69764046353555,928
600.78484362037818,944
600.87204635412877,944
600.95924866459961,943
601.04645055160358,937
601.13365201495219,937
601.22085305445864,937
601.308053669935,937
601.39525386119351,938
601.48245362804687,935
601.56965297030706,920
601.65685188778684,920
601.74405038029852,929
601.83124844765439,929
601.91844608966676,929
602.00564330614827,924
602.09284009691112,930
602.180036461768,924
602.26723240053116,920
602.35442791301273,920
602.44162299902541,910
602.52881765838174,925
602.61601189089379,915
602.7032056963742,915
602.7903990746355,915
602.87759202549,915
602.96478454874978,925
603.05197664422769,925
603.13916831173617,910
603.22635955108751,910
603.313550362094,910
603.40074074456857,910
603.48793069832323,897
603.57512022317042,897
603.66230931892267,902
603.74949798539251,902
603.83668622239225,919
603.92387402973463,896
604.01106140723175,897
604.09824835469624,897
604.18543487194052,901
604.27262095877711,913
604.35980661501856,913
604.44699184047693,913
604.53417663496509,903
604.62136099829559,903
604.70854493028048,903
604.79572843073242,903
604.88291149946406,903
604.97009413628768,905
605.057276341016,896
605.14445811346116,927
605.231639453436,896
605.31882036075251,896
605.406000835224,896
605.49318087666211,909
605.58036048487975,909
605.66753965968962,901
605.75471840090381,897
605.841896708335,901
605.92907458179582,890
606.01625202109847,913
606.10342902605566,912
606.19060559648,915
606.277781732184,912
606.36495743298,923
606.45213269868054,908
606.53930752909832,916
606.62648192404583,916
606.71365588333526,921
606.80082940677971,921
606.88800249419126,914
606.97517514538265,914
607.06234736016643,925
607.14951913835512,937
607.236690479761,981
607.32386138419736,1024
607.41103185147585,1024
607.49820188140939,938
607.58537147381071,929
607.67254062849224,914
607.7597093452664,897
607.84687762394594,897
607.9340454643434,901
608.02121286627141,901
608.10837982954229,901
608.19554635396889,906
608.28271243936342,906
608.369878085539,906
608.45704329230762,924
608.54420805948234,924
608.63137238687546,929
608.71853627429971,936
608.80569972156775,936
608.892862728492,931
608.980025294885,927
609.06718742055943,927
609.154349105328,905
609.24151034900331,905
609.32867115139788,934
609.41583151232419,934
609.50299143159509,929
609.5901509090229,925
609.6773099444207,925
609.76446853760081,925
