W,I
541.57376681633491,607
541.661213241581,607
541.74865937119125,608
541.83610520497655,608
541.92355074274838,605
542.01099598431813,605
542.09844092949675,606
542.185885578096,606
542.27332992992638,606
542.36077398479972,606
542.44821774252716,610
542.53566120292,619
542.62310436578923,621
542.71054723094642,621
542.79798979820293,620
542.88543206736949,619
542.97287403825794,619
543.06031571067911,619
543.14775708444449,617
543.2351981593655,617
543.32263893525317,621
543.41007941191867,626
543.49751958917352,628
543.5849594668291,628
543.67239904469625,632
543.75983832258646,632
543.84727730031113,632
543.93471597768144,634
544.02215435450876,639
544.10959243060427,639
544.197030205779,639
544.28446767984462,627
544.37190485261226,627
544.4593417238932,627
544.54677829349873,626
544.63421456124024,626
544.7216505269289,634
544.809086190376,634
544.89652155139277,638
544.98395660979065,633
545.0713913653808,643
545.15882581797462,633
545.24625996738337,639
545.33369381341834,630
545.42112735589069,627
545.50856059461182,627
545.595993529393,633
545.68342616004577,634
545.77085848638114,634
545.85829050821042,634
545.945722225345,634
546.03315363759623,653
546.12058474477533,657
546.20801554669345,657
546.2954460431622,657
546.38287623399287,663
546.47030611899652,663
546.55773569798453,653
546.64516497076841,647
546.73259393715909,642
546.82002259696833,647
546.90745095000716,649
546.994878996087,650
547.08230673501907,649
547.16973416661472,646
547.2571612906853,638
547.34458810704211,646
547.43201461549654,648
547.51944081585975,651
547.60686670794337,651
547.69429229155821,644
547.781717566516,644
547.86914253262808,648
547.95656718970565,651
548.0439915375598,648
548.13141557600215,647
548.2188393048441,646
548.306262723897,646
548.39368583297176,646
548.48110863188015,639
548.56853112043325,639
548.65595329844234,641
548.74337516571916,641
548.83079672207464,641
548.91821796732029,646
549.0056389012675,646
549.09305952372745,650
549.1804798345114,655
549.2678998334311,655
549.35531952029771,646
549.44273889492229,642
549.53015795711656,646
549.61757670669169,644
549.70499514345886,644
549.79241326722979,635
549.87983107781565,635
549.967248575028,638
550.05466575867763,652
550.1420826285763,654
550.2294991845356,654
550.31691542636634,648
550.40433135388014,648
550.49174696688851,648
550.57916226520274,650
550.66657724863376,650
550.75399191699353,650
550.841406270093,650
550.928820307744,650
551.01623402975736,650
551.10364743594471,646
551.19106052611744,646
551.27847330008683,638
551.36588575766427,638
551.45329789866116,647
551.54070972288878,647
551.62812123015885,639
551.71553242028222,639
551.80294329307071,663
551.89035384833539,667
551.97776408588766,667
552.06517400553923,655
552.15258360710118,650
552.23999289038488,650
552.327401855202,654
552.41481050136338,654
552.50221882868107,654
552.58962683696609,656
552.67703452602973,656
552.7644418956836,648
552.851848945739,648
552.93925567600729,668
553.0266620863,668
553.11406817642853,663
553.20147394620415,660
553.28887939543813,663
553.3762845239421,668
553.46368933152735,668
553.55109381800537,664
553.63849798318745,661
553.72590182688509,661
553.81330534890969,661
553.90070854907253,650
553.98811142718512,650
554.075513983059,650
554.16291621650532,661
554.25031812733562,646
554.33771971536135,661
554.42512098039379,660
554.51252192224445,660
554.59992254072461,659
554.687322835646,659
554.77472280681991,659
554.8621224540575,665
554.94952177717039,653
555.0369207759702,658
555.12431945026788,658
555.21171779987526,659
555.29911582460352,659
555.38651352426439,659
555.47391089866892,659
555.56130794762885,659
555.64870467095534,663
555.73610106846013,657
555.8234971399545,655
555.91089288524984,654
555.99828830415754,654
556.08568339648912,658
556.17307816205607,660
556.2604726006698,658
556.34786671214169,672
556.43526049628326,655
556.522653952906,655
556.610047081821,655
556.69743988284029,663
556.78483235577482,663
556.87222450043612,663
556.9596163166359,663
557.04700780418557,663
557.13439896289628,660
557.2217897925799,660
557.30918029304746,657
557.3965704641106,669
557.48396030558069,661
557.57134981726961,661
557.65873899898827,661
557.74612785054842,668
557.83351637176145,670
557.920904562439,668
