W,I
541.57376681633491,938
541.661213241581,937
541.74865937119125,931
541.83610520497655,914
541.92355074274838,931
542.01099598431813,914
542.09844092949675,930
542.185885578096,920
542.27332992992638,927
542.36077398479972,927
542.44821774252716,927
542.53566120292,926
542.62310436578923,922
542.71054723094642,926
542.79798979820293,922
542.88543206736949,903
542.97287403825794,903
543.06031571067911,904
543.14775708444449,904
543.2351981593655,904
543.32263893525317,908
543.41007941191867,927
543.49751958917352,927
543.5849594668291,925
543.67239904469625,904
543.75983832258646,904
543.84727730031113,904
543.93471597768144,892
544.02215435450876,882
544.10959243060427,882
544.197030205779,889
544.28446767984462,908
544.37190485261226,889
544.4593417238932,906
544.54677829349873,885
544.63421456124024,906
544.7216505269289,893
544.809086190376,893
544.89652155139277,882
544.98395660979065,877
545.0713913653808,877
545.15882581797462,880
545.24625996738337,880
545.33369381341834,882
545.42112735589069,879
545.50856059461182,876
545.595993529393,874
545.68342616004577,874
545.77085848638114,870
545.85829050821042,877
545.945722225345,908
546.03315363759623,908
546.12058474477533,898
546.20801554669345,884
546.2954460431622,872
546.38287623399287,857
546.47030611899652,857
546.55773569798453,857
546.64516497076841,882
546.73259393715909,882
546.82002259696833,878
546.90745095000716,867
546.994878996087,864
547.08230673501907,859
547.16973416661472,855
547.2571612906853,855
547.34458810704211,855
547.43201461549654,852
547.51944081585975,851
547.60686670794337,851
547.69429229155821,863
547.781717566516,870
547.86914253262808,870
547.95656718970565,856
548.0439915375598,856
548.13141557600215,856
548.2188393048441,852
548.306262723897,846
548.39368583297176,852
548.48110863188015,847
548.56853112043325,847
548.65595329844234,847
548.74337516571916,847
548.83079672207464,847
548.91821796732029,852
549.0056389012675,858
549.09305952372745,858
549.1804798345114,857
549.2678998334311,839
549.35531952029771,839
549.44273889492229,842
549.53015795711656,842
549.61757670669169,842
549.70499514345886,842
549.79241326722979,838
549.87983107781565,838
549.967248575028,838
550.05466575867763,840
550.1420826285763,840
550.2294991845356,837
550.31691542636634,835
550.40433135388014,833
550.49174696688851,829
550.57916226520274,829
550.66657724863376,829
550.75399191699353,826
550.841406270093,832
550.928820307744,832
551.01623402975736,844
551.10364743594471,844
551.19106052611744,823
551.27847330008683,823
551.36588575766427,837
551.45329789866116,837
551.54070972288878,837
551.62812123015885,824
551.71553242028222,822
551.80294329307071,822
551.89035384833539,824
551.97776408588766,829
552.06517400553923,832
552.15258360710118,832
552.23999289038488,819
552.327401855202,817
552.41481050136338,819
552.50221882868107,816
552.58962683696609,816
552.67703452602973,816
552.7644418956836,816
552.851848945739,826
552.93925567600729,827
553.0266620863,827
553.11406817642853,818
553.20147394620415,814
553.28887939543813,818
553.3762845239421,826
553.46368933152735,844
553.55109381800537,826
553.63849798318745,824
553.72590182688509,824
553.81330534890969,814
553.90070854907253,809
553.98811142718512,809
554.075513983059,811
554.16291621650532,819
554.25031812733562,819
554.33771971536135,820
554.42512098039379,822
554.51252192224445,822
554.59992254072461,824
554.687322835646,824
554.77472280681991,828
554.8621224540575,824
554.94952177717039,824
555.0369207759702,821
555.12431945026788,815
555.21171779987526,821
555.29911582460352,809
555.38651352426439,810
555.47391089866892,810
555.56130794762885,811
555.64870467095534,824
555.73610106846013,811
555.8234971399545,811
555.91089288524984,811
555.99828830415754,813
556.08568339648912,826
556.17307816205607,813
556.2604726006698,813
556.34786671214169,813
556.43526049628326,813
556.522653952906,812
556.610047081821,810
556.69743988284029,803
556.78483235577482,810
556.87222450043612,821
556.9596163166359,825
557.04700780418557,821
557.13439896289628,817
557.2217897925799,817
557.30918029304746,829
557.3965704641106,829
557.48396030558069,826
557.57134981726961,821
557.65873899898827,813
557.74612785054842,811
557.83351637176145,813
557.920904562439,811
558.00829242239229,812
558.09567995143288,812
558.183067149372,812
558.27045401602186,806
558.357840551193,806
558.4452267546975,798
558.53261262634658,811
558.619998165952,811
558.70738337332489,811
558.79476824827668,814
558.88215279061922,814
558.96953700016388,814
559.05692087672207,816
559.14430442010519,810
559.231687630125,812
559.31907050659265,812
559.40645304931968,829
559.49383525811788,829
559.58121713279832,819
559.66859867317294,805
559.7559798790528,806
559.84336075024976,804
559.93074128657486,806
560.01812148784029,807
560.105501353857,807
560.19288088443648,808
560.2802600793907,808
560.36763893853072,812
560.45501746166815,828
560.54239564861439,813
560.62977349918128,834
560.71715101318011,813
560.8045281904225,805
560.89190503071973,801
560.97928153388364,801
561.06665769972528,805
561.15403352805663,818
561.24140901868907,818
561.32878417143388,817
561.41615898610291,817
561.50353346250779,811
561.59090760045945,811
561.67828139976984,811
561.76565486025049,811
561.85302798171278,818
561.94040076396834,805
562.02777320682867,825
562.11514531010539,825
562.2025170736099,825
562.2898884971537,830
562.37725958054853,820
562.46463032360566,820
562.552000726137,820
562.63937078795368,828
562.72674050886746,828
562.81410988868981,825
562.90147892723246,825
562.98884762430657,825
563.07621597972411,829
563.16358399329636,815
563.250951664835,829
563.33831899415134,815
563.42568598105754,815
563.51305262536437,815
563.600418926884,815
563.6877848854275,815
563.775150500807,815
563.86251577283349,826
563.949880701319,826
564.03724528607461,819
564.12460952691242,817
564.2119734236436,813
564.29933697607976,813
564.38670018403263,815
564.47406304731373,823
564.56142556573457,815
564.648787739107,823
564.736149567242,820
564.82351104995166,820
564.9108721870474,820
564.99823297834075,821
565.08559342364356,829
565.172953522767,833
565.260313275523,829
565.34767268172288,836
565.43503174117825,818
565.52239045370106,817
565.60974881910261,817
565.69710683719427,835
565.78446450778813,837
565.87182183069558,837
565.959178805728,824
566.04653543269717,824
566.13389171141466,839
566.22124764169223,859
566.30860322334127,849
566.39595845617362,861
566.48331334000068,849
566.570667874634,857
566.6580220598853,857
566.74537589556621,857
566.83272938148832,844
566.92008251746324,844
567.0074353033026,841
567.09478773881813,844
567.18213982382122,844
567.2694915581236,853
567.35684294153691,853
567.44419397387287,853
567.53154465494265,839
567.61889498455844,839
567.70624496253163,857
567.79359458867384,857
567.8809438627967,843
567.96829278471182,841
568.05564135423094,841
568.1429895711658,841
568.23033743532756,846
568.3176849465284,844
568.40503210457973,846
568.49237890929317,855
568.57972536048021,858
568.66707145795283,862
568.75441720152241,876
568.84176259100082,876
568.92910762619954,876
569.0164523069302,874
569.10379663300466,891
569.19114060423442,874
569.2784842204311,882
569.36582748140643,882
569.45317038697215,884
569.54051293693965,884
569.62785513112112,884
569.71519696932739,895
569.80253845137111,895
569.8898795770632,895
569.97722034621563,901
570.06456075863991,901
570.15190081414778,897
570.239240512551,897
570.32657985366143,898
570.41391883729034,919
570.50125746324954,921
570.58859573135078,956
570.67593364140578,961
570.76327119322627,976
570.85060838662366,976
570.9379452214099,976
571.02528169739651,990
571.11261781439555,1002
571.19995357221808,1007
571.28728897067629,1052
571.37462400958145,1119
571.46195868874577,1119
571.54929300798074,1079
571.6366269670981,1079
571.72396056590935,1058
571.81129380422624,1081
571.89862668186061,1081
571.98595919862407,1098
572.07329135432849,1162
572.16062314878548,1238
572.24795458180654,1383
572.33528565320387,1578
572.42261636278863,1961
572.50994671037279,4126
572.59727669576841,11787
572.68460631878668,14220
572.77193557923931,14220
572.85926447693851,5171
572.94659301169577,2154
573.0339211833226,1623
573.121248991631,1555
573.20857643643251,1546
573.29590351753916,1546
573.38323023476232,1578
573.470556587914,1648
573.55788257680581,1740
573.64520820124949,1904
573.73253346105662,2056
573.81985835603928,2170
573.90718288600908,2378
573.99450705077777,2517
574.08183085015685,2802
574.16915428395851,3079
574.25647735199425,3390
574.3438000540757,3669
574.431122390015,4080
574.51844435962357,4778
574.60576596271312,5493
574.69308719909577,6359
574.78040806858291,7447
574.86772857098651,8663
574.95504870611842,8864
575.04236847379025,8864
575.12968787381362,7659
575.21700690600073,6128
575.30432557016286,5139
575.39164386611219,4398
575.47896179366012,3655
575.56627935261884,3186
575.65359654279985,2897
575.740913364015,2630
575.82822981607615,2370
575.9155458987949,2300
576.002861611983,2112
576.09017695545253,1987
576.17749192901522,1871
576.26480653248268,1767
576.35212076566688,1704
576.43943462837944,1673
576.52674812043233,1617
576.614061241637,1519
576.70137399180589,1423
576.78868637075016,1399
576.87599837828191,1373
576.963310014213,1351
577.05062127835515,1342
577.13793217052023,1342
577.22524269051985,1351
577.312552838166,1351
577.39986261327056,1272
577.48717201564511,1262
577.57448104510172,1245
577.66178970145211,1262
577.7490979845079,1223
577.83640589408128,1239
577.92371342998388,1239
578.01102059202731,1259
578.09832738002387,1262
578.185633793785,1280
578.27293983312268,1282
578.360245497849,1316
578.44755078777507,1316
578.53485570271368,1292
578.62216024247607,1266
578.709464406874,1281
578.79676819571955,1266
578.88407160882468,1242
578.9713746460011,1225
579.05867730706052,1225
579.14597959181492,1249
579.23328150007615,1255
579.32058303165593,1255
579.40788418636646,1255
579.49518496401936,1264
579.58248536442647,1264
579.66978538739966,1251
579.75708503275087,1251
579.844384300292,1288
579.93168318983476,1313
580.018981701191,1322
580.10627983417271,1322
580.19357758859178,1322
580.28087496426019,1300
580.36817196098957,1300
580.45546857859176,1300
580.542764816879,1300
580.63006067566278,1303
580.71735615475541,1318
580.80465125396836,1319
580.89194597311359,1335
580.97924031200307,1356
581.06653427044887,1389
581.15382784826261,1389
581.24112104525636,1393
581.32841386124187,1408
581.41570629603109,1408
581.502998349436,1406
581.59029002126852,1387
581.67758131134042,1387
581.76487221946365,1400
581.85216274545007,1400
581.93945288911186,1408
582.02674265026053,1456
582.11403202870827,1456
582.201321024267,1462
582.28860963674845,1469
582.3758978659647,1508
582.46318571172765,1514
582.550473173849,1518
582.637760252141,1518
582.72504694641555,1518
582.81233325648441,1564
