W,I
541.57376681633491,578
541.661213241581,578
541.74865937119125,578
541.83610520497655,578
541.92355074274838,575
542.01099598431813,583
542.09844092949675,583
542.185885578096,587
542.27332992992638,591
542.36077398479972,595
542.44821774252716,596
542.53566120292,598
542.62310436578923,607
542.71054723094642,607
542.79798979820293,610
542.88543206736949,612
542.97287403825794,638
543.06031571067911,638
543.14775708444449,637
543.2351981593655,637
543.32263893525317,648
543.41007941191867,648
543.49751958917352,648
543.5849594668291,665
543.67239904469625,669
543.75983832258646,669
543.84727730031113,670
543.93471597768144,670
544.02215435450876,673
544.10959243060427,663
544.197030205779,663
544.28446767984462,659
544.37190485261226,659
544.4593417238932,677
544.54677829349873,677
544.63421456124024,684
544.7216505269289,684
544.809086190376,690
544.89652155139277,691
544.98395660979065,690
545.0713913653808,695
545.15882581797462,695
545.24625996738337,699
545.33369381341834,699
545.42112735589069,695
545.50856059461182,695
545.595993529393,695
545.68342616004577,699
545.77085848638114,704
545.85829050821042,708
545.945722225345,708
546.03315363759623,710
546.12058474477533,710
546.20801554669345,712
546.2954460431622,712
546.38287623399287,720
546.47030611899652,731
546.55773569798453,732
546.64516497076841,744
546.73259393715909,744
546.82002259696833,742
546.90745095000716,742
546.994878996087,742
547.08230673501907,731
547.16973416661472,724
547.2571612906853,729
547.34458810704211,729
547.43201461549654,735
547.51944081585975,741
547.60686670794337,739
547.69429229155821,745
547.781717566516,742
547.86914253262808,751
547.95656718970565,742
548.0439915375598,741
548.13141557600215,741
548.2188393048441,741
548.306262723897,745
548.39368583297176,740
548.48110863188015,737
548.56853112043325,734
548.65595329844234,734
548.74337516571916,745
548.83079672207464,753
548.91821796732029,754
549.0056389012675,754
549.09305952372745,746
549.1804798345114,741
549.2678998334311,741
549.35531952029771,749
549.44273889492229,759
549.53015795711656,771
549.61757670669169,771
549.70499514345886,751
549.79241326722979,751
549.87983107781565,752
549.967248575028,762
550.05466575867763,762
550.1420826285763,748
550.2294991845356,746
550.31691542636634,748
550.40433135388014,747
550.49174696688851,754
550.57916226520274,754
550.66657724863376,754
550.75399191699353,759
550.841406270093,759
550.928820307744,759
551.01623402975736,762
551.10364743594471,755
551.19106052611744,765
551.27847330008683,757
551.36588575766427,761
551.45329789866116,760
551.54070972288878,760
551.62812123015885,759
551.71553242028222,759
551.80294329307071,760
551.89035384833539,763
551.97776408588766,770
552.06517400553923,770
552.15258360710118,778
552.23999289038488,778
552.327401855202,778
552.41481050136338,776
552.50221882868107,776
552.58962683696609,774
552.67703452602973,767
552.7644418956836,774
552.851848945739,788
552.93925567600729,788
553.0266620863,772
553.11406817642853,767
553.20147394620415,772
553.28887939543813,769
553.3762845239421,772
553.46368933152735,772
553.55109381800537,792
553.63849798318745,792
553.72590182688509,783
553.81330534890969,780
553.90070854907253,783
553.98811142718512,786
554.075513983059,789
554.16291621650532,789
554.25031812733562,788
554.33771971536135,788
554.42512098039379,788
554.51252192224445,790
554.59992254072461,790
554.687322835646,794
554.77472280681991,795
554.8621224540575,795
554.94952177717039,795
555.0369207759702,774
555.12431945026788,785
555.21171779987526,785
555.29911582460352,802
555.38651352426439,802
555.47391089866892,790
555.56130794762885,790
555.64870467095534,793
555.73610106846013,796
555.8234971399545,796
555.91089288524984,792
555.99828830415754,792
556.08568339648912,796
556.17307816205607,796
556.2604726006698,796
556.34786671214169,796
556.43526049628326,797
556.522653952906,797
556.610047081821,798
556.69743988284029,804
556.78483235577482,804
556.87222450043612,809
556.9596163166359,809
557.04700780418557,809
557.13439896289628,810
557.2217897925799,780
557.30918029304746,805
557.3965704641106,805
557.48396030558069,808
557.57134981726961,818
557.65873899898827,818
557.74612785054842,820
557.83351637176145,820
557.920904562439,820
558.00829242239229,808
558.09567995143288,808
558.183067149372,793
558.27045401602186,812
558.357840551193,822
558.4452267546975,822
558.53261262634658,820
558.619998165952,802
558.70738337332489,800
558.79476824827668,800
558.88215279061922,817
558.96953700016388,819
559.05692087672207,819
559.14430442010519,819
559.231687630125,816
559.31907050659265,816
559.40645304931968,829
559.49383525811788,829
559.58121713279832,829
559.66859867317294,825
559.7559798790528,835
559.84336075024976,835
559.93074128657486,835
560.01812148784029,819
560.105501353857,819
560.19288088443648,811
560.2802600793907,811
560.36763893853072,813
560.45501746166815,813
560.54239564861439,813
560.62977349918128,808
560.71715101318011,830
560.8045281904225,818
560.89190503071973,818
560.97928153388364,818
561.06665769972528,826
561.15403352805663,826
561.24140901868907,831
561.32878417143388,823
561.41615898610291,831
561.50353346250779,837
561.59090760045945,837
561.67828139976984,827
561.76565486025049,827
561.85302798171278,827
561.94040076396834,804
562.02777320682867,804
562.11514531010539,839
562.2025170736099,849
562.2898884971537,860
562.37725958054853,849
562.46463032360566,841
562.552000726137,832
562.63937078795368,826
562.72674050886746,826
562.81410988868981,846
562.90147892723246,846
562.98884762430657,839
563.07621597972411,839
563.16358399329636,842
563.250951664835,845
563.33831899415134,845
563.42568598105754,845
563.51305262536437,838
563.600418926884,835
563.6877848854275,835
563.775150500807,835
563.86251577283349,837
563.949880701319,837
564.03724528607461,838
564.12460952691242,868
564.2119734236436,868
564.29933697607976,858
564.38670018403263,853
564.47406304731373,852
564.56142556573457,837
564.648787739107,843
564.736149567242,843
564.82351104995166,844
564.9108721870474,844
564.99823297834075,853
565.08559342364356,858
565.172953522767,854
565.260313275523,858
565.34767268172288,854
565.43503174117825,853
565.52239045370106,853
565.60974881910261,854
565.69710683719427,860
565.78446450778813,860
565.87182183069558,870
565.959178805728,870
566.04653543269717,853
566.13389171141466,853
566.22124764169223,847
566.30860322334127,865
566.39595845617362,858
566.48331334000068,858
566.570667874634,858
566.6580220598853,865
566.74537589556621,874
566.83272938148832,874
566.92008251746324,882
567.0074353033026,880
567.09478773881813,881
567.18213982382122,880
567.2694915581236,874
567.35684294153691,869
567.44419397387287,857
567.53154465494265,869
567.61889498455844,890
567.70624496253163,890
567.79359458867384,892
567.8809438627967,870
567.96829278471182,868
568.05564135423094,868
568.1429895711658,878
568.23033743532756,887
568.3176849465284,887
568.40503210457973,885
568.49237890929317,885
568.57972536048021,885
568.66707145795283,890
568.75441720152241,890
568.84176259100082,895
568.92910762619954,895
569.0164523069302,896
569.10379663300466,896
569.19114060423442,904
569.2784842204311,904
569.36582748140643,904
569.45317038697215,917
569.54051293693965,917
569.62785513112112,924
569.71519696932739,928
569.80253845137111,928
569.8898795770632,937
569.97722034621563,946
570.06456075863991,955
570.15190081414778,960
570.239240512551,964
570.32657985366143,960
570.41391883729034,969
570.50125746324954,969
570.58859573135078,982
570.67593364140578,984
570.76327119322627,991
570.85060838662366,1012
570.9379452214099,1047
571.02528169739651,1047
571.11261781439555,1047
571.19995357221808,1076
571.28728897067629,1085
571.37462400958145,1103
571.46195868874577,1127
571.54929300798074,1181
571.6366269670981,1229
571.72396056590935,1305
571.81129380422624,1376
571.89862668186061,1494
571.98595919862407,1623
572.07329135432849,1800
572.16062314878548,2140
572.24795458180654,2755
572.33528565320387,3982
572.42261636278863,7591
572.50994671037279,30209
572.59727669576841,65535
572.68460631878668,65535
572.77193557923931,65535
572.85926447693851,36836
572.94659301169577,8963
573.0339211833226,4540
573.121248991631,3196
573.20857643643251,2549
573.29590351753916,2127
573.38323023476232,1859
573.470556587914,1755
573.55788257680581,1620
573.64520820124949,1607
573.73253346105662,1535
573.81985835603928,1535
573.90718288600908,1615
573.99450705077777,1813
574.08183085015685,1893
