W,I
541.57376681633491,622
541.661213241581,633
541.74865937119125,623
541.83610520497655,631
541.92355074274838,631
542.01099598431813,638
542.09844092949675,638
542.185885578096,636
542.27332992992638,636
542.36077398479972,644
542.44821774252716,652
542.53566120292,666
542.62310436578923,664
542.71054723094642,671
542.79798979820293,671
542.88543206736949,680
542.97287403825794,688
543.06031571067911,717
543.14775708444449,717
543.2351981593655,720
543.32263893525317,716
543.41007941191867,716
543.49751958917352,716
543.5849594668291,722
543.67239904469625,735
543.75983832258646,735
543.84727730031113,719
543.93471597768144,719
544.02215435450876,739
544.10959243060427,750
544.197030205779,750
544.28446767984462,750
544.37190485261226,730
544.4593417238932,730
544.54677829349873,732
544.63421456124024,747
544.7216505269289,754
544.809086190376,754
544.89652155139277,769
544.98395660979065,752
545.0713913653808,752
545.15882581797462,752
545.24625996738337,760
545.33369381341834,760
545.42112735589069,760
545.50856059461182,772
545.595993529393,780
545.68342616004577,780
545.77085848638114,785
545.85829050821042,808
545.945722225345,808
546.03315363759623,808
546.12058474477533,792
546.20801554669345,805
546.2954460431622,788
546.38287623399287,788
546.47030611899652,788
546.55773569798453,802
546.64516497076841,802
546.73259393715909,802
546.82002259696833,814
546.90745095000716,816
546.994878996087,827
547.08230673501907,827
547.16973416661472,816
547.2571612906853,816
547.34458810704211,818
547.43201461549654,829
547.51944081585975,829
547.60686670794337,828
547.69429229155821,828
547.781717566516,831
547.86914253262808,831
547.95656718970565,837
548.0439915375598,829
548.13141557600215,837
548.2188393048441,842
548.306262723897,842
548.39368583297176,823
548.48110863188015,823
548.56853112043325,828
548.65595329844234,840
548.74337516571916,840
548.83079672207464,846
548.91821796732029,846
549.0056389012675,831
549.09305952372745,831
549.1804798345114,831
549.2678998334311,833
549.35531952029771,833
549.44273889492229,840
549.53015795711656,849
549.61757670669169,849
549.70499514345886,846
549.79241326722979,843
549.87983107781565,843
549.967248575028,843
550.05466575867763,847
550.1420826285763,847
550.2294991845356,847
550.31691542636634,840
550.40433135388014,860
550.49174696688851,843
550.57916226520274,843
550.66657724863376,836
550.75399191699353,836
550.841406270093,854
550.928820307744,854
551.01623402975736,847
551.10364743594471,847
551.19106052611744,847
551.27847330008683,852
551.36588575766427,856
551.45329789866116,856
551.54070972288878,855
551.62812123015885,847
551.71553242028222,847
551.80294329307071,853
551.89035384833539,853
551.97776408588766,853
552.06517400553923,868
552.15258360710118,868
552.23999289038488,868
552.327401855202,868
552.41481050136338,868
552.50221882868107,870
552.58962683696609,859
552.67703452602973,879
552.7644418956836,871
552.851848945739,879
552.93925567600729,886
553.0266620863,886
553.11406817642853,871
553.20147394620415,871
553.28887939543813,862
553.3762845239421,857
553.46368933152735,857
553.55109381800537,882
553.63849798318745,884
553.72590182688509,882
553.81330534890969,884
553.90070854907253,898
553.98811142718512,898
554.075513983059,892
554.16291621650532,877
554.25031812733562,877
554.33771971536135,879
554.42512098039379,879
554.51252192224445,879
554.59992254072461,875
554.687322835646,875
554.77472280681991,875
554.8621224540575,874
554.94952177717039,884
555.0369207759702,883
555.12431945026788,889
555.21171779987526,884
555.29911582460352,884
555.38651352426439,884
555.47391089866892,893
555.56130794762885,896
555.64870467095534,896
555.73610106846013,881
555.8234971399545,880
555.91089288524984,880
555.99828830415754,880
556.08568339648912,892
556.17307816205607,892
556.2604726006698,892
556.34786671214169,892
556.43526049628326,889
556.522653952906,889
556.610047081821,889
556.69743988284029,886
556.78483235577482,886
556.87222450043612,895
556.9596163166359,898
557.04700780418557,895
557.13439896289628,913
557.2217897925799,894
557.30918029304746,899
557.3965704641106,899
557.48396030558069,899
557.57134981726961,904
557.65873899898827,908
557.74612785054842,908
557.83351637176145,908
557.920904562439,912
558.00829242239229,928
558.09567995143288,928
558.183067149372,918
558.27045401602186,918
558.357840551193,901
558.4452267546975,927
558.53261262634658,904
558.619998165952,927
558.70738337332489,920
558.79476824827668,920
558.88215279061922,908
558.96953700016388,904
559.05692087672207,904
559.14430442010519,904
559.231687630125,906
559.31907050659265,912
559.40645304931968,924
559.49383525811788,924
559.58121713279832,929
559.66859867317294,907
559.7559798790528,920
559.84336075024976,918
559.93074128657486,920
560.01812148784029,944
560.105501353857,944
560.19288088443648,909
560.2802600793907,904
560.36763893853072,904
560.45501746166815,911
560.54239564861439,923
560.62977349918128,923
560.71715101318011,920
560.8045281904225,920
560.89190503071973,943
560.97928153388364,943
561.06665769972528,951
561.15403352805663,937
561.24140901868907,921
561.32878417143388,921
561.41615898610291,922
561.50353346250779,928
561.59090760045945,928
561.67828139976984,924
561.76565486025049,924
561.85302798171278,929
561.94040076396834,929
562.02777320682867,929
562.11514531010539,933
562.2025170736099,939
562.2898884971537,933
562.37725958054853,939
562.46463032360566,933
562.552000726137,914
562.63937078795368,914
562.72674050886746,921
562.81410988868981,959
562.90147892723246,922
562.98884762430657,925
563.07621597972411,925
563.16358399329636,938
563.250951664835,938
563.33831899415134,947
563.42568598105754,947
563.51305262536437,953
563.600418926884,953
563.6877848854275,949
563.775150500807,935
563.86251577283349,949
563.949880701319,937
564.03724528607461,954
564.12460952691242,944
564.2119734236436,946
564.29933697607976,944
564.38670018403263,946
564.47406304731373,948
564.56142556573457,948
564.648787739107,943
564.736149567242,943
564.82351104995166,954
564.9108721870474,976
564.99823297834075,985
565.08559342364356,976
565.172953522767,964
565.260313275523,964
565.34767268172288,967
565.43503174117825,968
565.52239045370106,968
565.60974881910261,964
565.69710683719427,961
565.78446450778813,961
565.87182183069558,965
565.959178805728,965
566.04653543269717,956
566.13389171141466,956
566.22124764169223,973
566.30860322334127,973
