W,I
541.57376681633491,609
541.661213241581,609
541.74865937119125,610
541.83610520497655,610
541.92355074274838,610
542.01099598431813,605
542.09844092949675,614
542.185885578096,609
542.27332992992638,609
542.36077398479972,609
542.44821774252716,609
542.53566120292,623
542.62310436578923,623
542.71054723094642,618
542.79798979820293,617
542.88543206736949,618
542.97287403825794,620
543.06031571067911,620
543.14775708444449,612
543.2351981593655,612
543.32263893525317,612
543.41007941191867,614
543.49751958917352,616
543.5849594668291,616
543.67239904469625,621
543.75983832258646,622
543.84727730031113,622
543.93471597768144,607
544.02215435450876,602
544.10959243060427,607
544.197030205779,614
544.28446767984462,622
544.37190485261226,621
544.4593417238932,621
544.54677829349873,621
544.63421456124024,623
544.7216505269289,623
544.809086190376,623
544.89652155139277,619
544.98395660979065,619
545.0713913653808,619
545.15882581797462,610
545.24625996738337,610
545.33369381341834,619
545.42112735589069,619
545.50856059461182,619
545.595993529393,612
545.68342616004577,615
545.77085848638114,615
545.85829050821042,623
545.945722225345,628
546.03315363759623,628
546.12058474477533,629
546.20801554669345,626
546.2954460431622,621
546.38287623399287,620
546.47030611899652,620
546.55773569798453,616
546.64516497076841,616
546.73259393715909,615
546.82002259696833,615
546.90745095000716,615
546.994878996087,621
547.08230673501907,621
547.16973416661472,620
547.2571612906853,618
547.34458810704211,611
547.43201461549654,610
547.51944081585975,609
547.60686670794337,609
547.69429229155821,612
547.781717566516,612
547.86914253262808,611
547.95656718970565,606
548.0439915375598,611
548.13141557600215,614
548.2188393048441,617
548.306262723897,617
548.39368583297176,609
548.48110863188015,609
548.56853112043325,605
548.65595329844234,613
548.74337516571916,613
548.83079672207464,619
548.91821796732029,620
549.0056389012675,619
549.09305952372745,618
549.1804798345114,618
549.2678998334311,614
549.35531952029771,618
549.44273889492229,612
549.53015795711656,616
549.61757670669169,616
549.70499514345886,616
549.79241326722979,614
549.87983107781565,614
549.967248575028,618
550.05466575867763,624
550.1420826285763,624
550.2294991845356,618
550.31691542636634,616
550.40433135388014,617
550.49174696688851,609
550.57916226520274,609
550.66657724863376,609
550.75399191699353,607
550.841406270093,616
550.928820307744,615
551.01623402975736,615
551.10364743594471,612
551.19106052611744,609
551.27847330008683,609
551.36588575766427,614
551.45329789866116,620
551.54070972288878,620
551.62812123015885,614
551.71553242028222,614
551.80294329307071,619
551.89035384833539,619
551.97776408588766,613
552.06517400553923,608
552.15258360710118,608
552.23999289038488,613
552.327401855202,615
552.41481050136338,613
552.50221882868107,615
552.58962683696609,602
552.67703452602973,616
552.7644418956836,612
552.851848945739,615
552.93925567600729,612
553.0266620863,613
553.11406817642853,613
553.20147394620415,616
553.28887939543813,616
553.3762845239421,615
553.46368933152735,615
553.55109381800537,620
553.63849798318745,620
553.72590182688509,619
553.81330534890969,615
553.90070854907253,619
553.98811142718512,619
554.075513983059,622
554.16291621650532,619
554.25031812733562,619
554.33771971536135,619
554.42512098039379,627
554.51252192224445,627
554.59992254072461,621
554.687322835646,620
554.77472280681991,618
554.8621224540575,618
554.94952177717039,611
555.0369207759702,611
555.12431945026788,617
555.21171779987526,618
555.29911582460352,618
555.38651352426439,618
555.47391089866892,619
555.56130794762885,621
555.64870467095534,621
555.73610106846013,625
555.8234971399545,618
555.91089288524984,610
555.99828830415754,610
556.08568339648912,612
556.17307816205607,614
556.2604726006698,616
556.34786671214169,628
556.43526049628326,628
556.522653952906,628
556.610047081821,622
556.69743988284029,622
556.78483235577482,625
556.87222450043612,628
556.9596163166359,625
557.04700780418557,628
557.13439896289628,623
557.2217897925799,623
557.30918029304746,622
557.3965704641106,622
557.48396030558069,623
557.57134981726961,623
557.65873899898827,615
557.74612785054842,615
557.83351637176145,627
557.920904562439,627
558.00829242239229,622
558.09567995143288,622
558.183067149372,617
558.27045401602186,624
558.357840551193,619
558.4452267546975,624
558.53261262634658,620
558.619998165952,620
558.70738337332489,620
558.79476824827668,621
558.88215279061922,625
558.96953700016388,623
559.05692087672207,624
559.14430442010519,624
559.231687630125,645
559.31907050659265,645
559.40645304931968,621
559.49383525811788,621
559.58121713279832,621
559.66859867317294,620
559.7559798790528,620
559.84336075024976,628
559.93074128657486,628
560.01812148784029,625
560.105501353857,625
560.19288088443648,628
560.2802600793907,632
560.36763893853072,634
560.45501746166815,634
560.54239564861439,630
560.62977349918128,628
560.71715101318011,622
560.8045281904225,622
560.89190503071973,630
560.97928153388364,632
561.06665769972528,632
561.15403352805663,642
561.24140901868907,642
561.32878417143388,641
561.41615898610291,641
561.50353346250779,642
561.59090760045945,648
561.67828139976984,648
561.76565486025049,631
561.85302798171278,631
561.94040076396834,634
562.02777320682867,634
562.11514531010539,632
562.2025170736099,632
562.2898884971537,633
562.37725958054853,636
562.46463032360566,633
562.552000726137,631
562.63937078795368,631
562.72674050886746,626
562.81410988868981,632
562.90147892723246,634
562.98884762430657,642
563.07621597972411,650
563.16358399329636,673
563.250951664835,673
563.33831899415134,663
563.42568598105754,654
563.51305262536437,653
563.600418926884,645
563.6877848854275,645
563.775150500807,645
563.86251577283349,630
563.949880701319,630
564.03724528607461,636
564.12460952691242,637
564.2119734236436,646
564.29933697607976,646
564.38670018403263,638
564.47406304731373,638
564.56142556573457,641
564.648787739107,641
564.736149567242,648
564.82351104995166,646
564.9108721870474,648
564.99823297834075,649
565.08559342364356,651
565.172953522767,669
565.260313275523,676
565.34767268172288,688
565.43503174117825,676
565.52239045370106,676
565.60974881910261,671
565.69710683719427,663
565.78446450778813,662
565.87182183069558,662
565.959178805728,658
566.04653543269717,649
566.13389171141466,645
566.22124764169223,639
566.30860322334127,645
566.39595845617362,657
566.48331334000068,657
566.570667874634,661
566.6580220598853,667
566.74537589556621,678
566.83272938148832,678
566.92008251746324,668
567.0074353033026,663
567.09478773881813,662
567.18213982382122,648
567.2694915581236,648
567.35684294153691,668
567.44419397387287,668
567.53154465494265,668
567.61889498455844,706
567.70624496253163,710
567.79359458867384,710
567.8809438627967,677
567.96829278471182,677
568.05564135423094,677
568.1429895711658,685
568.23033743532756,697
568.3176849465284,699
568.40503210457973,699
568.49237890929317,686
568.57972536048021,686
568.66707145795283,686
568.75441720152241,686
568.84176259100082,687
568.92910762619954,698
569.0164523069302,701
569.10379663300466,701
569.19114060423442,694
569.2784842204311,688
569.36582748140643,688
569.45317038697215,689
569.54051293693965,689
569.62785513112112,691
569.71519696932739,687
569.80253845137111,699
569.8898795770632,699
569.97722034621563,699
570.06456075863991,708
570.15190081414778,710
570.239240512551,713
570.32657985366143,735
570.41391883729034,749
570.50125746324954,755
570.58859573135078,764
570.67593364140578,764
570.76327119322627,764
570.85060838662366,759
570.9379452214099,768
571.02528169739651,791
571.11261781439555,794
