W,I
550.0700989,-2
550.1567808,14
550.2434621,-11
550.3301427,8
550.4168225,-7
550.5035015,13
550.5901799,6
550.6768575,22
550.7635343,17
550.8502105,-11
550.9368859,-2
551.0235606,-2
551.1102345,14
551.1969077,-11
551.2835802,8
551.3702519,-7
551.4569229,13
551.5435932,6
551.6302627,-17
551.7169315,-6
551.8035996,-8
551.8902669,-11
551.9769335,20
552.0635994,-12
552.1502645,-3
552.2369289,11
552.3235926,-23
552.4102555,2
552.4969177,14
552.5835791,-2
552.6702398,-4
552.7568998,7
552.843559,-8
552.9302175,3
553.0168753,4
553.1035323,-3
553.1901886,9
553.2768442,11
553.363499,-9
553.450153,2
553.5368064,25
553.623459,15
553.7101108,12
553.7967619,-6
553.8834123,20
553.970062,-9
554.0567109,24
554.143359,16
554.2300064,28
554.3166531,18
554.4032991,28
554.4899443,12
554.5765887,21
554.6632325,8
554.7498754,28
554.8365177,2
554.9231592,-6
555.0097999,14
555.0964399,10
555.1830792,13
555.2697177,5
555.3563555,15
555.4429926,-4
555.5296289,-1
555.6162644,-7
555.7028993,15
555.7895333,-1
555.8761667,1
555.9627993,25
556.0494311,-17
556.1360622,23
556.2226926,13
556.3093222,7
556.3959511,-14
556.4825792,23
556.5692066,24
556.6558332,28
556.7424591,26
556.8290843,22
556.9157087,11
557.0023323,34
557.0889552,29
557.1755774,27
557.2621988,20
557.3488195,38
557.4354394,3
557.5220586,19
557.608677,29
557.6952947,21
557.7819117,40
557.8685279,29
557.9551433,20
558.041758,40
558.128372,51
558.2149852,46
558.3015976,35
558.3882093,37
558.4748203,36
558.5614305,13
558.64804,19
558.7346487,41
558.8212566,43
558.9078639,47
558.9944703,28
559.081076,42
559.167681,18
559.2542852,37
559.3408887,17
559.4274914,33
559.5140934,58
559.6006946,27
559.6872951,33
559.7738948,43
559.8604937,47
559.9470919,40
560.0336894,49
560.1202861,42
560.2068821,60
560.2934773,60
560.3800717,72
560.4666654,57
560.5532584,47
560.6398506,49
560.726442,56
560.8130327,37
560.8996226,53
560.9862118,61
561.0728003,52
561.1593879,50
561.2459748,41
561.332561,57
561.4191464,43
561.5057311,46
561.592315,60
561.6788981,33
561.7654805,57
561.8520622,49
561.9386431,56
562.0252232,43
562.1118026,44
562.1983812,75
562.284959,44
562.3715361,57
562.4581125,35
562.5446881,39
562.6312629,48
562.717837,40
562.8044103,24
562.8909829,59
562.9775547,64
563.0641257,61
563.150696,62
563.2372655,55
563.3238343,67
563.4104023,65
563.4969696,48
563.5835361,62
563.6701018,63
563.7566668,63
563.843231,84
563.9297945,65
564.0163572,75
564.1029191,79
564.1894803,56
564.2760407,51
564.3626004,66
564.4491593,77
564.5357174,74
564.6222748,65
564.7088314,71
564.7953873,73
564.8819424,75
564.9684967,96
565.0550503,70
565.1416031,86
565.2281552,77
565.3147065,75
565.401257,90
565.4878067,73
565.5743557,69
565.660904,75
565.7474515,81
565.8339982,73
565.9205441,76
566.0070893,104
566.0936337,84
566.1801774,114
566.2667203,97
566.3532624,73
566.4398038,82
566.5263444,118
566.6128842,101
566.6994233,104
566.7859616,125
566.8724991,105
566.9590359,85
567.0455719,98
567.1321071,113
567.2186416,104
567.3051753,90
567.3917083,99
567.4782404,115
567.5647718,118
567.6513025,101
567.7378324,124
567.8243615,119
567.9108898,120
567.9974174,123
568.0839442,133
568.1704702,139
568.2569955,116
568.34352,151
568.4300437,128
568.5165667,127
568.6030889,134
568.6896103,159
568.776131,160
568.8626509,145
568.94917,139
569.0356883,158
569.1222059,145
569.2087227,192
569.2952388,177
569.381754,196
569.4682685,208
569.5547822,182
569.6412952,175
569.7278074,200
569.8143188,236
569.9008294,220
569.9873393,220
