W,I
550.046521,0
550.1345127,16
550.2225039,0
550.3104946,21
550.3984849,10
550.4864747,15
550.574464,21
550.6624529,1
550.7504412,20
550.8384291,0
550.9264166,11
551.0144035,12
551.10239,24
551.190376,2
551.2783615,5
551.3663466,29
551.4543312,-2
551.5423153,11
551.6302989,10
551.7182821,27
551.8062647,19
551.8942469,0
551.9822287,10
552.0702099,15
552.1581907,-5
552.246171,24
552.3341508,18
552.4221302,19
552.510109,14
552.5980874,13
552.6860653,5
552.7740428,11
552.8620197,1
552.9499962,0
553.0379722,3
553.1259477,-5
553.2139228,-1
553.3018973,13
553.3898714,12
553.477845,16
553.5658181,16
553.6537908,13
553.7417629,19
553.8297346,21
553.9177058,24
554.0056766,25
554.0936468,21
554.1816166,5
554.2695859,4
554.3575547,15
554.445523,1
554.5334908,9
554.6214582,12
554.7094251,25
554.7973915,31
554.8853574,17
554.9733228,27
555.0612878,19
555.1492522,3
555.2372162,10
555.3251797,20
555.4131427,0
555.5011053,2
555.5890673,21
555.6770289,15
555.76499,20
555.8529506,1
555.9409107,25
556.0288703,10
556.1168295,18
556.2047881,7
556.2927463,9
556.380704,27
556.4686612,31
556.5566179,13
556.6445741,39
556.7325299,23
556.8204852,19
556.9084399,18
556.9963942,36
557.084348,13
557.1723014,1
557.2602542,21
557.3482065,9
557.4361584,17
557.5241097,7
557.6120606,6
557.700011,10
557.7879609,0
557.8759103,4
557.9638593,39
558.0518077,19
558.1397557,20
558.2277031,12
558.3156501,23
558.4035966,18
558.4915426,14
558.5794881,1
558.6674331,16
558.7553776,17
558.8433216,4
558.9312652,22
559.0192082,16
559.1071508,18
559.1950929,14
559.2830345,12
559.3709755,24
559.4589161,26
559.5468563,18
559.6347959,8
559.722735,31
559.8106736,18
559.8986118,14
559.9865494,22
560.0744866,11
560.1624232,9
560.2503594,20
560.338295,32
560.4262302,26
560.5141649,20
560.6020991,24
560.6900328,30
560.777966,19
560.8658987,20
560.9538309,18
561.0417626,23
561.1296939,20
561.2176246,34
561.3055548,28
561.3934846,20
561.4814138,32
561.5693426,41
561.6572708,26
561.7451986,6
561.8331258,35
561.9210526,24
562.0089789,30
562.0969046,45
562.1848299,28
562.2727547,21
562.360679,24
562.4486027,28
562.536526,33
562.6244488,23
562.7123711,2
562.8002929,44
562.8882142,15
562.976135,31
563.0640552,37
563.151975,19
563.2398943,23
563.3278131,12
563.4157314,40
563.5036492,14
563.5915665,38
563.6794833,19
563.7673996,41
563.8553154,27
563.9432307,28
564.0311455,33
564.1190598,22
564.2069735,38
564.2948868,15
564.3827996,40
564.4707119,50
564.5586237,45
564.646535,30
564.7344457,42
564.822356,37
564.9102658,41
564.9981751,31
565.0860838,30
565.1739921,36
565.2618998,34
565.3498071,33
565.4377138,52
565.5256201,54
565.6135258,38
565.7014311,36
565.7893358,44
565.87724,48
565.9651438,37
566.053047,48
566.1409497,35
566.2288519,56
566.3167536,39
566.4046548,56
566.4925555,38
566.5804557,56
566.6683554,48
566.7562546,66
566.8441532,34
566.9320514,57
567.019949,59
567.1078462,55
567.1957428,55
567.2836389,26
567.3715346,48
567.4594297,65
567.5473243,50
567.6352184,56
567.723112,50
567.8110051,45
567.8988976,68
567.9867897,68
568.0746813,49
568.1625723,49
568.2504628,65
568.3383529,66
568.4262424,47
568.5141314,69
568.6020199,52
568.6899079,70
568.7777953,82
568.8656823,59
568.9535687,69
569.0414547,58
569.1293401,64
569.217225,58
569.3051094,78
569.3929933,66
569.4808767,49
569.5687596,63
569.656642,89
569.7445238,75
569.8324051,71
569.9202859,98
570.0081663,58
570.096046,68
570.1839253,51
570.2718041,84
570.3596823,81
570.4475601,76
570.5354373,81
570.623314,80
570.7111902,98
570.7990659,72
570.8869411,75
570.9748157,74
571.0626898,96
571.1505635,87
571.2384366,92
571.3263091,86
571.4141812,77
571.5020528,94
571.5899238,73
571.6777943,81
571.7656643,85
571.8535338,98
571.9414028,89
572.0292712,103
572.1171392,89
572.2050066,117
572.2928735,100
572.3807399,117
572.4686057,124
572.5564711,112
572.6443359,140
572.7322002,133
572.820064,135
572.9079273,137
572.99579,161
573.0836523,164
573.171514,216
573.2593752,219
573.3472358,287
573.435096,384
573.5229556,586
573.6108147,1143
573.6986733,3329
573.7865314,9679
573.8743889,19206
573.962246,19736
574.0501025,12676
574.1379585,5725
574.2258139,2190
574.3136689,858
574.4015233,520
574.4893772,322
574.5772305,277
574.6650834,235
574.7529357,233
574.8407875,214
574.9286388,212
575.0164896,202
575.1043398,193
575.1921895,161
575.2800387,185
575.3678873,187
575.4557355,182
575.5435831,189
575.6314302,168
575.7192767,144
575.8071228,172
575.8949683,174
575.9828133,170
576.0706577,170
576.1585017,175
576.2463451,181
576.334188,201
576.4220303,183
576.5098722,181
576.5977135,176
576.6855542,181
576.7733945,187
576.8612342,186
576.9490734,179
577.0369121,171
577.1247502,189
577.2125878,185
577.3004249,188
577.3882615,196
577.4760975,188
577.563933,149
577.6517679,192
577.7396024,181
577.8274363,173
577.9152697,203
578.0031025,208
578.0909349,171
578.1787666,189
578.2665979,183
578.3544286,204
578.4422588,188
578.5300885,206
578.6179177,171
578.7057463,164
578.7935743,204
578.8814019,210
578.9692289,188
579.0570554,172
579.1448813,155
579.2327068,167
579.3205316,194
579.408356,157
579.4961798,148
579.5840031,208
579.6718259,169
579.7596481,186
579.8474698,162
579.9352909,167
580.0231115,157
580.1109316,180
580.1987512,164
580.2865702,169
580.3743887,164
580.4622066,156
580.5500241,150
580.6378409,170
580.7256573,141
580.8134731,171
580.9012884,158
580.9891031,125
581.0769173,163
581.164731,158
581.2525441,142
581.3403567,143
581.4281688,156
581.5159803,153
581.6037913,153
581.6916017,144
581.7794116,161
581.867221,143
581.9550298,160
582.0428381,149
582.1306459,160
582.2184531,178
582.3062598,161
582.3940659,174
582.4818715,185
582.5696766,179
582.6574811,169
582.7452851,159
582.8330886,151
582.9208915,159
583.0086938,148
583.0964957,140
583.1842969,167
583.2720977,151
583.3598979,171
583.4476976,154
583.5354967,160
583.6232953,152
583.7110933,150
583.7988908,165
583.8866878,163
583.9744842,181
584.0622801,165
584.1500754,188
584.2378702,145
584.3256644,196
584.4134582,184
584.5012513,166
584.5890439,186
584.676836,172
584.7646275,167
584.8524185,183
584.940209,188
585.0279989,175
585.1157882,173
585.2035771,184
585.2913653,159
585.3791531,147
585.4669402,169
585.5547269,192
585.642513,167
585.7302985,154
585.8180835,172
585.905868,175
585.9936519,183
586.0814352,174
586.169218,162
586.2570003,184
586.344782,190
586.4325632,188
586.5203438,186
586.6081239,178
586.6959034,175
586.7836824,181
586.8714609,202
586.9592387,180
587.0470161,164
587.1347929,171
587.2225691,167
587.3103448,184
587.39812,174
587.4858946,175
587.5736686,210
587.6614421,190
587.7492151,186
587.8369875,190
587.9247593,195
588.0125306,227
588.1003014,203
588.1880716,187
588.2758412,199
588.3636103,199
588.4513789,192
588.5391469,187
588.6269143,216
588.7146812,194
588.8024475,177
588.8902133,214
588.9779786,219
589.0657432,189
589.1535074,201
589.241271,194
589.329034,179
589.4167965,203
589.5045584,176
589.5923198,228
589.6800806,196
589.7678408,196
589.8556005,205
589.9433597,224
590.0311183,166
590.1188763,201
590.2066338,183
590.2943908,202
590.3821471,205
590.469903,183
590.5576582,193
590.645413,200
590.7331671,189
590.8209207,213
590.9086738,201
590.9964263,187
591.0841782,211
591.1719296,238
591.2596804,207
591.3474307,212
591.4351804,199
591.5229295,199
591.6106781,224
591.6984261,222
591.7861736,227
591.8739205,247
591.9616669,220
592.0494127,212
592.1371579,230
592.2249026,225
592.3126468,211
592.4003903,190
592.4881333,214
592.5758758,219
592.6636177,232
592.751359,248
592.8390998,229
592.92684,243
593.0145796,200
593.1023187,229
593.1900573,231
593.2777952,231
593.3655326,241
593.4532695,262
593.5410058,228
593.6287415,249
593.7164766,212
593.8042112,211
593.8919453,250
593.9796788,255
594.0674117,259
594.155144,230
594.2428758,281
594.330607,287
594.4183377,281
594.5060678,255
594.5937973,271
594.6815263,303
594.7692547,285
594.8569825,280
594.9447098,273
595.0324365,305
595.1201627,300
595.2078883,320
595.2956133,314
595.3833377,303
595.4710616,335
595.558785,330
595.6465077,333
595.7342299,338
595.8219515,328
595.9096726,326
595.9973931,328
596.085113,304
596.1728324,312
596.2605512,295
596.3482694,311
596.435987,301
596.5237041,263
596.6114207,291
596.6991366,264
596.786852,327
596.8745668,296
596.9622811,310
597.0499948,310
597.1377079,315
597.2254204,298
597.3131324,315
597.4008438,314
597.4885546,317
597.5762649,328
597.6639746,323
597.7516837,273
597.8393923,344
597.9271003,280
598.0148077,288
598.1025146,296
598.1902208,288
598.2779265,287
598.3656317,286
598.4533362,282
598.5410402,306
598.6287436,270
598.7164465,303
598.8041488,282
598.8918505,282
598.9795516,264
599.0672522,283
599.1549521,262
599.2426515,276
599.3303504,287
599.4180487,276
599.5057463,280
599.5934435,242
599.68114,292
599.768836,247
599.8565314,284
599.9442262,291
600.0319204,276
600.1196141,288
600.2073072,284
600.2949997,257
600.3826917,281
600.4703831,263
600.5580738,261
600.6457641,293
600.7334537,275
600.8211428,290
600.9088313,308
600.9965192,287
601.0842065,297
601.1718933,297
601.2595795,268
601.3472651,300
601.4349501,259
601.5226346,284
601.6103184,272
601.6980017,269
601.7856844,275
601.8733666,274
601.9610481,290
602.0487291,277
602.1364095,284
602.2240894,314
602.3117686,303
602.3994473,286
602.4871253,291
602.5748029,335
602.6624798,312
602.7501561,316
602.8378319,311
602.9255071,322
603.0131817,331
603.1008557,304
603.1885291,324
603.276202,323
603.3638743,341
603.451546,295
603.5392171,353
603.6268876,317
603.7145576,319
603.802227,302
603.8898958,336
603.977564,325
604.0652316,343
604.1528986,349
604.2405651,340
604.3282309,350
604.4158962,359
604.5035609,331
604.5912251,327
604.6788886,323
604.7665516,360
604.8542139,332
604.9418757,337
605.0295369,372
605.1171975,368
605.2048576,391
605.292517,359
605.3801759,382
605.4678341,372
605.5554918,361
605.6431489,362
605.7308054,381
605.8184614,355
605.9061167,366
605.9937715,368
606.0814256,331
606.1690792,345
606.2567322,378
606.3443846,365
606.4320364,341
606.5196877,342
606.6073383,342
606.6949884,374
606.7826378,379
606.8702867,371
606.957935,338
607.0455827,356
607.1332298,369
607.2208763,369
607.3085223,387
607.3961676,362
607.4838124,394
607.5714565,376
607.6591001,376
607.7467431,363
607.8343855,439
607.9220273,409
608.0096685,364
608.0973091,395
608.1849492,391
608.2725886,399
608.3602274,364
608.4478657,395
608.5355034,390
608.6231404,434
608.7107769,427
608.7984128,396
608.8860481,411
608.9736828,406
609.0613169,399
609.1489504,376
609.2365833,425
609.3242157,442
609.4118474,462
609.4994785,447
609.5871091,418
609.674739,461
609.7623684,425
609.8499972,434
609.9376253,394
610.0252529,435
610.1128799,417
610.2005063,455
610.288132,444
610.3757572,414
610.4633818,448
610.5510058,461
610.6386292,442
610.726252,441
610.8138743,458
610.9014959,437
610.9891169,442
611.0767373,454
611.1643571,453
611.2519764,487
611.339595,474
611.427213,481
611.5148305,481
611.6024473,478
611.6900635,511
611.7776792,481
611.8652942,516
611.9529086,512
612.0405225,539
612.1281357,527
612.2157484,532
612.3033604,500
612.3909719,528
612.4785827,540
612.5661929,549
612.6538026,554
612.7414116,547
612.8290201,545
612.9166279,527
613.0042352,585
613.0918418,554
613.1794478,562
613.2670533,543
613.3546581,559
613.4422623,598
613.529866,574
613.617469,591
613.7050714,566
613.7926732,592
613.8802745,552
613.9678751,573
614.0554751,546
614.1430745,545
614.2306733,561
614.3182715,565
614.4058691,533
614.4934661,548
614.5810625,564
614.6686583,562
614.7562535,510
614.8438481,521
614.931442,508
615.0190354,496
615.1066282,529
615.1942203,532
615.2818119,498
615.3694028,535
615.4569932,514
615.5445829,512
615.632172,498
615.7197606,519
615.8073485,529
615.8949358,515
615.9825225,506
616.0701086,502
616.1576941,478
616.245279,510
616.3328632,481
616.4204469,498
616.5080299,491
616.5956124,499
616.6831942,513
616.7707755,488
616.8583561,496
616.9459361,476
617.0335155,434
617.1210943,488
617.2086725,471
617.2962501,499
617.383827,487
617.4714034,501
617.5589791,488
617.6465543,487
617.7341288,496
617.8217027,494
617.909276,498
617.9968487,506
618.0844208,510
618.1719923,483
618.2595631,537
618.3471334,492
618.434703,472
618.522272,510
618.6098404,506
618.6974082,514
618.7849754,485
618.872542,535
618.9601079,502
619.0476733,558
619.135238,521
619.2228021,498
619.3103656,532
619.3979285,489
619.4854908,514
619.5730525,501
619.6606135,536
619.7481739,523
619.8357338,561
619.923293,502
620.0108515,533
620.0984095,544
620.1859669,541
620.2735236,537
620.3610797,540
620.4486353,516
620.5361901,529
620.6237444,534
620.7112981,508
620.7988511,561
620.8864036,527
620.9739554,532
621.0615066,526
621.1490571,532
621.2366071,571
621.3241564,534
621.4117052,585
621.4992533,587
621.5868007,537
621.6743476,591
621.7618939,552
621.8494395,552
621.9369845,550
622.0245289,544
622.1120727,503
622.1996158,515
622.2871583,493
622.3747002,542
622.4622415,553
622.5497822,531
622.6373223,498
622.7248617,511
622.8124005,549
622.8999387,530
622.9874763,554
623.0750132,524
623.1625495,547
623.2500852,520
623.3376203,503
623.4251548,538
623.5126886,533
623.6002218,549
623.6877544,523
623.7752864,522
623.8628177,524
623.9503484,539
624.0378785,568
624.125408,559
624.2129369,509
624.3004651,522
624.3879927,501
624.4755197,528
624.563046,576
624.6505718,544
624.7380969,525
624.8256214,543
624.9131452,542
625.0006684,532
625.0881911,530
625.175713,510
625.2632344,517
625.3507551,514
625.4382752,565
625.5257947,568
625.6133135,543
625.7008318,508
625.7883494,541
625.8758663,544
625.9633827,546
626.0508984,517
626.1384135,581
626.2259279,578
626.3134418,557
626.400955,583
626.4884675,536
626.5759795,563
626.6634908,546
626.7510015,559
626.8385115,550
626.926021,557
627.0135298,538
627.101038,590
627.1885455,584
627.2760524,541
627.3635587,571
627.4510643,564
627.5385694,631
627.6260738,588
