W,I
550.046521001757,225
550.13451268730194,254
550.22250390041143,259
550.31049464090393,224
550.39848490859765,243
550.486474703311,244
550.57446402486255,247
550.66245287307038,224
550.750441247753,233
550.83842914872889,232
550.92641657581623,207
551.01440352883355,255
551.10239000759918,247
551.19037601193168,229
551.27836154164925,260
551.36634659657034,237
551.45433117651339,242
551.542315281297,237
551.63029891073927,221
551.71828206465887,239
551.80626474287419,244
551.89424694520358,240
551.98222867146558,248
552.07020992147864,216
552.15819069506108,260
552.24617099203147,219
552.33415081220824,223
552.42213015541,257
552.510109021455,237
552.598087410162,244
552.68606532134913,221
552.77404275483525,257
552.86201971043852,244
552.94999618797772,231
553.037972187271,258
553.12594770813735,228
553.21392275039477,246
553.30189731386224,243
553.389871398358,246
553.47784500370074,231
553.56581812970876,267
553.65379077620094,270
553.74176294299548,235
553.82973462991117,250
553.91770583676634,255
554.00567656337978,251
554.09364680956992,266
554.18161657515532,255
554.26958585995465,252
554.35755466378657,254
554.4455229864692,260
554.53349082782177,251
554.62145818766237,246
554.70942506580991,277
554.79739146208283,266
554.88535737629968,238
554.97332280827925,251
555.06128775784,273
555.14925222480065,246
555.23721620897993,263
555.32517971019615,264
555.41314272826833,264
555.50110526301478,278
555.58906731425418,266
555.67702888180554,258
555.76498996548719,244
555.85295056511791,288
555.94091068051625,299
556.0288703115009,261
556.11682945789073,289
556.20478811950431,265
556.2927462961602,251
556.38070398767729,269
556.46866119387414,272
556.55661791456942,297
556.6445741495819,286
556.73252989873038,278
556.8204851618334,269
556.90843993871,282
556.99639422917846,277
557.08434803305784,263
557.17230135016678,276
557.26025418032407,294
557.34820652334838,283
557.4361583790585,292
557.524109747273,281
557.61206062781093,288
557.70001102049093,285
557.78796092513176,265
557.8759103415523,295
557.96385926957112,275
558.05180770900722,288
558.13975565967928,267
558.22770312140619,269
558.31565009400663,288
558.40359657729948,282
558.49154257110342,283
558.57948807523746,306
558.6674330895205,292
558.75537761377086,319
558.843321647808,314
558.93126519145039,296
559.0192082445169,279
559.10715080682644,299
559.195092878198,292
559.28303445845029,296
559.37097554740194,315
559.45891614487221,316
559.54685625067987,290
559.63479586464359,310
559.7227349865824,325
559.8106736163154,317
559.898611753661,305
559.98654939843857,293
560.07448655046664,301
560.16242320956439,330
560.2503593755506,306
560.33829504824428,321
560.4262302274642,294
560.5141649130295,291
560.602099104759,330
560.69003280247125,335
560.777966005986,312
560.86589871512149,319
560.95383092969712,306
561.04176264953162,335
561.129693874444,331
561.21762460425327,350
561.30555483877833,324
561.39348457783808,310
561.48141382125175,350
561.56934256883824,314
561.65727082041644,338
561.74519857580538,337
561.83312583482416,352
561.9210525972918,332
562.008978863027,316
562.09690463184916,331
562.18482990357722,309
562.27275467803,345
562.36067895502674,347
562.44860273438644,340
562.53652601592808,337
562.62444879947088,334
562.71237108483365,355
562.8002928718355,340
562.88821416029566,364
562.976134950033,332
563.06405524086688,339
563.15197503261606,342
563.23989432509973,360
563.3278131181371,361
563.4157314115472,358
563.503649205149,361
563.59156649876172,332
563.67948329220462,361
563.76739958529652,357
563.85531537785675,346
563.94323066970435,342
564.03114546065842,385
564.1190597505381,364
564.20697353916262,389
564.2948868263511,388
564.38279961192279,377
564.47071189569647,350
564.55862367749171,403
564.64653495712753,345
564.73444573442293,353
564.82235600919751,389
564.91026578127014,404
564.99817505046,384
565.08608381658644,398
565.17399207946846,372
565.26189983892539,408
565.34980709477645,374
565.43771384684089,386
565.52562009493772,412
565.61352583888629,386
565.701431078506,418
565.78933581361593,376
565.877240044035,412
565.965143769583,431
566.05304699007911,390
566.14094970534234,424
566.22885191519185,410
566.31675361944724,389
566.40465481792762,408
566.49255551045223,417
566.58045569684054,437
566.66835537691156,427
566.75625455048475,442
566.84415321737924,406
566.93205137741461,419
567.01994903041,471
567.10784617618469,434
567.19574281455823,447
567.28363894534948,439
567.37153456837825,443
567.45942968346367,435
567.547324290425,463
567.63521838908161,472
567.723111979253,431
567.81100506075836,455
567.898897633417,427
567.98678969704861,450
568.07468125147227,436
568.16257229650751,456
568.25046283197344,445
568.33835285768987,438
568.4262423734757,445
568.51413137915074,445
568.60201987453422,458
568.68990785944538,447
568.77779533370392,439
568.8656822971293,482
568.95356874954052,457
569.0414546907574,448
569.12934012059918,485
569.21722503888543,468
569.30510944543551,463
569.39299334006876,474
569.48087672260488,473
569.56875959286322,466
569.65664195066313,506
569.74452379582419,485
569.832405128166,504
569.92028594750764,480
570.008166253669,497
570.09604604646938,524
570.1839253257283,488
570.27180409126527,545
570.35968234289976,551
570.44756008045135,533
570.53543730373951,502
570.62331401258382,526
570.71119020680374,549
570.79906588621884,546
570.88694105064849,507
570.9748156999126,554
571.0626898338304,550
571.15056345222149,538
571.23843655490543,554
571.326309141702,3301
571.41418121243055,1536
571.50205276691065,577
571.58992380496193,600
571.677794326404,582
571.76566433105643,564
571.85353381873881,668
571.94140278927068,626
572.02927124247174,642
572.11713917816155,623
572.20500659615982,616
572.292873496286,672
572.38073987835992,635
572.46860574220113,680
572.55647108762912,670
572.64433591446368,668
572.7322002225244,681
572.820064011631,687
572.90792728160318,772
572.99579003226052,778
573.08365226342255,748
573.1715139749092,836
573.25937516654,844
573.34723583813479,929
573.435095989513,1027
573.52295562049449,1267
573.610814730899,1820
573.69867332054628,4141
573.78653138925574,11062
573.87438893684737,21128
573.96224596314084,20961
574.05010246795587,12521
574.13795845111213,5619
574.22581391242943,2554
574.31366885172758,1479
574.40152326882617,1189
574.4893771635451,1068
574.57723053570385,1042
574.66508338512267,1009
574.75293571162081,1048
574.84078751501852,1034
574.92863879513527,1027
575.01648955179087,1032
575.10433978480512,1048
575.19218949399806,1065
575.28003867918915,1095
575.36788734019831,1113
575.45573547684546,1131
575.54358308895041,1156
575.63143017633286,1120
575.71927673881271,1185
575.80712277620978,1194
575.894968288344,1228
575.98281327503514,1230
576.07065773610293,1291
576.15850167136739,1308
576.24634508064844,1325
576.33418796376566,1301
576.42203032053919,1372
576.50987215078885,1339
576.59771345433444,1351
576.68555423099588,1298
576.77339448059331,1346
576.86123420294609,1357
576.9490733978746,1329
577.03691206519863,1357
577.12475020473812,1402
577.21258781631275,1356
577.30042489974267,1380
577.38826145484791,1346
577.47609748144828,1334
577.56393297936347,1331
577.65176794841386,1296
577.739602388419,1290
577.82743629919923,1295
577.91526968057428,1251
578.00310253236432,1245
578.09093485438916,1221
578.17876664646872,1197
578.26659790842314,1172
578.35442864007234,1149
578.44225884123637,1168
578.530088511735,1135
578.61791765138855,1111
578.705746260017,1110
578.79357433744019,1090
578.88140188347813,1105
578.9692288979511,1099
579.057055380679,1060
579.14488133148188,1082
579.23270675017955,1035
579.32053163659248,1042
579.40835599054037,1033
579.49617981184349,1008
579.58400310032187,1001
579.67182585579565,972
579.75964807808475,983
579.84746976700933,1000
579.93529092238953,979
580.02311154404515,989
580.11093163179692,941
580.19875118546429,980
580.28657020486764,946
580.37438868982713,923
580.46220664016289,929
580.550024055695,957
580.63784093624361,952
580.72565728162863,987
580.81347309167074,972
580.90128836618942,900
580.98910310500537,926
581.07691730793852,947
581.16473097480912,967
581.25254410543721,961
581.340356699643,947
581.42816875724691,931
581.5159802780687,1000
581.6037912619289,931
581.69160170864757,952
581.779411618045,988
581.86722098994142,1021
581.95502982415678,945
582.04283812051153,982
582.13064587882593,970
582.21845309892024,999
582.30625978061448,917
582.394065923729,972
582.48187152808418,959
582.56967659350016,975
582.65748111979713,990
582.74528510679545,985
582.83308855431528,1047
582.92089146217711,991
583.00869383020108,1011
583.09649565820735,988
583.18429694601639,1003
583.27209769344859,985
583.35989790032409,1029
583.44769756646315,984
583.53549669168626,1007
583.62329527581358,1032
583.71109331866546,1047
583.79889082006241,1049
583.88668777982457,988
583.97448419777231,990
