W,I
550.0700989,638
550.1567808,689
550.2434621,648
550.3301427,663
550.4168225,635
550.5035015,634
550.5901799,642
550.6768575,662
550.7635343,648
550.8502105,630
550.9368859,636
551.0235606,648
551.1102345,662
551.1969077,631
551.2835802,627
551.3702519,679
551.4569229,646
551.5435932,658
551.6302627,639
551.7169315,682
551.8035996,654
551.8902669,657
551.9769335,640
552.0635994,661
552.1502645,628
552.2369289,645
552.3235926,634
552.4102555,643
552.4969177,644
552.5835791,645
552.6702398,646
552.7568998,635
552.843559,649
552.9302175,639
553.0168753,638
553.1035323,636
553.1901886,663
553.2768442,619
553.363499,631
553.450153,638
553.5368064,608
553.623459,671
553.7101108,636
553.7967619,627
553.8834123,639
553.970062,595
554.0567109,625
554.143359,647
554.2300064,615
554.3166531,624
554.4032991,653
554.4899443,623
554.5765887,668
554.6632325,631
554.7498754,642
554.8365177,637
554.9231592,624
555.0097999,631
555.0964399,636
555.1830792,657
555.2697177,605
555.3563555,646
555.4429926,631
555.5296289,666
555.6162644,625
555.7028993,628
555.7895333,642
555.8761667,633
555.9627993,635
556.0494311,647
556.1360622,659
556.2226926,639
556.3093222,622
556.3959511,614
556.4825792,635
556.5692066,638
556.6558332,579
556.7424591,626
556.8290843,670
556.9157087,624
557.0023323,613
557.0889552,637
557.1755774,597
557.2621988,648
557.3488195,635
557.4354394,625
557.5220586,620
557.608677,629
557.6952947,567
557.7819117,630
557.8685279,657
557.9551433,627
558.041758,627
558.128372,621
558.2149852,628
558.3015976,661
558.3882093,618
558.4748203,618
558.5614305,640
558.64804,669
558.7346487,646
558.8212566,628
558.9078639,631
558.9944703,636
559.081076,653
559.167681,652
559.2542852,655
559.3408887,624
559.4274914,629
559.5140934,630
559.6006946,647
559.6872951,645
559.7738948,624
559.8604937,652
559.9470919,640
560.0336894,623
560.1202861,604
560.2068821,674
560.2934773,654
560.3800717,632
560.4666654,650
560.5532584,632
560.6398506,654
560.726442,634
560.8130327,641
560.8996226,608
560.9862118,635
561.0728003,624
561.1593879,602
561.2459748,619
561.332561,583
561.4191464,611
561.5057311,578
561.592315,620
561.6788981,602
561.7654805,591
561.8520622,608
561.9386431,584
562.0252232,592
562.1118026,622
562.1983812,617
562.284959,589
562.3715361,594
562.4581125,624
562.5446881,597
562.6312629,622
562.717837,594
562.8044103,583
562.8909829,585
562.9775547,590
563.0641257,596
563.150696,614
563.2372655,581
563.3238343,601
563.4104023,622
563.4969696,608
563.5835361,596
563.6701018,590
563.7566668,609
563.843231,601
563.9297945,607
564.0163572,586
564.1029191,611
564.1894803,590
564.2760407,590
564.3626004,600
564.4491593,606
564.5357174,633
564.6222748,625
564.7088314,616
564.7953873,611
564.8819424,573
564.9684967,584
565.0550503,607
565.1416031,585
565.2281552,576
565.3147065,608
565.401257,584
565.4878067,596
565.5743557,598
565.660904,595
565.7474515,602
565.8339982,593
565.9205441,611
566.0070893,585
566.0936337,600
566.1801774,595
566.2667203,581
566.3532624,585
566.4398038,607
566.5263444,609
566.6128842,608
566.6994233,593
566.7859616,601
566.8724991,588
566.9590359,586
567.0455719,608
567.1321071,578
567.2186416,615
567.3051753,605
567.3917083,598
567.4782404,586
567.5647718,568
567.6513025,591
567.7378324,593
567.8243615,611
567.9108898,595
567.9974174,602
568.0839442,613
568.1704702,587
568.2569955,595
568.34352,598
568.4300437,558
568.5165667,596
568.6030889,587
568.6896103,613
568.776131,608
568.8626509,575
568.94917,594
569.0356883,649
569.1222059,623
569.2087227,612
569.2952388,660
569.381754,614
569.4682685,596
569.5547822,606
569.6412952,608
569.7278074,609
569.8143188,620
569.9008294,617
569.9873393,629
570.0738484,636
570.1603567,622
570.2468643,622
570.3333711,603
570.4198771,609
570.5063823,622
570.5928868,601
570.6793905,604
570.7658934,644
570.8523955,642
570.9388969,638
571.0253975,643
571.1118973,616
571.1983964,648
571.2848946,643
571.3713922,632
571.4578889,646
571.5443848,653
571.63088,700
571.7173744,677
571.803868,669
571.8903609,642
571.976853,666
572.0633443,677
572.1498348,655
572.2363245,653
572.3228135,657
572.4093017,642
572.4957891,643
572.5822757,696
572.6687616,690
572.7552467,724
572.841731,718
572.9282145,694
573.0146973,761
573.1011793,748
573.1876605,808
573.2741409,797
573.3606205,841
573.4470994,883
573.5335775,923
573.6200548,1026
573.7065313,1099
573.793007,1319
573.879482,1677
573.9659562,2335
574.0524296,4078
574.1389022,10915
574.2253741,31735
574.3118451,64944
574.3983154,64945
574.4847849,49297
574.5712537,22857
574.6577216,8946
574.7441888,3713
574.8306551,2030
574.9171207,1466
575.0035856,1190
575.0900496,1101
575.1765129,994
575.2629753,850
575.349437,890
575.4358979,866
575.522358,830
575.6088174,778
575.6952759,763
575.7817337,744
575.8681907,743
575.9546469,702
576.0411023,727
576.127557,692
576.2140108,719
576.3004639,700
576.3869162,703
576.4733677,675
576.5598184,683
576.6462683,679
576.7327175,653
576.8191658,707
576.9056134,668
576.9920602,676
577.0785062,656
577.1649514,656
577.2513959,704
577.3378395,692
577.4242824,666
577.5107244,696
577.5971657,712
577.6836062,684
577.7700459,697
577.8564848,666
577.942923,662
578.0293603,661
578.1157969,643
578.2022326,659
578.2886676,646
578.3751018,667
578.4615352,703
578.5479678,656
578.6343997,648
578.7208307,594
578.807261,645
578.8936904,649
578.9801191,680
579.066547,664
579.152974,670
579.2394003,655
579.3258259,630
579.4122506,646
579.4986745,628
579.5850976,669
579.67152,674
579.7579415,646
579.8443623,620
579.9307823,621
580.0172014,661
580.1036198,661
580.1900374,618
580.2764542,622
580.3628702,661
580.4492854,641
580.5356999,626
580.6221135,647
580.7085263,640
580.7949384,605
580.8813496,626
580.9677601,648
581.0541698,637
581.1405786,675
581.2269867,674
581.313394,675
581.3998005,669
581.4862061,622
581.572611,645
581.6590151,650
581.7454184,668
581.831821,627
581.9182227,634
582.0046236,609
582.0910237,627
582.177423,617
582.2638216,631
582.3502193,647
582.4366162,651
582.5230124,643
582.6094077,614
582.6958023,640
582.782196,665
582.868589,621
582.9549811,635
583.0413725,609
583.127763,628
583.2141528,664
583.3005417,621
583.3869299,665
583.4733173,632
583.5597038,651
583.6460896,652
583.7324745,629
583.8188587,639
583.9052421,632
583.9916246,641
584.0780064,641
584.1643874,659
584.2507675,666
584.3371469,649
584.4235255,690
584.5099032,646
584.5962802,639
584.6826564,657
584.7690317,664
584.8554063,657
584.94178,583
585.028153,656
585.1145251,654
585.2008965,633
585.287267,641
585.3736368,690
585.4600057,621
585.5463738,626
585.6327412,651
585.7191077,630
585.8054734,665
585.8918384,661
585.9782025,646
586.0645658,652
586.1509283,661
586.23729,655
586.3236509,628
586.410011,634
586.4963703,683
586.5827288,642
586.6690865,626
586.7554434,631
586.8417995,665
586.9281547,645
587.0145092,637
587.1008628,652
587.1872157,644
587.2735677,655
587.359919,644
587.4462694,644
587.532619,649
587.6189678,679
587.7053158,656
587.791663,640
587.8780094,655
587.964355,656
588.0506998,669
588.1370438,660
588.2233869,637
588.3097293,668
588.3960708,660
588.4824116,651
588.5687515,685
588.6550906,646
588.7414289,659
588.8277664,680
588.9141031,664
589.000439,666
589.086774,685
589.1731083,694
589.2594417,700
589.3457744,674
589.4321062,649
589.5184372,639
589.6047674,669
589.6910968,673
589.7774254,651
589.8637532,682
589.9500801,618
590.0364063,665
590.1227316,677
590.2090561,672
590.2953798,678
590.3817027,654
590.4680248,706
590.5543461,674
590.6406665,668
590.7269862,635
590.813305,675
590.899623,664
590.9859402,630
591.0722566,708
591.1585722,669
591.244887,657
591.3312009,661
591.417514,694
591.5038264,687
591.5901379,640
591.6764485,654
591.7627584,659
591.8490675,666
591.9353757,638
592.0216831,636
592.1079897,669
592.1942955,653
592.2806005,690
592.3669047,674
592.453208,694
592.5395105,658
592.6258122,658
592.7121131,677
592.7984132,615
592.8847124,684
592.9710109,675
593.0573085,674
593.1436053,676
593.2299013,658
593.3161964,683
593.4024908,684
593.4887843,625
593.575077,627
593.6613689,672
593.74766,611
593.8339502,615
593.9202396,690
594.0065283,696
594.092816,657
594.179103,694
594.2653892,644
594.3516745,642
594.437959,671
594.5242427,682
594.6105255,707
594.6968076,672
594.7830888,692
594.8693692,671
594.9556488,655
595.0419275,667
595.1282055,630
595.2144826,633
595.3007589,669
595.3870343,662
595.473309,706
595.5595828,644
595.6458558,679
595.732128,635
595.8183993,680
595.9046698,690
595.9909395,656
596.0772084,641
596.1634765,677
596.2497437,646
596.3360101,717
596.4222757,690
596.5085404,645
596.5948044,670
596.6810675,676
596.7673298,632
596.8535912,686
596.9398518,640
597.0261116,662
597.1123706,684
597.1986288,699
597.2848861,712
597.3711426,696
597.4573983,701
597.5436531,682
597.6299071,675
597.7161603,634
597.8024127,669
597.8886642,695
597.9749149,669
598.0611648,684
598.1474138,691
598.2336621,670
598.3199094,649
598.406156,678
598.4924017,691
598.5786466,693
598.6648907,718
598.751134,649
598.8373764,650
598.923618,678
599.0098587,692
599.0960987,703
599.1823378,659
599.268576,663
599.3548135,689
599.4410501,665
599.5272858,666
599.6135208,702
599.6997549,661
599.7859882,702
599.8722206,677
599.9584522,622
600.044683,707
600.130913,675
600.2171421,648
600.3033704,692
600.3895978,700
600.4758245,695
600.5620502,706
600.6482752,726
600.7344993,713
600.8207226,641
600.9069451,702
600.9931667,645
