W,I
550.070098851532,114
550.1567808495214,122
550.2434621158942,112
550.33014265047382,150
550.41682245308436,124
550.50350152354952,138
550.59017986169317,138
550.67685746733878,131
550.76353434031046,129
550.850210480432,120
550.93688588752741,140
551.02356056142014,120
551.11023450193409,132
551.19690770889338,125
551.28358018212168,149
551.37025192144279,137
551.4569229266807,124
551.54359319765945,131
551.63026273420257,153
551.7169315361341,160
551.8035996032778,146
551.89026693545793,143
551.976933532498,130
552.06359939422225,140
552.15026452045424,135
552.23692891101814,149
552.323592565738,144
552.41025548443736,152
552.49691766694048,162
552.58357911307121,140
552.67023982265357,148
552.75689979551146,153
552.84355903146877,154
552.93021753034964,160
553.016875291978,166
553.10353231617785,187
553.190188602773,164
553.27684415158774,160
553.36349896244587,148
553.45015303517164,165
553.5368063695887,148
553.62345896552154,154
553.71011082279392,131
553.79676194122965,163
553.88341232065329,148
553.97006196088864,135
554.05671086175971,159
554.14335902309051,164
554.2300064447054,154
554.31665312642815,145
554.40329906808313,147
554.489944269494,144
554.57658873048547,150
554.6632324508812,151
554.74987543050543,154
554.83651766918217,164
554.92315916673579,146
555.00979992299028,132
555.09643993776979,139
555.18307921089831,142
555.26971774220033,159
555.35635553149973,158
555.44299257862076,146
555.52962888338755,151
555.61626444562444,144
555.70289926515545,155
555.78953334180483,156
555.87616667539669,158
555.96279926575539,166
556.04943111270518,174
556.13606221606983,160
556.22269257567416,154
556.309322191342,154
556.39595106289778,159
556.48257919016578,143
556.56920657297007,167
556.655833211135,130
556.74245910448485,151
556.82908425284381,178
556.91570865603614,146
557.00233231388631,145
557.08895522621856,152
557.175577392857,163
557.26219881362613,152
557.34881948835,167
557.43543941685323,181
557.52205859896,140
557.6086770344948,154
557.69529472328168,148
557.78191166514512,175
557.86852785990959,159
557.95514330739923,164
558.0417580074386,126
558.12837195985185,146
558.21498516446343,163
558.30159762109793,165
558.38820932957947,185
558.47482028973252,146
558.56143050138155,153
558.64803996435091,160
558.73464867846508,158
558.82125664354851,171
558.90786385942533,174
558.99447032592036,157
559.08107604285783,160
559.16768101006232,154
559.25428522735808,157
559.34088869456968,165
559.4274914115216,143
559.5140933780383,157
559.60069459394447,155
559.68729505906413,186
559.77389477322208,179
559.8604937362428,157
559.947091947951,175
560.03368940817074,168
560.12028611672679,148
560.20688207344369,200
560.29347727814582,178
560.38007173065807,168
560.46666543080471,183
560.55325837841019,163
560.63985057329933,171
560.72644201529647,182
560.81303270422643,180
560.89962263991356,175
560.98621182218267,184
561.07280025085811,189
561.15938792576469,182
561.24597484672688,179
561.33256101356938,180
561.41914642611664,168
561.50573108419349,196
561.59231498762449,164
561.67889813623424,194
561.76548052984754,192
561.85206216828874,185
561.93864305138288,170
562.02522317895432,190
562.11180255082786,189
562.1983811668282,175
562.28495902677992,182
562.37153613050782,190
562.45811247783649,187
562.54468806859074,199
562.63126290259538,169
562.71783697967487,192
562.80441029965414,200
562.89098286235776,198
562.97755466761066,200
563.06412571523742,189
563.15069600506285,201
563.23726553691165,194
563.32383431060885,202
563.41040232597891,213
563.49696958284676,192
563.5835360810371,178
563.67010182037473,189
563.75666680068457,180
563.84323102179144,194
563.92979448352,203
564.016357185695,189
564.10291912814148,202
564.1894803106843,193
564.27604073314808,198
564.36260039535784,182
564.44915929713829,191
564.53571743831446,213
564.62227481871116,185
564.70883143815308,201
564.79538729646549,186
564.88194239347285,209
564.96849672900032,205
565.0550503028727,213
565.14160311491491,202
565.228155164952,217
565.31470645280854,181
565.4012569783099,218
565.48780674128068,207
565.5743557415459,214
565.66090397893061,200
565.74745145325971,192
565.83399816435815,205
565.92054411205083,207
566.0070892961628,209
566.09363371651921,209
566.18017737294474,209
566.26672026526455,217
566.35326239330345,225
566.43980375688693,231
566.52634435583946,218
566.61288418998618,226
566.69942325915247,221
566.785961563163,224
566.872499101843,212
566.95903587501732,202
567.04557188251113,213
567.13210712414957,204
567.21864159975758,221
567.3051753091604,199
567.391708252183,219
567.47824042865045,223
567.56477183838786,206
567.65130248122045,225
567.73783235697306,223
567.824361465471,230
567.91088980653944,205
567.99741738000341,236
568.0839441856881,218
568.17047022341876,212
568.25699549302021,230
568.34351999431772,218
568.43004372713676,235
568.51656669130216,232
568.60308888663917,241
568.68961031297329,228
568.77613097012909,215
568.86265085793229,229
568.94916997620794,238
569.03568832478118,256
569.12220590347727,231
569.20872271212158,236
569.295238750539,241
569.38175401855517,267
569.46826851599508,278
569.55478224268393,233
569.64129519844732,261
569.72780738311008,263
569.81431879649779,273
569.90082943843561,244
569.9873393087488,259
570.07384840726286,279
570.1603567338027,269
570.246864288194,280
570.33337107026193,260
570.41987707983174,266
570.506382316729,272
570.59288678077871,260
570.6793904718063,284
570.76589338963731,296
570.85239553409713,291
570.93889690501067,261
571.02539750220365,274
571.11189732550145,294
571.19839637472955,290
571.28489464971312,302
571.37139215027742,304
571.45788887624826,287
571.5443848274507,306
571.63088000371033,300
571.71737440485254,323
571.80386803070269,317
571.89036088108639,324
571.97685295582892,342
572.06334425475586,319
572.14983477769238,326
572.23632452446441,341
572.322813494897,367
572.409301688816,343
572.49578910604646,368
572.5822757464141,383
572.66876160974459,407
572.75524669586332,396
572.84173100459543,422
572.9282145357671,431
573.01469728920324,450
573.10117926472981,468
573.18766046217206,502
573.27414088135583,578
573.3606205221065,627
573.44709938424967,680
573.53357746761071,758
573.62005477201558,913
573.70653129728942,1052
573.79300704325829,1332
573.87948200974745,1900
573.96595619658251,2751
574.05242960358919,5341
574.13890223059309,14717
574.22537407741981,44792
574.31184514389508,64944
574.39831542984439,64945
574.48478493509333,64942
574.57125365946774,38808
574.65772160279323,14723
574.7441887648954,5598
574.83065514559985,2625
574.91712074473253,1660
575.00358556211881,1188
575.09004959758465,1023
575.17651285095565,886
575.2629753220574,772
575.34943701071563,661
575.43589791675618,613
575.52235804000463,533
575.60881738028706,516
575.69527593742873,495
575.78173371125581,467
575.86819070159368,429
575.95464690826839,417
576.04110233110544,406
576.12755696993088,410
576.21401082457032,388
576.3004638948496,380
576.38691618059465,372
576.47336768163109,345
576.55981839778462,346
576.64626832888143,335
576.73271747474689,313
576.81916583520729,327
576.90561341008822,326
576.99206019921553,302
577.07850620241493,350
577.1649514195127,303
577.25139585033423,341
577.33783949470569,325
577.42428235245279,346
577.5107244234016,324
577.59716570737783,318
577.68360620420765,306
577.77004591371656,305
577.85648483573073,330
577.9429229700761,321
578.02936031657862,325
578.11579687506412,299
578.20223264535844,319
578.28866762728774,290
578.37510182067786,294
578.46153522535485,323
578.54796784114455,287
578.634399667873,311
578.72083070536644,294
578.80726095345028,288
578.89369041195107,288
578.98011908069452,314
579.06654695950681,317
579.15297404821376,291
579.23940034664156,304
579.32582585461614,303
579.41225057196368,321
579.49867449851013,300
579.58509763408131,314
579.67151997850385,314
579.75794153160325,309
579.8443622932059,306
579.93078226313787,316
580.0172014412251,310
580.10361982729376,304
580.1900374211699,312
580.27645422267983,306
580.36287023164959,293
580.449285447905,289
580.53569987127253,309
580.62211350157827,305
580.70852633864831,305
580.79493838230871,307
580.88134963238588,286
580.96776008870575,314
581.05416975109449,311
581.1405786193784,284
581.22698669338376,328
581.31339397293652,318
581.399800457863,291
581.48620614798949,310
581.572611043142,331
581.65901514314692,297
581.7454184478305,311
581.83182095701886,282
581.91822267053817,327
582.004623588215,338
582.09102370987523,328
582.17742303534556,321
582.26382156445175,304
582.35021929702043,346
582.4366162328779,307
582.52301237185009,328
582.60940771376374,323
582.69580225844493,318
582.78219600572,315
582.86858895541536,324
582.95498110735718,323
583.04137246137191,339
583.12776301728593,317
583.21415277492542,323
583.3005417341169,338
583.38692989468655,326
583.473317256461,341
583.55970381926636,341
583.64608958292933,317
583.732474547276,322
583.81885871213285,348
583.90524207732642,338
583.991624642683,351
584.07800640802907,322
584.164387373191,336
584.25076753799522,331
584.33714690226816,334
584.42352546583641,322
584.50990322852624,329
584.59628019016429,351
584.68265635057685,332
584.76903170959054,335
584.85540626703164,330
584.941780022727,341
585.02815297650284,316
585.11452512818573,371
585.20089647760221,349
585.2872670245788,337
585.37363676894188,323
585.46000571051832,350
585.54637384913428,357
585.63274118461663,337
585.71910771679165,336
585.80547344548609,348
585.89183837052644,337
585.97820249173924,329
586.06456580895122,332
586.15092832198877,345
586.23729003067865,341
586.32365093484748,358
586.41001103432177,346
586.49637032892815,337
586.58272881849325,336
586.66908650284381,342
586.75544338180634,335
586.84179945520759,360
586.92815472287407,368
587.01450918463263,345
587.1008628403099,348
587.18721568973228,385
587.273567732727,327
587.35991896912014,377
587.44626939873888,356
587.53261902140957,360
587.6189678369592,338
587.70531584521427,393
587.79166304600176,381
587.87800943914817,373
587.96435502448037,341
588.050699801825,384
588.137043771009,346
588.223386931859,371
588.30972928420158,361
588.396070827864,377
588.48241156267261,380
588.56875148845427,377
588.65509060503621,372
588.7414289122446,384
588.82776640990664,373
588.91410309784908,391
589.00043897589865,404
589.08677404388243,372
589.17310830162683,373
589.25944174895915,374
589.345774385706,387
589.43210621169453,401
589.51843722675108,391
589.604767430703,418
589.69109682337694,394
589.7774254046,415
589.86375317419879,389
589.95008013200038,430
590.0364062778317,409
590.12273161151961,399
590.20905613289108,406
590.29537984177318,399
590.38170273799255,428
