W,I
550.070098851532,320
550.1567808495214,326
550.2434621158942,309
550.33014265047382,315
550.41682245308436,306
550.50350152354952,300
550.59017986169317,311
550.67685746733878,330
550.76353434031046,320
550.850210480432,307
550.93688588752741,325
551.02356056142014,330
551.11023450193409,315
551.19690770889338,315
551.28358018212168,318
551.37025192144279,300
551.4569229266807,326
551.54359319765945,334
551.63026273420257,308
551.7169315361341,324
551.8035996032778,325
551.89026693545793,343
551.976933532498,288
552.06359939422225,297
552.15026452045424,294
552.23692891101814,329
552.323592565738,286
552.41025548443736,328
552.49691766694048,313
552.58357911307121,299
552.67023982265357,296
552.75689979551146,328
552.84355903146877,292
552.93021753034964,288
553.016875291978,294
553.10353231617785,316
553.190188602773,327
553.27684415158774,292
553.36349896244587,321
553.45015303517164,305
553.5368063695887,299
553.62345896552154,311
553.71011082279392,313
553.79676194122965,341
553.88341232065329,334
553.97006196088864,306
554.05671086175971,314
554.14335902309051,336
554.2300064447054,306
554.31665312642815,299
554.40329906808313,290
554.489944269494,313
554.57658873048547,313
554.6632324508812,321
554.74987543050543,328
554.83651766918217,324
554.92315916673579,293
555.00979992299028,291
555.09643993776979,307
555.18307921089831,344
555.26971774220033,310
555.35635553149973,323
555.44299257862076,298
555.52962888338755,317
555.61626444562444,327
555.70289926515545,308
555.78953334180483,290
555.87616667539669,314
555.96279926575539,338
556.04943111270518,301
556.13606221606983,310
556.22269257567416,306
556.309322191342,308
556.39595106289778,315
556.48257919016578,291
556.56920657297007,296
556.655833211135,293
556.74245910448485,327
556.82908425284381,296
556.91570865603614,311
557.00233231388631,312
557.08895522621856,317
557.175577392857,313
557.26219881362613,317
557.34881948835,295
557.43543941685323,335
557.52205859896,335
557.6086770344948,282
557.69529472328168,304
557.78191166514512,300
557.86852785990959,307
557.95514330739923,310
558.0417580074386,314
558.12837195985185,321
558.21498516446343,313
558.30159762109793,296
558.38820932957947,328
558.47482028973252,300
558.56143050138155,326
558.64803996435091,294
558.73464867846508,305
558.82125664354851,319
558.90786385942533,308
558.99447032592036,324
559.08107604285783,312
559.16768101006232,304
559.25428522735808,301
559.34088869456968,334
559.4274914115216,293
559.5140933780383,324
559.60069459394447,313
559.68729505906413,314
559.77389477322208,297
559.8604937362428,339
559.947091947951,298
560.03368940817074,284
560.12028611672679,283
560.20688207344369,306
560.29347727814582,299
560.38007173065807,312
560.46666543080471,326
560.55325837841019,299
560.63985057329933,312
560.72644201529647,301
560.81303270422643,292
560.89962263991356,326
560.98621182218267,309
561.07280025085811,303
561.15938792576469,305
561.24597484672688,282
561.33256101356938,298
561.41914642611664,297
561.50573108419349,306
561.59231498762449,313
561.67889813623424,298
561.76548052984754,283
561.85206216828874,281
561.93864305138288,281
562.02522317895432,291
562.11180255082786,295
562.1983811668282,292
562.28495902677992,273
562.37153613050782,294
562.45811247783649,283
562.54468806859074,294
562.63126290259538,278
562.71783697967487,278
562.80441029965414,270
562.89098286235776,277
562.97755466761066,303
563.06412571523742,289
563.15069600506285,315
563.23726553691165,295
563.32383431060885,306
563.41040232597891,315
563.49696958284676,271
563.5835360810371,294
563.67010182037473,266
563.75666680068457,917
563.84323102179144,1124
563.92979448352,305
564.016357185695,281
564.10291912814148,287
564.1894803106843,295
564.27604073314808,265
564.36260039535784,294
564.44915929713829,272
564.53571743831446,311
564.62227481871116,270
564.70883143815308,261
564.79538729646549,259
564.88194239347285,283
564.96849672900032,294
565.0550503028727,301
565.14160311491491,278
565.228155164952,271
565.31470645280854,302
565.4012569783099,305
565.48780674128068,270
565.5743557415459,279
565.66090397893061,277
565.74745145325971,277
565.83399816435815,287
565.92054411205083,299
566.0070892961628,279
566.09363371651921,280
566.18017737294474,270
566.26672026526455,303
566.35326239330345,284
566.43980375688693,289
566.52634435583946,321
566.61288418998618,282
566.69942325915247,294
566.785961563163,296
566.872499101843,276
566.95903587501732,303
567.04557188251113,305
567.13210712414957,274
567.21864159975758,299
567.3051753091604,303
567.391708252183,288
567.47824042865045,264
567.56477183838786,301
567.65130248122045,290
567.73783235697306,289
567.824361465471,308
567.91088980653944,304
567.99741738000341,293
568.0839441856881,313
568.17047022341876,301
568.25699549302021,280
568.34351999431772,304
568.43004372713676,285
568.51656669130216,269
568.60308888663917,294
568.68961031297329,289
568.77613097012909,276
568.86265085793229,272
568.94916997620794,261
569.03568832478118,296
569.12220590347727,280
569.20872271212158,295
569.295238750539,300
569.38175401855517,287
569.46826851599508,292
569.55478224268393,286
569.64129519844732,301
569.72780738311008,316
569.81431879649779,295
569.90082943843561,262
569.9873393087488,314
570.07384840726286,269
570.1603567338027,306
570.246864288194,284
570.33337107026193,282
570.41987707983174,294
570.506382316729,296
570.59288678077871,301
570.6793904718063,286
570.76589338963731,304
570.85239553409713,301
570.93889690501067,293
571.02539750220365,331
571.11189732550145,305
571.19839637472955,332
571.28489464971312,321
571.37139215027742,304
571.45788887624826,300
571.5443848274507,332
571.63088000371033,325
571.71737440485254,315
571.80386803070269,336
571.89036088108639,296
571.97685295582892,319
572.06334425475586,314
572.14983477769238,337
572.23632452446441,295
572.322813494897,317
572.409301688816,316
572.49578910604646,324
572.5822757464141,358
572.66876160974459,335
572.75524669586332,349
572.84173100459543,340
572.9282145357671,322
573.01469728920324,344
573.10117926472981,383
573.18766046217206,382
573.27414088135583,391
573.3606205221065,386
573.44709938424967,412
573.53357746761071,461
573.62005477201558,503
573.70653129728942,535
573.79300704325829,622
573.87948200974745,789
573.96595619658251,1037
574.05242960358919,1767
574.13890223059309,4380
574.22537407741981,13096
574.31184514389508,29600
574.39831542984439,37035
574.48478493509333,27316
574.57125365946774,13647
574.65772160279323,5529
574.7441887648954,2153
574.83065514559985,1102
574.91712074473253,750
575.00358556211881,632
575.09004959758465,553
575.17651285095565,465
575.2629753220574,422
575.34943701071563,416
575.43589791675618,390
575.52235804000463,393
575.60881738028706,368
575.69527593742873,377
575.78173371125581,344
575.86819070159368,381
575.95464690826839,348
576.04110233110544,331
576.12755696993088,352
576.21401082457032,350
576.3004638948496,339
576.38691618059465,315
576.47336768163109,346
576.55981839778462,329
576.64626832888143,330
576.73271747474689,322
576.81916583520729,309
576.90561341008822,329
576.99206019921553,296
577.07850620241493,339
577.1649514195127,306
577.25139585033423,309
577.33783949470569,315
577.42428235245279,339
577.5107244234016,331
577.59716570737783,335
