W,I
550.070098851532,89
550.1567808495214,97
550.2434621158942,88
550.33014265047382,107
550.41682245308436,79
550.50350152354952,93
550.59017986169317,92
550.67685746733878,98
550.76353434031046,89
550.850210480432,93
550.93688588752741,96
551.02356056142014,80
551.11023450193409,101
551.19690770889338,93
551.28358018212168,108
551.37025192144279,91
551.4569229266807,99
551.54359319765945,98
551.63026273420257,108
551.7169315361341,100
551.8035996032778,103
551.89026693545793,100
551.976933532498,96
552.06359939422225,105
552.15026452045424,93
552.23692891101814,101
552.323592565738,95
552.41025548443736,104
552.49691766694048,100
552.58357911307121,92
552.67023982265357,81
552.75689979551146,96
552.84355903146877,86
552.93021753034964,86
553.016875291978,96
553.10353231617785,105
553.190188602773,87
553.27684415158774,99
553.36349896244587,106
553.45015303517164,111
553.5368063695887,99
553.62345896552154,95
553.71011082279392,113
553.79676194122965,111
553.88341232065329,109
553.97006196088864,117
554.05671086175971,90
554.14335902309051,112
554.2300064447054,105
554.31665312642815,105
554.40329906808313,103
554.489944269494,102
554.57658873048547,107
554.6632324508812,101
554.74987543050543,101
554.83651766918217,98
554.92315916673579,89
555.00979992299028,94
555.09643993776979,101
555.18307921089831,105
555.26971774220033,120
555.35635553149973,84
555.44299257862076,112
555.52962888338755,93
555.61626444562444,104
555.70289926515545,106
555.78953334180483,93
555.87616667539669,118
555.96279926575539,107
556.04943111270518,127
556.13606221606983,91
556.22269257567416,120
556.309322191342,101
556.39595106289778,108
556.48257919016578,127
556.56920657297007,107
556.655833211135,96
556.74245910448485,104
556.82908425284381,128
556.91570865603614,133
557.00233231388631,117
557.08895522621856,127
557.175577392857,129
557.26219881362613,131
557.34881948835,131
557.43543941685323,144
557.52205859896,126
557.6086770344948,123
557.69529472328168,124
557.78191166514512,126
557.86852785990959,140
557.95514330739923,132
558.0417580074386,135
558.12837195985185,143
558.21498516446343,143
558.30159762109793,147
558.38820932957947,123
558.47482028973252,131
558.56143050138155,144
558.64803996435091,154
558.73464867846508,139
558.82125664354851,159
558.90786385942533,148
558.99447032592036,151
559.08107604285783,155
559.16768101006232,167
559.25428522735808,165
559.34088869456968,133
559.4274914115216,166
559.5140933780383,162
559.60069459394447,181
559.68729505906413,177
559.77389477322208,147
559.8604937362428,165
559.947091947951,158
560.03368940817074,165
560.12028611672679,146
560.20688207344369,137
560.29347727814582,174
560.38007173065807,167
560.46666543080471,157
560.55325837841019,146
560.63985057329933,145
560.72644201529647,149
560.81303270422643,147
560.89962263991356,162
560.98621182218267,158
561.07280025085811,144
561.15938792576469,160
561.24597484672688,129
561.33256101356938,140
561.41914642611664,126
561.50573108419349,132
561.59231498762449,124
561.67889813623424,133
561.76548052984754,156
561.85206216828874,131
561.93864305138288,136
562.02522317895432,122
562.11180255082786,121
562.1983811668282,129
562.28495902677992,154
562.37153613050782,126
562.45811247783649,132
562.54468806859074,132
562.63126290259538,153
562.71783697967487,146
562.80441029965414,143
562.89098286235776,134
562.97755466761066,160
563.06412571523742,132
563.15069600506285,145
563.23726553691165,152
563.32383431060885,124
563.41040232597891,116
563.49696958284676,138
563.5835360810371,145
563.67010182037473,134
563.75666680068457,134
563.84323102179144,133
563.92979448352,137
564.016357185695,143
564.10291912814148,148
564.1894803106843,128
564.27604073314808,151
564.36260039535784,120
564.44915929713829,127
564.53571743831446,129
564.62227481871116,144
564.70883143815308,141
564.79538729646549,141
564.88194239347285,139
564.96849672900032,139
565.0550503028727,137
565.14160311491491,138
565.228155164952,118
565.31470645280854,147
565.4012569783099,131
565.48780674128068,130
565.5743557415459,121
565.66090397893061,141
565.74745145325971,128
565.83399816435815,142
565.92054411205083,131
566.0070892961628,142
566.09363371651921,131
566.18017737294474,146
566.26672026526455,144
566.35326239330345,149
566.43980375688693,123
566.52634435583946,144
566.61288418998618,143
566.69942325915247,159
566.785961563163,159
566.872499101843,124
566.95903587501732,152
567.04557188251113,144
567.13210712414957,156
567.21864159975758,137
567.3051753091604,140
