W,I
550.070098851532,132
550.1567808495214,146
550.2434621158942,140
550.33014265047382,135
550.41682245308436,128
550.50350152354952,139
550.59017986169317,141
550.67685746733878,135
550.76353434031046,140
550.850210480432,156
550.93688588752741,132
551.02356056142014,157
551.11023450193409,130
551.19690770889338,146
551.28358018212168,131
551.37025192144279,141
551.4569229266807,121
551.54359319765945,130
551.63026273420257,128
551.7169315361341,144
551.8035996032778,146
551.89026693545793,123
551.976933532498,134
552.06359939422225,122
552.15026452045424,144
552.23692891101814,142
552.323592565738,114
552.41025548443736,131
552.49691766694048,130
552.58357911307121,125
552.67023982265357,107
552.75689979551146,148
552.84355903146877,116
552.93021753034964,128
553.016875291978,137
553.10353231617785,111
553.190188602773,117
553.27684415158774,104
553.36349896244587,125
553.45015303517164,115
553.5368063695887,118
553.62345896552154,137
553.71011082279392,132
553.79676194122965,135
553.88341232065329,132
553.97006196088864,139
554.05671086175971,118
554.14335902309051,158
554.2300064447054,119
554.31665312642815,129
554.40329906808313,115
554.489944269494,128
554.57658873048547,122
554.6632324508812,118
554.74987543050543,117
554.83651766918217,135
554.92315916673579,130
555.00979992299028,120
555.09643993776979,119
555.18307921089831,136
555.26971774220033,120
555.35635553149973,108
555.44299257862076,120
555.52962888338755,139
555.61626444562444,136
555.70289926515545,117
555.78953334180483,115
555.87616667539669,105
555.96279926575539,134
556.04943111270518,123
556.13606221606983,129
556.22269257567416,115
556.309322191342,124
556.39595106289778,109
556.48257919016578,143
556.56920657297007,115
556.655833211135,120
556.74245910448485,133
556.82908425284381,138
556.91570865603614,115
557.00233231388631,129
557.08895522621856,138
557.175577392857,111
557.26219881362613,118
557.34881948835,109
557.43543941685323,137
557.52205859896,123
557.6086770344948,118
557.69529472328168,120
557.78191166514512,121
557.86852785990959,112
557.95514330739923,112
558.0417580074386,128
558.12837195985185,112
558.21498516446343,125
558.30159762109793,102
558.38820932957947,104
558.47482028973252,125
558.56143050138155,118
558.64803996435091,132
558.73464867846508,115
558.82125664354851,126
558.90786385942533,126
558.99447032592036,141
559.08107604285783,104
559.16768101006232,112
559.25428522735808,124
559.34088869456968,115
559.4274914115216,130
559.5140933780383,118
559.60069459394447,118
559.68729505906413,111
559.77389477322208,122
559.8604937362428,111
559.947091947951,129
560.03368940817074,117
560.12028611672679,123
560.20688207344369,120
560.29347727814582,106
560.38007173065807,121
560.46666543080471,118
560.55325837841019,115
560.63985057329933,100
560.72644201529647,122
560.81303270422643,121
560.89962263991356,113
560.98621182218267,114
561.07280025085811,134
561.15938792576469,108
561.24597484672688,102
561.33256101356938,114
561.41914642611664,125
561.50573108419349,119
561.59231498762449,114
561.67889813623424,117
