W,I
550.046521001757,95
550.13451268730194,98
550.22250390041143,102
550.31049464090393,103
550.39848490859765,94
550.486474703311,91
550.57446402486255,106
550.66245287307038,68
550.750441247753,99
550.83842914872889,101
550.92641657581623,101
551.01440352883355,98
551.10239000759918,86
551.19037601193168,91
551.27836154164925,98
551.36634659657034,88
551.45433117651339,89
551.542315281297,88
551.63029891073927,100
551.71828206465887,115
551.80626474287419,111
551.89424694520358,100
551.98222867146558,93
552.07020992147864,89
552.15819069506108,120
552.24617099203147,109
552.33415081220824,97
552.42213015541,88
552.510109021455,96
552.598087410162,80
552.68606532134913,97
552.77404275483525,84
552.86201971043852,73
552.94999618797772,95
553.037972187271,98
553.12594770813735,85
553.21392275039477,108
553.30189731386224,94
553.389871398358,90
553.47784500370074,98
553.56581812970876,96
553.65379077620094,99
553.74176294299548,107
553.82973462991117,98
553.91770583676634,99
554.00567656337978,90
554.09364680956992,94
554.18161657515532,103
554.26958585995465,95
554.35755466378657,97
554.4455229864692,75
554.53349082782177,94
554.62145818766237,91
554.70942506580991,94
554.79739146208283,101
554.88535737629968,91
554.97332280827925,110
555.06128775784,80
555.14925222480065,99
555.23721620897993,95
555.32517971019615,92
555.41314272826833,99
555.50110526301478,97
555.58906731425418,87
555.67702888180554,96
555.76498996548719,83
555.85295056511791,83
555.94091068051625,82
556.0288703115009,99
556.11682945789073,114
556.20478811950431,108
556.2927462961602,99
556.38070398767729,105
556.46866119387414,104
556.55661791456942,101
556.6445741495819,109
556.73252989873038,93
556.8204851618334,100
556.90843993871,110
556.99639422917846,96
557.08434803305784,90
557.17230135016678,83
557.26025418032407,79
557.34820652334838,83
557.4361583790585,102
557.524109747273,95
557.61206062781093,92
557.70001102049093,84
557.78796092513176,109
557.8759103415523,90
557.96385926957112,89
558.05180770900722,87
558.13975565967928,92
558.22770312140619,88
558.31565009400663,98
558.40359657729948,99
558.49154257110342,93
558.57948807523746,96
558.6674330895205,90
558.75537761377086,113
558.843321647808,102
558.93126519145039,101
559.0192082445169,98
559.10715080682644,100
559.195092878198,82
559.28303445845029,90
559.37097554740194,88
559.45891614487221,95
559.54685625067987,75
559.63479586464359,97
559.7227349865824,96
559.8106736163154,99
559.898611753661,111
559.98654939843857,105
560.07448655046664,114
560.16242320956439,94
560.2503593755506,87
560.33829504824428,86
560.4262302274642,107
560.5141649130295,99
560.602099104759,109
560.69003280247125,76
560.777966005986,107
560.86589871512149,91
560.95383092969712,84
561.04176264953162,91
561.129693874444,109
561.21762460425327,116
561.30555483877833,100
561.39348457783808,90
561.48141382125175,91
561.56934256883824,107
561.65727082041644,94
561.74519857580538,86
561.83312583482416,99
561.9210525972918,95
562.008978863027,113
562.09690463184916,98
562.18482990357722,104
562.27275467803,105
562.36067895502674,96
562.44860273438644,109
562.53652601592808,107
562.62444879947088,105
562.71237108483365,100
562.8002928718355,99
562.88821416029566,96
562.976134950033,99
563.06405524086688,88
563.15197503261606,99
563.23989432509973,90
563.3278131181371,106
563.4157314115472,104
563.503649205149,91
563.59156649876172,99
563.67948329220462,98
563.76739958529652,108
563.85531537785675,82
563.94323066970435,107
564.03114546065842,111
564.1190597505381,94
564.20697353916262,100
564.2948868263511,109
564.38279961192279,103
564.47071189569647,97
564.55862367749171,100
564.64653495712753,106
564.73444573442293,93
564.82235600919751,121
564.91026578127014,90
564.99817505046,105
565.08608381658644,112
565.17399207946846,99
565.26189983892539,117
565.34980709477645,97
565.43771384684089,116
565.52562009493772,116
565.61352583888629,96
565.701431078506,102
565.78933581361593,100
565.877240044035,97
565.965143769583,96
566.05304699007911,108
566.14094970534234,108
566.22885191519185,100
566.31675361944724,104
566.40465481792762,118
566.49255551045223,116
566.58045569684054,112
566.66835537691156,119
566.75625455048475,120
566.84415321737924,108
566.93205137741461,116
567.01994903041,124
567.10784617618469,101
567.19574281455823,121
567.28363894534948,117
567.37153456837825,128
567.45942968346367,116
567.547324290425,122
567.63521838908161,116
567.723111979253,122
567.81100506075836,111
567.898897633417,113
567.98678969704861,128
568.07468125147227,111
568.16257229650751,111
568.25046283197344,126
568.33835285768987,137
568.4262423734757,108
568.51413137915074,136
568.60201987453422,121
568.68990785944538,123
568.77779533370392,127
568.8656822971293,101
568.95356874954052,118
569.0414546907574,118
569.12934012059918,127
569.21722503888543,118
569.30510944543551,123
569.39299334006876,139
569.48087672260488,120
569.56875959286322,133
569.65664195066313,115
569.74452379582419,128
569.832405128166,135
569.92028594750764,127
570.008166253669,135
570.09604604646938,142
570.1839253257283,148
570.27180409126527,142
570.35968234289976,139
570.44756008045135,153
570.53543730373951,145
570.62331401258382,159
570.71119020680374,158
570.79906588621884,154
570.88694105064849,170
570.9748156999126,159
571.0626898338304,184
571.15056345222149,157
571.23843655490543,176
571.326309141702,168
571.41418121243055,181
571.50205276691065,174
571.58992380496193,165
571.677794326404,175
571.76566433105643,193
571.85353381873881,178
571.94140278927068,201
572.02927124247174,230
572.11713917816155,218
572.20500659615982,240
572.292873496286,249
572.38073987835992,277
572.46860574220113,289
572.55647108762912,300
572.64433591446368,328
572.7322002225244,377
572.820064011631,409
572.90792728160318,476
572.99579003226052,537
573.08365226342255,649
573.1715139749092,756
573.25937516654,1003
573.34723583813479,1272
573.435095989513,1843
573.52295562049449,2879
573.610814730899,5814
573.69867332054628,16583
573.78653138925574,51788
573.87438893684737,64943
573.96224596314084,64941
574.05010246795587,64941
574.13795845111213,32004
574.22581391242943,11368
574.31366885172758,4449
574.40152326882617,2164
574.4893771635451,1435
574.57723053570385,1049
574.66508338512267,876
574.75293571162081,712
574.84078751501852,589
574.92863879513527,560
575.01648955179087,465
575.10433978480512,422
575.19218949399806,378
575.28003867918915,365
575.36788734019831,328
575.45573547684546,308
575.54358308895041,293
575.63143017633286,273
575.71927673881271,253
575.80712277620978,248
575.894968288344,211
575.98281327503514,237
576.07065773610293,230
576.15850167136739,224
576.24634508064844,232
576.33418796376566,205
576.42203032053919,209
576.50987215078885,185
576.59771345433444,191
576.68555423099588,183
576.77339448059331,217
576.86123420294609,171
576.9490733978746,206
577.03691206519863,188
577.12475020473812,184
577.21258781631275,176
577.30042489974267,193
577.38826145484791,193
577.47609748144828,170
577.56393297936347,178
577.65176794841386,187
577.739602388419,175
577.82743629919923,186
577.91526968057428,170
578.00310253236432,166
578.09093485438916,159
578.17876664646872,163
578.26659790842314,170
578.35442864007234,153
578.44225884123637,171
578.530088511735,184
578.61791765138855,172
578.705746260017,135
578.79357433744019,140
578.88140188347813,151
578.9692288979511,158
579.057055380679,153
579.14488133148188,151
579.23270675017955,161
579.32053163659248,147
579.40835599054037,163
579.49617981184349,172
579.58400310032187,3411
579.67182585579565,492
579.75964807808475,148
579.84746976700933,155
579.93529092238953,153
580.02311154404515,151
580.11093163179692,149
580.19875118546429,151
580.28657020486764,133
580.37438868982713,158
580.46220664016289,150
580.550024055695,144
580.63784093624361,149
580.72565728162863,149
580.81347309167074,148
580.90128836618942,146
580.98910310500537,138
581.07691730793852,134
581.16473097480912,155
581.25254410543721,159
581.340356699643,161
581.42816875724691,166
581.5159802780687,162
581.6037912619289,148
581.69160170864757,150
581.779411618045,155
581.86722098994142,168
581.95502982415678,162
582.04283812051153,160
582.13064587882593,179
582.21845309892024,153
582.30625978061448,166
582.394065923729,129
582.48187152808418,165
582.56967659350016,142
582.65748111979713,160
582.74528510679545,137
582.83308855431528,144
582.92089146217711,163
583.00869383020108,148
583.09649565820735,158
583.18429694601639,154
583.27209769344859,164
583.35989790032409,154
583.44769756646315,154
583.53549669168626,169
583.62329527581358,131
583.71109331866546,155
583.79889082006241,153
583.88668777982457,156
583.97448419777231,145
584.06228007372613,175
584.15007540750616,156
584.2378701989328,147
584.32566444782663,150
584.4134581540078,146
584.50125131729692,157
584.589043937514,147
584.67683601447959,173
584.76462754801435,154
584.85241853793832,162
584.940208984072,169
585.027998886236,167
585.11578824425044,150
585.20357705793583,158
585.29136532711289,154
585.37915305160152,155
585.46694023122257,158
585.55472686579628,153
585.64251295514327,178
585.7302984990838,169
585.81808349743858,158
585.90586795002775,176
585.993651856672,165
586.08143521719182,191
586.16921803140747,163
586.2570002991398,159
586.344782020209,182
586.4325631944356,150
586.52034382164027,185
586.60812390164324,166
586.69590343426535,170
586.783682419327,157
586.87146085664858,173
586.9592387460508,167
587.04701608735411,158
587.13479288037911,180
587.22256912494629,161
587.31034482087614,183
587.39811996798949,167
587.48589456610659,162
587.57366861504806,151
587.66144211463472,186
587.749215064687,168
587.83698746502535,172
587.92475931547051,186
588.01253061584316,172
588.10030136596379,175
588.188071565653,172
588.27584121473137,172
588.36361031301965,178
588.45137886033842,177
588.53914685650818,193
588.62691430134987,172
588.714681194684,183
588.80244753633087,166
588.89021332611173,175
588.97797856384682,184
589.06574324935684,208
589.15350738246275,160
589.2412709629848,175
589.32903399074416,165
589.41679646556111,183
589.50455838725657,188
589.59231975565115,192
589.68008057056568,179
589.76784083182065,183
589.85560053923689,187
589.94335969263511,183
590.03111829183615,180
590.11887633666072,180
590.20663382692942,161
590.29439076246308,193
590.38214714308242,188
590.46990296860815,204
590.55765823886134,185
590.64541295366223,187
590.73316711283212,192
590.82092071619149,166
590.90867376356118,188
590.996426254762,169
591.08417818961482,200
591.1719295679402,189
591.25968038955921,178
591.34743065429268,175
591.43518036196122,184
591.52292951238576,179
591.61067810538714,200
591.69842614078618,179
591.78617361840372,192
591.87392053806059,180
591.96166689957772,185
592.049412702776,195
592.137157947476,197
592.224902633499,183
592.31264676066564,194
592.4003903287969,196
592.48813333771352,197
592.57587578723644,183
592.66361767718672,201
592.75135900738519,178
592.83909977765268,188
592.92683998781013,195
593.01457963767848,174
593.10231872707868,175
593.19005725583168,199
593.2777952237584,164
593.3655326306797,180
593.45326947641661,182
593.5410057607902,178
593.62874148362118,202
593.71647664473085,196
593.80421124393979,189
593.8919452810693,199
593.97967875594009,188
594.06741166837344,192
594.15514401819019,188
594.24287580521138,190
594.330607029258,195
594.41833769015113,177
594.50606778771157,179
594.59379732176058,201
594.6815262921192,178
594.76925469860839,183
594.85698254104921,174
594.94470981926258,192
595.0324365330697,187
595.12016268229161,174
595.20788826674948,175
595.295613286264,171
595.38333774065677,197
595.47106162974842,173
595.55878495336037,208
595.64650771131357,182
595.73422990342908,191
595.82195152952818,172
595.90967258943181,200
595.997393082961,194
596.08511300993712,188
596.17283237018125,205
596.26055116351438,206
596.34826938975777,203
596.43598704873261,198
596.52370414026,202
596.61142066416085,197
596.69913662025681,213
596.78685200836867,206
596.87456682831771,182
596.96228107992522,172
597.04999476301236,202
597.13770787740009,202
597.22542042291,180
597.313132399363,211
597.40084380658038,198
597.48855464438327,222
597.576264912593,219
597.66397461103088,205
597.75168373951806,195
597.83939229787575,206
597.92710028592523,217
598.01480770348769,181
598.1025145503844,224
598.19022082643676,218
598.27792653146582,212
598.365631665293,211
598.45333622773967,185
598.541040218627,196
598.6287436377761,213
598.71644648500865,200
598.80414876014572,192
598.89185046300861,198
598.97955159341871,193
599.06725215119729,203
599.15495213616578,217
599.24265154814532,209
599.33035038695743,198
599.41804865242341,208
599.50574634436452,217
599.59344346260229,192
599.681140006958,201
599.76883597725293,209
599.85653137330848,211
599.94422619494617,202
600.03192044198727,188
600.1196141142533,204
600.20730721156553,212
600.29499973374516,193
600.382691680614,227
600.47038305199339,224
600.55807384770458,215
600.64576406756908,215
600.73345371140829,220
600.82114277904373,225
600.90883127029667,232
600.99651918498887,204
601.08420652294149,229
601.171893283976,233
601.25957946791414,199
601.34726507457719,220
601.43495010378672,236
601.52263455536411,208
601.61031842913087,220
601.69800172490852,225
601.78568444251857,231
601.87336658178253,239
601.96104814252192,247
602.04872912455835,249
602.13640952771323,233
602.22408935180806,249
602.31176859666448,242
602.399447262104,253
602.48712534794811,273
