W,I
550.046521001757,180
550.13451268730194,183
550.22250390041143,182
550.31049464090393,180
550.39848490859765,183
550.486474703311,170
550.57446402486255,193
550.66245287307038,189
550.750441247753,163
550.83842914872889,173
550.92641657581623,197
551.01440352883355,188
551.10239000759918,188
551.19037601193168,166
551.27836154164925,172
551.36634659657034,181
551.45433117651339,198
551.542315281297,201
551.63029891073927,198
551.71828206465887,201
551.80626474287419,191
551.89424694520358,179
551.98222867146558,196
552.07020992147864,188
552.15819069506108,202
552.24617099203147,175
552.33415081220824,186
552.42213015541,199
552.510109021455,190
552.598087410162,184
552.68606532134913,183
552.77404275483525,180
552.86201971043852,196
552.94999618797772,192
553.037972187271,207
553.12594770813735,197
553.21392275039477,189
553.30189731386224,191
553.389871398358,197
553.47784500370074,184
553.56581812970876,199
553.65379077620094,194
553.74176294299548,200
553.82973462991117,211
553.91770583676634,198
554.00567656337978,191
554.09364680956992,183
554.18161657515532,185
554.26958585995465,187
554.35755466378657,219
554.4455229864692,183
554.53349082782177,186
554.62145818766237,191
554.70942506580991,187
554.79739146208283,181
554.88535737629968,188
554.97332280827925,207
555.06128775784,201
555.14925222480065,188
555.23721620897993,205
555.32517971019615,207
555.41314272826833,203
555.50110526301478,200
555.58906731425418,187
555.67702888180554,195
555.76498996548719,197
555.85295056511791,183
555.94091068051625,185
556.0288703115009,210
556.11682945789073,203
556.20478811950431,225
556.2927462961602,191
556.38070398767729,216
556.46866119387414,175
556.55661791456942,208
556.6445741495819,218
556.73252989873038,180
556.8204851618334,194
556.90843993871,182
556.99639422917846,202
557.08434803305784,194
557.17230135016678,210
557.26025418032407,192
557.34820652334838,194
557.4361583790585,196
557.524109747273,201
557.61206062781093,197
557.70001102049093,205
557.78796092513176,194
557.8759103415523,210
557.96385926957112,178
558.05180770900722,208
558.13975565967928,201
558.22770312140619,204
558.31565009400663,210
558.40359657729948,166
558.49154257110342,222
558.57948807523746,206
558.6674330895205,215
558.75537761377086,202
558.843321647808,212
558.93126519145039,203
559.0192082445169,217
559.10715080682644,216
559.195092878198,182
559.28303445845029,230
559.37097554740194,205
559.45891614487221,221
559.54685625067987,219
