W,I
550.046521001757,156
550.13451268730194,163
550.22250390041143,149
550.31049464090393,152
550.39848490859765,147
550.486474703311,146
550.57446402486255,139
550.66245287307038,131
550.750441247753,154
550.83842914872889,158
550.92641657581623,146
551.01440352883355,148
551.10239000759918,153
551.19037601193168,157
551.27836154164925,163
551.36634659657034,154
551.45433117651339,140
551.542315281297,131
551.63029891073927,167
551.71828206465887,171
551.80626474287419,173
551.89424694520358,140
551.98222867146558,158
552.07020992147864,155
552.15819069506108,146
552.24617099203147,164
552.33415081220824,150
552.42213015541,147
552.510109021455,166
552.598087410162,158
552.68606532134913,166
552.77404275483525,161
552.86201971043852,160
552.94999618797772,162
553.037972187271,170
553.12594770813735,156
553.21392275039477,152
553.30189731386224,155
553.389871398358,166
553.47784500370074,167
553.56581812970876,171
553.65379077620094,165
553.74176294299548,179
553.82973462991117,176
553.91770583676634,161
554.00567656337978,172
554.09364680956992,156
554.18161657515532,178
554.26958585995465,170
554.35755466378657,161
554.4455229864692,160
554.53349082782177,153
554.62145818766237,153
554.70942506580991,184
554.79739146208283,160
554.88535737629968,161
554.97332280827925,160
555.06128775784,159
555.14925222480065,169
555.23721620897993,181
555.32517971019615,162
555.41314272826833,172
555.50110526301478,173
555.58906731425418,186
555.67702888180554,169
555.76498996548719,178
555.85295056511791,156
555.94091068051625,150
556.0288703115009,172
556.11682945789073,172
556.20478811950431,170
556.2927462961602,143
556.38070398767729,186
556.46866119387414,175
556.55661791456942,173
556.6445741495819,168
556.73252989873038,145
556.8204851618334,182
556.90843993871,189
556.99639422917846,182
557.08434803305784,181
557.17230135016678,159
557.26025418032407,174
557.34820652334838,172
557.4361583790585,164
557.524109747273,183
557.61206062781093,192
557.70001102049093,172
557.78796092513176,173
557.8759103415523,180
557.96385926957112,176
558.05180770900722,164
558.13975565967928,184
558.22770312140619,160
558.31565009400663,197
558.40359657729948,188
558.49154257110342,200
558.57948807523746,176
558.6674330895205,185
558.75537761377086,172
558.843321647808,180
558.93126519145039,185
559.0192082445169,182
559.10715080682644,178
559.195092878198,188
559.28303445845029,194
559.37097554740194,184
559.45891614487221,197
559.54685625067987,184
559.63479586464359,195
559.7227349865824,196
559.8106736163154,187
559.898611753661,220
559.98654939843857,181
560.07448655046664,193
560.16242320956439,193
560.2503593755506,186
560.33829504824428,206
560.4262302274642,192
560.5141649130295,189
560.602099104759,174
560.69003280247125,189
560.777966005986,189
560.86589871512149,198
560.95383092969712,216
561.04176264953162,185
561.129693874444,224
561.21762460425327,190
561.30555483877833,202
561.39348457783808,202
561.48141382125175,176
561.56934256883824,206
561.65727082041644,201
561.74519857580538,225
561.83312583482416,198
561.9210525972918,217
562.008978863027,222
562.09690463184916,198
562.18482990357722,208
562.27275467803,197
562.36067895502674,189
562.44860273438644,192
562.53652601592808,213
562.62444879947088,195
562.71237108483365,213
562.8002928718355,215
562.88821416029566,219
562.976134950033,192
563.06405524086688,215
563.15197503261606,232
563.23989432509973,213
563.3278131181371,216
563.4157314115472,235
563.503649205149,222
563.59156649876172,220
563.67948329220462,205
563.76739958529652,205
563.85531537785675,209
563.94323066970435,210
564.03114546065842,193
564.1190597505381,199
564.20697353916262,220
564.2948868263511,215
564.38279961192279,213
564.47071189569647,225
564.55862367749171,208
564.64653495712753,229
564.73444573442293,215
564.82235600919751,214
564.91026578127014,216
564.99817505046,222
565.08608381658644,231
565.17399207946846,209
565.26189983892539,216
565.34980709477645,209
565.43771384684089,241
565.52562009493772,232
565.61352583888629,233
565.701431078506,232
565.78933581361593,234
565.877240044035,214
565.965143769583,215
566.05304699007911,203
566.14094970534234,194
566.22885191519185,227
566.31675361944724,242
566.40465481792762,237
566.49255551045223,220
566.58045569684054,241
566.66835537691156,209
566.75625455048475,253
566.84415321737924,223
566.93205137741461,232
567.01994903041,260
567.10784617618469,241
567.19574281455823,230
567.28363894534948,241
567.37153456837825,249
567.45942968346367,263
567.547324290425,249
567.63521838908161,234
567.723111979253,259
567.81100506075836,244
567.898897633417,260
567.98678969704861,231
568.07468125147227,241
568.16257229650751,224
568.25046283197344,251
568.33835285768987,262
568.4262423734757,251
568.51413137915074,248
568.60201987453422,246
568.68990785944538,268
568.77779533370392,256
568.8656822971293,226
568.95356874954052,249
569.0414546907574,245
569.12934012059918,257
569.21722503888543,246
569.30510944543551,278
569.39299334006876,256
569.48087672260488,277
569.56875959286322,275
569.65664195066313,261
569.74452379582419,263
569.832405128166,258
569.92028594750764,292
570.008166253669,274
570.09604604646938,297
570.1839253257283,282
570.27180409126527,288
570.35968234289976,278
570.44756008045135,305
570.53543730373951,290
570.62331401258382,308
570.71119020680374,310
570.79906588621884,298
570.88694105064849,292
570.9748156999126,319
571.0626898338304,323
571.15056345222149,297
571.23843655490543,317
571.326309141702,324
571.41418121243055,345
571.50205276691065,338
571.58992380496193,322
571.677794326404,324
571.76566433105643,341
571.85353381873881,357
571.94140278927068,349
572.02927124247174,420
572.11713917816155,395
572.20500659615982,415
572.292873496286,417
572.38073987835992,415
572.46860574220113,454
572.55647108762912,486
572.64433591446368,514
572.7322002225244,542
572.820064011631,605
572.90792728160318,631
572.99579003226052,650
573.08365226342255,819
573.1715139749092,924
573.25937516654,1108
573.34723583813479,1496
573.435095989513,1939
573.52295562049449,3030
573.610814730899,5825
573.69867332054628,16705
573.78653138925574,50881
573.87438893684737,64943
573.96224596314084,64941
574.05010246795587,64941
574.13795845111213,32220
574.22581391242943,11627
574.31366885172758,4553
574.40152326882617,2264
574.4893771635451,1542
574.57723053570385,1162
574.66508338512267,991
574.75293571162081,861
574.84078751501852,741
574.92863879513527,676
575.01648955179087,591
575.10433978480512,553
575.19218949399806,496
575.28003867918915,483
575.36788734019831,449
575.45573547684546,408
575.54358308895041,401
575.63143017633286,350
575.71927673881271,396
575.80712277620978,350
575.894968288344,365
575.98281327503514,373
576.07065773610293,354
576.15850167136739,360
576.24634508064844,336
576.33418796376566,342
576.42203032053919,356
576.50987215078885,310
576.59771345433444,306
576.68555423099588,322
576.77339448059331,300
576.86123420294609,313
576.9490733978746,317
577.03691206519863,291
577.12475020473812,338
577.21258781631275,333
577.30042489974267,334
577.38826145484791,283
577.47609748144828,305
577.56393297936347,316
577.65176794841386,331
577.739602388419,324
577.82743629919923,342
577.91526968057428,333
578.00310253236432,344
578.09093485438916,315
578.17876664646872,316
578.26659790842314,322
578.35442864007234,326
578.44225884123637,319
578.530088511735,320
578.61791765138855,322
578.705746260017,313
578.79357433744019,332
578.88140188347813,315
578.9692288979511,310
579.057055380679,290
579.14488133148188,328
579.23270675017955,312
579.32053163659248,307
579.40835599054037,322
579.49617981184349,344
579.58400310032187,338
579.67182585579565,299
579.75964807808475,328
579.84746976700933,300
579.93529092238953,303
580.02311154404515,295
580.11093163179692,289
580.19875118546429,324
580.28657020486764,293
580.37438868982713,302
580.46220664016289,321
580.550024055695,312
580.63784093624361,322
580.72565728162863,309
580.81347309167074,305
580.90128836618942,363
580.98910310500537,321
581.07691730793852,295
581.16473097480912,305
581.25254410543721,297
581.340356699643,332
581.42816875724691,322
581.5159802780687,345
581.6037912619289,324
581.69160170864757,340
581.779411618045,296
581.86722098994142,320
581.95502982415678,320
582.04283812051153,294
582.13064587882593,319
582.21845309892024,320
582.30625978061448,324
582.394065923729,318
582.48187152808418,337
582.56967659350016,353
582.65748111979713,326
582.74528510679545,325
582.83308855431528,332
582.92089146217711,319
583.00869383020108,343
583.09649565820735,354
583.18429694601639,345
583.27209769344859,333
583.35989790032409,320
583.44769756646315,334
583.53549669168626,326
583.62329527581358,357
583.71109331866546,343
583.79889082006241,357
583.88668777982457,341
583.97448419777231,335
584.06228007372613,340
584.15007540750616,343
584.2378701989328,347
584.32566444782663,346
584.4134581540078,358
584.50125131729692,313
584.589043937514,331
584.67683601447959,344
584.76462754801435,338
584.85241853793832,325
584.940208984072,354
585.027998886236,319
585.11578824425044,337
585.20357705793583,368
585.29136532711289,349
585.37915305160152,315
585.46694023122257,352
585.55472686579628,319
585.64251295514327,332
585.7302984990838,352
585.81808349743858,364
585.90586795002775,338
585.993651856672,387
586.08143521719182,354
586.16921803140747,329
586.2570002991398,339
586.344782020209,368
586.4325631944356,354
586.52034382164027,334
586.60812390164324,355
586.69590343426535,352
586.783682419327,362
586.87146085664858,353
586.9592387460508,357
587.04701608735411,360
587.13479288037911,350
587.22256912494629,386
587.31034482087614,388
587.39811996798949,370
587.48589456610659,360
587.57366861504806,365
587.66144211463472,382
587.749215064687,376
587.83698746502535,375
587.92475931547051,364
588.01253061584316,372
588.10030136596379,392
588.188071565653,391
588.27584121473137,435
588.36361031301965,385
588.45137886033842,395
588.53914685650818,389
588.62691430134987,384
588.714681194684,398
588.80244753633087,385
588.89021332611173,389
588.97797856384682,395
589.06574324935684,406
589.15350738246275,400
589.2412709629848,407
589.32903399074416,404
589.41679646556111,373
589.50455838725657,400
589.59231975565115,373
589.68008057056568,393
589.76784083182065,408
589.85560053923689,391
589.94335969263511,418
590.03111829183615,413
590.11887633666072,428
590.20663382692942,409
590.29439076246308,432
590.38214714308242,438
590.46990296860815,400
590.55765823886134,447
590.64541295366223,413
590.73316711283212,411
590.82092071619149,411
590.90867376356118,398
590.996426254762,388
591.08417818961482,410
591.1719295679402,435
591.25968038955921,423
591.34743065429268,419
591.43518036196122,413
591.52292951238576,409
591.61067810538714,473
591.69842614078618,390
591.78617361840372,435
591.87392053806059,427
591.96166689957772,417
592.049412702776,441
592.137157947476,428
592.224902633499,411
592.31264676066564,426
592.4003903287969,442
592.48813333771352,412
592.57587578723644,396
592.66361767718672,450
592.75135900738519,424
592.83909977765268,433
592.92683998781013,462
593.01457963767848,446
593.10231872707868,441
593.19005725583168,424
593.2777952237584,451
593.3655326306797,426
593.45326947641661,416
593.5410057607902,428
593.62874148362118,451
593.71647664473085,444
593.80421124393979,458
593.8919452810693,415
593.97967875594009,448
594.06741166837344,471
594.15514401819019,414
594.24287580521138,436
594.330607029258,446
594.41833769015113,439
594.50606778771157,440
594.59379732176058,444
594.6815262921192,463
594.76925469860839,456
594.85698254104921,432
594.94470981926258,461
595.0324365330697,451
595.12016268229161,448
595.20788826674948,433
595.295613286264,468
595.38333774065677,486
595.47106162974842,435
595.55878495336037,470
595.64650771131357,460
595.73422990342908,453
595.82195152952818,445
595.90967258943181,463
595.997393082961,455
596.08511300993712,443
596.17283237018125,480
596.26055116351438,429
596.34826938975777,467
596.43598704873261,478
596.52370414026,466
596.61142066416085,458
596.69913662025681,447
596.78685200836867,472
596.87456682831771,467
596.96228107992522,445
597.04999476301236,487
597.13770787740009,463
597.22542042291,448
597.313132399363,487
597.40084380658038,452
597.48855464438327,509
597.576264912593,486
597.66397461103088,473
597.75168373951806,450
597.83939229787575,489
597.92710028592523,487
598.01480770348769,513
598.1025145503844,445
598.19022082643676,497
598.27792653146582,488
598.365631665293,484
598.45333622773967,475
598.541040218627,458
598.6287436377761,474
598.71644648500865,462
598.80414876014572,463
598.89185046300861,441
598.97955159341871,494
599.06725215119729,481
599.15495213616578,469
599.24265154814532,463
599.33035038695743,438
599.41804865242341,481
599.50574634436452,485
599.59344346260229,462
599.681140006958,469
599.76883597725293,484
599.85653137330848,451
599.94422619494617,478
600.03192044198727,470
600.1196141142533,494
600.20730721156553,469
600.29499973374516,476
600.382691680614,502
600.47038305199339,458
600.55807384770458,460
600.64576406756908,491
600.73345371140829,515
600.82114277904373,473
600.90883127029667,485
600.99651918498887,463
601.08420652294149,496
601.171893283976,507
601.25957946791414,508
601.34726507457719,520
601.43495010378672,512
601.52263455536411,489
601.61031842913087,505
