W,I
550.046521001757,155
550.13451268730194,166
550.22250390041143,141
550.31049464090393,147
550.39848490859765,143
550.486474703311,150
550.57446402486255,140
550.66245287307038,143
550.750441247753,140
550.83842914872889,134
550.92641657581623,152
551.01440352883355,130
551.10239000759918,154
551.19037601193168,146
551.27836154164925,140
551.36634659657034,144
551.45433117651339,152
551.542315281297,141
551.63029891073927,131
551.71828206465887,148
551.80626474287419,139
551.89424694520358,140
551.98222867146558,153
552.07020992147864,145
552.15819069506108,152
552.24617099203147,151
552.33415081220824,133
552.42213015541,140
552.510109021455,144
552.598087410162,141
552.68606532134913,131
552.77404275483525,163
552.86201971043852,145
552.94999618797772,139
553.037972187271,148
553.12594770813735,141
553.21392275039477,127
553.30189731386224,175
553.389871398358,147
553.47784500370074,140
553.56581812970876,132
553.65379077620094,138
553.74176294299548,143
553.82973462991117,166
553.91770583676634,143
554.00567656337978,127
554.09364680956992,140
554.18161657515532,138
554.26958585995465,145
554.35755466378657,137
554.4455229864692,161
554.53349082782177,123
554.62145818766237,127
554.70942506580991,139
554.79739146208283,140
554.88535737629968,130
554.97332280827925,134
555.06128775784,124
555.14925222480065,139
555.23721620897993,150
555.32517971019615,123
555.41314272826833,135
555.50110526301478,142
555.58906731425418,140
555.67702888180554,158
555.76498996548719,130
555.85295056511791,124
555.94091068051625,119
556.0288703115009,126
556.11682945789073,134
556.20478811950431,117
556.2927462961602,131
556.38070398767729,146
556.46866119387414,123
556.55661791456942,118
556.6445741495819,130
556.73252989873038,132
556.8204851618334,143
556.90843993871,118
556.99639422917846,136
557.08434803305784,128
557.17230135016678,138
557.26025418032407,142
557.34820652334838,120
557.4361583790585,141
557.524109747273,118
557.61206062781093,129
557.70001102049093,120
557.78796092513176,135
557.8759103415523,124
557.96385926957112,135
558.05180770900722,137
558.13975565967928,126
558.22770312140619,133
558.31565009400663,133
558.40359657729948,124
558.49154257110342,122
558.57948807523746,119
558.6674330895205,105
558.75537761377086,138
558.843321647808,119
558.93126519145039,127
559.0192082445169,129
559.10715080682644,131
559.195092878198,137
559.28303445845029,112
559.37097554740194,122
559.45891614487221,146
559.54685625067987,147
559.63479586464359,145
559.7227349865824,120
559.8106736163154,134
559.898611753661,130
559.98654939843857,137
560.07448655046664,121
560.16242320956439,119
560.2503593755506,119
560.33829504824428,116
560.4262302274642,134
560.5141649130295,118
560.602099104759,126
560.69003280247125,137
560.777966005986,123
560.86589871512149,110
560.95383092969712,114
561.04176264953162,131
561.129693874444,120
561.21762460425327,127
561.30555483877833,121
561.39348457783808,110
561.48141382125175,124
561.56934256883824,121
561.65727082041644,128
561.74519857580538,104
561.83312583482416,115
561.9210525972918,113
562.008978863027,108
562.09690463184916,115
562.18482990357722,119
562.27275467803,115
562.36067895502674,118
562.44860273438644,109
562.53652601592808,131
562.62444879947088,113
562.71237108483365,119
562.8002928718355,118
562.88821416029566,108
562.976134950033,122
563.06405524086688,134
563.15197503261606,126
563.23989432509973,113
563.3278131181371,129
563.4157314115472,130
563.503649205149,118
563.59156649876172,112
563.67948329220462,116
563.76739958529652,112
563.85531537785675,118
563.94323066970435,127
564.03114546065842,105
564.1190597505381,104
564.20697353916262,125
564.2948868263511,116
564.38279961192279,117
564.47071189569647,117
564.55862367749171,113
564.64653495712753,107
564.73444573442293,129
564.82235600919751,112
564.91026578127014,133
564.99817505046,103
565.08608381658644,115
565.17399207946846,115
565.26189983892539,117
565.34980709477645,111
565.43771384684089,108
565.52562009493772,125
565.61352583888629,119
565.701431078506,103
565.78933581361593,127
565.877240044035,116
565.965143769583,122
566.05304699007911,117
566.14094970534234,112
566.22885191519185,112
566.31675361944724,113
566.40465481792762,129
566.49255551045223,123
566.58045569684054,128
566.66835537691156,117
566.75625455048475,117
566.84415321737924,134
566.93205137741461,124
567.01994903041,137
567.10784617618469,126
567.19574281455823,130
567.28363894534948,122
567.37153456837825,127
567.45942968346367,121
567.547324290425,117
567.63521838908161,107
567.723111979253,115
567.81100506075836,115
567.898897633417,118
567.98678969704861,108
568.07468125147227,133
