W,I
550.046521001757,257
550.13451268730194,302
550.22250390041143,266
550.31049464090393,296
550.39848490859765,305
550.486474703311,328
550.57446402486255,300
550.66245287307038,308
550.750441247753,323
550.83842914872889,300
550.92641657581623,291
551.01440352883355,296
551.10239000759918,313
551.19037601193168,313
551.27836154164925,307
551.36634659657034,305
551.45433117651339,342
551.542315281297,353
551.63029891073927,322
551.71828206465887,358
551.80626474287419,320
551.89424694520358,337
551.98222867146558,352
552.07020992147864,355
552.15819069506108,345
552.24617099203147,360
552.33415081220824,350
552.42213015541,377
552.510109021455,378
552.598087410162,357
552.68606532134913,370
552.77404275483525,349
552.86201971043852,367
552.94999618797772,365
553.037972187271,396
553.12594770813735,377
553.21392275039477,363
553.30189731386224,401
553.389871398358,373
553.47784500370074,404
553.56581812970876,375
553.65379077620094,383
553.74176294299548,397
553.82973462991117,403
553.91770583676634,393
554.00567656337978,403
554.09364680956992,399
554.18161657515532,399
554.26958585995465,394
554.35755466378657,434
554.4455229864692,400
554.53349082782177,413
554.62145818766237,423
554.70942506580991,418
554.79739146208283,437
554.88535737629968,443
554.97332280827925,466
555.06128775784,446
555.14925222480065,453
555.23721620897993,438
555.32517971019615,487
555.41314272826833,473
555.50110526301478,455
555.58906731425418,491
555.67702888180554,453
555.76498996548719,488
555.85295056511791,483
555.94091068051625,474
556.0288703115009,480
556.11682945789073,483
556.20478811950431,485
556.2927462961602,513
556.38070398767729,513
556.46866119387414,523
556.55661791456942,501
556.6445741495819,508
556.73252989873038,514
556.8204851618334,485
556.90843993871,520
556.99639422917846,526
557.08434803305784,542
557.17230135016678,538
557.26025418032407,533
557.34820652334838,540
557.4361583790585,496
557.524109747273,563
557.61206062781093,533
557.70001102049093,560
557.78796092513176,587
557.8759103415523,605
557.96385926957112,586
558.05180770900722,587
558.13975565967928,581
558.22770312140619,590
558.31565009400663,591
558.40359657729948,587
558.49154257110342,570
558.57948807523746,600
558.6674330895205,588
558.75537761377086,608
558.843321647808,609
558.93126519145039,648
559.0192082445169,594
559.10715080682644,672
559.195092878198,621
559.28303445845029,635
559.37097554740194,673
559.45891614487221,634
559.54685625067987,671
559.63479586464359,668
559.7227349865824,665
559.8106736163154,665
559.898611753661,664
559.98654939843857,735
560.07448655046664,667
560.16242320956439,718
560.2503593755506,680
560.33829504824428,693
560.4262302274642,731
560.5141649130295,730
560.602099104759,763
560.69003280247125,724
560.777966005986,730
560.86589871512149,722
560.95383092969712,738
561.04176264953162,757
561.129693874444,768
561.21762460425327,774
561.30555483877833,796
561.39348457783808,774
561.48141382125175,796
561.56934256883824,750
561.65727082041644,774
561.74519857580538,793
561.83312583482416,824
561.9210525972918,793
562.008978863027,795
562.09690463184916,832
562.18482990357722,779
562.27275467803,845
562.36067895502674,808
562.44860273438644,811
562.53652601592808,817
562.62444879947088,856
562.71237108483365,864
562.8002928718355,865
562.88821416029566,877
562.976134950033,871
563.06405524086688,898
563.15197503261606,905
563.23989432509973,888
563.3278131181371,925
563.4157314115472,922
563.503649205149,953
563.59156649876172,954
563.67948329220462,929
563.76739958529652,1001
563.85531537785675,936
563.94323066970435,960
564.03114546065842,952
564.1190597505381,996
564.20697353916262,1013
564.2948868263511,986
564.38279961192279,1016
564.47071189569647,1003
564.55862367749171,1017
564.64653495712753,1056
564.73444573442293,1043
564.82235600919751,1029
564.91026578127014,1055
564.99817505046,1066
565.08608381658644,1094
565.17399207946846,1086
565.26189983892539,1107
565.34980709477645,1110
565.43771384684089,1118
565.52562009493772,1101
565.61352583888629,1164
565.701431078506,1178
565.78933581361593,1160
565.877240044035,1125
565.965143769583,1147
566.05304699007911,1209
566.14094970534234,1196
566.22885191519185,1177
566.31675361944724,1227
566.40465481792762,1183
566.49255551045223,1252
566.58045569684054,1195
566.66835537691156,1243
566.75625455048475,1237
566.84415321737924,1245
566.93205137741461,1228
567.01994903041,1203
567.10784617618469,1280
567.19574281455823,1265
567.28363894534948,1223
567.37153456837825,1279
567.45942968346367,1311
567.547324290425,1310
567.63521838908161,1284
